price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Mặt tiền,Số phòng ngủ,Lộ giới,Số toilet,Hướng
16 tỷ VNĐ,Hà Nội, 60m2," - Tôi: Mr. Bình tiến sỹ Thổ cư - 0856 968 656. (Tôi đang có DANH SÁCH hàng ngàn căn nhà đang bán tại Hà Nội từ dưới 1 - trên 1000 tỷ)Chi tiết nhà Đống Đa: - Nhà vô cùng đẹp, an sinh tuyệt đỉnh, đẳng cấp của một ngôi nhà VIP. Quận Đống Đa trung tâm nhất Hà Nội. Thiết kế phòng thông sàn, có thể cho thuê làm văn phòng. - Diện tích xây 60 m2, 9 tầng, nguy nga như một tòa lâu đài. Thiết kế hợp lý, hiện đại, nội ngoại thất ngoại nhập. Móng xây 12 tầng nên vẫn còn để cọc chờ lên tầng 10 đến 12. - Thang máy Mistubishi nhập khẩu nguyên chiếc. - Tầng 1: Để xe. - Tầng 2: Phòng khách rộng: cửa gỗ, tủ gỗ hiếm. - Tầng 3, 4, 5: Mỗi tầng một phòng. - Tầng 6: Được thiết kế làm phòng chiếu phim riêng và máy chiếu phim cố định gắn vào tường cùng giàn âm thanh 7.1 lắp âm trần. - Tầng 7: Phòng ăn để lại bàn ăn bằng gỗ đinh hương đỏ, toàn bộ gian tủ bếp Gaggenau xịn của Đức ( nhập nguyên thùng ). Tủ bếp gồm có: Tủ lạnh mát riêng, tủ cấp đông riêng, tủ đồ khô, máy rửa bát, lò vi sóng, lò nướng, bếp nấu đa điểm (đặt đâu cũng tự động chuyển nhiệt, riêng bếp này đã có giá 900 triệu nhập về), máy pha cà phê kết hợp tủ rượu vang có điều chỉnh nhiệt độ. Toàn bộ tủ bếp là lắp đặt một khối mang thương hiệu Gaggenau. - Tầng 8: Gian thờ riêng biệt và sân phơi. - Tầng 9: Tum nước và bộ nóng điều hòa tổng. - Điều hòa trung tâm được đặt âm toàn bộ căn nhà. - Giá bán: chỉ 16 tỷ cho một căn siêu VIP, sổ đỏ đẹp, pháp lý rõ ràng.TƯ VẤN TẬN TÂM, NÂNG TẦM GIÁ TRỊ!Liên hệ Tiến sỹ Thổ cư Mr. Bình 0856 968 656.",17/01/2022,Tin thường,batdongsan_so_com_vn_1673832775.0731435,,,,,,
"2,6 tỷ VNĐ",Bạch Mai - Hà Nội, 50m2,"Vị trí đắc địa nhất nhì khu vực Hai Bà Trưng , gần ngã  tư  Mai Động  hàng xóm của  Time City, cạnh là tổ hợp chung cư, trung tâm Thương mại rất lớn nữa là Hòa Bình Green City và Imperia Sky Garden, tiện ích vô cùng vài phút ra bờ hồ , thuận tiện di chuyển  ra các bệnh  viện lớn như  Thanh Nhàn , Ung  bướu  , Bạch Mai ,… cũng  như các trường  đại học  lớn như  Bách Khoa , Xây Dựng , Kinh Tế  Quốc  Dân….Đường  Minh Khai hiện nay đã quy hoạch ổn định giá đất trong khu vực chỉ có lên chứ không có xuống ,..ngõ nhà thông , xung quanh điện đường , trường , trạm đủ cả  kinh doanh nhỏ cực tốt vài bước đi bộ là ra mặt đường Minh Khai Nhà 3 tâng trước xe ba gác phóng vèo vèo ngõ thông hè thoáng an sinh cực đỉnh Chủ nhà đã mua nhà mới nên cực kỳ thiện trí giá chào 2.6 tỷ có gia lộc cho khách hữu duyên thiện trí. Chi tiết LH: em Nhật 0977194820 (Chuyên Nhà đất Thổ cư).Lưu ý:- Không kênh giá chủ nhà- Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý ",15/01/2022,Tin thường,batdongsan_so_com_vn_1673832776.4843662,,,,,,
"2,85 tỷ VNĐ",Yên Phúc- Hà Đông, 37m2,"Bán nhà trước tết Yên Phúc, Hà Đông 37mx4 tầng, ô tô gần - Căn nhà siêu đẹp phố yên Phúc, trung tâm khu hành chính quận Hà Đông, thủ đô Hà Nội, khu vực sầm uất, dân trí cao, đáng sống bậc nhất quận Hà Đông. Giao thông vô cùng thuận lợi thông thương : Văn Quán, Phùng Hưng, Xa La, Yên Xá, Thanh Bình, Quang Trung, Trần Phú, Nhuệ Giang.... - Nhà xây dựng trên mảnh đất vượng khí rộng 37m2, với 4 tầng thiết kế đẹp, đủ công năng sử dụng. Khu dân trí cao, trí thức về đây tụ họp rất nhiều. Cảm giác quan chức nhiều như quần long hội tụ vậy. - Chủ nhà kinh doanh rất phát bán nhanh để đầu tư máy móc, giá cả rất tốt so với khu vực. - Sổ đỏ chính chủ sẵn sàng giao dịch. - Giá chỉ 2.85 tỷ cho căn nhà siêu đẹp ( có thương lượng). - Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.         - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",17/01/2022,Tin thường,batdongsan_so_com_vn_1673832777.8955915, 4,,,,,
36 triệu VNĐ/m2,279 Hoàng Mai, 77m2,"💥Nhận nhà siêu đẹp thiết kế sang trọng chỉ đóng 900tr ký HĐMB căn 2 PN 2,8 tỷ trung tâm Hoàng Mai, cơ hội sở hữu xe mec... 🔥Đậm chất la tinh, kiệt tác nghệ thuật đầy xa hoa và sang trọng được lấy cảm hứng từ kiến trúc Bắc Âu. Phân khúc nhà chung cư đầy đủ tiện ích xanh bậc nhất của Thủ Đô nói chung và Hoàng Mai nói riêng. Toát lên sự tinh tế và cổ điển trong từng đường nét.#FELIZ_HOMES_HOANG_MAI Chính sách bán hàng:👉Miễn 2% kinh phí bảo trì, 1 năm phí dịch vụ👉Hỗ trợ lãi suất 0% 18 tháng, Ân hạn nợ gốc 👉Vay 75% thời gian 25 nămBáo giá các căn hộ đẹp nhất dự án:Căn hộ 2PN – 77m2 giá từ 2,8 tỷCăn hộ 3PN diện tích 97m2 giá từ 3.25 tỷCăn hộ 3PN diện tích 108m2 ( căn góc ) view thành phố, view Hồ Đền giá từ 3.6 tỷTIỆN ÍCH PHỤC VỤ ĐỜI SỐNG:+ Bệnh viện Bạch Mai: 5Km+ Hồ Hoàn Kiếm: 6Km+ Đại học Bách Khoa – KT Quốc Dân: 3Km+ Trường TH, THCS Mai động+ Công viên Thống Nhất: 4Km+ Bến xe Giáp Bát: 3Km+ TTTM Metro Hoàng Mai: 2KmThiết kế căn hộ đề cao tính hữu dụng, tối ưu diện tích và công năng sử dụng. Toàn bộ không gian phòng ngủ đều được thiết kế cửa sổ kính và ban công rộng để đón ánh sang tự nhiên và tận hưởng trọn vẹn làn gió mát lành từ hồ sinh thái thổi vào.🔑Nhận nhà: quý IV /2022 ☎️Hotline Phòng BH trực tiếp CĐT: 0983.223.911 – 0818.978.979#FelizHomes#Felizhomes279hoangmai#Felizhomes92maidong ",17/01/2022,Tin thường,batdongsan_so_com_vn_1673832779.2134767,,,,,,
36 triệu VNĐ/m2,279 Hoàng Mai, 77m2,"💥Nhận nhà siêu đẹp thiết kế sang trọng chỉ đóng 900tr ký HĐMB căn 2 PN 2,8 tỷ trung tâm Hoàng Mai, cơ hội sở hữu xe mec... 🔥Đậm chất la tinh, kiệt tác nghệ thuật đầy xa hoa và sang trọng được lấy cảm hứng từ kiến trúc Bắc Âu. Phân khúc nhà chung cư đầy đủ tiện ích xanh bậc nhất của Thủ Đô nói chung và Hoàng Mai nói riêng. Toát lên sự tinh tế và cổ điển trong từng đường nét.#FELIZ_HOMES_HOANG_MAI Chính sách bán hàng:👉Miễn 2% kinh phí bảo trì, 1 năm phí dịch vụ👉Hỗ trợ lãi suất 0% 18 tháng, Ân hạn nợ gốc 👉Vay 75% thời gian 25 nămBáo giá các căn hộ đẹp nhất dự án:Căn hộ 2PN – 77m2 giá từ 2,8 tỷCăn hộ 3PN diện tích 97m2 giá từ 3.25 tỷCăn hộ 3PN diện tích 108m2 ( căn góc ) view thành phố, view Hồ Đền giá từ 3.6 tỷTIỆN ÍCH PHỤC VỤ ĐỜI SỐNG:+ Bệnh viện Bạch Mai: 5Km+ Hồ Hoàn Kiếm: 6Km+ Đại học Bách Khoa – KT Quốc Dân: 3Km+ Trường TH, THCS Mai động+ Công viên Thống Nhất: 4Km+ Bến xe Giáp Bát: 3Km+ TTTM Metro Hoàng Mai: 2KmThiết kế căn hộ đề cao tính hữu dụng, tối ưu diện tích và công năng sử dụng. Toàn bộ không gian phòng ngủ đều được thiết kế cửa sổ kính và ban công rộng để đón ánh sang tự nhiên và tận hưởng trọn vẹn làn gió mát lành từ hồ sinh thái thổi vào.🔑Nhận nhà: quý IV /2022 ☎️Hotline Phòng BH trực tiếp CĐT: 0983.223.911 – 0818.978.979#FelizHomes#Felizhomes279hoangmai#Felizhomes92maidong ",17/01/2022,Tin thường,batdongsan_so_com_vn_1673832780.1679707,,,,,,
"6,3 tỷ VNĐ",Văn Phú- Hà Đông, 60m2,"Bán nhà trước tết, ô tô tránh, ngõ thông, 60m2x5T, Văn Phú, Hà Đông, nhỉnh 6 tỷ Tôi cần bán nhà đẹp mới, ở ngay, nhà tự xây chắc chắn đầy đủ công năng sử dụng, phòng nào cũng có cửa sổ đón nắng gió với 5 tầng rộng đẹp nhất khu vực.Nhà thoáng trước thoáng sau, đường trước nhà ô tô tránh, sổ nở hậu tuyệt vời, thiết kế lệch tầng hiện đại. Ngõ rộng thông, ô tô vào nhà, vừa ở- kinh doanh hoặc cho thuê văn phòng quá Đỉnh, khu vực không có căn thứ 2. Giao thông di chuyển các phố: Cầu Đơ, Lê Hồng Phong,Hà Cầu, Văn La, Hoàng Đôn Hòa, Trần Đăng Ninh, Lý Thường Kiệt... bến xe bus rất gần, vài bước ra phố. Xung quanh đầy đủ tiện ích: Trường học, chợ, bệnh viện, ngân hàng, trung tâm mua sắm sầm uất bậc nhất Hà Đông siêu thị Metro, không ở đây quá phí.Hàng xóm toàn quan chức, khu văn minh, an ninh tuyệt đối. Giá: 6.3 tỷ ( có thương lượng). Sổ đỏ vuông, pháp lý sạch. Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",11/01/2022,Tin thường,batdongsan_so_com_vn_1673832781.2720146, 5,,,,,
"4,2 tỷ VNĐ",Cầu Am - Hà Đông, 52m2,"Nhỉnh 4 tỷ, ô tô, ngõ thông, 52m2, 4 tầng, Cầu Am, Hà Đông Chủ gửi bán nhà trước tết do nhu cầu mở rộng kinh doanh cần vốn gấp, nhà vị trí đẹp thuận tiện di chuyển các phố: Tố Hữu, Ngô Quyền, Yết Kiêu, Quang Trung, Thanh Bình, Văn Quán,...gần bến xe bus. Ngõ rộng thông, vài bước ra phố ô tô tránh, chủ nhà mua đất tự xây rất tâm huyết, các phòng thoáng sáng, nhà đẹp nhất khu, tầm tiền không có căn thứ 2. Xung quanh đầy đủ tiện ích: trường học các cấp, chợ, siêu thị, ngân hàng, gần chợ Vạn Phúc, dân cư đông đúc, văn minh, ở rất tĩnh. Giá: 4.2 tỷ ( có thương lượng). Sổ đỏ chính chủ, pháp lý chuẩn. Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.   - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn. ",10/01/2022,Tin thường,batdongsan_so_com_vn_1673832782.294279, 4,,,,,
"3,95 tỷ VNĐ",Quang Trung - Hà Đông, 37m2,"Cần tiền bán gấp nhà 37m2, kinh doanh, lô góc, ô tô tránh, nhỉnh 3 tỷ, Quang Trung, Hà Đông Do nhu cầu mở rộng kinh doanh tôi cần bán gấp nhà đẹp, lô góc 3 mặt thoáng kinh doanh rất lý tưởng, khu vực không có căn thứ 2, đường trước nhà ô tô tránh, ngõ thông muôn nơi, dân cư qua lại đông đúc, vài bước chân ra phố. Nhà thiết kế 4 tầng vừa kinh doanh vừa ở rất đẹp, phòng nào cũng thoáng sáng, đầy đủ công năng sử dụng. Xung quanh đầy đủ tiện ích: Ngân hàng, siêu thị, sân bóng, chợ, trường học, bệnh viện,...dân cư văn minh , môi trường trong lành tuyệt vời. Giao thông di chuyển thuận lợi các phố: Lê Trọng Tấn, Văn Phú, Trần Đăng Ninh, Lý Thường Kiệt, Ngô Thì Nhậm,...gần gas Cát Linh, bến xe bus rất gần. Sổ đỏ chính chủ, pháp lý sạch. Giá: 3.95 tỷ ( có thương lượng). Liên hệ ngay với em Huyền : 0965472910 ( miễn trung gian).",11/01/2022,Tin thường,batdongsan_so_com_vn_1673832784.176344, 4,,,,,
14 tỷ VNĐ,Hoàng Văn Thái - Thanh Xuân - Hà Nội, 102m2,"Bán nhà phố Hoàng Văn Thái quận Thanh Xuân 102m, 5.5m mặt tiền, NHÀ ĐẸP, nhỉnh 14T Vị trí: Hoàng Văn Thái là khu cán bộ quân đội, dân trí cao, đường phố ngõ ngách sạch sẽ văn minh, tiếp giáp với quận Đống Đa. Tiện ích: Vị trí đắc địa ko thiếu các tiện ích như: Trung tâm thương mại Vincom Royal City, Lotte Mart, Big C,..vv, Các trường đại học Thủy Lợi, Ngân Hàng, Đại Học Y Hà Nội, …Các bệnh viện…trường học các cấp 123 bán kính 500m. Thiết kế: Nhà gia chủ thiết kế tâm huyết, cực đẹp từng góc cạnh, kết thúc các tuyến luôn là 1 điểm nhấn. Giếng trời đưa ánh sáng ngập tràn, không khí lưu thông: T1: Để xe, phòng khách rộng mênh mông và bếp, Tầng: 2,3 mỗi tầng 2 ngủ khép kín. Tầng 4: Phòng ngủ, phòng thờ, sân phơi. Giao thông: Cách Đống Đa vài bước chân, cách Hai Bà Trưng chỉ 5p di chuyển, nút giao thông Ngã Tư Sở, các tuyến phố như: Nguyễn Trãi, Tô Vĩnh Diện, Lê Trọng Tấn, Nguyễn Ngọc Nại, Trường Chinh, Tây SƠn….vv Pháp lý: Sổ đỏ đẹp, chính chủ có thương lượng. Lh: Minh Hoàng 0902253303. Miễn trung gian môi giới.",16/01/2022,Tin thường,batdongsan_so_com_vn_1673832790.4541523, 4, 5, 5,,,
20 tỷ VNĐ,Huỳnh Thúc Kháng - Đống Đa - Hà Nội, 70m2,"Bán tòa văn phòng nhà phố Huỳnh Thúc Khác quận Đống Đa, 70m2, 7 tầng, 5.5m mặt tiền. 20 tỷ. Vị trí: Phố Huỳnh Thúc Kháng thông với phố Thái Hà, Nguyễn Chí Thanh, nơi được nhiều công ty chọn đặt làm văn phòng công ty. Tiện ích: Bán kính 1.5km là các trường đại học Luật, bệnh viện Nội Tiết, Nhi TW. Các trung tâm thương mại như vincom Nguyễn Chí Thanh, công viên…vv Thiết kế: Thiết kế 7 tầng thông sàn, thang máy hiện đại, mặt tiền rộng phù hợp vừa ở vừa kinh doanh văn phòng hay phòng khám. Pháp lý: Sổ đỏ vuông vắn sẵn sàng giao dịch có thương lượng. Liên hệ: Minh Hoàng 0902253303 (miễn trung gian môi giới).",17/01/2022,Tin thường,batdongsan_so_com_vn_1673832791.3968575, 7,, 10,,,
"2,65 tỷ VNĐ","lai xá ,hoài đức", 62m2,"Đường vào rộng rãi ba gác phóng tận cửa, chỉ mấy chục mét là ra đến đường ô tô thông sang KĐT, hưởng trọn tiện ích tương lai. Gần trung tâm hành chính huyện Hoài Đức, sát khu đô thị Kim Chung- Di Trạch. Nhà cách đường 32 chỉ mấy trăm mét, đi Nhổn, Cầu Diễn, Xuân Phương, Trịnh Văn Bô, Nhổn, Hồ Tùng Mậu, SVĐ Mỹ Đình... rất nhanh chóng. Nhà xây trên diện tích 43m2 còn là sân để xe sạch sẽ và trồng cây. Nhà rộng rãi thoáng trước sau và đầy đủ công năng. Khu vực hạ tầng hoàn thiện và cực tiềm năng khi Hoài Đức sắp lên quận. Giá chào thiện chí 2 tỷ 650 triệu (khách gặp chủ thương lượng trực tiếp). Sổ đỏ cất két, sẵn giao dịch ngay (hỗ trợ pháp lý và các thủ tục liên quan đến ngân hàng).    Anh chị liên hệ em Sơn (thổ cư) ngay để xem nhà và rất nhiều căn nhà khác hoàn toàn miễn phí: 0932382236",17/01/2022,Tin thường,batdongsan_so_com_vn_1673832792.2894673,,,,,,
"2,85 tỷ VNĐ","vân canh ,hoài đức", 45m2,"Đường vào nhà rất rộng rãi, ô tô đỗ cổng, cách mặt phố An Trai chỉ 20m. Nhà ngay gần ngã tư Canh, giao thông thuận tiện khắp ngả Phương Canh, Xuân Phương, Trịnh Văn Bô, Mỹ Đình, Tây Mỗ. Xung quanh tiện ích phong phú khi gần KĐT Vân Canh và An Lạc, trường học các cấp, chợ dân sinh. Nhà 45m2 được chủ tâm huyết hoàn thiện nổi bật với sự thoáng sáng khi phòng nào cũng có cửa sổ. Thừa công năng với 6 phòng ngủ. Là khu vực đã và đang phát triển, tiềm năng cực lớn khi Hoài Đức sắp lên quận. Giá chào chỉ 2 tỷ 850 triệu (khách và chủ thương lượng trực tiếp). Sổ đỏ đẹp, cất két sẵn sang tên. Cam kết nhà thật, việc thật 100% (hỗ trợ pháp lý và các vấn đề liên quan đến ngân hàng). Anh chị gọi em Sơn (thổ cư) để được tư vấn nhiệt tình và xem thêm miễn phí hàng trăm căn thổ cư ở nhiều mức giá: 0932382236",17/01/2022,Tin thường,batdongsan_so_com_vn_1673832793.5999618,,,,,,
15 tỷ VNĐ,Hà Nội, 40m2," - Phố Thái Hà kinh doanh không thiếu mặt hàng gì, thông thương thuận tiện, Đống Đa, Ba Đình, Cầu Giấy, Thanh Xuân… - Nhà 8 tầng đẹp, xây dựng kiên cố, chắc chắn, đường rộng đỗ xe ngày đêm, phù hợp kinh doanh mọi mặt hàng, cho thuê văn phòng, mở spa… - Phân lô siêu vuông vắn, nhà đẹp rất bề thế, hoành tráng, cầu thang máy, nội ngoại thất ngoại nhập… - Giá chỉ 15 tỷ có thương lượng cho một Tòa nhà siêu Kinh doanh.Liên hệ Tiến sỹ Thổ cư Mr. Bình 0856 968 656.Cơ hội lựa chọn trong 1000 căn nhà quận Đống Đa và MIỄN PHÍ 100% xem, kiểm tra quy hoạch, pháp lý, vay vốn ngân hàng, mua và sang tên sổ đỏ…",17/01/2022,Tin thường,batdongsan_so_com_vn_1673832794.5394483,,,,,,
"1,52 tỷ VNĐ",Hà Nội, 40m2," ĐẤT VUÔNG ĐẸP, KHU VỰC AN SINH TIỆN ÍCH KHÔNG THIẾU THỨ GÌ. - Đi từ ngã 4 Sơn Đồng vào mảnh đất chỉ khoảng mấy trăm mét, đi xe vài phút là đến nơi.- Diện tích 40m2 - Mặt tiền 3.6m, hậu 3.6m - Giá cực rẻ so với khu vực chỉ 1.52 tỷ.* Sổ đỏ vuông đẹp, pháp lý chuẩn mực.+ Liên hệ: Đinh Tiến - 0943.651.814Trân trọng!",05/01/2022,Tin thường,batdongsan_so_com_vn_1673832795.549746,, 3,, 3,,
"1,53 tỷ VNĐ",Hà Nội, 40m2,"CỰC HIẾM, ĐẦU TƯ ĐẸP, KHÁCH HÀNG THẬT NHANH THÌ MỚI CÒN. GIÁ TĂNG TỪNG NGÀY. Diện tích 40m2, MT 3.6m - GIÁ BẤT NGỜ 1.53 Tỷ (Gia lộc nhẹ). .  - Vị trí mảnh đất ở Yên Bệ cách Ngã 4 Sơn Đồng, Hoài Đức chỉ vài trăm mét. Khu vực An sinh tiện ích đầy đủ, cơ sở hạ tầng tiện ích không thiếu thứ gì. Mảnh đất đẹp, hiếm có khó tìm tại khu vực phát triển chóng mặt, đất lên giá từng ngày. - Sổ đỏ vuông đẹp. Vui lòng liên hệ để được cung cấp đầy đủ thông tin. + Liên hệ: Đinh Tiến - 0943.651.814Miễn trung gian, môi giới.Trân trọng!",10/01/2022,Tin thường,batdongsan_so_com_vn_1673832796.7575147,, 3,, 3,,
