price,address,Diện tích,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Hướng,Mặt tiền,Số toilet,Lộ giới
"4,5 tỷ VNĐ","Bán nhà riêng Trần Phú, Hà Đông, 2 thoáng, đẹp lung linh, 48m, nhỉnh 4 tỷ.", 48m2, 4, 4," # Bán nhà riêng Trần Phú, Hà Đông, nhà đẹp lung linh, xem là mê, về ở ngay, an ninh, an sinh đỉnh. DT 38/48m2T1, 4T. Giá chỉ 4.5 tỷ.  + Vị trí thuận tiện nằm cạnh KĐT Văn Quán, xung quanh tập trung nhiều trường Đại Học, phố trung tâm tiện ích và tiềm năng.  + Ngõ thông rộng, xe ba gác tránh SH, vài chục mét ra đường ô tô, gần nhiều bãi gửi xe ô tô.  + Nhà chủ tự xây mới 4 tầng khung cột chắc chắn, thiết kế phong cách hiện đại, các phòng to rộng thoáng sáng, tràn ngập ánh sáng tự nhiên.  + Giá 4.5 tỷ có ra lộc cho khách thiện trí.  + Sổ đỏ vuông chính chủ, phong thủy đẹp.  + Để tham khảo thêm hàng 100 ngôi nhà mặt phố, vị trí kinh doanh, lô góc, đẹp độc lạ, những khu đất vượng khí đón tài lộc giá từ 3 đến 40 tỷ.  # LH SĐT: 0906113879 Tình nhà phố ( chuyên nhà đẹp, nhà phố, nhà tiềm năng, dòng tiền, có uy tín trong giới nhà đất quận Hà Đông, Hà Nội ).",22/02/2022,Tin thường,batdongsan_so_com_vn_1673831835.9584625,,,,
75 triệu VNĐ/m2,"Sơn Đồng, Hoài Đức, Hà Nội", 85m2, 4, 4,"DUY NHẤT 150 CĂN SHOPHOUSE SƠN ĐỒNG CENTER - HOÀI ĐỨC Chỉ từ 75 triệu/m2 sở hữu Shophouse Hà Nội ĐÓN ĐẦU quy hoạch Hoài Đức lên Quận trước năm 2023 Tâm điểm vàng đường SONG PHƯƠNG Bàn giao 4 tầng hoàn thiện mặt ngoài Pháp lý minh bạch, SỔ ĐỎ lâu dài Hỗ trợ lãi suất 0% trong 12 tháng Tặng 5 chỉ VÀNG 9999 ",22/02/2022,Tin thường,batdongsan_so_com_vn_1673831837.4475198, Đông bắc, 6, 3,
8 tỷ VNĐ,Lê Trọng Tấn - Thanh Xuân - Hà Nội, 50m2, 5,,"Bán nhà phân lô Lê Trọng Tấn, quận Thanh Xuân 50m2, 5 tầng, GARA OTO, đẹp ở ngay, 8 tỷ. Vị trí: Cực đắc địa, nhà phân lô, gần phố, dân trí cao, vài bước sang Đống Đa. Tiện ích: Vài bước sang đại học Y Hà Nội, Bệnh viện đại học Y Hà Nội, bệnh viện Bưu Điện, bảo tàng phòng không không quân, Big C Lê Trọng Tấn, nhà đẹp ở ngay, oto đỗ cửa vào nhà tuyệt vời. Thiết kế: 5 tầng. T1: Gara, vệ sinh. T2,3,4: Mỗi tầng 2 ngủ. T5: Phòng thờ, sân phơi. Nóng lạnh, điều hòa đầy đủ. Giao thông: Lê Trọng Tấn kết nối Trường Chinh, Hoàng Văn Thái, Nguyễn Lân, Tôn Thất Tùng, Ngã Tư Sở, Ngã Tư Vọng…vv. Pháp lý: Sổ đỏ phân lô chính chủ sẵn sàng thương lượng. Liên hệ: 0902253303. Minh Hoàng.",22/02/2022,Tin thường,batdongsan_so_com_vn_1673831838.612363,, 4,,
"10,7 tỷ VNĐ","Truong Chinh, Thanh Xuan, Ha Noi.", 70m2, 5, 9,"HẠ CHÀO CỰC SỐC 11.5 TỶ còn 10.7 TỶ. CHUNG CƯ MINI ÔTÔ 9 PHÒNG ĐỐNG ĐA QUẬN DÒNG TIỀN 45 TRIỆU. S: 70m2 x 5 tầng, mặt tiền 4m.  Mô tả: + Ô tô đỗ cửa, nhà cực gần mặt phố, ôtô đi ngõ Trường Chinh vào. + Nhà hiện có tổng 9 căn hộ chung cư mini đầy đủ tiện ích, vệ sinh khép kín, tivi, điều hòa, bếp, giường, tủ,... + Tổng kinh doanh cho thuê 9 căn hộ dòng tiền 45 triệu hàng tháng. + Gia chủ đầu tư sửa sang lại nhà, nâng cấp nội thất cực kì lung linh.  + Sổ sẵn sàng giao dịch ngay.  Chỉ 10.7 tỷ có thương lượng. Liên hệ: Vân Anh nhà đẹp mặt phố: 0949 – 518 – 288 - Chuyên BĐS đất thổ cư. (Miễn Môi giới)",22/02/2022,Tin thường,batdongsan_so_com_vn_1673831839.6575768,, 4, 9, 5
11 tỷ VNĐ,Phạm Tuấn Tài, 58m2,,,"Vị trí đẹp, 2 mặt tiền, sổ phân lô vuông vắn, nhà chủ tự xây tâm huyết, còn mới đẹp về ở ngay. Đường trước nhà 2 oto tránh, oto dừng đỗ ngày đêm. Xung quanh tiện ích vô vàn, hàng xóm thân thiện. Khu dân trí cao, an ninh tốt, gần chợ Sinh viên, gần trường Mầm non, Cấp 1, cấp 2, Cấp 3, gần nhiều ĐH lớn như: trường ĐH Điện Lực, ĐH Quốc Gia, ĐH Ngoại Ngữ...vài phút ra các tuyến phố lớn Cầu Giấy, Hoàng Quốc Việt, Trần Quốc Hoàn, Nguyễn Phong Sắc, Tô Hiệu, Nghĩa Tân, Phạm Văn Đồng, Nguyễn Văn Huyên,...Gần công viên, các trung tâm thương mại lớn, rạp chiếu phim...Sổ đỏ chính chủ sẵn sàng giao dịch. Trịnh Hiền 0963839587-0915999462 (gọi hoặc inbox 24/24) chuyên nhà thổ cư, sở hữu thông tin trên 10.000 căn nhà trên địa bàn Hà Nội, đủ các phân khúc giá tốt cần thanh khoản gấp. Miễn phí xem nhà, gặp chính chủ thương lượng giá. Hỗ trợ thủ tục pháp lý, sang tên chuyển nhượng, hỗ trợ vay vốn ngân hàng 24/7. Xin cảm ơn anh/ chị đã quan tâm tin đăng.",22/02/2022,Tin thường,batdongsan_so_com_vn_1673831840.7456565,,,,
"3,6 tỷ VNĐ","Kim Giang, Hoàng Mai, Hà Nội", 38m2,,,"Chính chủ bán nhà Kim Giang, diện tích 38m, giá 3.6 tỷ- Hàng xóm thân thiện dân trí cao.- Nhà gần Khu đô thị Linh Đàm, khu Shophouse Hải Ngân, chợ Quang, Bệnh viện Y hoc cổ truyền Quân đội.... Khu vực đang phát triển mạnh có nhiều tiện ích sân vận động, bể bơi, công viên văn hóa Chu Văn An 100 ha...- Bán kính 500m là trường học các cấp 1,2,3 và nhiều trường mầm non đạt chuẩn.- Sổ đỏ chính chủ, pháp lý rõ ràng, sẵn sàng giao dịch. Giá 3,6 tỷ có gia lộc.+ Liên hệ: Thành 0912525146",22/02/2022,Tin thường,batdongsan_so_com_vn_1673831841.9065516,,,,
"13,1 tỷ VNĐ",Hà Nội, 60m2,,,"Diên tích 60m2, mặt tiền 6m, xây 7 tầng thang máy nội thất cao cấp. + Cực hiếm nhà bán, quanh năm chỉ có một nhà . + Vị trí thuộc khu vực VIP Hà Nội, nằm trong khu dành cho các cán bộ cao cấp ngành an ninh, công an nên rất an ninh và yên tĩnh thoáng mát. + Bên cạnh là các tòa chung cư cao cấp TTTM lớn thông các phố Nguyễn Tuân, Nguyễn Trãi, Vũ Trọng Phụng... - Nằm ngay sát hai trục đường lớn vành Đai 3 Khuất Duy Tiến và Lê Văn Lương, thuận lợi về mọi giao thương kinh doanh thương mại.Đường trước nhà 10m, vỉa hè to để xe thoải mái, lô góc thoáng vĩnh viễn vị trí đất vàng thổ nhưỡng cực vượng khí (đất quan). - Sổ vuông đẹp. - Giá chào bán: 13.1 tỷ thương lượng.Khách quan tâm vui lòng liên hệ: Nguyễn Thanh.SĐT:  0366 555 258.",22/02/2022,Tin thường,batdongsan_so_com_vn_1673831842.9078715,,,,
"4,3 tỷ VNĐ",ngõ 176 Trương Định, 40m2, 5, 5,"Chuyển đổi tôi cần bán nhà  mới xây được 2 năm ngõ 104 Nguyễn An Ninh đi thông sang 176 Trương Định, Hai Bà Trưng,Hà Nội.DT 40m2 x 5 tầng, giá 4.3 tỷ.Nhà xây dựng 40m2 x 5 tầng,  nhà đẹp không lỗi phong thủy. Thiết kế có giếng trời lấy ánh sáng và không khí vào phòng. để lại toàn bộ nội thất.-Thiết kế bao gồm - Tầng 1: Phòng khách, bếp ăn riêng biệt, WC.- Tầng :2,3: Mỗi tầng 2 phòng rộng, 1 WC.- Tầng 4:1 phòng ngủ, phòng thờ-Tần 5: sân phơi và vườn trồng cây.Khu dân trí cao, an ninh tốt, hàng xóm thân thiện, tiện chợ gần trường học bệnh viện, cách ĐH Kinh Tế, Bách Khoa, Xây Dựng 1km, ngõ trước nhà 2 xe tránh nhau thoải mái.Sổ đỏ chính chủ. Giá 4.3 tỷ (có thương lượng) Liên hệ chị Yến ĐT:0702138238",22/02/2022,Tin thường,batdongsan_so_com_vn_1673831844.0218923, Tây, 3, 3, 3
"6,3 tỷ VNĐ",ngõ 136 Nguyễn An Ninh, 55m2, 5, 6,"Bán nhà Phân lô Cán bộ  Nguyễn An Ninh, thông sang Trần Đại Nghĩa,  Hà Nội.Diện tích 55m2, 5 tầng mới đẹp, 2 mặt thoáng trước sau xây dựng khung cột bê tông, móng bè chắc chắn. Nội thất cao cấp, chính hãng, trang trí ấm cúng bắt mắt, trần thạch cao, chỉ nẹp gỗ, đèn led trang trí hiện đại, tiết kiệm điện- Tầng 1: Phòng Khách, vệ sinh, bếp ăn- Tầng 2,3,4: Mỗi tầng 2 phòng ngủ rộng có điều hòa, vệ sinh các tầng đã lắp bình nóng lạnh  - Tầng 5: Phòng thờ, sân phơi trước sau. Vị trí đắc địa mặt ngõ rộng ô tô gần nhà, cách phố Nguyễn an Ninh 50m, gần đường Trần Đại Nghĩa kéo dàiGiao thông thuận tiện, thông các ngả.Xung quanh có đầy đủ mọi tiện ích: Trường Mầm Non Tương Mai, trường 10-10, Trường Cấp 1,2 Tân Định. Cách Trường Bách Khoa, Xây Dựng, Kinh Tế, gần nhiều bệnh viện lớn như Bạch Mai, Việt PhápSDCC, giá 6.3 tỷ có thương lượng liên hệ chị Yến ĐT:0702138238",19/02/2022,Tin thường,batdongsan_so_com_vn_1673831845.3663387, Đông nam, 3, 4, 3
"5,45 tỷ VNĐ",ngõ 101 Thanh Nhàn, 55m2, 4, 4,"Bán căn nhà dân ngõ 101 Thanh Nhàn, phường Quỳnh Lôi, HBT. ngõ thông sang 167 Thanh Nhàn, Ngõ Quỳnh, có sân cổng riêng cực đẹp.Cách phố chỉ 50m- Diện tích 55m2, nhà dân xây 4 tầng, thiết kế có sân riêng để xe. nhà xây kiểu biệt thự Mini, phía sau có tiểu cảnh:+ Tầng 1: Sân cổng để xe, Phòng khách, phòng bếp, wc phụ, tiểu cảnh.+ Tầng 2, 3: Mỗi tầng 2 phòng ngủ rộng + WC.+ Tầng 4: Phòng thờ + sân phơi.- Nội thất được gia đình lựa chọn kỹ lưỡng gồm: Cầu thang đá, tủ bếp gỗ sồi Nga, thiết bị vệ sinh ToTo, trần thạch cao phòng khách, phòng ngủ, các phòng được lát sàn gỗ công nghệ Đức.- Nhà nằm trong khu vực cán bộ dân trí cao, an ninh tốt. Gần công an, UBND phường, chợ, trường mầm non, tiểu học và các trường đại học.- Giá bán: 5.45 tỷ (có thương lượng) bao phí sang tên sổ đỏ. liên hệ chị Yến ĐT:0702138238",19/02/2022,Tin thường,batdongsan_so_com_vn_1673831849.5869393, Đông nam, 3, 4, 3
