price,address,Diện tích,Mặt tiền,Số tầng,Details,Ngày đăng,Loại tin,id,Lộ giới,Số phòng ngủ,Số toilet,Hướng
"8,6 tỷ VNĐ",lê trọng tấn hà đông hà nội, 50m2, 4, 5,"Bán liền kề dịch vụ giếng sen Văn Khê Hà Đông Hà Nội Diện tích : 50m2 Nhà 5 tầng thiết kế đẹp nội thất đầy đủ,có thang máy .ô tô đỗ trong nhà Mặt tiền : 4m Giá 8,6 tỷ Liên hệ : A Thận: 0971389666",14/08/2022,Tin thường,batdongsan_so_com_vn_1673808795.8822417,,,,
"9,8 tỷ VNĐ",Đường Quốc Lộ 35 phường Minh Phú, 1246m2, 40,,+ Do công việc thay đổi nên cần bán gấp đứa con tinh thần! Cho ai cùng Đam mê nên giá rất hợp lý!- Diện tích : 1426m2 . - Trục chính thôn Phú thịnh. Minh phú .Sóc Sơn. Hà Nội. - Vị trí tọa lạc tại ngay ngã ba ! Đường trước đất 6m . - Lô góc 2 mặt tiền . + Tặng ngay homtays xây thô và bản thiết kế đẳng cấp 5 sao! + Sổ đỏ nét đẹp công chứng trong ngày. giá thì cực rẻ . Bên cạnh bán 12-13tr . Lô này bán chỉ chưa đầy 8tr ! Quá tuyệt vời nếu như qúy khách hàng của em mua để làm homtays vừa nghỉ dưỡng vừa kinh doanh dòng tiền sinh lời cao! + Với rất nhiều tiềm năng cũng như dự án từ quốc gia .thành phố. Cấp huyện. Như đường vành đai 4 . Tái định cư sân bay. Khu công nghiệp sạch….v v! + Nhanh tay gọi em Lộc để xem đất và làm việc chính chủ!Holine : 0368898638,14/08/2022,Tin thường,batdongsan_so_com_vn_1673808797.2186673,,,,
11 tỷ VNĐ,Đường Ngọc Lâm phường Ngọc Lâm, 75m2, 5, 4,"Bán nhà em MP Ngọc Lâm 75m2 4t mt 5m giá 11 tỷ. Nhà lô góc mặt ngõ kinh doanh đỉnh, gara ô tô, gần phố.  + Phố Ngọc Lâm được ví như  Phố Cổ, kinh doanh sầm uất ngày đêm. + Vị trí nhà: Không lỗi phong thuỷ, thoáng, sáng, mát, vượng khí. Nhà nằm ngay cạnh tuyến đường 40m đi qua các con phố Hồng Tiến , Nguyễn Văn Cừ, Ngọc Lâm, Ngọc Thuỵ. Không hạn chế tầm view... nhà nội thất xịn, điều hoà âm trần. - Vị trí ngõ thông, ô tô vào nhà, gần phố ẩm thực Ngọc Lâm, qua cầu Chương Dương và Long Biên sang phố Cổ cực gần, rất thích hợp cho khách phố sang ở. - Nhà đẹp long lanh, khách xem là mê. + Pháp lý chuẩn, sổ đỏ chính chủ. +Giá: 11  tỷ (có thương lượng - ra lộc). Liên hệ: Mr Tính 0889388683889388683 CHUYÊN NHÀ ĐẸP - NHÀ PHỐ LONG BIÊN.",14/08/2022,Tin thường,batdongsan_so_com_vn_1673808798.5471356, 4, 4, 4,
"3,4 tỷ VNĐ",Ngõ 17 Phan ĐÌnh Giót, 30m2, 4, 4,"Chính chủ gửi bán nhà 4 tầng tại La Khê Hà Đông giá 3.4 tỷ lh: 0819508701 - Nhà 2 mặt thoáng trước sau phòng nào cũng tràn ngập ánh sáng công năng sử dụng hợp lí.- Đường trước mặt hai xe máy tránh nhau ngõ thông thoáng xe ba gác vừa. Ô tô đỗ cách 10m- Vị trí trung tâm, sầm uất, cách chợ, bia bà 100m.- Là khu dân trí cao, giao thông thuận tiện, tiện ích tràn ngập.-Nhà đước thiết kế 4 tầng với đầy đủ công năng sử dụng, khách mua chỉ việc xách vali quần áo về ở.- Tầng 1: Phòng khách, bếp, vệ sinh.- Tầng 2,3: 2 Phòng ngủ, vệ sinh khép kín- Tầng 4 : Phòng thờ kết hợp phòng ngủ và sân phơi.- Diện tích : 30m2, mặt tiền 4.16m- Hướng Tây Bắc- Giá bán: 3.4 tỷ- Sổ đỏ chính chủ, pháp lý chuẩn.- Ace quan tâm liên hệ cho Nguyên Anh: 0819508701 để biết thêm chi tiết và xem nhà miễn phí.",14/08/2022,Tin thường,batdongsan_so_com_vn_1673808800.2930253, 7, 3, 3, Tây bắc
130 tỷ VNĐ,Đường Chu Huy Mân phường Phúc Đồng, 325m2, 12, 4,"Cần bán gấp Biệt thự đơn lập thuộc dạng hiếm, độc nhất dự án Vinhomes Riverside khu Anh Đào: 325m2, 2 mặt  view sông cực thoáng.+ Biệt thự nằm trong phân khu cao cấp hàng đầu, khu đô thị sinh thái tốt nhất Thế giới với những kiến tạo tuyệt tác, đỉnh cao, nhằm thỏa mãn nhu cầu sống khác biệt của giới thượng lưu.+ Căn góc 2 mặt view trực diện sông - thuộc dạng hàng siêu hiếm.+ Biệt thự đơn lập, tổng diện tích 325m, diện tích xây dựng 130m, còn lại là sân vườn bao quanh, thiết kế 4 tầng, tầng chia 3 phòng, có hầm rượu và phòng karaoke tách biệt.+ Môi trường sống trong lành bao quanh bởi các đại tiện ích như trường học Vinschool, TTTM Vincom Long Biên. Tiện ích nội khu như đường dạo bộ, công viên khủng long, sân thể thao...+ Không gian sống đẳng cấp, mô hình Thành phố ven sông giao thoa hài hòa giữa thiên nhiên và con người.+ Sổ đỏ chính chủ, sẵn sàng giao dịch. Chi tiết xin liên hệ: Vũ Tuấn - chuyên bđs thổ cư, biệt thự, nhà phố Long Biên...theo số..   0399.o.27.o.11.o.14.o",14/08/2022,Tin thường,batdongsan_so_com_vn_1673808801.742218, 21, 4, 4,
"6,5 tỷ VNĐ",đường Mễ Trì, 70m2, 5, 4,"SIÊU PHẨM NHÀ ĐẸP, NGÕ THÔNG, LÔ GÓC CỰC THOÁNG, Ô TÔ ĐỖ CỬA, CHỖ ĐẬU Ô TÔ CÁCH 10MS = 70m2, 4 tầng, mặt tiền 5m, giá 6.5 tỷ + Nhà dân xây, 2 mặt ngõ, ô tô qua nhà. + Vài bước chân là ra mặt đường đôi Mễ Trì, 8 làn xe chạy , khu đô thị Mễ Trì, 300 ra KeangNam , sân Mỹ Đình , 10 phút ra bến xe Mỹ Đình , 3 bước chân ra Cầu Giấy,… + Thiết kế:  - Tầng 1:  Khách bếp.- Tầng 2,3: Mỗi tầng 2 ngủ wc khép kín.- Tầng 4: Phòng thờ sân phơi. + Sổ đỏ chính chủ, giao dịch ngay. * Liên hệ em Bình để xem nhà miễn phí.",14/08/2022,Tin thường,batdongsan_so_com_vn_1673808803.4795704, 5, 4,,
"3,9 tỷ VNĐ",Bùi Xương Trạch Khương Trung Thanh Xuân Hà Nội, 45m2,,,"+ Nằm ở vị trí gần ngay đầu phố Bùi Xương Trạch giao với phố Khương Hạ,  đi lại rất thuận tiện, tiện ích xung quanh ngập tràn ( 50m ra đến ngã ba phố).+ Bãi gửi xe oto gần nhà.+ Nhà xây mới tinh, tinh xảo từng chi tiết nhỏ nhất, nội thất cao cấp toát lên vẻ sang trọng và hiện đại cho ngôi nhà với đầy đủ công năng.+ Diện tích rộng gia chủ thiết kế tầng 1: Để xe, phòng khách và bếp.Tầng 2,3,4: Mỗi tầng 1 phòng ngủ, tổng 3 phòng ngủ.Tầng 5: Phòng thờ và sân phơi rộng rãi.+ Giá chào: 3.9 tỷ (Có thương lượng)+ Sổ đỏ chính chủ, sẵn sang giao dịch.Liên hệ: Mrs Phượng 0974352054 - Tư vấn tận tâm, miễn phí 24/24h (zalo, Fb) , hỗ trợ tư vấn Pháp lý, vay vốn.",14/08/2022,Tin thường,batdongsan_so_com_vn_1673808807.2729907,,,,
"5,35 tỷ VNĐ","Thanh Bình, Mỗ Lao, Hà Đông", 49m2, 3, 5,"Bán Nhà Thanh Bình – Hà Đông, Mới Đẹp, Ở Luôn ,  Ngõ Xe 3 Gác, 49m2x5T, Chỉ 6.35 Tỷ.Vị trí: Nhà ở ngõ 18 phố Thanh Bình, khu trung tâm quận Hà Đông, tiện ích xung quanh không thiếu thứ gì, ngõ thông các ngả, đường Thanh Bình hiện đang được kè bờ sông Nhuệ, và có dự án mở rộng với 4 làn xe tránh nhau, tương lai trở thành nhà mặt phố. Xung quanh gần nhiều trường cấp 1,2,3, gần bệnh viện Quân Y 103, Bệnh Viện Đa Khoa Hà Đông, bệnh viện YHCT Tuệ Tĩnh, giáp khu đô thị Mỗ LAO.Thiết kế: Nhà xây 5 tầng bê tông cốt thép chắc chắn.Nhà thiết kế tổng 5 phòng ngủ, 4 vệ sinh, tầng 5 làm phòng thờ + sân phơi, tầng 1 là bếp + để xe.Pháp lý: Sổ đỏ chính chủ giao dịch ngay.Liên hệ trực tiếp 24/7 để đi xem nhà miễn phí.    - Mr Luyện thổ cư: 0911779569- Chuyên Nhà đất Thổ cư các phân khúc từ 1 tỷ đến trên 100 tỷ. “TRAO GỬI NIỀM TIN_ NHẬN LẠI YÊU THƯƠNG”",14/08/2022,Tin thường,batdongsan_so_com_vn_1673808809.6028993, 2, 5, 3, Đông nam
"4,5 tỷ VNĐ",Đường Giáp Bát phường Giáp Bát, 30m2, 4, 5,"+ Nhà 2 thoáng vĩnh viễn, ánh sáng ngập tràn + Diện tích 30M, Giá chào 4.5 Tỷ ( có thương lượng ) + T2,3,4: 3 ngủ, 3 Vs + Lh xem nhà: 0981392623 miễn TG ",14/08/2022,Tin thường,batdongsan_so_com_vn_1673808810.8576362, 3, 4, 4,
"3,15 tỷ VNĐ",Đường Lê Trọng Tấn phường La Khê, 50m2, 4, 5,"
    



💥NHÀ ĐẸP LÊ TRỌNG TẤN LA KHÊ Ở LUÔN Nhà 4 tầng đẹp, chắc chắn khách mua về ở luôn. Nhà sạch đẹp, chủ tặng 2 điều hòa cho khách, có sẵn tủ bếp, thiết bị wc mới tốt.Giao thông tuận tiện thông các ngả đường Lê Trọng Tấn, Ngô Thì Nhậm, Quang Trung, Ngô Đình Mẫn, Phan Đình Giót…Sổ đỏ chính chủ",14/08/2022,Tin thường,batdongsan_so_com_vn_1673808812.223072, 1, 3, 5,
