price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Lộ giới,Hướng
16 tỷ VNĐ,Hà Nội, 72m2,"Bán nhà phố Trung Kính quận Cầu Giấy, kinh doanh tốt. - Nhà phân lô rộng đẹp, thoáng, ô tô tải đỗ ngày đêm, tránh nhau di chuyển dễ dàng thuận lợi. - Vị trí đắc địa, khu vực phát triển, sầm uất, văn minh, an ninh tốt.tiện ích xung quanh đầy đủ.Giữa các tuyến đường lớn Trung Hòa, Trần Duy Hưng, Nguyễn Thị Định, Lê Văn Lương, Hoàng Đạo Thúy, Nguyễn Chí Thanh... - Tuyến phố hiếm nhà bán, giá trị tăng nhanh và có lợi thế đầu tư, tiện vừa ở vừa kinh doanh. - Diện tích 72 m2, 6 tầng thang máy. - Pháp lý chuẩn, sổ đỏ chính chủ sẵn sàng giao dịch.Giá chào bán chỉ 16 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn. Liên hệ ngay, miễn trung gian, môi giới - 0856 968 656.",16/05/2022,Tin thường,batdongsan_so_com_vn_1673824708.0391452,,,,,,
18 tỷ VNĐ,Hà Nội, 71m2,"Chính chủ bán nhà Nguyễn Thị Định, kinh doanh tốt.Diện tích 71m2, 6 tầng thang máy, đường ô tô tải tránh, trước mặt thoáng nhìn ra vườn hoa.Thiết kế đẹp, tối ưu công năng, nội thất gỗ tự nhiên, thiết bị nhập ngoại chính hãng. Vị trí đẹp, không lỗi phong thủy, dân trí an ninh cao, phù hợp để ở, làm văn phòng, kinh doanh.. Giao thông thuận tiện Nguyễn Chí Thanh, Trung Hòa, Trung Kính, Đỗ Quang, Láng Hạ, Trần Duy Hưng…Giá chào chỉ 18 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Sổ đỏ chính chủ.Liên hệ ngay 24/7 - 0856 968 656.",16/05/2022,Tin thường,batdongsan_so_com_vn_1673824709.219986,,,,,,
,Nam Từ Liêm, 58m2,"Nhà đẹp ở ngay cách khu đô thị Mỹ Đình chỉ 200m, công viên hồ điều hoà 300m.Vị trí đẹp khu vực đông dân cử, kinh doanh đẹp, phù hợp tạp hoá, cafe.Chủ nhà cũ là giáo viên, xây ở nên rất chắc chắn.Thiết kế đầy đủ công năng, thang mày, nhà đang cho thuê 40triêu tháng.Sổ đỏ sẵn sàng giao dịch ngay.LH : xem nhà 0845681666 hoàn toàn miễn phí.",16/05/2022,Tin thường,batdongsan_so_com_vn_1673824711.0461004,,,,,,
"13,9 tỷ VNĐ",quang trung, 65m2,"+ Bán Nhà, Tố Hữu, Hà Đông Ô Tô Kinh Doanh 45m2 x 4 tầng, Mt5m. Giá 13.9 tỷ. LÔ GÓC 3 THOÁNG - VỈA HÈ ĐÁ BÓNG - KINH DOANH BẤT CHẤP - GIAO THÔNG THUẬN TIỆN - Nhà mặt phố giao thông quá thuận tiện. Nhà gần siêu thị, trường học, bệnh viện, chợ và các trung tâm thương mại lớn. - Chỉ nhỉnh 200 triệu/m2 mặt phố Quang Trung nhà 4 tầng quá hợp lý. - Nhà lô góc nên phòng nào cũng có ánh sáng tự nhiên và thoáng mát quanh năm. - Nhà khung cột chắc chắn chủ mới về trồng thêm 2 tầng thõa mái. - Nhà hướng Đông Nam mát mẻ về mùa hè, ấm áp về mùa đông. - Thiết kế 4 tầng: + Tầng 1, 2: thông sàn + wc + Tầng 3, 4: mỗi tầng 2 phòng ngủ + wc  + Sổ đỏ chính chủ, sẵn sàng giao dịch.  LH: E KHÁNH: 0984568179",15/05/2022,Tin thường,batdongsan_so_com_vn_1673824712.920509, 5, 4, 4, 4,,
"2,45 tỷ VNĐ","Ngõ 87 đường Trương Định, Hai Bà Trưng, Hà Nội", 18m2,"Chính chủ bán nhà Ngõ 87 đường Trương Định, Hai Bà Trưng, Hà NộiDiện tích: 18m2 - Nhà cách 8m ra đường Trương Định- Nhà xây 3 tầng, 1 lửng gồm có: 3 phòng ngủ, 3 vệ sinh- Gần trung tâm thương mại Chợ Mơ, Vincom, TimeCity, gần bệnh viện Bạch Mai, Thanh Nhàn, Việt Pháp- Gần các trường Đại học lớn Kinh tế quốc dân, Bách Khoa, Xây Dựng... 5 phút lên Hồ Hoàn Kiếm!Giá bán: 2,45 tỷ - Sổ đỏ chính chủChính chủ: 0878131366 - Miễn trung gian, môi giới.  Nguồn:  http://nhadathanoi.net.vn",15/05/2022,Tin thường,batdongsan_so_com_vn_1673824714.9113872,, 4, 3, 3,,
,My Dinh Nam Tu Liem, 70m2,"Nhà mặt phố Mỹ Đình, Nam Từ Liêm, 70m 3 MT9,6m thoáng giá rẻ nhất khu vực.Đường rộng oto tránh nhau thoải mái, kinh doanh sàm uất, nhiều tiện ích xung quanh.Nhà cấp 4 đang cho thêu 120 triệu năm.Phù hợp nhiều ngành nghề kinh doanh. Sổ đỏ pháp lý chuẩn giao dịch ngay.Giá 9,8 tỷ.LH : xem nhà 0845681666.",15/05/2022,Tin thường,batdongsan_so_com_vn_1673824715.797002,,,,,,
"5,3 tỷ VNĐ",Đường Phùng Chí Kiên phường Nghĩa Đô, 34m2,"Siêu hót. Trung tầm Cầu Giấy, Phùng Chí Kiên 6 tầng Thang máy, nhà đẹp ở luôn chỉ 5,3 tỷ.- Bán nhà phố Phùng Chí Kiên, vị trí nằm trung tâm Cầu Giấy nhà cực đẹp lô góc 6 tầng thang máy chạy vù vù. Nhà chủ xây cực chắc chắn nội thất xịn xò, ngõ trước nhà ba gác đỗ cửa xung quang là tổ hợp tác trường Đại Học lớn như Báo Chí, Sư Phạm, Quốc Gia, Thương Mại...tiện ích vô vàn. - Thông số 34m2 6 tầng. Nhỉnh 5 tỷ nhà có thang máy là cực hiếm . - Sổ đỏ đẹp chính chủ sẵn sàng giao dịchLh tôi Diện 0963909350 hỗ trợ AC mua được giá tốt nhất.",15/05/2022,Tin thường,batdongsan_so_com_vn_1673824716.7424808, 4, 6, 4, 4, 2,
100 triệu VNĐ/m2,"ngõ 62 Linh Lang, Cống Vị, Ba Đình, Hà Nội", 43m2,"Chính chủ bán nhà ngõ 62 Linh Lang, Cống Vị, Ba Đình, Hà NộiDiện tích: 43m2 - Nhà hướng Nam - Ngõ rộng ô tô đỗ cửa- Nhà mặt tiền rộng thoáng mát, bao gồm 1 phòng ngủ, 1 wc, phòng khách, bếp- Nhà đã có điều hòa, nóng lạnh, có giường ngủ- - Nhà thông sang ngõ 12 hoặc 36 Đào tấn đều được - Nhà gần chợ Linh Lang, gần Lotte, trường học, bệnh viện, giao thông sinh hoạt thuận tiện.- Khu dân cư an ninh tốt, hàng xóm thân thiện. Giá bán: 100 Triệu/m2Liên hệ : Cô Dư: 0912686655  Nguồn:  http://nhadathanoi.net.vn",15/05/2022,Tin thường,batdongsan_so_com_vn_1673824718.054967,,,,,, Nam
"2,5 tỷ VNĐ","Phố Phương Mai, Đống Đa, Hà Nội", 54m2,"Chính chủ bán căn hộ tầng 2 trong tòa nhà 3 tầng Phố Phương Mai, Đống Đa, Hà Nội- Diện tích: 54 m²-  Căn hộ thiết kế gồm 2 phòng ngủ, 1 phòng khách, 1 phòng bếp, 1wc.- Chủ mới chỉ việc vào ở, Tặng lại đồ gỗ và đồ điện.- Khu nhà có vị trí thuận lợi, gần trường tiểu học và THCS, gần bệnh viện Bạch Mai, bệnh viện Việt Pháp, gần trường ĐH Xây Dựng, ĐH Bách khoa, ĐH Kinh Tế Quốc Dân, gần chợ, đường đi rộng 5m- An  ninh vô cùng tốt, dân cư văn minh, thân thiện- Giá bán: 2,5 tỷ ( Có thương lượng )- Liên hệ chủ nhà: 0902154178 - Sổ đỏ chính chủ   Nguồn:  http://nhadathanoi.net.vn",15/05/2022,Tin thường,batdongsan_so_com_vn_1673824719.0144002,, 2, 2, 1,,
"4,15 tỷ VNĐ",Vương Thừa Vũ, 38m2,"+ Vị trí: - Nằm trong khu phân lô quân đội, ngõ thông tứ bề, gần trường học các cấp, dân trí cao, an ninh tốt. - Nhà khung bê tông chắc chắn, chất lượng tốt. + Thiết kế: - Tầng 1: Phòng khách + bếp + wc. - Tầng 2,3: Mỗi tầng 2 phòng ngủ + wc. - Tầng 4: Phòng thờ + sân phơi. + Sổ đỏ đẹp, sẵn sàng giao dịch. - Giá: 4.15tỷ ( Còn thương lượng) miễn trung gian. + LH: 0912918139 – Trần Anh ( Để được tư vấn và xem nhà miễn phí).",15/05/2022,Tin thường,batdongsan_so_com_vn_1673824720.2141922,,,,,,
"4,8 tỷ VNĐ",Vũ Tông Phan, 40m2,"+ Vị trí: - Nhà ở trong khu vực yên tĩnh, 2 mặt thoáng trước sau, ngõ thông, rộng thoáng, giao thông thuận tiện. + thiết kế: - Tầng 1: Phòng khách + bếp + sân để xe. - Tầng 2,3: Mỗi tầng 2 phòng ngủ vệ sinh khép kín. - Tầng 4: Phòng thờ + sân phơi. - Giá: 4.8tỷ (còn thương lượng) + LH: 0912918139 – Trần Anh ( Để được tư vấn, xem nhà miễn phí).",15/05/2022,Tin thường,batdongsan_so_com_vn_1673824721.4488878,,,,,,
"7,9 tỷ VNĐ","Giảng Võ, Ba Đình, Hà Nội", 80m2,"Bán nhà hiếm trung tâm Giảng Võ Ba Đình – 4 tầng – 80m2 – Chỉ 7.9 tỷ. TRUNG TÂM GIẢNG VÕ– GẦN PHỐ - NHÀ ĐẸP - NGÕ THẲNG RỘNG - CỰC HIẾM NHÀ BÁN !+ Cách phố Giảng Võ chỉ 29m.+ Khu vực trung tâm quận Ba Đình tiếp giáp với quận Đống Đa. Gần đài truyền hình Việt Nam, hồ Giảng Võ, gần nút giao thông Láng Hạ, Đê La Thành, Nguyễn Chí Thanh, Thành Công, Giảng Võ. + Khu dân chí cao, an sinh tuyệt vời, hiếm nhà bán, an ninh tốt nhất quận Ba Đình.+ Nhà xây 4 tầng, thoáng trước sau, khoảng sân riêng trước nhà rộng để xe thoải mái, Nhà chủ xây được chục năm, khung cột chắc chắn. Nội thất sang chảnh, xịn sò.+ Thiết kế.Tầng 1: Khách, bếp và sân để xe.Tầng 2: 2 phòng ngủ rộng và 1 phòng phụ.Tầng 3: 2 phòng ngủ rộng khép kín.Tầng 4: Phòng thờ, sân phơi.Khách quan tâm liên hệ Mr Đức: 0857619534.",15/05/2022,Tin thường,batdongsan_so_com_vn_1673824722.9608784,, 4, 5,,,
