price,address,Diện tích,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số toilet,Lộ giới,Hướng
"7,8 tỷ VNĐ","Sơn Đồng, Hoài Đức, Hà Nội", 86m2,,,"☑️Trực tiếp phân phối-phát triển dự án Sơn Đồng Center. Thông tin dự án.- Dự án: Khu đấu giá làng nghề Sơn Đồng, Hoài Đức.- Tên thương mại: Sơn Đồng Center.- Vị trí: Xã Sơn Đồng, H. Hoài Đức, Tp. Hà Nội.- Chủ đầu tư: MB Land Invest.- Tổng diện tích: 25.837m2.- Số lượng: 150 căn liền kề.- Diện tích từ: 70m2 - 103m2.- Xây dựng: 4.5 tầng.- Loại hình: Liền kề, Shophouse.- Bàn giao: Xây thô hoàn thiện ngoài.- Hạ tầng đã xong, hiện đang xây thô - sổ đỏ chính chủ - đất ở lâu dài.- Cơ hội đầu tư bất động sản ven đô lượi nhuận x2. ———-------------------------------- ✔️ Liên hệ Hotline: : 0779273787",22/04/2022,Tin thường,batdongsan_so_com_vn_1673827026.388182,,,,
"7,8 tỷ VNĐ","Sơn Đồng, Hoài Đức, Hà Nội", 86m2,,,"☑️Trực tiếp phân phối-phát triển dự án Sơn Đồng Center. Thông tin dự án.- Dự án: Khu đấu giá làng nghề Sơn Đồng, Hoài Đức.- Tên thương mại: Sơn Đồng Center.- Vị trí: Xã Sơn Đồng, H. Hoài Đức, Tp. Hà Nội.- Chủ đầu tư: MB Land Invest.- Tổng diện tích: 25.837m2.- Số lượng: 150 căn liền kề.- Diện tích từ: 70m2 - 103m2.- Xây dựng: 4.5 tầng.- Loại hình: Liền kề, Shophouse.- Bàn giao: Xây thô hoàn thiện ngoài.- Hạ tầng đã xong, hiện đang xây thô - sổ đỏ chính chủ - đất ở lâu dài.- Cơ hội đầu tư bất động sản ven đô lượi nhuận x2. ———-------------------------------- ✔️ Liên hệ Hotline: : 0779273787",22/04/2022,Tin thường,batdongsan_so_com_vn_1673827027.8592484,,,,
"3,45 tỷ VNĐ","Phố Đức Diễn, Phúc Diễn, Bắc Từ Liêm, Hà Nội.", 36m2, 5, 4,"* Bán nhà xây mới cực đẹp (mệnh danh biệt thự 5 tầng giữa phố Đức Diễn). Vị trí đắc địa nằm cạnh trục đường 32. Cạnh đường trên cao, đường lớn Cầu Diễn, Đức Diễn thuận tiện cho việc đi lại. Nhà căn góc 2 mặt thoáng cực kì đắc địa để An Cư, Hưng Thịnh.  -------------- * Thiết kế và công năng: Tân cổ điển sang trọng.   - Diện tích: Nhà 36m2, xây mới 5 tầng. - Tầng 1: Phòng Khách. Phòng ăn + Bếp. - Tầng 2, 3, 4 : Mỗi tầng 1 phòng ngủ Master, vệ sinh. - Tầng 5: Phòng thờ, sân phơi. Tiểu cảnh ngoài trời. * Vị trí: - Vị trí đắc địa cạnh trục đường lớn 32 (Văn Tiến Dũng), đường Đức Diễn, đường Cầu Diễn, đường trên cao,…thuận tiện đi lại và sinh hoạt. - Nhà tọa lạc gần khu trung tâm hành chính với quận Bắc Từ Liêm. Công An phường,… nên an ninh rất tốt. - Vị trí nhà gần trường Mầm Non, tiểu học Phúc Diễn. THCS Phúc Diễn, THCS Phú Diễn A, tiểu học Phú Diễn,…thuận tiện cho gia chủ An Cư, Hưng Thịnh. * Nội thất: - Nội thất cao cấp chính hãng: Cửa chính, cửa thông phòng, tay vịn và bậc cầu thang được làm bằng gỗ Lim tỉ mỉ. Các sàn được làm gỗ Malaysia. - Nội thất thiết bị: Tủ bếp Acrylic An Cường, công tắc, thiết bị điện Panasonic, dây điện Trần Phú,…đầy đủ các thiết bị điện. * Pháp lý: Sổ đỏ chính chủ, giấy phép xây dựng, pháp lý rõ ràng. * Giá chỉ: 3.45 tỷ (có thương lượng, bao sang sổ). * Liên hệ ngay anh Tuấn: 0964 357 352 (Miễn MG, TG).",22/04/2022,Tin thường,batdongsan_so_com_vn_1673827029.154782, 4, 4, 3,
"4,95 tỷ VNĐ","Xuân Thủy, Cầu Giấy", 35m2, 7,,"+ Nhà mới đẹp long lanh, lô góc 2 mặt thoáng. DT: 35m2, 7 tầng, 5m mặt tiền, ô tô đỗ cửa, thang máy êm ru.+ Ô tô đỗ cửa, nhà thiết kế hiện đại, 200m ra mặt phố.+ Nhà gần nhiều trường học (mẫu giáo, tiểu học, trung học, đại học Sư Phạm HN, ĐH Báo chí,…)  , chợ Cầu Giấy, siêu thị Lotte, bệnh viện...., chỉ mấy phút ra các con đường lớn, Xuân thủy, Phạm Hùng, Tôn Thất Thuyết.+ Liên hệ em Đức Anh để xem nhà : 097 551 7689 – Zalo 0975517689",22/04/2022,Tin thường,batdongsan_so_com_vn_1673827030.5690396, 5,,,
"15,2 tỷ VNĐ",Hà Nội, 74m2,,,"Bán nhà đường Hoàng Văn Thái Thanh Xuân, kinh doanh - LH: 0856 968 656.Nhà xây rất đẹp, ngõ rộng, ô tô 7 chỗ vào nhà, kinh doanh sầm uất. + Dân trí cao, hàng xóm toàn người có chức sắc, con cái thành đạt. + Nhà 6 tầng thang máy, thiết kế hiện đại. + Diện tích 74 m2, mặt tiền 5 m. - Tầng 1: Gara ô tô, kinh doanh, vệ sinh. - Tầng 2, 3, 4, 5: Các phòng đẹp, vệ sinh. - Tầng 6: Phòng thờ, sân vườn tiểu cảnh. + Sổ vuông đẹp sẵn sàng giao dịch.Giá chào chỉ 15.2 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hệ ngay 24/7 - 0856 968 656.",22/04/2022,Tin thường,batdongsan_so_com_vn_1673827031.6900365,,,,
"2,58 tỷ VNĐ","đường Minh Khai, Hai Bà Trưng, Hà Nội", 25m2, 5, 3,"NHÀ ĐẸP Ở NGAY- GẦN Ô TÔ – SỔ HOA HẬUS = 25m, mt 4m, giá 2.58 tỷ * Rẻ nhất trong phân khúc giá, không thể tìm thấy căn nhà nào tốt hơn. - Ngõ trước nhà rộng thoáng, cách đường ô tô chỉ 40m. - Nhà 5 tầng, mỗi tầng 1 phòng, tầng 5 là phòng thờ, sân phơi. - Giao thông: Minh Khai, Mai Động, Đại La, Tam Trinh, Time City, … * Sổ đỏ vuông đẹp, bán gấp trong tuần. * Lh: 0345752279, miễn môi giới. ",22/04/2022,Tin thường,batdongsan_so_com_vn_1673827032.9048374, 4,,,
"5,7 tỷ VNĐ","Bán nhà riêng Phương Mai, Đống Đa 45m2, mt 4.2m đường nhựa ô tô tránh, giá 5.7 tỷ", 45m2, 4, 4,"GIÁ NÀO CŨNG BÁN – TẶNG NỘI THẤTS = 45m2, mặt tiền 4.2m, giá 5.7 tỷ Mô tả: + Vị trí: Phố Phương Mai, Đống Đa. + Giao thông tuyệt vời, bán kính 500m là các bệnh viện lớn: Bệnh viện Bạch Mai, bệnh viện Lão Trung Ương, bệnh viện Da Liễu Trung Ương, Bách Kinh Xây, đường Giải Phóng,… + Trước nhà đường nhựa, ô tô đậu sát cửa, quay đầu. + Thiết kế: 4 tầng, 4 ngủ, sân phơi. Công năng sử dụng hoàn hảo. + Chủ chào giá 5.7 tỷ, giá chốt thực tế bất ngờ. + Sổ đỏ phân lô sẵn sàng giao dịch. * Liên hệ ngay em Bình, 0345752279 để được tư vấn và xem nhà miễn phí mọi khung giờ! * Môi giới bỏ qua bài viết.",22/04/2022,Tin thường,batdongsan_so_com_vn_1673827033.9500475, 4,,,
"3,3 tỷ VNĐ",Hà Cầu- Hà Đông, 37m2, 5,,"Bán nhà ngõ ô tô, 37m, 5 tầng, nội thất xịn, Hà Cầu, Hà Đông Tôi cần bán nhanh nhà đẹp vài bước ra chợ lớn Hà Đông, xung quanh toàn cán bộ công chức nhà nước, mặt ngõ thông, ô tô chạy vòng quanh, nhà xây kiên cố với 5 tầng thoáng sáng, đầy đủ công năng, khu vực dân trí cao, yên tĩnh, chỉ hơn 3 tỷ quá hiếm. Xung quoanh là các trường học, ngân hàng, siêu thị, chợ dân sinh, công viên,...không thiếu thứ gì. Giao thông thuận tiện đi các hướng: phía bắc giáp Đa Sỹ, Phía Tây giáp với Lê Lợi thông ra Bà Triệu, cạnh Khu đô thị Văn Phú, gần Phúc La và các bệnh viện lớn Học viện quân y 103,... Sổ đỏ vuông như tờ A4, sẵn sàng giao dịch. Giá: 3.3 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",21/04/2022,Tin thường,batdongsan_so_com_vn_1673827034.9334157,,,,
"3,31 tỷ VNĐ",Vạn Phúc- Hà Đông, 37m2,,,"Nhà đẹp Vạn Phúc, Hà Đông, ngõ ô tô thông, 37m, nội thất xịn, nhỉnh 3 tỷ Rất hiếm có nhà Vạn Phúc ngõ ô tô bán, vị trí đắc địa nhà đẹp dân xây kiên cố, các tầng thoáng sáng nhiều phòng rộng đẹp môi trường trong lành, dân đông văn minh. Vài bước ra ngân hàng, trường học, bệnh viện, khu vui chơi, chợ dân sinh, siêu thị...đường thông thoáng, mặt tiền rộng có thể vừa ở vừa kinh doanh nhỏ. Giao thông thuận lợi: phía Bắc di chuyển xuống Ngô Quyền, vài bước ra Yết Kiêu cạnh Bưu điện Hà Đông, lên trên giáp Mỗ Lao, sang đường ra Khu Đô Thị Văn Quán và trục chính Quang Trung,... Gia chủ là doanh nhân thành đạt, nhà rất có lộc ở phất lên từ đó, cần bán nhanh chuyển sang ở biệt thự rộng hơn, bán đi rất tiếc. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 3.31 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",21/04/2022,Tin thường,batdongsan_so_com_vn_1673827035.8939395,,,,
"3,31 tỷ VNĐ",Vạn Phúc- Hà Đông, 37m2,,,"Nhà đẹp Vạn Phúc, Hà Đông, ngõ ô tô thông, 37m, nội thất xịn, nhỉnh 3 tỷ Rất hiếm có nhà Vạn Phúc ngõ ô tô bán, vị trí đắc địa nhà đẹp dân xây kiên cố, các tầng thoáng sáng nhiều phòng rộng đẹp môi trường trong lành, dân đông văn minh. Vài bước ra ngân hàng, trường học, bệnh viện, khu vui chơi, chợ dân sinh, siêu thị...đường thông thoáng, mặt tiền rộng có thể vừa ở vừa kinh doanh nhỏ. Giao thông thuận lợi: phía Bắc di chuyển xuống Ngô Quyền, vài bước ra Yết Kiêu cạnh Bưu điện Hà Đông, lên trên giáp Mỗ Lao, sang đường ra Khu Đô Thị Văn Quán và trục chính Quang Trung,... Gia chủ là doanh nhân thành đạt, nhà rất có lộc ở phất lên từ đó, cần bán nhanh chuyển sang ở biệt thự rộng hơn, bán đi rất tiếc. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 3.31 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",21/04/2022,Tin thường,batdongsan_so_com_vn_1673827037.170524,,,,
