price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Hướng,Mặt tiền,Số phòng ngủ,Số toilet,Lộ giới
"3,3 tỷ VNĐ",Cầu Am- Hà Đông, 38m2, 5,"Nhỉnh 3 tỷ kinh doanh, ngõ thông, 38m, 5 tầng, ô tô gần, Cầu Am, Hà Đông Chỉ hơn 3 tỷ có nhà đẹp kinh doanh đa dạng, vị trí lý tưởng, đường trước nhà thoáng sáng, dân cư qua lại đông đúc, ngõ thông muôn nơi, ô tô rất gần, nhà còn rất mới vừa ở vừa kinh doanh, tầm tiền hiếm có. Giao thông di chuyển thuận lợi các phố : Ngô Quyền, Quang Trung, Văn Quán, Thanh Bình, Yết Kiêu, Chu Văn An, Nguyễn Trãi,... Bán kính xung quanh nhà đầy đủ tiện ích: nằm trong khuôn viên làng Lụa Vạn Phúc thơ mộng, gần các bệnh viện lớn Học viện Quân y 103, Viện Bỏng, gần khu đô thị Văn Quán hưởng nhiều lợi ích, ngân hàng, trung tâm mua sắm, siêu thị,...không thiếu thứ gì. Chủ nhà cần bán gấp đầu tư máy móc, nhà xưởng, nhà làm ăn rất có lộc. Giá: 3.3 tỷ ( có thương lượng). Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",28/02/2022,Tin thường,batdongsan_so_com_vn_1673831446.9629192,,,,,
15 tỷ VNĐ,Hà Nội, 67m2,,"Bán nhà lô góc phố Giang Văn Minh gara, thang máy, kinh doanh đỉnh - SĐT: 0366 555 258.Diện tích 67 m2, 6 tầng, khu vực kinh doanh đỉnh của đỉnh, dân trí cao, an ninh tốt, nhiều tiện ích.* Vị trí đắc địa phố Giang Văn Minh mới mở, ngõ phân lô, ô tô chạy vòng quanh thoáng rộng ô tô tránh nhau.* Thiết kế nhà mặt tiền quá rộng 7m, lô góc, tòa nhà cho thuê văn phòng, kinh doanh thì đỉnh của đỉnh.* Pháp lý: Sổ đỏ chính chủ, thương lượng trực tiếp với chủ nhà, sang tên liền tay.* Giá chào chỉ 15 tỷ thương lượng mạnh.* Liên hệ Nguyễn Thanh - 0366 555 258.* Trân trọng!",28/02/2022,Tin thường,batdongsan_so_com_vn_1673831448.1637075,,,,,
75 triệu VNĐ/m2,"Sơn Đồng, Hoài Đức, Hà Nội", 85m2, 4,"TỔNG QUAN☘️☘️ Chủ đầu tư: Mbland Invest☘☘Tên Dự Án: Sơn Đồng Center.🎋🎋 Vị trí: Mặt đường 422( song phương làng nghề Sơn Đồng, Sơn Đồng, Hoài Đức, Hà Nội.🌸 Mật độ xây dựng: 47,2%.🌼 Diện tích dự án: 25,837 m2.🌻 Loại sản phẩm: Shophouse, Liền kề. Với số lượng 150 Lô.🌞 Số tầng xây dựng: 4 tầng.🌺 Mức độ hoàn thiện: Bàn giao thô hoàn thiện mặt ngoài.🌟 Pháp lý: sở hữu sổ đỏ lâu dài👉 Chính sách bán hàng TỐT NHẤT dịp đầu năm:✨ Chỉ từ 75 triệu/m2 vay vốn ngân hàng tối đa 30 năm✨ Chiết khấu lên đến 5,5%✨ n hạn nợ gốc 24 tháng✨ Hỗ trợ lãi suất 0% trong 12 tháng✨ Dự án Sơn Đồng Center đang thu hút rất nhiều sự quan tâm từ các Nhà Đầu Tư.🏵🏵 Dự Án có vị trí đắc địa tại Làng Nghề Sơn đồng và giáp tuyến đường vành đai 3,5 đang xây dựng: Đem lại cho dự án một sức tăng về giá trị đất và giao thông kết nối.",28/02/2022,Tin thường,batdongsan_so_com_vn_1673831449.5809152, Đông bắc, 6, 3,,
"3,65 tỷ VNĐ",3 Nguyễn Huy Tưởng, 116m2,,"- Nằm khu trung tâm Thanh Xuân, chung cư Phú Gia số 3 Nguyễn Huy Tưởng, tiện ích bạn ngàn, vô vàn dịch vụ.- Tổng diện tích 116m2, 3 phòng ngủ to đùng.- Sổ đỏ chính chủ, giao dịch ngay để chuyển nhà mặt đất.- Kết nối: Nguyễn Tuân, Nguyễn Trãi, Lê Văn Lương, Ngụy Như Kon Tum, Khuất Duy Tiến,..",28/02/2022,Tin thường,batdongsan_so_com_vn_1673831450.731837,,, 3,,
"3,5 tỷ VNĐ",phố xuân đỗ long biên hà nội, 45m2, 4,"Nhà mặt ngõ Xuân Đỗ ÔTô - Kinh Doanh full Nội Thất xịn, DT43m, 4T, mt5m Chỉ nhỉnh 3Tỷ. Vị trí đẹp mặt ngõ ô tô dừng đỗ ,oto tránh 15m ,1 mặt tiếp giáp với đường 13m ,full nội thất toàn bộ cửa gỗ lim xịnThiết kế Tầng 1 :PK +Bếp +WCTầng 2 ,3 : mỗi tầng 2 phòng ngủ +WC Tầng 4 :Phòng thờ rộng +sân phơi ,tiểu cảnh  Sổ vuông đẹp  LH: M.Tiến 0965991583 chuyên đất thổ cư HN đẹp khách xem miễn phí tư vấn nhiệt tình  24/24.",28/02/2022,Tin thường,batdongsan_so_com_vn_1673831451.9525728,, 5, 4, 4,
80 triệu VNĐ/m2,Mai A Tuấn, 55m2,,"Như tiêu đề. Em khẳng định chuẩn 100%. -Khu cán bộ cao cấp ở.- vài  bước chân ra đến mặt hồ đống đa- Bước ra khỏi nhà là gặp phải gần 15 ngân hàng lớn.- Chất lượng xây dựng cao cấp, Đầy đủ giấy phép xây dựng đã hoàn công đầy đủ.Diện tích sổ đỏ 40 m2 xây dựng 45m2, nhà 5 tầng.Có thang máy. Giá bán 5.5 tỷ.https://zalo.me/0929197997",28/02/2022,Tin thường,batdongsan_so_com_vn_1673831453.0915241,,,,,
"2,8 tỷ VNĐ",Minh khai, 30m2, 3,"KINH DOANH - Ô TÔ DỪNG ĐỖ - HAI BÀ TRƯNG + Minh Khai 30 3 5.5 2.8 tỷ.+ Sổ đẹp cầm tay, sang tên trong 1 nốt nhạc. + Nhà thiết kế 3 tầng, 2 phòng ngủ rộng. + Gần các trường lớn, TTTM. Vừa ở vừa kinh doanh hay cho thuê và ở. Khu tập trung dân cư đông đúc kinh doanh mặt hàng gì cũng tiện.☎TUYẾT TTG : 038.998.9488 🙅‍♀️Miễn TG - MG.",28/02/2022,Tin thường,batdongsan_so_com_vn_1673831454.8074164,, 5, 2, 2,
"12,3 tỷ VNĐ","KĐT Định Công, Hoàng Mai, Hà Nội", 88m2,,"Tôi chủ nhà cần bán nhà KĐT mới Định Công, DT 88m2 x 4 tầng, giá 12,3 tỷ.- Đường hè trước nhà rộng 13m, ô tô đỗ, tránh nhau thoải mái, nhà gần bãi gửi xe, thông các ngả ra Giải Phóng, Trường Chinh, Lê Trọng Tấn, Đại Kim, Linh Đàm, đi lại thuận tiện.an ninh rất tốt, dân trí cao.- Đây là khu đô thị có nhiều cây xanh, nhà đẹp kiên cố, mặt bằng sử dụng hợp lý, điều kiện ở rất tốt, có thể kết hợp mở văn phòng công ty.+ Tầng 1: Phòng khách + bếp + vệ sinh.+ Tầng 2,3: Mỗi tầng có 2 ngủ rộng rãi thoáng mát, 1 vệ sinh ở giữa.+ Tầng 4: Phòng thờ, sân phơi, phòng giặt giũ.- Liên hệ: A Thành 0912525146.",28/02/2022,Tin thường,batdongsan_so_com_vn_1673831455.803753,,,,,
90 tỷ VNĐ,Khuất Duy Tiến - Thanh Xuân - Hà Nội, 126m2, 10,"Bán tòa nhà văn phòng Nguyễn Xiển quận Thanh Xuân  126m2, 11 tầng, 8m MT. 90 tỷ. Vị trí: Tọa lạc tại ngã tư Khuất Duy Tiến quận Thanh Xuân, nút giao thông vô cùng quan trọng của Thủ đô. Tiện ích: Nằm trên trục đường Vành đai 3 vỉa hè cực rộng, nơi được nhiều doanh nghiệp lớn chọn làm nơi đặt trụ sở văn phòng, đặt biển quáng cáo. Trục đường Vành đai 3 kết nối 3 tuyến đường Phạm Hùng, Khuất Duy Tiến, Nguyễn Xiển giao cắt các trục xuyên tâm như Nguyễn Trãi, Lê Văn Lương, Đại Lộ Thăng Long – Trần Duy Hưng bằng các hầm chui. View tòa nhà cực đẹp với Metro Cát Linh Hà Đông, công viên. Xung quanh là các building lớn như Sun Group, Thăng Long No1, Vinhomes, siêu thị Big C Thăng Long…vv. Vô vàn tiện ích. Thiết kế: Tòa nhà 126m2, 11 tầng, 8.1m mặt tiền, thang máy hiện đại, với 1 tầng hầm, hệ thống PCCC hiện đại, đã hoàn công trên sổ. tòa nhà phù hợp đặt chủ sở chính công ty, trung tâm spa lớn, cơ sở giáo dục đào tạo, chi nhánh ngân hàng, siêu thị điện máy…vv. Vô cùn đa dạng. Pháp lý: Sổ đỏ đẹp 1 chủ sẵn sàng sang tên có thương lượng. Liên hệ tôi Minh Hoàng 0902253303. (miễn trung gian môi giới) xin cảm ơn.",28/02/2022,Tin thường,batdongsan_so_com_vn_1673831457.0324647,, 8, 10, 10,
"10,8 tỷ VNĐ",Hoàng Đạo Thành - Thanh Xuân - Hà Nội, 72m2, 5,"Bán nhà Hoàng Đạo Thành, Thanh Xuân cực đẹp, ở, văn phòng 72m, mặt tiền 6m, 10.8 tỷ. Vị trí: Nhà cực đẹp gần phố, vị trí đẹp quận Thanh Xuân. Tiện ích: Nhà diện tích rộng, thông số đẹp, ô tô vao nhà, ngõ thông, đường trải nhựa sạch đẹp. Khu vực vip, dân trí cao, gần đường Nguyễn Xiển thuận tiện giao thông muôn nơi. Nhà gần trường học các cấp, gần chợ thuận tiện vô cùng. Thiết kế: . Tầng 1: Gara oto, kho để hàng. . Tầng 2: Phòng khách, bếp, 2 ngủ. . Tầng 3: 3 phòng ngủ. . Tầng 4: Phòng thờ, sân phơi. Pháp lý: Sổ đỏ vuông đẹp sẵn sàng giao dịch ngay. (có thương lượng). Liên hệ: Minh Hoàng 0902253303.",28/02/2022,Tin thường,batdongsan_so_com_vn_1673831458.0966167,,, 6,,
"16,8 tỷ VNĐ",Hà Nội, 70m2,,"Bán nhà 6 tầng Kim Mã, vị trí trung tâm quận Ba Đình - SĐT: 0366 555 258.Gần hồ Ngọc Khánh, công viên Thủ Lệ, TTTM Lotte, Vincom... tiện ích, an sinh đỉnh. + Ngõ to, thông thoáng, đường trước nhà ô tô tránh. Ngay gần nhà là ga tàu điện ngầm tuyến Nhổn - ga Hà Nội. + Thông số: 70m2, 7 tầng, mặt tiền 6 m. + Giá chào chỉ 16.8 tỷ thương lượng mạnh. + Nhà thiết kế 7 tầng:Tầng 1: Gara, kinh doanh, vệ sinh.Tầng 2, 3, 4, 5, 6: Nhiều phòng, vệ sinh.Tầng 7: Phòng thờ, sân phơi. + Sổ đỏ vuông đẹp sẵn sàng sang tên chủ mới. + Chủ nhà trẻ tuổi làm ăn có Lộc, nay mua nhà to hơn nên cần bán.Liên hệ xem nhà và tư vấn pháp lý, thủ tục, kiểm tra quy hoạch Nguyễn Thanh chuyên nhà phố - 0366 555 258.",28/02/2022,Tin thường,batdongsan_so_com_vn_1673831459.125914,,,,,
4 tỷ VNĐ,Đường Lâm Du phường Bồ Đề, 40m2,,"NHÀ ĐẸP- VÀI BƯỚC RA PHỐ -  TIỆN ÍCH NGẬP TRÀN. Bán nhà Lâm Du DT40m² - MT7m - Giá có 4 tỷ.  + Vị trí tuyệt đẹp, đi bộ vài bước ra mặt phố Lâm Du. Ngõ nông,thẳng tắp, ô tô đỗ cửa.+ Nhà dân xây 3 tầng chắc chắn, thiết kế đầy đủ công năng cho hộ gia đình. + Sổ đỏ vuông vức,  giao dịch ngay. Lh: E Mai ĐA 0983724773.",28/02/2022,Tin thường,batdongsan_so_com_vn_1673831460.2539356,,,,,
"1,75 tỷ VNĐ","Chính chủ bán nhà mới xây Số 8 ngõ 746/29 đường 72 thôn Ngãi Cầu, An Khánh, Hoài Đức, 1,75tỷ; 0904534866", 30m2,,"Chính chủ bán nhà mới xây Số 8 ngõ 746/29 đường 72 thôn Ngãi Cầu, An Khánh, Hoài Đức, 1,75tỷ; 0904534866 Số nhà 8 ngõ 746/29 đường 72 thôn Ngãi Cầu, An Khánh, Hoài Đức– DT: 30m2 x 3 tầng, gồm: 3 phòng ngủ, 2 vệ sinh– Nội thất có đủ đồ: giường, tủ, bình nóng lanh, bộ bàn ăn– Nhà nằm khu dân sinh, đầy đủ tiện ích, giao thông thuận tiện, tiện sinh hoạt Giá bán 1.75 tỷLH chính chủ: c Thảo 0904534866       http://www.sanbatdongsanviet.com.vn",28/02/2022,Tin thường,batdongsan_so_com_vn_1673831461.37099,,,,,
17 tỷ VNĐ,Hà Nội, 55m2,,"Bán căn nhà lô góc, hai mặt tiền, vỉa hè to, đường ô tô tránh phố Nguyễn Chí Thanh, quận Ba Đình - LH: 0856 968 656.Thông các tuyến phố: Liễu Giai, Kim Mã, Nguyễn Công Hoan, Giảng Võ, Văn Cao, Trần Huy Liệu, Ngọc Khánh…Gần khách sạn Hà Nội Daewoo, Lotte Center Hà Nội, công viên Thủ Lệ, Hồ Ngọc Khánh, Đài Truyền hình Trung ương...Diện tích 55 m2, mặt tiền hai cạnh nhà, rộng rãi, thoáng mát. Trang bị toàn bộ nội thất cao cấp và thang máy nhập khẩu…Nhà xây dựng 6 tầng kiên cố: Tầng 1: Kinh doanh, gara, WC.Tầng 2, 3, 4, 5: Các phòng sáng thoáng, WC. Tầng 6: Phòng thờ, sân phơi.Phù hợp vừa ở vừa kinh doanh mọi loại hình, hoặc làm văn phòng, spa...Giá mong muốn của gia đình chỉ 17 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Sổ đỏ chính chủ.Quý khách có nhu cầu xin liên hệ: Mr. Bình - 0856 968 656. Để biết thêm thông tin và xem nhà.",28/02/2022,Tin thường,batdongsan_so_com_vn_1673831462.8249485,,,,,
35 tỷ VNĐ,Huỳnh Thúc Kháng, 80m2, 8,"Chủ chuyển hướng đầu tư cần bán tòa nhà văn vòng 8 tầng có thang máy, căn góc full nội thất. Khu phân lô bàn cờ phố Huỳnh thúc Kháng. Đường trước nhà to rộng đẹp nhất phố oto đỗ cửa. mặt tiền cực lớn.Khu vực kinh doanh sầm uất, hiệu suất cho thuê miễn bàn. Chủ mới có thể sử dụng làm công ty, hoặc kinh doanh, cho thuê đều tốtDiện tích: 80m2 (từ tầng 2 đua ra 100m2) x 8 tầng, mặt tiền 16mGiá: 35 tỷ (CÒN THƯƠNG LƯỢNG, LÀM VIỆC TRỰC TIẾP CHỦ NHÀ)8 TẦNG THANG MÁY - LÔ GÓC - OTO ĐỖ CỬA - KINH DOANH SẦM UẤTLiên hệ xem nhà và nhận thông tin chi tiết: 0981367887- Thửa đất vuông đẹp, lô góc. Sổ pháp lý chuẩn cất két sẵn sàng giao dịch",28/02/2022,Tin thường,batdongsan_so_com_vn_1673831464.89293,, 16,,, 11
"4,7 tỷ VNĐ","Bán đất vị trí đẹp tại xã Hòa Thạch, Quốc Oai, 4,7 tỷ; 0971981668", 1353m2,,"Bán đất vị trí đẹp tại xã Hòa Thạch, Quốc Oai, 4,7 tỷ; 0971981668  Tổng diện tích: 1353m2. Trong đó có 400m thổ cư, còn lại là đất trồng cây lâu năm  - Cách Đại Lộ Thăng Long 4km, cách quốc lộ 21a chỉ 300m, cách trung tâm Hà Nội chỉ 25p chạy xe - Khu an ninh tốt, giao thông thuận lơi, dân trí cao  - Giá: 4,7tr/m2 - Liên hệ chính chủ: 0985411645 và 0971981668      http://www.sanbatdongsanviet.com.vn",28/02/2022,Tin thường,batdongsan_so_com_vn_1673831466.0708785,,,,,
20 tỷ VNĐ,Hà Nội, 90m2,,"Anh trai tôi cần bán rất gấp căn nhà ngay mặt phố Đào Tấn, quận Ba Đình - LH: 0856 968 656.Nhà cách mặt phố Đào Tấn đúng 3 nhà. Ngõ rộng rãi, nhà có gara ô tô. - Diện tích 90m2, mặt tiền 9m, 3 mặt tiền, 3 mặt thoáng. - Giá chào bán chỉ 20 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn. - Nhà xây 7 tầng năm 2018, thang máy hiện đại.Bao gồm các phòng ngủ cao cấp, ngoài ra còn có gara ô tô, quầy bar, phòng khách, bếp hiện đại...Vị trí ở và sinh sống vô cùng lý tưởng, gần Lotte Đào Tấn, Vinhomes Metropolis 200m, đại sứ quán Nhật, Úc... - Sổ đỏ chính chủ, duy nhất 1 chủ từ 2003 đến nay. Sẵn giao dịch ngay.Liên hệ tôi: Mr. Bình - 0856 968 656 miễn trung gian.",28/02/2022,Tin thường,batdongsan_so_com_vn_1673831467.52902,,,,,
