price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Hướng,Lộ giới,Số toilet
"7,8 tỷ VNĐ",Phú Diễn, 64m2, 5, 3, 3,"
    
NGÕ TO NHƯ PHỐ - LÔ GÓC - Ô TÔ TRÁNH - KINH DOANH SẦM UẤT.
-Diện tích 64m2 , mặt tiền 4.5m , chào giá 7.8 tỷ.


- Ngõ  rộng 6 m, ô tô tránh nhau, kinh doanh sầm uất.


- Thiết kế 3 tầng hiện đại, cầu thang giữa, 3 ngủ:
+ T1: Để xe, phòng khách, bếp, WC.
+ T2: 2 ngủ, WC giữa.
+ T3: Phòng ngủ, phòng thờ, sân phơi.


- Sổ đỏ chính chủ đang tách thửa, vuông đét.
-Liên hệ Em Phương 24/7

",31/03/2022,Tin thường,batdongsan_so_com_vn_1673828802.4589705,,,
"8,35 tỷ VNĐ",ngõ 299 Hoàng Mai, 52m2, 3, 5, 6,"Bán nhà KPL 333 Đền Lừ 2, Hoàng Mai, HN.DT 52m2 x 5 tầng mới , ngõ thông, ôtô tránh, vào nhàNhà xây khung cột, móng cọc kiên cố và chắc chắn. Diện tích 52m2, xây mới 5 tầng, ô tô  vào nhà, thích hợp để ở, làm văn phòng. Ngõ thông kinh doanh buôn bán tốt.Thiết kế hiện đại bao gồm: Tầng 1:  Gara ô tô, phòng bếp, phòng ăn, vệ sinh Tầng :2,3,4: mỗi tầng 2 phòng ngủ vệ sinh khép kínTầng 5 phòng thờ sân phơi.Nội thất cơ bản đầy đủ: Cửa cuốn, các cửa thông phòng toàn bộ làm bằng gỗ lim Nam Phi, cửa nhôm Việt Pháp, tủ bếp xoan đào, thiết bị vệ sinh Inax, dây điện trần phú…Khu phân lô ô bàn cờ, dân trí cao, an ninh tốt, hưởng đầy đủ tiện ích của khu đô thị đền lừ: hồ nước, công viên, trường học, khu vui chơi giải trí, nhà hàng….Sổ đỏ chính chủ, pháp lý rõ ràngGiá bán 8.35  tỷ có thương lượng liên hệ chị Yến ĐT:0702138238",31/03/2022,Tin thường,batdongsan_so_com_vn_1673828803.6707284, Đông, 5, 4
"4,1 tỷ VNĐ",ngõ 559 Kim Ngưu, 45m2, 3, 5, 6,"Bán nhà ngã tư Lạc Trung, Kim Ngưu Hai Bà Trưng , Hà Nội.Diện tích 45m2x 5 tầng xây mới, giá 4.1  tỷ . 2 mặt thoáng trước sau xây dựng khung cột bê tông, móng bè chắc chắn. Nội thất cao cấp, chính hãng, trang trí ấm cúng bắt mắt, trần thạch cao, cửa chính 2 lớp, cửa thông phòng và tay vịn cầu thang làm bằng gỗ lim._Thiết kế hiện đại bao gồm:- Tầng 1: sân để xe .Phòng Khách, vệ sinh, bếp ăn- Tầng 2,3,4 Mỗi tầng 2 phòng ngủ rộng, vệ sinh giữa.- Tầng 5: Phòng thờ,sân phơi -Vị trí đẹp  khu dân trí cao xung quanh nhiều tiện ích Giao thông thuận tiện,cách mặt phố Kim Ngưu 100m  thông sang  khu đô thị Times City đi nên phố cổ mất 5 phút gần bệnh viện Thanh Nhàn, bệnh viện Bạch mai, bệnh viện việt pháp gần nhiều trường cấp 1,cấp 2, cấp 3 và nhiều trường Đại Học nổi tiếng như Bách Khoa, Xây Dựng, Kinh Tế-sổ đỏ chính chủ pháp lý sạch giá 4.1 tỷ có thương lượng .liên hệ chị Yến ĐT:0702138238",31/03/2022,Tin thường,batdongsan_so_com_vn_1673828804.6949892, Nam, 3, 4
15 tỷ VNĐ,ngõ phố Thái hà, 46m2, 6, 7, 6,"Bán nhà phân lô phố Thái Hà, Láng Hạ Đống Đa, lô góc 2 mặt ngõ ôtô tránh, kinh doanh tốt. Giá 15 tỷDiện tích : 46m2x7T thiết kế thông sàn kết hợp ở và kinh doanhNhà xây khung bê tông chắc chắn, thiết kế công năng sử dụng vô cùng hợp lýVị trí giao thông cực kỳ thuận lợi, tiện ích xung quanh đầy đủ :Gần hồ Hoàng Cầu, ga đường sắt Cát Linh – Hà Đông, đối diện rạp chiếu phim Quốc Gia, gần Học viện Âm Nhạc Quốc Gia, ĐH Mỹ Thuật, ĐH Văn Hoá…Nhà hoàn thiện đầy đủ nội thất cơ bản : sàn gỗ, trần thạch cao, cửa gỗ lim, lan can cầu thang  và mặt bậc thang bằng gỗ lim, tủ bếp gỗ tự nhiên, thiết bị vệ sinh TOTO cao cấp... chủ mới chỉ cần mang đồ về ở mà không cần phải sửa chữa hay mua sắm thêm gìSổ đỏ chính chủ Giá bán 15 tỷ (có thương lượng) liên hệ chị Yến ĐT:0702138238",31/03/2022,Tin thường,batdongsan_so_com_vn_1673828805.7741024, Đông nam, 5, 6
"3,85 tỷ VNĐ",Vạn Phúc- Hà Đông, 40m2,, 4,,"HIẾM! Vạn Phúc Hà Đông, nhà siêu đẹp giá nhỉnh 3 tỷ, 40m2, gần ô tô - Vị trí: nhà Vạn Phúc trung tâm quận Hà Đông nơi giao thoa 3 quận Hà Đông, Thanh Xuân và Từ Liêm gần nhiều tiện ích, giao thông vô cùng thuận lợi Có thể đi từ các tuyến phố chính như Tố Hữu, Ngô Quyền, Yết Kiêu, Quang Trung, Văn Quán, Mỗ Lao,... - Tiện ích: gần nhà có đầy đủ tiện ích xã hội như: bãi xe, chợ dân sinh, trường học các cấp. Nhà thiết kế siêu sang chảnh ánh sáng ngập tràn, ngõ thoáng rộng , vài bước ra ô tô tránh. - Giá chỉ có 3.85 tỷ cho một căn nhà 4 tầng siêu đẹp 40m2 trung tâm quận Hà Đông. - Liên hệ ngay với em Huyền Thổ cư Hà Đông- KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24h/7 ( zalo, fb). Tư vấn Pháp lý, vay vốn.",31/03/2022,Tin thường,batdongsan_so_com_vn_1673828806.7395196,,,
"3,85 tỷ VNĐ",Vạn Phúc- Hà Đông, 40m2,, 4,,"HIẾM! Vạn Phúc Hà Đông, nhà siêu đẹp giá nhỉnh 3 tỷ, 40m2, gần ô tô - Vị trí: nhà Vạn Phúc trung tâm quận Hà Đông nơi giao thoa 3 quận Hà Đông, Thanh Xuân và Từ Liêm gần nhiều tiện ích, giao thông vô cùng thuận lợi Có thể đi từ các tuyến phố chính như Tố Hữu, Ngô Quyền, Yết Kiêu, Quang Trung, Văn Quán, Mỗ Lao,... - Tiện ích: gần nhà có đầy đủ tiện ích xã hội như: bãi xe, chợ dân sinh, trường học các cấp. Nhà thiết kế siêu sang chảnh ánh sáng ngập tràn, ngõ thoáng rộng , vài bước ra ô tô tránh. - Giá chỉ có 3.85 tỷ cho một căn nhà 4 tầng siêu đẹp 40m2 trung tâm quận Hà Đông. - Liên hệ ngay với em Huyền Thổ cư Hà Đông- KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24h/7 ( zalo, fb). Tư vấn Pháp lý, vay vốn.",31/03/2022,Tin thường,batdongsan_so_com_vn_1673828807.7753844,,,
"3,85 tỷ VNĐ",Văn Phú- Hà Đông, 41m2,, 4,,"Sở hữu nhà quận Hà Đông đẹp như thế nào với tài chính nhỉnh 3 tỷ. + Quận Hà Đông đang phát triển rất nhanh về cơ sở hạ tầng, quỹ đất ở hạn hẹp dần, sở hữu một căn nhà trung tâm Quận Hà Đông là bắt kịp xu thế đầu tư lợi nhuận, ở đẳng cấp và tiện ích, quận trung tâm, di chuyển đi đâu cũng vô cùng thuận lợi. + Nhà phố Văn Phú 41m vuông vắn, ô tô gần, các phòng ngập tràn ánh sáng tự nhiên là sự lựa chọn số 1 cho anh chị đang tìm nhà trên 3 tỷ để đầu tư hoặc an cư lập nghiệp. Căn nhà tại vị trí vô cùng đắc địa, thuận lợi di chuyển các tuyến phố trung tâm: Văn La, Quang Trung, Lê Trọng Tấn, Lý Thường Kiệt, Hà Cầu, Trần Đăng Ninh..... + Tôi và anh chị có thể tham khảo so sánh thêm một số căn nhà rất đẹp đang chào bán khoảng hơn 3 tỷ: - Nhà Trần Phú 30m, 5 tầng mới đẹp. - Nhà Lê Trọng Tấn 32m ngay mặt phố. - Đất Phan Đình Giót 40m sổ đỏ vuông vức, kinh doanh, ô tô. - Nhà Mậu Lương 30m,  kinh doanh sầm uất. - Sổ đỏ vuông, sẵn sàng giao dịch. - Giá: 3.85 tỷ ( có thương lượng). - Liên hệ ngay với em Huyền Thổ cư Hà Đông- KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24h/7 ( zalo, fb). Tư vấn Pháp lý, vay vốn",31/03/2022,Tin thường,batdongsan_so_com_vn_1673828808.8365452,,,
"2,28 tỷ VNĐ","Ngõ 373 Ngọc Hồi,Thanh Trì, Hà Nội", 30m2,, 3,,"- Nhà 3 tầng lô góc, 2 mặt ngõ thoáng sáng. Dân mua đất tự xây, kết cấu chắc chắn, chủ mới có thể lên thêm tầng.- Nhà cách mặt ngõ 373 chưa tới 100m. Tuyến đường 373 rộng 13m nhiều ô tô tránh vỉa hè là trong những nhánh giao thông quan trọng nối liền Trần Thủ Độ với Quốc lộ A. Chỉ cần ra khỏi nhà là thấy chợ, bệnh viện ĐK Thanh Trì,... Từ nhà di chuyển lên phố, đi tỉnh,... đều rất tiện.",31/03/2022,Tin thường,batdongsan_so_com_vn_1673828809.9216442,,,
"6,1 tỷ VNĐ","Vũ Thạnh, Đống Đa, Hà Nội", 40m2, 3, 6, 4,"Mô tả:  + Nhà đẹp ở ngay, 30m ra mặt phố,  + Sau nhà thoáng vĩnh viễn.  + Diện tích: 40m2 x 6 Tầng  + Mặt tiền: 3.5m  Thiết kế:  + Tầng 1: Để xe + Phòng ăn.  + Tầng 2: Phòng khách + Phòng thư giãn  + Tầng 3,4: 2PN + 1WC  + Tầng 5: Phòng thờ sân phơi.  + Tầng 6: Tum trồng cây hoặc làm bàn cafe.  Sổ đỏ cất két sẵn sàng giao dịch. Giá: 6.1 Tỷ  Liên Hệ : 0857.570.705",31/03/2022,Tin thường,batdongsan_so_com_vn_1673828811.155413,,, 3
"4,35 tỷ VNĐ",Mỹ Đình, 36m2, 3, 6, 8,"
    + Nhà mặt ngõ  Mỹ Đình cực rộng, oto đỗ cửa, đi qua nhà.
+ Diện tích 36m, MT 3.7m, nhà xây 6 tầng chắc chắn.
+ Thiết kế:
- T1: PK + bếp
- T2+3+4+5: mỗi tầng 2 PN
- T6: văn phòng làm việc thông sàn.
+ Khu vực an ninh, dân trí tốt, ở và kinh doanh đều tuyệt vời.
+ Sổ đỏ chính chủ.
- Liên hệ Em Phương 24/7
",31/03/2022,Tin thường,batdongsan_so_com_vn_1673828812.220565,,,
