price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Lộ giới,Hướng
"2,7 tỷ VNĐ","Phố Tôn Đức Thắng, Hàng Bột, Đống Đa, Hà Nội.", 36m2, 5, 4, 3, 2,"Bán nhà Phố Tôn Đức Thắng, Đống Đa, Hà Nội, diện tích 36m2, giá 2,7 tỷ. Trung tâm Đống Đa, tiện ích, giao thông thuận tiện. + Nhà 36m2x 4tầng, hiện tại 3 mặt ngõ – sáng, thoáng, thông + Tương lai quy hoạch sẽ thành 1 mặt phố - 3 mặt ngõ. + Sổ đỏ chính chủ, sẵn sàng giao dịch => Vừa Ở vừa ĐẦU TƯ, GIỮ TIỀN, CHO THUÊ. 0️⃣3️⃣5️⃣6️⃣5️⃣5️⃣1️⃣0️⃣9️⃣1️⃣   = 0️⃣9️⃣4️⃣4️⃣1️⃣8️⃣5️⃣3️⃣5️⃣4️⃣ ☎️ Liên hệ 0356551091 – 0944185354. Em Vân Anh - xem nhà miễn phí.",30/07/2022,Tin thường,batdongsan_so_com_vn_1673811611.7809703,,
"2,2 tỷ VNĐ",Đường Ngọc Thụy phường Ngọc Thụy, 28m2, 3, 1, 1, 1,"Vị Trí. + Lô Đất nằm ngay cạnh Khu Đô Thị Khai Sơn nên được thừa hưởng các tiện ích quanh đó.  +  Đây là mảnh đất Vàng còn sót lại, chỉ 2.2 tỷ đã có Oto vào , sân để oto ngày đêm.  + Lô Đất thuộc khu vực phân lô của cán bộ công nhân viên nên dân trí cao.  + Khu vực đang phát triển từng ngày với nhiều Dự Án.HomeLand, KĐT Khai Sơn, Bình Minh Garden, HimLam...  +Pháp Lý Dõ Dàng, SỔ ĐỎ cất két, sẵn sàng giao dịch.Chủ thiện chí bán.  + Liên hệ: Em Phúc Thổ Long Biên để không bỏ lỡ cơ hội sở hữu mảnh đất vàng này.",30/07/2022,Tin thường,batdongsan_so_com_vn_1673811613.190254, 3,
3 tỷ VNĐ,Đường Phan Đình Giót phường La Khê, 38m2, 1, 5, 4,,"-Chính chủ cần bán gấp Nhà lô góc 2 thoáng, Phan Đình Giót, La Khê, Hà Đông, dt 39m2, 5 tầng, nhà đẹp, ngõ xe ba gác, cách 40 ra ô tô đỗ, gần trường, chợ, giao thông đi lại thuận tiện, nhà đi được nhiều hướng vào như :Lê Trọng Tấn, Lê Văn Lương, Tố Hữu, Quang Trung, Ngô Quyền,… + Sổ đỏ chính chủ, pháp lý sạch, sẵn sàng giao dịch. Giá 3,85 tỷ (có TL). Liên hệ: 0986353662 để xem nhà trực tiếp miễn phí.",30/07/2022,Tin thường,batdongsan_so_com_vn_1673811614.5157084, 3,
"5,7 tỷ VNĐ",Đường Tỉnh lộ 420 phường Bình Yên, 150m2, 6,,,,"*Mô tả: - Lô đất thuộc làn 1 của Tái Định Cư nam tỉnh lộ 420, nằm sát vách với Khu công nghệ cao Hoà lạc, Bình Yên, Thạch thất, mặt đường đỉnh chạy qua rộng 40m ( trước nhà có nắn đường nên gộm cả đường cũ và đường nắn như hình), mặt tiền lớn, rất thích hợp để xây dựng toà nhà kinh doanh, siêu thị, trung tâm mua bán, trước nhà vỉa hè rộng 5m đá bóng, thực tế lô đất 150m2 nhưng sử dụng đến 180m2 (vì có 30m2 lưu không trước nhà,, chưa kể đến phần vỉa hè. -Khu vực nằm trên tuyết nối liền trung tâm thạch thất và quốc lộ 21, nên giao thương rất thuận lợi và là con đường chiến lược đông người qua lại. Khu vực tiếp giáp với nhiều khu vực sầm uất như Khu Đại học quốc gia, KHU Tái định cư Linh sơn, Khu tái định cư Đà gạo, Trường đại học FPT, Viettel, Vinaphone…. - Sổ đỏ khu Tái Định Cư vuông đẹp, không lỗi lầm. -Liên hệ: Em Trà 0983831788",30/07/2022,Tin thường,batdongsan_so_com_vn_1673811615.9977434,,
6 tỷ VNĐ,Nguyễn Trãi, 40m2, 4, 5,,,"+ Trung tâm Phố Nguyễn Trãi, gần Ngã Tư Sở, Royal City, gần nhiều trường Đại học lớn, bệnh viện và công viên. + Vị trí nhà cách mặt Phố Nguyễn Trãi 10m giao thông thuận tiện, vừa ở hoặc kinh doanh đều tuyệt; khu dân trí cao, an ninh đảm bảo. + Thiết kế nhà hiện đại, nhà lô góc thoáng sáng đón ánh sáng trời, nội thất cao cấp, đầy đủ công năng sử dụng. + Sổ đỏ vuông đẹp, pháp lý chuẩn, sang tên nhanh. LH: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, nhiệt tình, vui vẻ dẫn khách, miễn phí xem nhà 24/7",30/07/2022,Tin thường,batdongsan_so_com_vn_1673811617.3271873,,
"4,5 tỷ VNĐ","Tây Nam hồ Linh Đàm, Bằng Liệt, Hoàng Liệt, Hoàng Mai, Hà Nội", 100m2,,, 3, 2,"Tôi cần bán 8 căn ngoại giao chung cư Hà Nội Melody Residences giá bán tốt nhất thị trường, thông tin các căn ngoại giao như sau:Tháp N04:1. Căn N04 1109 diện tích 97,68m2 căn góc 3 phòng ngủ, cửa vào Đông Nam, ban công Tây Bắc view trường học và Biệt thự đẹp.Giá bán: 41, 5 triệu/m2. Tổng giá trị căn hộ: 4 tỷ 2. Căn N04 1008 diện tích 94,54 căn góc 3 phòng ngủ, ban công Đông Nam, cửa vào Tây Bắc view nội khu đẹp, thiết kế các phòng đều có ánh sang và gió tự nhiên.Giá bán: 40,5 triệu/m2. Tổng giá trị căn hộ: 3.9 tỷ. 3. Căn N04 1821 diện tích 145,1 m2 thiết kế 3 phòng ngủ, cửa vào Tây Bắc ban công Đông Nam view trực tiếp hồ Linh Đàm mát.Giá bán 41,4 triệu/m2. Tổng giá trị căn hộ 6 tỷ. 4. Căn N04 0928 diện tích 97,68m2 cửa vào Đông Bắc, ban công Tây Nam, căn góc 3 phòng ngủ đều có ánh sáng và gió tự nhiênGiá bán: 40,5 tr/m2. Tổng giá trị căn hộ: 3,9 tỷ. 5. Căn N04 1815 diện tích 73,6m2 căn 2 phòng ngủ, cửa Tây Nam ban công Đông Bắc view khu biệt thự rất đẹp, các phòng đều có ánh sáng và gió tự nhiên.Giá bán: 45 tr/m2. Tổng giá trị căn hộ: 3,3 tỷ. Tháp N02:1. Căn N02 0817 diện tích 100,6m2 căn góc 3 phòng ngủ, cửa Tây Bắc ban công Đông Nam view bể bơi và nội khu tuyệt đẹp.Giá bán: 40,7 tr/m2. Tổng giá trị căn hộ: 4,1 tỷ. 2. Căn N02 0819 diện tích 106,6m2 căn thiết kế 3 phòng ngủ, cửa vào Tây Nam, ban công Đông Bắc view nội khu và bể bơi rất đẹp.Giá bán: 39,3 tr/m2. Tổng giá trị căn hộ: 4,2 tỷ. 3. Căn N02 0618 diện tích 74,8m2, căn 2 phòng ngủ, cửa Tây Bắc ban công Đông Nam view nội khu đẹp, các phòng đều có ánh sáng và gió tự nhiênGiá bán: 40tr/m2. Tổng giá trị căn hộ: 3 tỷ 2. Chính sách bán hàng:- Ck 3% cho 100 KH ký hđ sớm nhất.- Ck 2% cho KH ký HĐ từ căn 100 - 200.- Ck 1% cho KH ký HĐ từ căn 200 - 300.- Ck 3% cho KH không tham gia vay 0%.- Ck 1% KH ở hoặc làm việc quận Hoàng mai.- Ck 15%/năm Thanh toán nhanh dòng tiền.- Hỗ trợ vay bank 0%/24 tháng từ quý 1/2023.- Hỗ trợ phí quản lý vận hành 50% trong 24 tháng. 3. Điểm nổi bật của dự án Hà Nội Melody Residences:- Các căn hộ thiết kế đều có 2 ban công, các phòng đều có ánh sáng và đón gió tự nhiên từ hồ Linh Đàm.- Giá bán hợp lý, tiến độ thanh toán linh hoạt, phù hợp với đa số đông khách hàng có nhu cầu ở thực để sở hữu căn hộ ưng ý.- Tiện ích cao cấp gồm bể bơi, sân chơi trẻ em, đường dạo bộ, sân chơi tenis, Gym, Spa, trung tâm thương mại ... đáp ứng đầy đủ tiện ích tiêu chuẩn cho cư dân nơi đây.",30/07/2022,Tin thường,batdongsan_so_com_vn_1673811618.7424018,,
"15,65 tỷ VNĐ",Xuân Thủy, 80m2,,,,,"
    CẦN BÁN CCMN CẦU GIẤY 85M 8T THANG MÁY Ô TÔ NHỈNH 15 TỶ
+ Trung tâm Cầu giấy nhiều trường Đại học lớn như: Đại học Quốc Gia, Sư Phạm, Thương Mại, Báo chí Tuyên truyền..
+ Đường chính lớn Cầu giấy, Láng, Trần Thái Tông, Khúc Thừa Dụ, Nguyễn Văn Huyên...
+ Rất đông sinh viên, người đi làm, Công ty, Văn phòng..
+ Giá thương lượng
+ Sổ đẹp sẵn sang tên, pháp lý sạch, Sang tên nhanh gọn.
+ Gọi Em Đức để chốt giá tốt 0898839292.
",30/07/2022,Tin thường,batdongsan_so_com_vn_1673811620.1499724,,
"3,7 tỷ VNĐ",Đường An Dương Vương phường Phú Thượng, 41m2, 3, 5, 6, 3,"Nhà mới đẹp về ở luôn Hướng: ĐôngThiết kế hiện đại: 6 ngủ 4 vệ sinhNgõ rộng 2,5m 2 xe máy tránh nhau vô tưNgõ thoáng đãng, dân trí tốtSổ đỏ sẵn giao dịchChủ nhà rất cần tiền nên bán GẤP (chủ rất tiếc phải bán nhà này) Miễn TG, MG làm phiền. ",30/07/2022,Tin thường,batdongsan_so_com_vn_1673811621.433784, 2,
"7,5 tỷ VNĐ",Thai hà, 40m2,,,,,"+ Nhà nằm vị trí đắc địa, trung tâm quận Đống Đa, giáp ranh quận Hoàng Mai, Thanh Xuân, Ba Đình, ngay gần dự án đường vành đai 2 hiện đại bậc nhất thành phố.+ Nhà gần 3 trường đại học lớn, Ngân Hàng, Công Đoàn, và bệnh viện Bạch Mai, Bệnh viện tai mũi họng trung ương,...+ Khu dân cư đông đúc, dân trí cao, giao Ngã tư Chùa bộc Thái hà, Bước chân ra khỏi nhà vài bước là chợ, trường học,... ko thiếu một thứ gì.+ LH: Vượng - 0912949598. Bất Động Sản Đống đa, Còn 20 căn tương tự. + Sổ Đỏ Chính Chủ Sẵn sàng giao dịch. + Hỗ trợ tư vấn Pháp lý, Đàm Phán, 70% ngân hang. #bannhathaiha# #bannhadongda# #bannhatayson# #bannhadelathanh# #bannhaxadan# #bannhadangtiendong# #bannhatrungliet# #bannhathaithinh# #bannhachuaboc# #bannhatrungtu3 #bannhatonducthang# #bannhavanchuong# #bannhathinhhao# #bannhahaonam#",30/07/2022,Tin thường,batdongsan_so_com_vn_1673811622.567798,,
,Đường Âu Cơ phường Quảng An, 120m2, 6,,,,"- Tuận tiện giao thông, mặt đường ngõ 6m, kinh doanh gì cũng tốt, giá hợp lý. Liên hệ chính chủ: 0916395988 A Trọng",30/07/2022,Tin thường,batdongsan_so_com_vn_1673811623.9301546,,
"6,95 tỷ VNĐ",đông tác, 45m2,,,,,"Mô tả: Bán nhà đẹp Đông Tác gần các khu vực Lương Định Của, Đông Tác, Chùa Bộc, Phạm Ngọc Thạch, Giải Phóng, ở ngay, nội thất đẹp, nhà 2 mặt thoáng trước, sau, cách chỗ đỗ oto 10m, trung tâm quận Đống Đa, đi đâu cũng tiện. Diện tích 45m2 x 5 tầng. + Kết nối các tuyến phố chính rất nhanh như Giải Phóng, Đại Cồ Việt, Trần Đại Nghĩa, Lương Định Của, Đông Tác, Chùa Bộc, Đông Tác, Tôn Thất Tùng…Nhà ngay trung tâm phố Đông Tác, quận Đống Đa, ngõ nông, đi ra chỗ đỗ oto có 10m, đi ra phố chính có 2 phút đi bộ. + Chủ nhà xây nhà tâm huyết nên khung cột rất chắc chắn, nhà rất đẹp mới, nội thất sáng loáng, xịn sò. Thích hợp với nhà nào đông thành viên vì có tới 4 phòng ngủ, thoải mái riêng tư. + Phố Đông Tác rất sầm uất, buôn bán cả ngày. Nhà ngay vị trí dân cư đông đúc, an ninh tốt, đi ra ngay ngõ là đầy đủ tiện ích. Bên cạnh có các Bệnh viện lớn nhất nước như: Bạch Mai, Lão Khoa, Tai Mũi Họng,…Gần các trường đại học lớn: Bách Khoa, Xây Dựng, Kinh tế,… và các trường trọng điểm các cấp của Thành phố. + Sổ đỏ chính chủ. + Giá bán: 6.95 tỷ (có thương lượng) Liên hệ: Nghĩa – 0868181683 ( để được gặp chủ thương lượng trực tiếp) Miễn phí xem nhà – Nguồn hàng phong phú – Nhiệt tình tận tâm – Hỗ trợ 24/24h/7 ",30/07/2022,Tin thường,batdongsan_so_com_vn_1673811625.1259925,,
"12,2 triệu VNĐ",Thành Trung - Trâu Quỳ - Gia Lâm - Hà Nội, 84m2, 6, 4, 4, 4,"Kinh doanh gặp khó khăn bán gấp căn shophouse Sông Hồng giá tốt so với thị trường. + Diện tích: 84m2, mặt tiền và hậu rộng 6m, đường trước nhà 11m cả vỉa hè, hướng Đông Bắc. + Sổ đỏ chính chủ, sẵn sàng công chứng trong ngày. + Giá bán: 12,2 tỷ có thương lượng với chính chủ thiện chí bán. + Căn shophouse gần tòa chung cư Blue Star thuộc dãy TT13 - xx, vị trí đẹp trung tâm huyện ủy Gia Lâm (dự kiến năm 2023 sẽ lên quận), số lượng căn có hạn, xung quanh đầy đủ các tiện ích an sinh, từ cơ bản tới cao cấp tất cả đi bộ vài phút là tới rất thuận tiện, xung quanh quy tụ nhiều dự án lớn, hứa hẹn nơi đáng sống, kinh doanh bậc nhất Gia Lâm. + Thích hợp mua an cư và đầu tư sinh lời cao. Miễn phí: Tư vấn 24/7, hỗ trợ kiểm tra quy hoạch, thủ tục sang tên, vay ngân hàng. Liên hệ xem nhà đất Mr Nhật: Mua bán, ký gửi BĐS Long Biên Gia Lâm. SĐT: 0982852808, 0948584888 Cam kết: Bán đúng giá, không thu phí người mua.",30/07/2022,Tin thường,batdongsan_so_com_vn_1673811626.3307323, 11, Đông bắc
"8,6 tỷ VNĐ",Kiều Mai, 60m2, 4, 5, 4,,"Bán nhà phân lô cao cấp Kiều Mai, Bắc Từ liêm, kinh doanh tốt, 60m, nhỉnh 8 tỷ SIÊU HIẾM, PHÂN LÔ CÁN BỘ CAO CẤP, 2 MẶT TIỀN, OTO TRÁNH, VỈA HÈ RỘNG, VỪA Ở VỪA KINH DOANH, NHÀ TỰ XÂY MỚI ĐẸP Ở LUÔN  S = 60m2, 5 tầng, mặt tiền 4.2m, giá 8.6 tỷ + Khu vực đang phát triển từng ngày, nhà gần trục đường chính Cầu Diễn cách khoảng 70m, cách mặt phố Kiều Mai 20m, khu phân lô đường to hơn phố, ô tô tránh đỗ ngày đêm, gần nhiều trường đại học, trung học,… + Kinh doanh tốt, thích hợp mở văn phòng công ty, spa,… + Nhà chủ tự thiết kế, xây dựng nên rất chắc chắn và đẹp và hợp lý. + Giao thông: Cầu Diễn, Hồ Tùng Mậu, Phúc Diễn, bến xe Mỹ Đình, Cầu Giấy,… + Thiết kế:  Tầng 1: Cửa hàng+ WC.Tầng 2: Phòng bếp+ Khách + WC.Tầng 3,4 : Mỗi tầng 2 phòng + 1 WC.Tầng 5: Phòng thờ+ Sân phơi + WC. + Sổ đỏ chính chủ, giao dịch ngay. * Liên hệ em Bình để xem nhà miễn phí, không tiếp môi giới.",30/07/2022,Tin thường,batdongsan_so_com_vn_1673811627.7479784, 6,
