price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Số tầng,Lộ giới,Số phòng ngủ,Số toilet,Hướng
"5,4 tỷ VNĐ",Đường Cầu Cốc phường Tây Mỗ, 65m2, 6,"Cần bán Đất thổ cư đẹp Tây Mỗ Nam Từ Liêm Hà Nội   - Mảnh đất đẹp vuông vắn nở hậu, mặt ngõ thông kinh doanh gì cũng thắng, đường trước nhà ô tô tránh nhau vài bước chân ra mặt phố Cầu Cốc.- Địa điểm gần chợ gần trường gần trung tâm Vinsmart thuận tiện đi lại.- Vị trí nằm khu an ninh , sạch sẽ thông thoáng View đẹp - Tiện ích xung quanh như trường học cấp 1 cấp 2 mầm non chợ siêu thị, bệnh viện bãi gửi oto - Xung quanh tiện ích chẳng thiếu gì cả. An sinh tuyệt đỉnh.+ Giấy tờ pháp lý rõ ràng , Sổ hồng riêng , công chứng liền sang tên nhanh chóng - Diện tích : 65m2 - Giá  bán : 5.4 tỷ ( có thương lượng - Địa chỉ : Phố Cầu Cốc Tây Mỗ Nam Từ Liêm Hà Nội  - Liên hệ: 0346533323 (Hoàng Hiệp )",20/09/2022,Tin thường,batdongsan_so_com_vn_1673800486.5000734,,,,,
"4,35 tỷ VNĐ",Hà Nội, 45m2,,"
    CỰC HIẾM ! BÁN CCMN Trần Thái Tông 45m 6 tầng 4,x tỷ
- Vị trí đẹp, Gần các Trường Đại Học Sư Phạm, Báo trí Tuyên truyền,..
- Giao thông thuận lợi, thông các ngả..
- Sổ đẹp trang sách hồng
- Có nhu cầu thực sự, thiện trí liên hệ Mr Đức Thổ Cư HN 0898839292 - 0812212525.
Uy tín, nhiệt tình, chăm chỉ, đồng hành cùng thành công.
",20/09/2022,Tin thường,batdongsan_so_com_vn_1673800488.9895027,,,,,
7 tỷ VNĐ,Tô Vĩnh Diện, 46m2,,"+ Vị trí đắc địa, Phân lô ô tô đỗ cửa, gần Ngã Tư Sở, cách đường lớn 80m. - Diện tích rộng: 46m2, 6 Tầng mới tinh. - Thang Máy nhập khẩu chạy êm ru. - Khu dân trí cao, hàng xóm toàn cán bộ công an, an ninh tốt, rất đáng sống.+ Giá: Nhỉnh 7 Tỷ.+ Sổ đỏ vuông đẹp, pháp lý chuẩn, sẵn sàng dao dịch.LH: Em Hoan, 0925088355, nhiệt tình, vui vẻ dẫn khách, miễn phí xem nhà 24/7.",20/09/2022,Tin thường,batdongsan_so_com_vn_1673800490.7507918, 6,,,,
"4,2 tỷ VNĐ",Đường Cầu Giấy phường Nghĩa Đô, 40m2, 4,+ Xây dựng 5 tầng mới tinh  Liên hệ đi xem nhà 0946.290.425 ( Mạnh chuyên nhà ở ngay khu Cầu Giấy - Mỹ Đình ),20/09/2022,Tin thường,batdongsan_so_com_vn_1673800492.6616786, 5, 5, 4, 3,
"2,5 tỷ VNĐ","hoàng mai, hà nội", 50m2,,"5Bán nhà Hoàng Mai, phố Tân Mai, 50m, 5t, 2,5tỷ, Kinh Doanh.+ Siêu Phẩm Tân Mai 50m, 5t, 2,5 tỷ. Nhà thông nhiều ngõ nghách, gầ trường mầm non cấp 1, gần chợ.+ Tầng 1; khách, bếp, để xe+ Tầng 2,3,4; tổng 5 ngủ + wc + phòng master+ tầng 5; phòng thờ, sân phơi , tập thể dục,+Đường Tân Mai giáp Nguyễn Đức Cảnh, Giáp Bát, Giải Phóng, Kim Đồng, Mai Động, Minh Khai, trường Đại Học Kinh Tế Quốc Dân Xây Dựng, Bách khoa, Bệnh viện Bạch Mai, bến xe Giáp Bát.+ Sổ đỏ chính chủ sẵn sàng giao dịch.Lh: 0346363362 : Phú Gia chuyên nhà phố Hà Nội.",20/09/2022,Tin thường,batdongsan_so_com_vn_1673800493.9113357,,,,,
866 triệu VNĐ,hoàn kiếm hà nội, 80m2, 5,"🌟Chỉ với 147tr (20%) sở hữu ngay dự án Khu dân cư mới Tân Phúc cạnh khu công nghiệp lớn nhất Ân Thi.👉Nằm ngay gần nút giao Tân Phúc cao tốc Hà Nội- Hải Phòng, diện tích từ 70-80m.👉Đường nội giải nhựa rộng 6-7m. 💦Nằm trong vùng quy hoạch khu công nghiệp và đô thị hàng nghìn héc ta bán kính🌍Xung quanh là khối hành chính ủy ban, trường học, y tế chỉ vài phút di chuyển👍Sở hữu hàng loạt tuyến đường trọng điểm như: Quốc lộ 38, quy hoạch đường mới Tân Phúc-đường tỉnh 387, 204, 382, đường huyện 61.🎫Sổ đỏ lâu dài pháp lý an toàn tuyệt đối🏠Hạ tầng đồng bộ, mốc giới rõ ràng từng lô.🎁Tặng ngay 6% khi khách hàng mua 2 sản phẩm trở lên.💥Vị trí tiềm năng tăng giá tốt nhất khu vực , giúp tối ưu hóa lợi nhuận cho nhà đầu tư cá nhân.",20/09/2022,Tin thường,batdongsan_so_com_vn_1673800495.297627,, 6,,,
34 triệu VNĐ,Đường Lương Quy phường Xuân Nộn, 43m2, 4,"
    Chính chủ em muốn bán lô đất 43,3m2 gần bìa làng lương quy - xuân nộn - đông anh.
- Diện tích 43,3m
- Mặt tiền 4.0m.
- Đường oto đỗ tại đất
- Cách 30m ra đường bìa làng, 20m đến trục chính giữa làng.
- 1km ra Quốc Lộ 3, 500m ra đường liên xã.
- Gần 1km đến BV Bắc Thăng Long, chợ Kính Nỗ.
- Bán kính xung quanh 1km có trường học, chợ, khu thương mại.
Tiện ích xung quanh đầy đủ.
Sổ đỏ pháp lí chuẩn, sẵn sàng giao dịch LH 0989969857 e My.
",20/09/2022,Tin thường,batdongsan_so_com_vn_1673800497.4588451,,,,,
12 tỷ VNĐ,Mỗ Lao- Hà Đông, 57m2,,"Bán nhà mặt phố Mỗ Lao, Hà Đông 57mx5T kinh doanh vỉa hè chỉ 12 tỷ Cần tiền bán nhà mặt phố Mỗ lao, Hà Đông cực hiếm, vỉa hè rộng, diện tích lớn 57m với 5 tầng kinh doanh cực đỉnh. Xung quanh nhà nhiều trường đại học,ngân hàng siêu thị, dân đông đúc, vị trí đắc địa phù hợp nhiều loại hình kinh doanh. Hàng xóm Khu đô thị Văn Quán gần Phúc La xuống Yết Kiêu sang Vạn Phúc vài bước ra Quang Trung. Sổ vuông đẹp sẵn sàng giao dịch. Giá: 12 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) ",20/09/2022,Tin thường,batdongsan_so_com_vn_1673800499.126389, 5,,,,
12 tỷ VNĐ,Quang Trung- Hà Đông, 57m2,,"Bán nhà mặt phố Quang Trung, Hà Đông 57mx5T vỉa hè kinh doanh chỉ 12 tỷ Chính chủ bán nhà riêng mặt phố Quang Trung, Hà Đông, mặt tiền khủng diện tích lớn 57m thiết kế 5 tầng hiện đại theo tiêu chí kinh doanh nhà mặt phố. Mặt phố trục chính Vip nhất Hà Đông đường đôi vỉa hè rộng ô tô dừng đỗ. Phù hợp nhiều loại hình kinh doanh đa dạng: Spa, văn phòng phẩm, áo cưới, thẩm mỹ, phòng khám, hoa quả sạch,… Trục chính cắt Lê Trọng Tấn sang Văn Phú giáp Hoàng Đôn Hoà gần Ngô Thì Nhậm đến Phan Đình Giót. Sổ vuông đẹp sẵn sàng giao dịch. Giá: 12 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) - Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",20/09/2022,Tin thường,batdongsan_so_com_vn_1673800501.0446243, 5,,,,
"5,5 tỷ VNĐ",Văn La- Hà Đông, 48m2,,"Bán nhà Văn La, Hà Đông, 48mx5T ô tô vào nhà nội thất Vip hơn 5 tỷ Cần tiền bán gấp nhà đẹp tại Văn La, Hà Đông giáp Khu đô thị Văn Phú, diện tích rộng 48m thiết kế 5 tầng thoáng sáng ngõ to ô tô vào nhà thông tứ tung, nội thất hiện đại chỉ việc đến ở. Chỉ hơn 5 tỷ ô tô vào nhà duy nhất Hà Đông đầy đủ tiện ích gần phố. Giao thông thuận tiện gần Quang Trung cắt Lê Trọng Tấn giáp Lý Thường Kiệt sang Trần Đăng Ninh. Sổ vuông đẹp sẵn sàng giao dịch. Giá: 5.5 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) - Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",20/09/2022,Tin thường,batdongsan_so_com_vn_1673800503.4937, 5,,,,
