price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Hướng,Mặt tiền,Số tầng,Số phòng ngủ,Lộ giới,Số toilet
65 triệu VNĐ/m2,"Đường Bắc Nam, Thị Trấn Quốc Oai, Quốc Oai, Hà Nội", 75m2,"Chính chủ nhờ bán gấp mảnh đất 75m2 tại Đường Bắc Nam, Quốc Oai - Ngay sát mặt đường đôi bắc nam - 3 phút tới chợ phủ - Cách Đại Lộ Thăng Long 500m - Gần các cơ quan hành chính - Thuận lợi kinh doanh buôn bán - Đặc biệt tính thanh khoản cao Quý A/c quan tâm xem đất LH 0967205590 Tín Thành",22/03/2022,Tin thường,batdongsan_so_com_vn_1673806904.6855707,,,,,,
115 triệu VNĐ/m2,"Đường Bắc Nam, thị trấn Quốc Oai, Hà Nội", 98m2,"Cần bán mảnh đất 98m2 trục chính đường Bắc Nam,Quốc Oai,gần AgribarkLô góc 2 mặt tiềnMặt đường rộng 55m vỉa hè rộng 8m,trung tâm thị trấn,kinh doanh cực tốtXung quanh là siêu thị điện máy ,quán bar,cà phê,cửa hàng vàng bạc,ngân hàngrất phù hợp để đầu tư hay kinh doanh.Vị trí đắc địa và là khu trung tâm bậc nhất của huyện Quốc Oai,nằm trên đường to nhất huyện,đi đâu cũng tiện,đường thông ra đại lộ Thăng Long ,ra thiên đường Bảo Sơn chưa tới 10 phút,gần với khu công nghiệp Thạch Thất,gần khu biệt thự Ngôi Nhà Mới,gần Sunny Garden City, thông các ngả, đi đâu cũng rất tiện lợiLh 0967205590 để biết thêm thông tin",05/04/2022,Tin thường,batdongsan_so_com_vn_1673806906.3850236, Tây, 6,,,,
6 tỷ VNĐ,Phố Lò Đúc Hai Bà Trưng Hà nội, 45m2,"+ Vị trí: Đỉnh cao có 102, chục năm mới có nhà bán, sát Hồ Gươm, tiện ích kể không hết, đường, trường, chợ… Trung tâm Hai Bà Trưng cổ. + Nhà ngay sát mặt ngõ kinh doanh sầm uất,thuộc khu PHÂN LÔ VPP Hồng Hà toàn cán bộ dân trí cao. Ở hiền hoà mát mẻ, chủ bán nhà cũng chỉ để chuyển căn to hơn gần đó không muốn đi đâu. + Nhà thiết kế Tầng 1 khách bếp, Tầng 2,3,4 mỗi tầng 1 phòng to, 1 phòng nhỏ và vệ sinh. Tầng 5 sân thượng cây xanh kiểu Duplex độc đáo. Rất nhiều không gian mở. + Tài chính: 6 tỷ Quan tâm xin liên hệ: Minh Quang 0327085656 ( Anh chị em môi giới vui lòng không gọi điện. Xin cảm ơn )",23/08/2022,Tin thường,batdongsan_so_com_vn_1673806907.6725788,, 3, 5, 6,,
"46,5 tỷ VNĐ",Phố Hồng Tiến Long Biên Hà Nội, 172m2,"Mô tả: + Vị trí: mặt phố lớn Hồng Tiến HOT nhất nhì Long Biên quận. Vị trí đắc địa, gần  ngã tư, đường rộng thênh thang, tầm nhìn bao quát khắp khu phố. + DT: 172m2, xây dựng 5 tầng, mặt tiền 6.6 mét. + Nhà chủ xây dựng và có thuê thiết kế rất đẹp, kinh doanh gì cũng thuận tiện cho việc decor + Nhà thiết kế cơ bản thông sàn. + Sổ đỏ nở hậu rất đẹp chính chủ, chủ thiên chí bán, sẵn sàng giao dịch trong nốt nhạc. + Tài Chính: 46.5 tỷ ( Thương lượng gặp trực tiếp chủ nhà ) LH: Minh Quang: 0327085656 ( Thông tin chính xác, hỗ trợ mọi thủ tục, miễn phí. )",23/08/2022,Tin thường,batdongsan_so_com_vn_1673806908.8086438,, 6, 5, 6,,
"7,8 tỷ VNĐ",Đường Mậu Lương phường Kiến Hưng, 52m2,"* ĐÁU GIÁ MẬU LƯƠNG 52m2, MT 12m, GIÁ 7,8 TỶ. MỘT LÔ GÓC DUY NHẤT - HÀNG HIẾM. THỊNH VƯỢNG"",="""" ""segoe="""" ui"",="""" helvetica,="""" arial,="""" sans-serif;="""" width:="""" 16px;="""" vertical-align:="""" middle;="""" white-space:="""" normal;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(5,5,5);="""" font-style:="""" orphans:="""" 2;="""" widows:="""" margin:="""" 0px="""" 1px;="""" display:="""" inline-flex;="""" letter-spacing:="""" background-color:="""" rgb(255,255,255);="""" text-indent:="""" animation-name:="""" transition-property:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-thickness:="""" initial;="""" text-decoration-style:="""" text-decoration-color:="""" initial'="""" spanspansegoe="""" float:="""" inline="""" !important;="""" initial'span="""" spanhỆ="""" thỐng="""" hẠ="""" tẦng="""" hoÀn="""" chỈnh.="""" span="""" pspansegoe="""">
MÔ TẢ:  + ĐẤT LÔ GÓC Đất Mậu Lương đang hừng hực lôi cuốn. Đến Mậu Lương là từ Phố Phúc La, đây là con đường kết nối với Trục phía Nam, Đại lộ Chu Văn An. Khu vực này gần Khu đô thị Xa La. Kể ra thế để thấy Mậu Lương đang HOT đến thế nào, sự thịnh vượng, giàu có, quần tụ đang gia tăng mỗi ngày.Lô góc chỉ còn 1 căn này mà thôi, mua để đấy 5 năm nữa tiền lên gấp đôi. Mỗi năm kiếm hơn tỷ, đi đâu mà tìm bây giờ. 
Hạ tầng xung quanh chuẩn chỉ, nhiều trung tâm thương mại, ngân hàng, tiện ích sống đã sẵn sàng, chỉ chờ khách ở.Sổ đỏ chính chủ, vuông vắn, pháp lý chuẩn chờ giao dịch.
+ LH Mr Hoàn già chuyên nhà thổ cư HN từ 3-500.",23/08/2022,Tin thường,batdongsan_so_com_vn_1673806910.1470625,, 12, 1, 3, 20, 2
"11,5 triệu VNĐ",Đường Quốc lộ 32 phường Phùng, 1555m2,"Cần bán Biệt thự sinh thái Sunshine Heritage Resort Thị trấn Phùng, Huyện Đan Phượng, Hà Nội G-180, Dự án biệt thự sinh thái Sunshine Heritage Resort Cẩm Đình, Hiệp Thuận, Phúc Thọ, Hà Nội., Thị trấn Phùng, Huyện Đan Phượng, Hà Nội Tôi cần bán lô đất chính chủ giai đoạn 1 thuộc dự án biệt thự sinh thái Sunshine Heritage Resort Cẩm Đình, Hiệp Thuận, Phúc Thọ, Hà Nội.- Mô tả: Lô đất của tôi là G180 - diện tích 1555m2 (1438 m2 theo quy hoạch mới). Lô đất có 2 mặt đường: 1 mặt hướng Bắc quay ra đường 32, 1 mặt hướng Nam quay ra khu trung tâm thương mại của dự án. Sau này có thể vừa ở, vừa kinh doanh.- Vị trí: Lô đất này nằm gần sát đường lớn nối giữa đường 32 và đại lộ Tây Thăng Long. Đi tiếp đến đền Hát Lót thờ Hai Bà Trưng. Lối rẽ phải đầu tiên cách đầu cầu Phùng khoảng 200m.- Pháp lý: Có đầy đủ hợp đồng góp vốn với công ty Kim Thanh (chủ đầu tư cũ) và giấy bàn giao đất kèm sơ đồ lô đất. Chứng từ đã đóng đủ 90% giá trị hợp đồng góp vốn. Lô đất đã được tôi xây tường rào 4 mặt.- Giá bán: 11,5 triệu đồng m2 (có thương lượng) - có thể bán 1 nửa lôAi có nhu cầu vui lòng liên hệ trực tiếp tôi - bác Hỷ: 0913202004",23/08/2022,Tin thường,batdongsan_so_com_vn_1673806911.2461233,, 10, 1, 2, 8, 1
"2,1 tỷ VNĐ",Đường Đông Hội phường Đông Hội, 85m2,,23/08/2022,Tin thường,batdongsan_so_com_vn_1673806912.2933216,, 8, 10, 3, 15, 2
12 tỷ VNĐ,"Chính chủ bán toà chung cư mini số 39 ngách 29 ngõ 2 Đại Từ, Hoàng Mai, hơn 12 tỷ; 0815501111", 118m2,"Chính chủ bán toà chung cư mini số 39 ngách 29 ngõ 2 Đại Từ, Hoàng Mai, hơn 12 tỷ; 0815501111  Dòng tiền hơn 900 triệu/năm Nội dung :  + Vị trí nhà nằm trung tâm khu vực Đại Từ Hoàng Mai, khu dân sinh sống đông đúc, kinh doanh sầm uất, tiềm năng tăng giá mạnh trong tương lai.  + Đồ đạc trong nhà cũng tự tay chủ sắm sửa kĩ lưỡng, chất lượng xịn sò.  + Nhà diện tích sổ 100m2, nhưng thực xây từ tầng 1 là 118m2. Mặt tiền trên sổ là 2m, thực tế 9.1m.  - Tầng 1: Chỗ để xe, thang máy, cầu thang thoát hiểm.  - Tầng 2,3,4,5,6: Mỗi tầng 4 căn hộ riêng biệt và thang máy. Các phòng sáng thoáng, có trang bị nội thất đầy đủ cho từng phòng, hiện đang cho thuê mỗi phòng giá 3.5tr/tháng.  - Tầng 7: Một căn hộ rộng, một phòng bếp riêng biệt đầy đủ, sân phơi, phòng khách view cực chill.  - Tổng 21 căn hộ cho thuê mượt mà, vận hành trơn chu, vừa ở, vừa cho thuê kiếm tiền cực kì hợp lý.   Giá bán: 12,x tỷ ( Chính chủ có thương lượng )Liên hệ chính chủ: 0815501111       http://www.sanbatdongsanviet.com.vn",23/08/2022,Tin thường,batdongsan_so_com_vn_1673806913.6208155,,,,,,
10 tỷ VNĐ,Đường Trần Duy Hưng phường Trung Hòa, 45m2,"Nhà bước 50m ra mặt phố , gần BIG C , khách sạn Grand Plaza , TTTM Vincom , Tân Hoàng Minh ..
",23/08/2022,Tin thường,batdongsan_so_com_vn_1673806914.727808,, 4, 4, 4, 3, 3
"3,3 tỷ VNĐ","24 Phố Nguyễn Cơ Thạch, Mỹ Đình, Nam Từ Liêm, Hà Nội, Việt Nam", 84m2,👉Vị trí : Nguyễn Cơ Thạch -Mỹ Đình. Đi lại thuận tiện. Xung quanh tiện ích chẳng thiếu gì. 👉Diện tích 84m. Thiết kế 2 ngủ 2 WC 👉Cửa Đông bắc - Ban Công Tây Nam 👉Để lại nội thất. Sổ đầy đủ,23/08/2022,Tin thường,batdongsan_so_com_vn_1673806915.8268678, Đông bắc,,, 2,, 2
