price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Lộ giới,Số tầng,Hướng,Số phòng ngủ,Số toilet,Mặt tiền
700 triệu VNĐ,hà nội, 80m2,"Cách nút giao đường cao tốc Tây Bắc QL5 với đường Cienco 5 chỉ 100m️ Cách thị trấn Vân Đình QL 21 khoảng 7km️ Cách thị trấn Tế Tiêu 6km️ Bán kính 500m đầy đủ tiện ích gồm trường học các cấp, chợ, trạm y tế, UBND xã...️ Cách KCN Đồng Văn Hà Nam 5km️ Cách nút giao Pháp Vân - Cầu Giẽ 15 Phút đi xe.️ Cách ngã ba Ba La Hà Đông khoảng 30km.Dân cư hiện hữu hiền hoàHạ tầng bài bản quy chuẩn, điện nước đầy đủĐất full thổ cư, tặng ngay gói thiết kế khi KH xây nhà ở ngayHỗ trợ mua bán, ký gửi khi KH có nhu cầu thanh khoảnPháp lý đầy đủ, đặt cọc nhận đất xây nhà ngay.",05/12/2022,Tin thường,batdongsan_so_com_vn_1673784694.794541,,,,,,
2 tỷ VNĐ,Lai Xá Kim Chung Hoài Đức Hà Nội, 60m2,"Chính chủ cần bán gấp mảnh đất nằm ở vị trí Lai Xá – trung tâm huyện Hoài Đức Mảnh đất đẹp tuyệt vời. 60m2, giá 2 tỷ   Mua để ở hoặc kinh doanh siêu đỉnh. Đường rộng thênh thang, thông tứ phía, ô tô vào nhà. Khu dân trí cao, an ninh tốt, tiện ích không thiếu thứ gì. Sổ đỏ chính chủ, pháp lý sạch, sẵn sàng giao dịch. Anh/ chị có nhu cầu mua nhà đất liên hệ Bích Phượng (chuyên nhà đất thổ cư) tại huyện Hoài Đức để được tư vấn và xem nhà đất hoàn toàn miễn phí. Vui lòng liên hệ: Mrs. Bích Phượng: 0915568218 / 0834081167",05/12/2022,Tin thường,batdongsan_so_com_vn_1673784695.8277764,,,,,,
"3,3 tỷ VNĐ","Đường Hoàng Liệt, Hoàng Liệt, Hoàng Mai", 35m2,"+ Nhà 5 tầng, rộng đẹp, giá bán là 3.3 tỷ đồng. + Nhà tôi tự xây dựng cách đây 5 năm, thiết kế hợp lý. + Quanh nhà là ba hồ lớn đi bộ quanh hồ không khí trong lành. + Cây xanh bao quanh mát mẻ không khí tuyệt vời + Chủ nhà là giáo viên Trường THPT Việt Nam – Ba Lan. + Sổ đỏ chính chủ, pháp lý chuẩn, cất két sẵn sàng giao dịch. + Các khách hàng có nhu cầu mua khu này thì nhà này rất hợp lý.",05/12/2022,Tin thường,batdongsan_so_com_vn_1673784696.75333, 2, 5,,,,
"3,5 tỷ VNĐ",Xã Vân Canh - Huyện Hoài Đức - Hà Nội, 67m2,"* Chiết khấu ngay 11%, HTLS 65% tới 18 tháng căn hộ Moonlight 1 Vân Canh - KĐT An Lạc Green Symphony.- Vị trí Vân Canh, An Khánh, Hoài Đức, Hà Nội.- Quy mô 2 tòa tháp cao 21 tầng nổi & 2 tầng hầm, gồm 494 căn hộ.- Diện tích từ 66,4m2 - 95,2m2.- Loại căn 2PN, 2PN + 1, 3PN.- Giá dự kiến từ 48 - 60 triệu/m2.- Pháp lý rõ ràng, sở hữu lâu dài.- Tiến độ: Đã thi công đến tầng 5.-----------------------------------------* Moonlight 1 Vân Canh là dự án chung cư cao cấp nằm trong quần thể đại đô thị An Lạc Green Symphony, khu đô thị xanh 75 ha, lớn bậc nhất phía tây Hà Nội.- Sở hữu vị trí độc tôn hiếm có, liên kết trực tiếp 3 trục phát triển đô thị mới phía Tây Hà Nội: Mỹ Đình, Hoài Đức và Trung tâm hành chính mới của Thủ đô.- Tiềm năng tăng giá khi 2023 Hoài Đức lên quận sẽ là yếu tố then chốt làm tăng giá bất động sản Hoài Đức nói chung và An Lạc Green Symphony nói riêng vì đây là dự án lớn nằm ở vị trí gần trung tâm Hà Nội nhất của huyện Hoài Đức.- Hưởng lợi cực lớn khi tiếp giáp các trục đại lộ huyết mạch như đường Vành đai 3.5 và đường 70, Đại lộ Ánh Trăng 58m kết nối Trịnh Văn Bô với Mỹ Đình và nhiều vùng trọng điểm trong thành phố.- Khu đô thị quy mô gần 75 ha nhưng 50% diện tích là cây xanh & mặt nước. Chủ đầu tư mong muốn kiến tạo một môi trường sống hài hòa giữa thiên nhiên và con người để mang lại cuộc sống an lành, tiện nghi và trọn vẹn.* Xem 3D vị trí Moonlight 1 Vân Canh và toàn thể KĐT An Lạc Green Symphony: https://home3d.vn/view360-only/2470-----------------------------------------Thông tin chi tiết và đặt chỗ booking dự án vui lòng liên hệ:Phòng kinh doanh Đất Xanh Miền bắc.Mạnh Linh DXMB: 0969817600.Website: https://diaocmienbac.com.vn/du-an/an-lac-green-symphony-bang-gia-cdt-moi-nhat/",05/12/2022,Tin thường,batdongsan_so_com_vn_1673784698.201458, 60, 10, Tây nam, 2, 2,
"3,5 tỷ VNĐ",Xã Vân Canh - Huyện Hoài Đức - Hà Nội, 67m2,"* Sắp ra mặt toà tháp căn hộ chung cư Moonlight 1 tại đại đô thị An Lạc Green Symphony.- Vị trí: Vân Canh - Hoài Đức, Hà Nội.- Quy mô 2 tòa tháp cao 21 tầng nổi & 2 tầng hầm, gồm 494 căn hộ.- Diện tích căn hộ: 66,4m2 - 96m2.- Loại căn hộ: 2 phòng ngủ, 2 phòng ngủ + 1, 3 phòng ngủ.- Pháp lý: Sở hữu lâu dài.- Giá dự kiến: 48 - 60 triệu/m2 (từ 3.5 tỷ đến 5.5 tỷ / một căn hộ).- Nội thất bàn giao: Full nội thất liền tường cao cấp tủ bếp, điều hòa, tủ âm tường, sàn gỗ.- Tiến độ: Đã thi công đến tầng 4 đang làm kết cấu tầng 5.------------------------------------------------------------* Chính sách bán hàng căn hộ chung cư Moonlight 1 An Lạc Đợt 1 tháng 11/2022:- Chiết khấu 7% cho khách hàng thanh toán chuẩn theo tiến độ.- Chiết khấu 10% (cả VAT) cho khách hàng thanh toán trước 70% GTCH.- Đặc biệt: Chiết khấu thêm 1% Với 60 khách hàng đầu tiên đặt chỗ sớm.- Hỗ trợ vay mua nhà tới 65% Giá trị Hợp đồng.- Lãi suất ưu đãi 0% trong 18 tháng. Ân hạn nợ gốc trong suốt thời gian hỗ trợ vay.------------------------------------------------------------* Chung cư cao cấp Moonlight 1 Vân Canh thiết kế theo phong cách Singapore hiện đại, kiến trúc tân cổ điển. Bao gồm 20 tiện nghi tích hợp trong tòa nhà: Vườn thượng uyển, vườn nghệ thuật, Fitness Gym, Spa, Massage, Club house...* Đặc biệt do nằm trong khuôn viên đại đô thị 75 ha An Lạc Green Symphony nên chung cư Moonlingt 1 thừa hưởng 40 tiện ích dịch vụ và không gian xanh trong lành hiếm có:- 49% mảng xanh tự nhiên.- 6ha cho 3 công viên âm nhạc nội khu.- 2 hồ điều hòa lớn.- Bể bơi vô cực ngoài trời.* Đặc biệt hơn cả: Năm 2023 Hoài Đức sẽ chính thức lên Quận là đòn bẩy tăng giá Bất động sản tại Vân Canh và An Lạc Green Symphony.* Tiếp giáp Mặt tiền đường quy hoạch vành đai 3.5 kết nối từ đường 32 (Hoài Đức) xuống Đại Lộ Thăng Long Lê Trọng Tấn (Hà Đông).* Mặt tiền đường Xuân Phương 70 rộng 8 làn xe đang mở rộng hoàn thiện.* Kết nối trực tiếp Mỹ Đình Cầu Giấy chỉ với 10 phút lái xe.* Xung quanh bán kính 5km là các khu vực phát triển như Trung Tâm Hội Nghị Quốc Gia, Sân Vận Động Mỹ Đình, các khu đô thị lớn Vinhomes Smart City Tây Mỗ, Khu đô thị Splendora Bắc An Khánh, Geleximco Lê Trọng Tấn...* Tất cả hứa hẹn một không gian sống hoàn hảo phía Tây Hà Nội.------------------------------------------------------------Thông tin chi tiết và đặt chỗ booking dự án vui lòng liên hệ:Phòng kinh doanh Đất Xanh Miền bắc.Mạnh Linh: 0969817600.Website: https://diaocmienbac.com.vn/du-an/an-lac-green-symphony-bang-gia-cdt-moi-nhat/",05/12/2022,Tin thường,batdongsan_so_com_vn_1673784699.3746145, 60,, Tây nam, 2, 2,
"3,5 tỷ VNĐ",Chung cư view công viên nhạc nước đẹp nhất Hoài Đức: Moonlight I - An Lạc Green Symphony sắp ra mắt, 67m2,"* Căn 2PN hướng Đông Nam duy nhất còn lại từ CĐT THE ZEI  - Giá chiết khấu chỉ 4.8 tỷ đồng.- Diện tích sử dụng: 84m2, thiết kế 2 phòng ngủ, 2 vệ sinh, - Căn hộ thiết kế tối ưu: Không góc chết, thẳng và phẳng nhờ kết cấu tường chịu lực, sử dụng công nghệ bê tông hiện đại bậc nhất thay vì cột và dầm. Do đó mọi diện tích trong căn hộ đều được tối ưu công năng sử dụng.- Nhận nhà ngay, sổ đỏ trao tay.------------------------------------------------* Tiện ích và liên kết vùng:- Hệ thống tiện ích đẳng cấp: Bể bơi bốn mùa, gym - spa, rạp chiếu phim, vườn thiền, Co - Working Space, khu vui chơi trẻ em, thư viện...- Tầm view hồ điều hòa công viên Nam Từ Liêm 13ha.Bàn giao mới 100% toàn bộ đồ nhập khẩu cao cấp:- Sàn tre.- Cửa gỗ công nghiệp cao cấp, trang bị khóa vân tay 4 chức năng Adel, chuông hình Femax.- Hệ thống cửa sổ và vách kính sử dụng kính Low - E 2 lớp, cách âm, cách nhiệt.- Hệ thống tủ bếp, bếp nấu, hút mùi đầy đủ của Hafele nhập khẩu.- Thiết bị vệ sinh cao cấp từ các thương hiệu: Hans Grohe, Grohe, Duravitbao gồm cả bồn tắm.- Điều hòa âm trần 2 chiều Hitachi.- Tủ giày âm tường..Khu dân trí cao, an ninh tốt, vận hành bởi đơn vị quản lý đến từ Nhật Bản - Visaho.------------------------------------------------* Nhận thêm thông tin chi tiết và tham quan căn hộ liên hệ:- Mạnh Linh DXMB: 0969 817 600.- Website: https://diaocmienbac.com.vn/du-an/the-zei-giam-gia-cuc-soc/",05/12/2022,Tin thường,batdongsan_so_com_vn_1673784700.5394993, 40,, Tây nam, 2, 2,
"3,6 tỷ VNĐ",Dương Văn Bé - Hà Nội, 40m2,"+ Gia đình bán nhà phố Vĩnh Tuy, vị trí đắc địa, trước nhà ô tô 7 chỗ dừng đỗ thoải mái, tiện ích đầy đủ.  Nhà chủ xây kiên cố, sẵn 5 tầng vững trãi phòng riêng đẹp đầy đủ công năng, chủ mới chỉ việc xách vali về đón tết.  + Nhà có vị trí đẹp, gần trường Đại học Kinh doanh Công nghệ, nằm trong khu nhà liền kề Vĩnh Tuy, bãi gửi xe lớn. Đường trước nhà rất rộng, ô tô 7 chỗ dừng đỗ quay đầu thoải mái. Khu vực tập trung nhiều tiện ích, 3 phút di chuyển sang Times City, 10 phút sang các trường Đại học Kinh tế, Bách khoa.  + Nhà có thông số đẹp: Diện tích xây dựng 40m2, gia chủ tự xây khung móng riêng bê tông cốt thép chắc chắn, thiết kế hiện đại mỗi tầng 1 phòng rộng, vệ sinh từng tầng, nội thất dùng toàn đồ tốt. Công năng phù hợp cho một gia đình nhà phố. Chủ đã cọc tiền mua biệt thự nên cần thanh khoản gấp giá chỉ 3.6 tỷ có gia lộc cho khách hữu duyên. Chi tiết LH: Nhật Nhà Đất  0977194820 (Chuyên Nhà đất Thổ cư với nguồn hàng Hơn 6000 Căn Nhà  Lớn nhỏ Từ 1 – 100 Tỷ trên khắp địa bàn Hà Nội sẵn sàng giúp Khách hàng tìm được những căn nhà ưng ý nhất).Lưu ý:-Tận Tâm, Uy tín , Chuyên nghiệp cái Tâm và cái Tầm đặt lên hàng đầu.- Không kênh giá chủ nhà.- Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý.  ",05/12/2022,Tin thường,batdongsan_so_com_vn_1673784701.6435452,,,,,,
"4,8 tỷ VNĐ",Số 8 - Lê Đức Thọ - Nam Từ Liêm - Hà Nội, 84m2,"* Căn 2PN Tầng 16 hướng Đông Nam duy nhất còn lại từ CĐT THE ZEI  - Giá chiết khấu chỉ 4.8 tỷ đồng.- Diện tích sử dụng: 84m2, thiết kế 2 phòng ngủ, 2 vệ sinh, - Căn hộ thiết kế tối ưu: Không góc chết, thẳng và phẳng nhờ kết cấu tường chịu lực, sử dụng công nghệ bê tông hiện đại bậc nhất thay vì cột và dầm. Do đó mọi diện tích trong căn hộ đều được tối ưu công năng sử dụng.- Nhận nhà ngay, sổ đỏ trao tay.------------------------------------------------* Tiện ích và liên kết vùng:- Hệ thống tiện ích đẳng cấp: Bể bơi bốn mùa, gym - spa, rạp chiếu phim, vườn thiền, Co - Working Space, khu vui chơi trẻ em, thư viện...- Tầm view hồ điều hòa công viên Nam Từ Liêm 13ha.Bàn giao mới 100% toàn bộ đồ nhập khẩu cao cấp:- Sàn tre.- Cửa gỗ công nghiệp cao cấp, trang bị khóa vân tay 4 chức năng Adel, chuông hình Femax.- Hệ thống cửa sổ và vách kính sử dụng kính Low - E 2 lớp, cách âm, cách nhiệt.- Hệ thống tủ bếp, bếp nấu, hút mùi đầy đủ của Hafele nhập khẩu.- Thiết bị vệ sinh cao cấp từ các thương hiệu: Hans Grohe, Grohe, Duravitbao gồm cả bồn tắm.- Điều hòa âm trần 2 chiều Hitachi.- Tủ giày âm tường..Khu dân trí cao, an ninh tốt, vận hành bởi đơn vị quản lý đến từ Nhật Bản - Visaho.------------------------------------------------* Nhận thêm thông tin chi tiết và tham quan căn hộ liên hệ:- Mạnh Linh DXMB: 0969 817 600.- Website: https://diaocmienbac.com.vn/du-an/the-zei-giam-gia-cuc-soc/",05/12/2022,Tin thường,batdongsan_so_com_vn_1673784702.9729886,,, Đông nam, 2, 2,
"13,5 tỷ VNĐ","Đường Biến Thế, Hạ Đình, Thanh Xuân", 56m2,"
    MẶT NGÕ TO NHƯ PHỐ - GẦN TRƯỜNG HỌC CẤP 1,2,3 - NGÕ THÔNG - PHÂN LÔ VỈA HÈ + Huỳnh Thúc Kháng - Đống Đa ngõ thông to ô tô tránh, kinh doanh, cho thuê, để ở.... vài bước chân ra trường cấp 3 Phan Huy Chú, ra mặt phố to khu ngõ toàn quan chức to.+  Nhà 5 tầng: .+ Sổ đỏ sẵn sàng giao dịch.- Liên hệ xem nhà: không chín ba bối, hai không bảy, hai hai chín
",05/12/2022,Tin thường,batdongsan_so_com_vn_1673784703.988273, 1, 5,,,, 4
"3,4 tỷ VNĐ","Đường Hoàng Mai, Hoàng Văn Thụ, Hoàng Mai", 32m2,"- Bán nhà phố Hoàng Mai, HM, Hà Nội - Nhà phân lô khu Hoàng Mai, Tiện ích bạt ngàn. - Cách ô tô 30m , ngõ 3 gác vào tận nhà, xe SH quay đầu trước nhà. - An Ninh tuyệt đối. - Nhà mới , chủ tặng toàn bộ nội thất cao cấp.  - Nhà 32 m  x 5 tầng, thiết kế hiện đại Giá 3 tỷ 400  Liên hê: em Dũng 0945676597",05/12/2022,Tin thường,batdongsan_so_com_vn_1673784705.0185518, 3, 5,, 3, 4, 4
