price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Lộ giới,Hướng
18 tỷ VNĐ,Vũ Thạnh, 56m2, 4, 6, 6, 6,"
    NGÕ RỘNG - PHÂN LÔ - 20M RA PHỐ - Ô TÔ TRÁNH - KINH DOANH.
Địa chỉ: Vũ Thạnh - Q.Đống Đa - Hà Nội.
Diện tích: 56m2 x 6 tầng x 4m mặt tiền.
Giá: 18 tỷ thương lượng.
- Vị trí cực đẹp, ô tô chạy vòng quanh, cơ sở hạ tầng phát triển.
- Nhà 6 tầng xây chắc chắn, thiết kế đẹp, nội thất sang trọng, nhà cực thoáng.
- Sổ đỏ đẹp, giao dịch ngay.
- Tầng 1: Gara, bếp, vệ sinh.
- Tầng 2: Phòng khách, 1 ngủ, vệ sinh.
- Tầng 3, 4, 5: Mỗi tầng chia 2 phòng, vệ sinh.
- Tầng 6: Sân phơi, trồng cây.
Liên hệ 0365176087 Đoàn.
",15/04/2022,Tin thường,batdongsan_so_com_vn_1673827618.124524,,
10 tỷ VNĐ,"NGUYỄN PHONG SẮC, CẦU GIẤY", 46m2, 5, 6, 8,,"+ Bán nhà Phố NGUYỄN PHONG SẮC, Cầu Giấy lô góc, diện tích: 46m2, nhà 6 tầng, mặt tiền 5.8m, có cột chờ có thể lên 8 tầng, kinh doanh đỉnh. + Ngõ ô tô tránh, vỉa hè kinh doanh sầm uất, đang cho thuê 33tr/ tháng. + Gần nhiều trường đại học, trợ, giao thông thuật lợi, ngõ ô tô tránh thông ra nhiều tuyến đường lớn Phạm Văn Đồng, Nguyễn Phong Sắc, tiện ích không thiếu gì. Nhà chủ xây chắc chắn 6 tầng, 8 phòng ngủ khép kín. + Sổ đỏ cất két. + Liên hệ em Đức Anh để được xem nhà.",15/04/2022,Tin thường,batdongsan_so_com_vn_1673827619.538783,,
"5,35 tỷ VNĐ",Kim Mã, 51m2,, 4, 4, 2,"Gia đình bán gấp nhà Kim Mã vị trí cực đẹp, ngõ rộng, ba gác tránh SH thoải mái, cách phố 80m, an sinh đỉnh, tiện ích xung quanh không thiếu thứ gì..... - Nhà thiết kế vô cùng chắc chắn, chủ tự xây btct chắc chắn, công năng đầy đủ cho gia đình nhiều thành viên… - Dân trí cao, an ninh tốt, điện nước đảm bảo, quy hoạch ổn định. - Giao thông thuận tiện ra Kim mã, Giang Văn Minh, Đội Cấn, Ngọc Hà.. - Tiện ích gần trường Thực nghiệm, Chu Văn An, cạnh Hồ Đầm Tròn, Hồ Ngọc Hà, CV Bách Thảo, Lăng Bác chỉ vài bước chân. -Sổ đỏ chính chủ, sẵn sàng giao dịch. - Thiết kế: + Tầng 1: Sân để xe + P. Khách + Phòng Ăn + Bếp. + Tầng 2,3: 2PN + WC ( 4PN). + Tầng 4: sân phơi rộng rãi . LH:0962370591-Nguyễn Phúc Lộc",15/04/2022,Tin thường,batdongsan_so_com_vn_1673827620.9589403,,
"5,3 tỷ VNĐ",Ngọc Hà- Ba Đình - Hà Nội, 42m2, 5, 5, 3, 3,"Nhà 42m2, 5 tầng 3 mặt thoáng, mặt tiền đẹp 4,8m, 20m ra ngõ oto, gần hồ điều hòa mát mẻ, 10p đi xe ra hồ Tây, Lăng Bác, cách vườn bách thảo 100m Nhà đẹp thiết kế hiện đại sang trọng, tặng lại nội thất trong nhà Camera an ninh tuyệt đối Mô tả: Tầng 1: Phòng khách + bếp Tầng 2,3,3: mỗi tầng 1 phòng ngủ + vệ sinh khép kín Tầng 5: Phòng thờ + sân phơi Sổ đỏ chính chủ, sẵn sàng giao dịch Lh: 0964875503 -         Quân",15/04/2022,Tin thường,batdongsan_so_com_vn_1673827622.1178422,,
"16,5 tỷ VNĐ","Phố Kim Ngưu, Hai Bà Trưng", 70m2, 4, 3, 4,,"Mô tả: + Nhà mặt phố, Vỉ hè rộng mênh mông.  + Nhà xây  tầng kiên cố, chắc chắn, có thể sửa theo ý chủ mới. + Tầng 1, làm kinh doanh, Tầng 2,3 làm văn phòng, để ở rất thuận lợi. + 2 phút lên bờ hồ, Phố cổ + Giao thông rất thuận tiện, Hai bước chân ra chợ 8-3, bệnh viện Thanh nhàn, 2 phút ra bệnh viện Bạch Mai, Gần các trường học như cấp 1,2,3 và các trường đại học Bách Khoa, KT Quốc Dân, Xây Dựng… + Giá chào 16.5 tỷ,  Có thương lượng. + Diện tích 70m2. + Sổ đỏ sắn giao dịch. +Miễn phí tư vấn, xem nhà 100%. + Liên hệ : Nguyễn Dương  0825920555 Để được tư vấn, xem nhà và hỗ trợ tốt nhất.",15/04/2022,Tin thường,batdongsan_so_com_vn_1673827623.4103825, 20,
"3,45 tỷ VNĐ","Trâu Quỳ , Gia Lâm", 40m2, 3,,,,"Cần bán nhà Thành Trung 3ty450 đường oto tận nơi . Lh : 0981752669 + 40m mặt tiền 3m5 + Hiện đang có nhà cấp 4 có thể ở được , đường xá rộng rãi thoáng mát , ngay sát Ngô Xuân Quảng + Chỉ 3ty450tr có ra lộc cho khách thiện chí , khu vực dân cư đông đúc+ Cách 500m ra bệnh viện huyện Gia lâm , khu đô thị VinHome Ocean Park , khu tái định cư Trâu Quỳ + Sổ đỏ chính chủ , có thể giao dịch ngayLiên hệ : 0981752669 em Vĩ - xem đất miễn phí , giá cả hợp lí  ",15/04/2022,Tin thường,batdongsan_so_com_vn_1673827624.5782585, 4,
"6,7 tỷ VNĐ",Nguyễn Ngọc Nại, 70m2, 5, 3, 3,,"+ Đất phân của quân đội dân trí cao, xây 3 tầng kiên cố. + Mặt tiền 5m tha hồ rộng. + An ninh an toàn tuyệt đối. + Chủ nhà đang rất cần tiền giải quyết công việc nên phải bán gấp. + Sổ đỏ chính chủ,sẵn sàng giao dịch. Liên hệ em Đại - 0963883403 để được tư vấn và xem nhà miễn phí.",15/04/2022,Tin thường,batdongsan_so_com_vn_1673827630.66223,,
"16,5 triệu VNĐ",Phố Kim Ngưu, 70m2, 4, 3, 4,,"Mô tả: + Nhà mặt phố, Vỉ hè rộng mênh mông.  + Nhà xây  tầng kiên cố, chắc chắn, có thể sửa theo ý chủ mới. + Tầng 1, làm kinh doanh, Tầng 2,3 làm văn phòng, để ở rất thuận lợi. + 2 phút lên bờ hồ, Phố cổ + Giao thông rất thuận tiện, Hai bước chân ra chợ 8-3, bệnh viện Thanh nhàn, 2 phút ra bệnh viện Bạch Mai, Gần các trường học như cấp 1,2,3 và các trường đại học Bách Khoa, KT Quốc Dân, Xây Dựng… + Giá chào 16.5 tỷ,  Có thương lượng. + Diện tích 70m2. + Sổ đỏ sắn giao dịch. +Miễn phí tư vấn, xem nhà 100%. + Liên hệ : Nguyễn Dương  0825920555 Để được tư vấn, xem nhà và hỗ trợ tốt nhất.",15/04/2022,Tin thường,batdongsan_so_com_vn_1673827631.9358642, 20,
"3,8 tỷ VNĐ",KIM GIANG, 34m2,, 5, 4,,"- Vị trí đẹp lô góc 2 thoáng vinh viễn, Công an, trường học, gần khu đô thị Kim Văn, Kim Lũ. An ninh tốt, khu dân trí cao, giao thông rất thuận tiện ra Nguyễn Xiển, Linh Đàm - Nhà xây 5 tầng chắc chắn, full nội thất. - 10 phút ra phố Kim Giang, khu vực kinh doanh sầm uất như phố. - Tiện ích xung quanh đầy đủ không thiếu thứ gì, trường chợ cách nhà 3 bước chân. - Sổ đẹp, vuông vắn.  - Liên hệ ngay em Thảo 0348156621 chuyên thổ cư Hà Nội.",15/04/2022,Tin thường,batdongsan_so_com_vn_1673827632.8214545,,
26 triệu VNĐ/m2,nội đồng đại thịnh mê linh hà nội, 100m2,,,,,"HUD MÊ LINH CENTRAL CHUẨN BỊ BÁN ĐỢT 1DỰ ÁN ĐẤT NỀN TỐT NHẤT VÀ TIỀM NĂNG NHẤT VEN HÀ NỘI THỜI ĐIỂM HIỆN TẠI.Diện tích: 55,383 haNhà chung cư gồm 1.466 căn hộ.Nhà ở thương mại: 436 cănNhà ở xã hội: 1.030 cănKhu thấp tầng gồm 799 căn: Bao gồm:Biệt thự đơn lập 150 cănBiệt thự song lập 256 cănNhà vườn 393 căn LH: 0989726892 Em phượng",15/04/2022,Tin thường,batdongsan_so_com_vn_1673827633.8746367,,
