price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Số toilet,Lộ giới,Hướng
25 tỷ VNĐ,Hàng Bè, 30m2, 3, 4, 3,"MẶT PHỐ ĐI BỘ, HAI CHIỀU, KINH DOANH ĐỈNH CAO, SÁT HỒ GƯƠMS = 30m2, 4 tầng, 25 tỷ + Mặt phố cổ, vỉa hè, đất vuông đẹp, hiếm nhà bán. + Khu vực đông đúc, sầm uất ngày đêm, nhiều du khách nước ngoài lui tới, kinh doanh đa dạng mọi loại hình. + Phía sau có mảnh đất 35m2 của nhà hàng xóm muốn bán, chủ mới muốn mua có thể thương lượng. + Giao thông: Hàng Mắm, Hàng Bạc, Mã Mây, Nguyễn Hữu Huân, Hàng Thùng, Hồ Hoàn Kiếm, Trần Quang Khải,... + Sổ đỏ đẹp chính chủ, giá linh động. * Liên hệ em Bình, chỉ bán nhà đẹp giá tốt, tư vấn và xem nhà nhiệt tình, miễn phí. * Không tiếp môi giới.",07/06/2022,Tin thường,batdongsan_so_com_vn_1673821126.9691913,,,
"14,5 tỷ VNĐ",vạn phúc, 80m2, 5, 4, 4," Bán Nhà, Văn Phú, Hà Đông. Ô Tô Kinh Doanh 80m2 x 4 tầng. Mặt Tiền 5m. Giá 14.5 Tỷ.  NHÀ MỚI – MẶT PHỐ TIỆN ÍCH BẠT NGÀN - KHU DÂN TRÍ CAO  - Nhà  siêu đẹp, trung tâm Khu Đô Thị Văn Phú, đường trước nhà 24M, siêu hiếm, cực phẩm. - Khu vực đang phát triển mạnh mẽ từng ngày, nhu cầu khách rất lớn, vỉa hè ô tô tránh vô cùng thích hợp làm văn phòng, đại lý phân phối, tổng kho .. an sinh cực đỉnh. - Nhà gần siêu thị Mêtroo Hà Đông, Nhà Thi Đấu Hà Đông, Bệnh Viện Đa Khoa Hà Đông gần trường học, bệnh viện. - Giao với đường Quang Trung, Lê Trọng Tấn, Cenco, Văn La. Giao thông rất thuận tiện, an ninh an toàn. + Thiết kế 4 tầng: + Tầng 1: Để xe + phòng khách + bếp + wc + Tầng 2 + 3: 4 phòng ngủ rộng + 2wc + Tầng 4: Phòng thờ + Sân phơi  + Sổ đỏ: Vuông vức, chính chủ, giao dịch phút mốt.   LH: E KHÁNH: 0984568179  ",07/06/2022,Tin thường,batdongsan_so_com_vn_1673821128.2268286, 3,,
"3,9 tỷ VNĐ",Đường Tân Mai phường Tân Mai, 30m2, 3, 5, 3,"- Nhà 5 tầng xinh xắn, chủ tặng hết nội thất 200 triệu, khách chỉ về ở luôn - Nhà xây phong cách hiện đại, kết cấu chắc chắn, thách thức thời gian - Nhà gần trường cấp 1,2,3... chợ Tân Mai,... tiện đủ mọi thứ - Lô góc thoáng mát, kinh doanh các kiểu, ngồi nhà cũng ra tiền - Sổ đỏ chính chủ, sẵn sàng giao dịch Liên hệ ngay : 0922344567 để được xem nhà và tư vấn miễn phí",07/06/2022,Tin thường,batdongsan_so_com_vn_1673821129.488452, 4, 3,
"15,5 tỷ VNĐ","phố Văn Quán, phường Văn Quán", 65m2,, 4, 4,"+ Cần bán gấp nhà KĐT Văn Quán 65m2*4tầng Lô góc-đường đôi-kinh doanh sầm uất + nhà nằm vị trí đẹp và hiếm có khó tìm,ngay đường đôi KĐT, giữa trung tâm gần chợ buôn Chiến Thắng, trường học Ban Mai, Chu Văn An, sát mặt phố Chiến Thắng+ Khu vực kinh doanh sầm uất,người qua lại tấp nập, đang cho thuê dòng tiền khủng.  + 2 làn đường,ô tô tránh thoải mái, vỉa hè đá bóng,ô tô dừng đỗ ngày đêm + nhà đã hoàn thiện với nội thất sịn sò 4 phòng ngủ vip, đầy đủ công năng sử dụng + Sổ đỏ vuông đẹp chính chủ sẵn sàng giao dịch + giá 15,5tỷ (có thương lượng)+ Gọi ngay Mrs Hương Chuyên bán và nhận ký gửi nhà đất thổ cư Hà Đông. ",07/06/2022,Tin thường,batdongsan_so_com_vn_1673821130.4987478,,,
15 tỷ VNĐ,Đường Nguyễn Xiển, 55m2, 4, 5,,"Đẹp , rộng  ",07/06/2022,Tin thường,batdongsan_so_com_vn_1673821131.5848436,,, Đông nam
15 tỷ VNĐ,Đường Nguyễn Xiển, 55m2, 4, 5,,"Đẹp , rộng  ",07/06/2022,Tin thường,batdongsan_so_com_vn_1673821132.6474435,,, Đông nam
15 tỷ VNĐ,Đường Nguyễn Xiển, 55m2, 4, 5,,"Đẹp , rộng  ",07/06/2022,Tin thường,batdongsan_so_com_vn_1673821133.8043492,,, Đông nam
"5,5 tỷ VNĐ",Đường Phú Đô phường Phú Đô, 40m2, 3, 7, 10,""",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" text-align:="""" left;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(229,239,255);="""" text-indent:="""" user-select:="""" text;="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" initial'chính="""" chủ="""" cần="""" bán="""" căn="""" nhà="""" dịch="""" vụ="""" cho="""" thuê="""" tại="""" phú="""" Đô="""" span="""" p="""" pspan="""" initial'diện="""" tích="""" 40m2="""" x6="""" tầng="""" 1="""" tum,="""" 10="""" phòng="""" khép="""" kín="""" có="""" thang="""" máy="""" full="""" nội="""" thất.="""" initial'="""">Doanh thu 35tr/ tháng CAM KẾT THUÊ LẠI 30TR/ THÁNG chỉ việc thu tiền.  ",07/06/2022,Tin thường,batdongsan_so_com_vn_1673821134.9233568, 11, 3,
"1,6 tỷ VNĐ",Đường Minh Khai phường Vĩnh Tuy, 22m2, 3, 2, 2,,07/06/2022,Tin thường,batdongsan_so_com_vn_1673821135.893759, 3, 3,
"24,5 tỷ VNĐ",Đường Tương Mai phường Tân Mai, 78m2, 5,,,"- Diện tích 78m2, mặt tiền 5m. - Khu gần bệnh viên , trường học , chợ , siêu thị vimax. ",07/06/2022,Tin thường,batdongsan_so_com_vn_1673821136.9160242,,,
