price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Số tầng,Lộ giới,Số phòng ngủ
"7,654321 tỷ VNĐ",Quốc lộ 32, 100m2, 16,"HOT HOT BÁN ĐẤT DI TRẠCH HOÀI ĐỨC 100M MẶT 16X6 LÔ GÓC Ô TÔ VỈA HÈ NHỈNH 7 TỶVị trí rất đẹp:Gần Các trường Đại Học, ĐH Thành Đô, ĐH Công Nghiệp Hà Nội, ĐH Thương Mại..Rất gần Trục đường chính lớn, Quốc Lộ 32, Hồ Tùng Mậu, Lê Đức Thọ, Xuân Phương, Trịnh Văn Bô, Bến xe Mỹ Đình..Địa điểm: Liền kề bên Trung tâm thủ đô.Khu đang phát triển rất mạnh Trung tâm tương lai gầnTiện Ích: Đường thông thuận tiệnTiện Ích: Xây CCMN, Tòa văn phòng, xưởng, Nhà hàng, quán ăn ...Có nhu cầu thực sự, thiện trí. Liên hệ Anh Đức 0898839292.",05/06/2022,Tin thường,batdongsan_so_com_vn_1673802539.8959773,,,
"15,4321 tỷ VNĐ",mễ trì thượng, 70m2,,"BÁN NHÀ NGÕ 50 MỄ TRÌ THƯỢNG 70M 7 TẦNG THANG MÁY Ô TÔ ĐỖ 15 TỶ Nhà vuôn vắn, đang cho thuê 15 phòng. Đường rộng thoáng ô tô 5 tấn đỗ thoải mái ngày đêm. Mặt đường đại lộ thăng long, gần bến xe mỹ đình, bệnh viện hồng ngọc, các trường đại học xung quanh.. Có nhu cầu thực sự, thiện trí xem nhà liên hệ anh Đức 0898839292",03/06/2022,Tin thường,batdongsan_so_com_vn_1673802541.3720295,,,
"10,1 tỷ VNĐ",Xuân phương, 90m2, 6,"BÁN NHÀ KĐT SINH THÁI  XUÂN PHƯƠNG 90M MẶT 6M3 Vỉa hè Ô tô HƠN 100tr 1m2 + Vị trí đẹp: - Tương lai là Trung Tâm phát triển, Đường 40m trước cửa nhà, Các khu đô thị, Khu chung cư, Trung tâm thương mại giải trí... - Khu sinh thái, Không Gian Sống xanh Yên tĩnh, giữa lòng thành phố ồn ào. Ô tô vào nhà, đỗ cửa, vỉa hè rộng, đường trước nhà 3 ô tô tránh thoải mái. Đường Thông thuận tiện.. Gần Trường CĐ FPT, Đại lộ Thăng Long nối với QL 32 , Trịnh Văn Bô, 7 phút Ra Bến xe Mỹ. + Thực sự có nhu cầu, hiểu chuyện hiểu thị trường, Thiện trí xem nhà Liện hệ Anh Đức 0898839292",03/06/2022,Tin thường,batdongsan_so_com_vn_1673802542.826169,,,
"22,22 tỷ VNĐ",PHÚ ĐÔ, 165m2,,"HOT HOT BÁN NHÀ CCMN THANG MÁY 165M MẶT 10M 30P PHÚ ĐÔ 22 TỶ X + Vị trí rất đẹp: Gần Các trường Đại Học, ĐH Sư Phạm, ĐH Quốc Gia, ĐH Thương Mại.. Rất gần Bến xe Mỹ Đình, Các Trường Đại Học Thương Mại, Đại Học Quốc Gia, Đại Học Sư Phạm... Dân cư đông đúc rất nhiều sinh viên, công nhân viên, nhu cầu thuê rất cao. + Địa điểm: Khu trung tâm phát triển Gần bến xe Mỹ Đình, các Tuyến đường chính lớn, Đại Lộ Thăng Long, Phạm Hùng, Lê Đức Thọ,... Tiện Ích: Đường thông tứ phương, Luôn kín phòng thuê, Phòng khép kín. + Có nhu cầu thực sự, thiện trí. Liên hệ Anh Đức 0898839292.",02/06/2022,Tin thường,batdongsan_so_com_vn_1673802544.6034153, 7,,
"6,226 tỷ VNĐ",MỄ TRÌ, 100m2,,"ĐẤT HIẾM CẦN BÁN ĐẤT PHÚ ĐÔ 100M MẶT TIỀN RỘNG Ô TÔ VÀO NHÀ Nhỉnh 6 tỷ. Gia đình chuyển vào nam muốn bán đất 100m vuông vắn, mặt tiền rộng, ô tô vào nhà. Gần Phố, Khu Đô thị, Trung tâm thương mại... thông với nhiều tuyến đường. Xây CCMN, tòa nhà văn phòng, đều rất hợp , tùy ý.. Có nhu cầu thực sự, thiện trí mua xem nhà liên hệ Anh Đức 0898839292",01/06/2022,Tin thường,batdongsan_so_com_vn_1673802546.3297966,,,
"6,2468 tỷ VNĐ",Phú Đô, 100m2,,"ĐẤT HIẾM CẦN BÁN ĐẤT PHÚ ĐÔ 100M MẶT TIỀN RỘNG Ô TÔ VÀO NHÀ Nhỉnh 6 tỷ. Gia đình chuyển vào nam muốn bán đất 100m vuông vắn, mặt tiền rộng, ô tô vào nhà. Gần Phố, Khu Đô thị, Trung tâm thương mại... thông với nhiều tuyến đường. Xây CCMN, tòa nhà văn phòng, đều rất hợp , tùy ý.. Có nhu cầu thực sự, thiện trí mua xem nhà liên hệ Anh Đức 0898839292",01/06/2022,Tin thường,batdongsan_so_com_vn_1673802547.4228718,,,
"12,3456 tỷ VNĐ",Phố Nhổn, 80m2, 6," BÁN NHÀ NGÃ TƯ NHỔN 80M 6T MT6m1 Thang máy Ô tô tránh đỗ ngày đêm Nhỉnh 12 tỷ + Vị trí đẹp: Ngay ngã tư phát triển sầm uất. +  Gần các Trường Đại Học Công Nghiệp HN, Thành Đô, Các trường học, Chợ... Gần trục đường lớn Xuân Phương, QL 32, Trịnh Văn Bô..  + Địa điểm : Đang phát triển rất mạnh tương lai gần,Rất Đông Sinh viên, Công nhân. Học tập và làm việc Có nhu cầu thực sự, Thiện trí xem nhà liên hệ: Anh Đức 0898839292",01/06/2022,Tin thường,batdongsan_so_com_vn_1673802548.5717983, 6,,
"3,223 tỷ VNĐ",đức thượng, 100m2,,"CẦN BÁN GẤP ĐẤT 100M MẶT ĐƯỜNG 32 HOÀI ĐỨC Ô TÔ ĐỖ CỬA NHỈNH 3 TỶĐang phát triển mạnh từng ngày. Đang trong quá trình Lên Quận. Thúc đẩy phát triển mọi mặt. Gần Khu đô thị trường học, Đạo Học Thành Đô, Đại Học Công Nghiệp HN..Gần các trục đường lớn  Quốc lộ 32, đường 366A, LK S1Thực sự có nhu cầu, Thiện trí xem nhà đất  Liên hệ Anh Đức 0898839292",01/06/2022,Tin thường,batdongsan_so_com_vn_1673802549.590591,,,
"15,4321 tỷ VNĐ","Đại lộ Thăng long, mễ trì, nam từ liêm,HN", 72m2,,"+ Bán nhà CCMN Mễ Trì Hạ Nam Từ Liêm 72m 9 Tầng Thang máy Ô tô đỗ DT 60tr/ tháng- Mới đi vào hoạt động, Thang máy êm ru.-    Nhu cầu thuê trọ rất cao, Đông Sinh viên, Công nhân viên..-    Rất Gần Đại lộ Thăng Long, Bến Xe Mỹ Đình, Bệnh Viện Hồng Ngọc vài phút vào đến Trung tâm thành phố-    Tiện ích xung quanh đầy đủ. Giao thông tuận lợi.-    Sổ CC , sẵn sàng chờ sang tên. thủ tục nhanh gọn+  Giá:   Thương lượng . Thiện trí+ Liên hệ: Đức Thổ Cư HN 0898839292.(Liên hệ tư vấn, trao đổi xem nhà hoàn toàn miễn phí).Tôi đang có rất nhiều căn nhà với nhiều phân khúc khác nha",31/05/2022,Tin thường,batdongsan_so_com_vn_1673802550.6547418, 9, 10,
"12,345 tỷ VNĐ",trần duy hưng, 60m2,,"BÁN NHÀ CCMN TRẦN DUY HƯNG 6 TẦNG Ô TÔ ĐỖ CỬA 12 tỷ 5 Trung tâm phát triển nhiều tiện ích xung quanh. Vài phút đi xe tới trung tâm Thành phố Gần trường Các Trường Đại Học Lao Động và Xã Hội , Đại Học Luật Hà Nội... Gần Bến xe Mỹ Đình.Đông dân cư, Sinh viên nhu cầu thuê trọ rất cao. Có nhu cầu thực sự,thiện trí xem nhà Liện hệ Anh Đức 0898839292",31/05/2022,Tin thường,batdongsan_so_com_vn_1673802551.7019475, 6,,
