price,address,Diện tích,Mặt tiền,Số tầng,Số toilet,Details,Ngày đăng,Loại tin,id,Lộ giới,Số phòng ngủ
31 tỷ VNĐ,Đa Tốn, 150m2, 8, 4, 4,💖💖💖 VINHOMES OCEAN PARK - HẢI ÂU 3 - CẠNH GÓC - ĐỐI DIỆN TMDV - HIẾM - DT 150M MẶT TIỀN 8.3 31 TỶ  - Giá rẻ - cực kỳ cạnh tranh. căn Cạnh góc. Hiện tại xung quanh đây đã tấp nập. Mục đích sử dụng đa dạng tùy chủ mới.Nhà cơ bản xây thô. Chưa có gì cả để hoàn toàn thiết kế cho chủ mới tự làm-Bên cạnh đó đầy rẫy những căn biệt thự đáng giá trăm tỷ. -Chưa kể hàng trăm ngàn hộ cư dân đang sinh sống tại 66 tòa chung cư quanh đó.,14/09/2022,Tin thường,batdongsan_so_com_vn_1673801811.6141815,,
,Đường Bồ Đề phường Bồ Đề, 30m2, 4, 6, 5,"Hoa hậu Phố Bồ Đề, ô tô đỗ cửa, 6 tầng, giá hơn 4 tỷ. Full nội thất. + Nhà 6 tầng thiết lế rất đẹp, thoáng sáng. Ngõ trướng nhà rất đẹp ô tô 4 chỗ đỗ cửa. + Chủ nhà cần bán chuyển sang phố cho gần cơ quan. + chủ nhà để lại toàn bộ nội thất. Khâch chỉ việc xác va li về ở. + Sổ đỏ đẹp long lanh, sẵn sàng giao dịch. LH: 
",14/09/2022,Tin thường,batdongsan_so_com_vn_1673801813.0323822, 3, 4
"3,1 tỷ VNĐ",Đường Ỷ La phường Dương Nội, 36m2, 3, 5, 4,"
    


 


 
 Thiết kế: Tầng 1: Phòng khách + Bếp
 + sân phơi
 Thân Ngọc

",14/09/2022,Tin thường,batdongsan_so_com_vn_1673801814.4545767, 3, 3
"9,8 tỷ VNĐ","Trần Phú, Hà Đông, Hà Nội", 53m2, 14,,," # Bán Đất, Lô Góc, quận Hà Đông đường Trần Phú giáp quận Thanh Xuân, 2 mặt tiền ô tô, kinh doanh, xây tòa nhà Văn Phòng, hay CCMN cho thuê dòng tiền khủng. LH Tình Nhà Đất 0906113879. + CC cần vốn đầu tư đang rất cần bán gấp đất, Lô Góc tại khu phân lô, đường Trần Phú, DT 53m, mt 14m, giá 9.8 tỷ. + Vị trí tuyệt đẹp, cực hiếm, lô góc, 2 mặt tiền đường rộng 8m, khu phân lô đông đúc, dân trí cao, an ninh tốt, tiếp giáp quận Thanh Xuân, gần nhiều trường Đại Học: Kiến Trúc, An Ninh, Bưu Chính, Nghệ Thuật Trung Ương, Đại Học Hà Nội... + Hiện Trạng: đất vuông đẹp, lô góc, 2 mặt tiền, ưu điểm khi xây dựng từ tầng 2, đua xung quanh tầm 70m, diện tích rộng rễ thiết kế, phù hợp ở, kinh doanh tốt nhiều nghành nghề, tòa Văn Phòng hay CCMN đều hợp lý. + Sổ đỏ phân lô chính chủ, pháp lý chuẩn, giao dịch nhanh. # HotLine: 0906113879 Tình Nhà Đất quận Hà Đông – Hà Nội ( uy tín, nhiệt tình, sẵn sàng tư vấn, hỗ trợ 24/7 ).",14/09/2022,Tin thường,batdongsan_so_com_vn_1673801815.734154, 8,
"8,5 tỷ VNĐ",Mỗ Lao- Hà Đông, 44m2,, 6,,"Bán nhà Mỗ Lao, Hà Đông lô góc kinh doanh 44mx6T thang máy hơn 8 tỷ Bán nhà riêng vị trí sầm uất ô tô tránh, lô góc kinh doanh đỉnh cao cực hiếm 44m thiết kế 6 tầng thang máy nhập khẩu. Xung quanh nhà toàn các trường đại học lớn, các khu đô thị Văn Quán gần siêu thị Big C, toà nhà văn phòng hơn, các chung cư cao tầng hiện đại phù hợp nhiều loại hình kinh doanh. Giao thông đi muôn nơi gần Yết Kiêu ra Vạn Phúc sang Phúc La vài bước ra Quang Trung sang Nam Từ Liêm và xuống Thanh Xuân rất gần. Giá: 8.5 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) - Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",14/09/2022,Tin thường,batdongsan_so_com_vn_1673801816.9399323,,
"8,5 tỷ VNĐ",Văn Quán - Hà Đông, 44m2,, 6,,"Bán nhà Văn Quán, Hà Đông lô góc KD 6T thang máy 44m hơn 8 tỷ Cực hiếm nhà Văn Quán nhìn ra mặt phố Trần Phú chỉ vài chục m, thiết kế 6 tầng thang máy lô góc cực hiếm kinh doanh sầm uất đẹp nhất Hà Đông . Khu vực rất nhiều trường đại học lớn, các toà văn phòng sát Khu đô thị Văn Quán. Giao thông thuận lợi giáp Mỗ Lao gần Yết Kiêu sang Phúc La xuống Nguyễn Trãi sang Vạn Phúc. Giá: 8.5 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) - Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",14/09/2022,Tin thường,batdongsan_so_com_vn_1673801818.1237614,,
"4,5 tỷ VNĐ",Văn Phú- Hà Đông, 37m2,, 4,,"Bán nhà Văn Phú, Hà Đông, ô tô ngõ rộng gần phố 37mx4T hơn 4 tỷ Gia đình chuyển công tác cần bán nhà Văn Phú, Hà Đông, đầy đủ công năng sử dụng cho khách khó tính nhất, ô tô vào nhà ngõ nông gần phố ở sướng. Nhà gần siêu thị Metro giáp Khu đô thị Văn Phú, trường học các cấp, ngân hàng, siêu thị. Giao thông thuận tiện ra Quang Trung cắt Lê Trọng Tấn ra Dương Nội gần Ngô Thì Nhậm sát Hoàng Đôn Hoà thông Văn La. Sổ vuông đẹp sẵn sàng giao dịch. Giá: 4.5 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) - Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",14/09/2022,Tin thường,batdongsan_so_com_vn_1673801819.3654418,,
"4,5 tỷ VNĐ",Lê Trọng Tấn- Hà Đông, 38m2,, 4,,"Bán nhà Lê Trọng Tấn, Hà Đông 38mx4T ô tô gần phố hơn 4 tỷ Giảm sốc nhà đẹp Lê Trọng Tấn, Hà Đông, 38m, ô tô vào nhà, ngõ nông vài bước ra phố thiết kế 4 ngủ các tầng hiện đại chỉ việc đến ở. Cực hiếm hơn 4 tỷ ô tô vào nhà căn duy nhất nhanh tay sở hữu, chủ thiện chí, nhiều tiện ích, ở cực sướng. Giao thông trục chính sang Văn Phú cắt Quang Trung với Ngô Thì Nhậm hàng xóm Ngô Quyền gần Dương Nội. Sổ vuông đẹp sẵn sàng giao dịch. Giá: 4.5 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) - Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",14/09/2022,Tin thường,batdongsan_so_com_vn_1673801821.3660867,,
"26,3 tỷ VNĐ",Đường Giải Phóng phường Phương Liệt, 67m2, 4, 1, 2, Giá: 2 tỷ 63 ( thương lượng chính chủ) ,14/09/2022,Tin thường,batdongsan_so_com_vn_1673801824.2019365, 20, 2
"2,8 tỷ VNĐ",Đường Lễ Pháp phường Tiên Dương, 64m2, 4,,,"CHÍNH CHỦ BÁN 64 M ĐẤT THÔN LỄ PHÁP, TIÊN DƯƠNG, HUYỆN ĐÔNG ANH, HÀ NỘI. ĐƯỜNG Ô TÔ 7 CHỖ, GIÁ NHỈNH 2 TỶ Diện tích: 64m2  Mặt tiền: 4.04m  Mặt hậu : 4,05m  Chiều dài: 19m  Hướng: Tây nam  Đường rộng: 4m Pháp lý: sổ đỏ chính chủ  Giá bán: 4X triệu/m Vị trí: Mảnh đất đẹp cạnh chợ, cách quốc lộ 3, đường Võ Nguyên Giáp, trung tâm hành chính chuyện 1km.  Bán kính 500m Bệnh Viện TH Truemikl, công viên Kim Quy.  Đường đang trải nhựa, các dự án đang làm tốc độ nhanh Đây là khu vực dân cư đông đúc, dân trí cao, an ninh tốt, tiện ích ngập tràn.  Vui lòng liên hệ chính chủ: 0917621856 để xem đất miễn phí 24/7.",14/09/2022,Tin thường,batdongsan_so_com_vn_1673801825.162394,,
