price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Lộ giới
"5,2 tỷ VNĐ",Bùi xương trạch thanh xuân hà nội., 39m2, 3, 6, 4, 5,"Mô tả. + Bán Nhà Bùi Phố Xương Trạch, Quận Thanh Xuân, Ô Tô- Kinh Doanh, 39m 6Tầng 5.2Tỷ. + Nhà thiết kế đẹp, tầng 1 đang cho thuê 15 triệu/ tháng. Trước cửa ô tô tránh nhau, Khu vực dân cư đông đúc, kinh doanh sầm uất. + Giao thông đi lại thuận tiện đi ra Định Công, Đại Kim, Kim Giang, Vũ Tông Phan…   + Di chuyển 15 phút Hồ Linh Đàm, đi bộ thư giãn hưởng thụ không khí trong lành.10 phút đến Royal City, nơi có nhiều khu vui chơi giải trí cho gia đình trong các ngày cuối tuần. + Giá 5.2 Tỷ ( có thương lượng) + Sổ đỏ chính chủ, đảm bảo pháp lý, sẵn sàng giao dịch.",03/10/2022,Tin thường,batdongsan_so_com_vn_1673797428.8900235,
"3,7 tỷ VNĐ",Đường Nguyễn Huy Tưởng phường Thanh Xuân Bắc, 26m2, 4, 6, 6,,"+ Khu phố VIP của Thanh Xuân, tập trung nhiều chung cư, tòa nhà văn phòng, nhiều trường Đại học. Phố to, hè rộng, kinh doanh buôn bán tấp nập. Nhà đang cho thuê 16 triệu/ tháng.  chuyên nhà đất Hà Nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7
",03/10/2022,Tin thường,batdongsan_so_com_vn_1673797430.3296466, 6
"3,85 tỷ VNĐ","Ngọc Thụy, Long Biên HN", 35m2,,,,,"+ Nhà ô tô đỗ cửa, 20m ô tô tránh + Nhà mới ở luôn, khu dân trí cao tiện ích ngập tràn. + Nhà thiết kế đẹp đầy đủ công năng, phòng ngủ, phòng khách, bếp, phòng thờ sân phơi. Nội thất hiện đại.vệ sinh khép kín  + Sồ đỏ chính chủ, cất két.",03/10/2022,Tin thường,batdongsan_so_com_vn_1673797431.5125089,
"5,65 tỷ VNĐ","Đường Nguyễn Văn Cừ, Phường Ngọc Lâm, Quận Long Biên, Hà Nội", 42m2, 3, 5,,,"Bán Ngay Nhà Nguyễn Văn Cừ, Long Biên 5T; 42m2; giá 5,65 tỷ (Ngõ rộng, ô tô vào nhà) + Tầng 1: Gara ô tô, bếp, wc + Tầng 2: Phòng khách, wc + Tầng 3,4: Mỗi phòng 1 phòng, wc + Tầng 5 : Phòng thờ, sân phơi  Nhà thiết kế đẹp, xây dựng chắc chắn..ngõ ô tô vào nhà, xung quanh gần chợ, trường học, các tổ hợp dịch vụ… Thuận tiện đi ra đường Nguyễn Văn Cừ và kết nối các hướng như phố Gia Thụy, Ngọc Lâm, Nguyễn Sơn, Hoàng Như Tiếp, Bồ Đề…bệnh viện Đa Khoa Tâm Anh, Cầu Chương Dương…. Sổ vuông đẹp, pháp lý rõ ràng. LH Mr Tùng 0965 722 358",03/10/2022,Tin thường,batdongsan_so_com_vn_1673797432.654477,
"3,68 tỷ VNĐ",Ngọc Thụy Long Biên HN, 34m2,,,,,"+ Nhà siêu đẹp khách chỉ mang đồ về ở funll nội thất cách ô tô chỉ 12.8m, gần phố. Khu đang rất nhiều cầu tương lai tăng mạnh. + Thiết kế công năng 4 tầng T1 khách bếp, T2,3  4 ngủ, T4 phòng thờ sân phơi. Sổ đẹp phân lô sẵn bán. ",03/10/2022,Tin thường,batdongsan_so_com_vn_1673797433.7888253,
6 tỷ VNĐ,Đường Phùng Khoang phường Thanh Xuân Bắc, 45m2, 5, 6, 12,," +Ngõ rộng, thông ra khu biệt thự liền kề.  ",03/10/2022,Tin thường,batdongsan_so_com_vn_1673797435.1183188, 6
"3,5 tỷ VNĐ",Đường Vạn Phúc phường Nguyễn Trãi, 138m2,, 15, 4, 3,,03/10/2022,Tin thường,batdongsan_so_com_vn_1673797436.6568227, 10
"6,7 tỷ VNĐ",Kiến Hưng- Hà Đông, 51m2,, 5,,,"Bán nhà Kiến Hưng, Hà Đông vỉa hè kinh doanh 51mx5T hơn 6 tỷ Cực hiếm nhà khu phân lô có vỉa hè ô tô tránh ở sướng kinh doanh đỉnh diện tích 51m với 5 tầng rộng đẹp mặt tiền lớn tại Kiến Hưng, Hà Đông, nội thất xịn chỉ việc đến ở. Vị trí tuyệt đẹp xung quanh trường chợ, sân bóng, bể bơi, ngân hàng siêu thị không thiếu. Gia chủ thành đạt bán đi chuyển sang ở Biệt thự rộng hơn. Giao thông thuận lợi giáp các Khu đô thị Văn Phú cắt Phú Lương xuống Thanh Hà sang Xa La nối các phố Hà Cầu sang Tô Hiệu ra Bà Triệu. Sổ vuông phân lô sẵn sàng giao dịch. Giá 6.7 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) – Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",03/10/2022,Tin thường,batdongsan_so_com_vn_1673797437.7119176,
"6,98 tỷ VNĐ",Kiến Hưng- Hà Đông, 51m2,, 5,,,"Bán nhà Kiến Hưng, Hà Đông 51mx5T vỉa hè KD ô tô hơn 6 tỷ Chính chủ cần bán nhà riêng đẹp như biệt thự tại Kiến Hưng, Hà Đông với 5 tầng thoáng sáng diện tích rộng 51m, mặt tiền lớn ô tô vào nhà. Khu phân lô có vỉa hè to ô tô chạy vòng quanh, nội thất xịn ở sướng hoặc kinh doanh làm văn phòng quá đỉnh. Xung quanh nhà là bể bơi, sân bóng, trường chợ, ngân hàng, siêu thị, bệnh viện không thiếu. Giao thông thuận lợi giáp các Khu đô thị Văn Phú cắt Phú Lương xuống Thanh Hà sang Xa La nối các phố Hà Cầu sang Tô Hiệu ra Bà Triệu. Sổ vuông phân lô sẵn sàng giao dịch. Giá 6.98 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) – Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn. ",03/10/2022,Tin thường,batdongsan_so_com_vn_1673797439.0882077,
"5,4 tỷ VNĐ",Kiến Hưng- Hà Đông, 50m2, 4,,,,"Tôi bán đất Kiến Hưng, Hà Đông 50m, MT 4m vỉa hè ô tô hơn 5 tỷ Cần bán đất chia tài sản cho các con tại Kiến Hưng, Hà Đông diện tích 51m, mặt tiền 4m khu phân lô cực đẹp vỉa hè rộng đường ô tô thông chạy vòng quanh. Giao thông thuận lợi ra senco5 sang Văn Phú ra Phú Lương lên Xa La hàng xóm Đa Sỹ gần chợ đầu mối 365 đi đâu cũng thuận tiện. Mảnh đất bán xung quanh hưởng trọn tiện ích khu đô thị Kiến Hưng. Sổ vuông phân lô sẵn sàng giao dịch. Giá 5.4 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) – Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",03/10/2022,Tin thường,batdongsan_so_com_vn_1673797440.5766218,
