price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet,Mặt tiền,Lộ giới
"4,8 tỷ VNĐ",Cầu Giấy - Hà Nội, 62m2,"+ Vị trí trung tâm Cầu Giấy, ngõ nông cực gần ô tô, hồ điều hòa, bán kính xung quanh tiện ích vô vàn. + Nhà thiết kế 5 tầng đẹp, chắc chắn, hiện đại, tổng 4 phòng ngủ, công năng sử dụng đầy đủ. + Giao thông kết nối Trần Duy Hưng, Vũ Phạm Hàm, Trung Hòa, Mạc Thái Tổ, Trung Yên... di chuyển đi lại thuận lợi. + Sổ đẹp chính chủ vuông đẹp, sẵn sàng giao dịch ngay. + Giá: 4.4 tỷ (thương lượng). + Liên hệ: Mr. Tiến Hoàng - 0976817296 - Tư vấn nhiệt tình, tận tâm, miễn phí 24/7.",20/05/2022,Tin thường,batdongsan_so_com_vn_1673824039.1505685,,,,,
"6,5 tỷ VNĐ",Phố Chùa Bộc, 36m2,"- NHÀ MỚI ĐẸP - LÔ GÓC 3 MẶT THOÁNG VĨNH VIỄN - GẦN PHỐ - GẦN Ô TÔ TRÁNH - TIỆN ÍCH ĐẲNG CẤP.- Vị trí giao thông vô cùng thuận lợi, kết nối các tuyến đường Tây Sơn, Xã Đàn, Phạm Ngọc Thạch...gần TTTM Vincomes Chùa Bộc, các trường ĐH lớn như HV Ngân Hàng, ĐH Y, ĐH Thủy Lợi, ĐH Bách Khoa...tiện ích cực đỉnh.- Nhà thiết kế 5 tầng, chắc chắn, mới đẹp về ở ngay, nội thất cao cấp toàn GỖ LIM NAM PHI, hàng nhập Châu Âu, có 3 Phòng Ngủ thoáng, rộng đẹp đầy đủ công năng sử dụng.- Sỏ đỏ chính Chủ, nở hậu giao dịch nhanh.- Liên hệ Mrs Lan, chuyên Nhà đất thổ cư Hà Nội.",20/05/2022,Tin thường,batdongsan_so_com_vn_1673824040.186799, 5, 3, 4,,
"3,7 tỷ VNĐ","Nguyễn Văn Cừ, Long Biên", 36m2,"+ Ngõ rộng oto qua lại thoải mái, ngõ nông và thông nhau, khu vực an ninh, an sinh tốt + Nhà mình bán cách mặt ngõ 10m, ngách trước nhà ba gác phi thoải mái. + Cách mặt phố Nguyễn Văn Cừ tầm 70m + Nhà xây rất chắc chắn nhưng xác định bán đất. - Thiết kế: T1: Khách, Bếp, VS T2: 2 Ngủ, VS T3: Phòng ngủ, phòng thờ, Sân phơi. + Sổ đỏ cất két, sẵn sàng giao dịch.",20/05/2022,Tin thường,batdongsan_so_com_vn_1673824041.1601887, 3,,,,
"15,2 tỷ VNĐ",Phố Tô Vĩnh Diên, 60m2,"BÁN NHÀ 60M2 MẶT PHỐ TÔ VĨNH DIỆN, MẶT TIỀN 4M,  5 TẦNG Diện tích 60m2, 5 tầng, MT 4m, có thang máy, Giá 15,2 tỷ Tầng 1: Cửa hàng + khách + WC Tầng 2,3: mỗi tầng đều có 2PN + WC Tầng 4: Bếp + 1 PN + WC Tầng 5: Sân phơi + tum + phòng thờ Giá 15,2 tỷ Phố Tô Vĩnh Diện là con phố có nhiều văn phòng, khách sạn, quán ăn, cà phê... cùng đầy đủ tiện ích như chợ, siêu thị, cây xăng, ngân hàng, trường học các cấp gần bên. Sổ đỏ chính chủ giao dịch. Mr Tiến Lucky – chuyên BĐS Thổ cư -  ĐT: 0979.160085",20/05/2022,Tin thường,batdongsan_so_com_vn_1673824042.4587162, 5,,,,
"4,5 tỷ VNĐ","VŨ TÔNG PHAN, THANH XUÂN", 36m2,"CHÍNH CHỦ BÁN NHÀ PHỐ VŨ TÔNG PHAN, THANH XUÂN, DT 36M2, MT 7M, 5 TẦNG, Ô TÔ GẦN NHÀ, CHỦ TẶNG TOÀN BỘ NỘI THẤT. + Vị trí trung tâm Thanh Xuân dân trí cao, gần chợ, trường học, bệnh viện, ngân hàng và giao thông thuận tiện. + Nhà 5 tầng cực đẹp mặt ngõ ô tô 7 chỗ thông phố Bùi Xương Trạch. + Sổ đỏ chính chủ, pháp lý sạch. + Liên hệ em Thái để được tư vấn và hỗ trợ miễn phí.",20/05/2022,Tin thường,batdongsan_so_com_vn_1673824043.7851667,,,,,
"8,3 tỷ VNĐ","Ngõ Quỳnh, Bạch Mai, quận Hai Bà Trưng , Hà Nội", 45m2,"Siêu phẩm khu vực Hai Bà Trưng, ô tô đậu trước cửa, lô góc thoáng Mô tả  : + Diện tích mỗi sàn : 45m2, khung bê tông chắc chắn hiện tại đang là 6 tầng , khách lên theme tầng thoải mái. + Ô tô đỗ cửa , ngõ thông ra các phố chính,  cách bờ Bờ Hồ, phố đi bộ chỉ 15 phút . + Nằm ở vị trí lô góc nên các tầng đủ ánh sáng, phòng sử dụng công năng đầy đủ. + Khu vực dân cư đông đúc , sầm uất, náo nhiệt ngày đêm , buôn bán cực đỉnh. + Chủ nhà thân thiện tặng lại nội thất sang , xịn, mịn , đẹp cho khách mua. + Sổ đỏ pháp lý đầy đủ, giao dịch luôn trong ngày. + Giá nán  : chỉ 8,3 tỷ  ( có thương lượng ) Liên hệ : 0865456977 – Giang",20/05/2022,Tin thường,batdongsan_so_com_vn_1673824044.801449, 6, 5, 5, 6,
"4,7 tỷ VNĐ",Đường Lĩnh Nam phường Vĩnh Hưng, 45m2,"
    
+ Mô Tả : 
DIỆN TÍCH 45M - trong đó diện tích xây nhà là 30m và 15m làm sân cổng , 1 mình nhà 1 cổng nên cực kì tiện lợi . Thoáng sạch sẽ 
- Phòng nào cũng có cửa sổ , tổng 4 Phòng ngủ Rộng 
- Nhà mới xây thiết kế đẹp mắt , mới koong khách về chỉ việc vào ở ngay. 
- Vị trí đường xá thuận tiện, xe ô tô đỗ tận cổng xung quanh khu đông dân sầm uất . 
- Tiện ích ngập tràn khách xem là chốt ! 
-CĐT tâm huyết , nhà đẹp chắc chắn vô cùng ! 

. 
+ Thiết kế : 
Tầng 1 : Phòng khách - Bếp - Wc - Sân rộng
Tầng 2,3,4,5: 1 Phòng ngủ  rộng + wc 
Tầng 5 : Phòng thờ + sân phơi . 

Sổ đỏ đẹp sẵn sàng giao dịch! 
",20/05/2022,Tin thường,batdongsan_so_com_vn_1673824046.0082638, 6, 4, 5,, 2
"13,1 tỷ VNĐ",Văn Phú- Hà Đông, 90m2,"Cần bán Liền kề Văn Phú 90m, 5 tầng thang máy, ô tô tránh, vỉa hè kinh doanh sầm uất Chủ nhà sang định cư nước ngoài cần tiền bán gấp nhà đẹp Liền kề Văn Phú gần Victora, khu vực sầm uất, gần chợ Văn Phú, khu vực đắc địa đẹp dân đông đúc, đường thông hè thoáng, ở kết hợp kinh doanh hay làm văn phòng tuyệt vời với 5 tầng thang máy hiếm. Nhà gần chợ, siêu thị Metro, trường học, ngân hàng, bệnh viện không thiếu,…khu văn minh một trong 4 khu đô thị đáng sống bậc nhất Hà Đông. Giao thông di chuyển ra trục chính Quang Trung sang Lê Trọng Tấn thông ra Văn La, hàng xóm Lý Thường Kiệt, giáp Trần Đăng Ninh,… Sổ vuông chính chủ, sẵn sàng giao dịch. Giá: 13.1 tỷ ( có thương lượng). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",20/05/2022,Tin thường,batdongsan_so_com_vn_1673824047.024556, 5,,,,
195 triệu VNĐ,Đường 61 Hoàng cầu phường ô chợ dừa, 68m2,"
    - Tiện ích đầy đủ, gần Trung tâm hành chính Quận (350m), trường học, bệnh viện, Hồ sinh thái (Hồ Hoàng Cầu), 3 phút ra Hoàng Cầu, 3p di chuyển ra Nguyễn Lương Bằng, Xã Đàn...+ Hiện đang cho thuê làm quán, doanh thu 18tr/ tháng.
",20/05/2022,Tin thường,batdongsan_so_com_vn_1673824048.131596, 4, 3, 3, 8, 10
"7,7 tỷ VNĐ",Nguyễn Văn Lộc- Hà Đông, 44m2,"Nhà đẹp Ngyễn Văn Lộc, Hà Đông, 44m, 6 tầng thang máy kinh doanh sầm uất, ô tô tránh Siêu phẩm nhà đẹp hiếm Nguyễn Văn Lộc, Hà Đông, vị trí đẹp đắc địa vừa ở kết hợp kinh doanh hay làm văn phòng, thông sang An Hoà, đường trước nhà ô tô tránh rộng mênh mông. Nhà được thiết chuẩn công năng sử dụng lừng lững 6 tầng thang máy hiếm nhất khu, các phòng hiện đại, kinh doanh đủ loại hình. Dân cư tấp nập ngày đêm kinh doanh sầm uất, lõi trung tâm Hà Đông cạnh siêu thị lớn Big C, Coop mark, các trường đại học như Kiến Trúc, Học viện An ninh, Bưu chính Viễn Thông, Nhạc hoạ Trung Ương,… Giao thông đi đâu cũng thuận tiện vài bước ra trục chính lên Thanh Xuân, giáp Nam từ Liêm, cạnh Phùng Khoang, hàng xóm Mỗ Lao, song song với Văn Quán xuống Trần Phú,… Sổ vuông chính chủ, sẵn sàng giao dịch. Giá: 7.7 tỷ ( có thương lượng). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",20/05/2022,Tin thường,batdongsan_so_com_vn_1673824049.3303888, 6,,,,
