price,address,Diện tích,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền,Hướng,Lộ giới
"5,5 tỷ VNĐ",đường Khương Đinờng Khương Hạ, 46m2, 5, 4, 5,"Nhà mới đẹp, thiết kế hiện đại, đẳng cấp cao, nội thất, WC,… đều bằng đồ cao cấp; tủ bếp, cầu thang, sàn nhà,… toàn bằng gỗ. Chỉ vài bước chân là ra tới: hồ điều hòa, trường học các cấp, chợ - trung tâm mua sắm – khu vui chơi, cơ sở y tế,… Thông tuyến: Hoàng Đạo Thành, Hạ Đình, Nguyễn Xiển; đi Cầu Dậu, đến ngã tư Sở, lên đường vành đai 3, qua Linh Đàm hay xuống Tân Triều… cực kỳ thuận tiện. Vị trí cực đẹp, ngay sát Chung cư, ngõ to như phố, ô tô tránh nhau thoải mái, nhà cách chỗ đỗ ô tô chỉ 5m. Diện tích 46m2, xây 5 tầng, vuông đẹp, phòng nào cũng có cửa sổ đón nắng ngập tràn. + Tầng 1 là bếp, phòng khách, WC. + Tầng 2,3,4 mỗi tầng 2 phòng ngủ khép kín. + Tầng 5: phòng thờ, sân phơi. Sổ đỏ đẹp, sẵn sàng giao dịch ngay. Giá: 5,5 tỷ VNĐ Thanh Xuân giờ giá lên vù vù, anh chị em cô chú đi mua cứ mạnh dạn, nhanh chân là được! Liên hệ: Mr. Ngọc – 0344.978.570 (chuyên khu vực Thanh Xuân). Hỗ trợ cho vay trả góp chỉ từ 7 triệu/tháng, thủ tục đơn giản, giải ngân nhanh.",26/03/2022,Tin thường,batdongsan_so_com_vn_1673828068.0032854,,,
"7,5 tỷ VNĐ","đường Bùi Xương Trạch, phường Khương Đình", 60m2, 1, 1, 1,"Cần bán mảnh đất đường Bùi Xương Trạch, phường Khương Đình, quận Thanh Xuân. Diện tích 60m2, mặt tiền 5m trước sau như một. Trước nhà ô tô tránh, cạnh hồ điều hòa. Khu vực được xây nhà cao tầng; rất thích hợp xây đầu tư, xây văn phòng, xây nhà ở, xây chung cư mini,… Gần trường học các cấp; trung tâm của các chợ và các cơ sở y tế. Giá: 7,5 tỷ VNĐ; sổ vuông đét. Liên hệ: Mr. Ngọc – 0344.978.570 (chuyên khu vực Khương Đình).",26/03/2022,Tin thường,batdongsan_so_com_vn_1673828069.0385156, 5,,
"6,43 tỷ VNĐ",Lê Trọng Tấn- Hà Đông, 60m2,,,,"VIP! Kinh doanh, Phân lô, vỉa hè,  ô tô tránh, 60m, nhỉnh 6 tỷ, Lê Trọng Tấn, Hà Đông Chủ nhà chuyển vào Huế sống với gia đình nên cần bán gấp nhà đẹp khu phân lô cán bộ, vỉa hè rộng, tự xây khung cột bê tông chắc chắn, ban công cửa sổ thoáng mát, chỉ việc xách vali đến ở. Nhà thuộc trung tâm Lê Trọng Tấn- Hà Đông, nơi đáng sống bậc nhất, xung quanh đầy đủ tiện ích, ngay cạnh Park city thiên đường sống trong lành, vài bước ra Quang Trung. Nơi ở yên tĩnh, đường trước nhà ô tô tránh, vào nhà, thông muôn nơi, khu hiếm nhà bán. Phù hợp với ở, làm văn phòng hay kinh doanh. Khu vực giao thông chính huyết mạch: Dương Nội, Văn Phú, La Khê, Hoàng Đôn Hòa, Văn La, Lý Thường Kiệt, Trần Đăng Ninh, Quang Trung... Giá: 6.43 tỷ ( có gia lộc). Sổ vuông như tờ A4, sẵn sàng giao dịch. Liên hệ ngay với em Huyền Thổ cư Hà Đông- KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn. ",09/04/2022,Tin thường,batdongsan_so_com_vn_1673828070.1086538,,,
"6,43 tỷ VNĐ",Lê Trọng Tấn- Hà Đông, 60m2,,,,"VIP! Kinh doanh, Phân lô, vỉa hè,  ô tô tránh, 60m, nhỉnh 6 tỷ, Lê Trọng Tấn, Hà Đông Chủ nhà chuyển vào Huế sống với gia đình nên cần bán gấp nhà đẹp khu phân lô cán bộ, vỉa hè rộng, tự xây khung cột bê tông chắc chắn, ban công cửa sổ thoáng mát, chỉ việc xách vali đến ở. Nhà thuộc trung tâm Lê Trọng Tấn- Hà Đông, nơi đáng sống bậc nhất, xung quanh đầy đủ tiện ích, ngay cạnh Park city thiên đường sống trong lành, vài bước ra Quang Trung. Nơi ở yên tĩnh, đường trước nhà ô tô tránh, vào nhà, thông muôn nơi, khu hiếm nhà bán. Phù hợp với ở, làm văn phòng hay kinh doanh. Khu vực giao thông chính huyết mạch: Dương Nội, Văn Phú, La Khê, Hoàng Đôn Hòa, Văn La, Lý Thường Kiệt, Trần Đăng Ninh, Quang Trung... Giá: 6.43 tỷ ( có gia lộc). Sổ vuông như tờ A4, sẵn sàng giao dịch. Liên hệ ngay với em Huyền Thổ cư Hà Đông- KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn. ",09/04/2022,Tin thường,batdongsan_so_com_vn_1673828071.244616,,,
"6,4 tỷ VNĐ",giải phóng hoàng lệt hoàng mai hà nội, 63m2, 4, 4, 5,+ Nhà Đẹp. Gần Phố. Ô Tô Đỗ Cửa Ngày Đêm + Cạnh Hồ Linh Đàm. Quận Uỷ Hoàng Mai. Bến Xe Nước Ngầm. Trường Mầm Non. Cấp 1.2.3 + Nhà Chủ Tự Xây. Công Năng Đầy Đủ + Tầng 1. Phòng Khách + Bếp + WC + Tầng 2.3 Mỗi Tầng 2 Ngủ + WC + Tầng 4. Phòng Thờ + Sân  Phơi + Khu Phố Thân Thiện. Giao  Thông Thuận Tiện + Sổ Đẹp Giao Dịch Nhanh + Lh 0989364334 miễn mọi chi phí khi xem nhà,09/04/2022,Tin thường,batdongsan_so_com_vn_1673828072.3137553, 4,,
"5,26 tỷ VNĐ","số 35 ngõ 426/6 đường Láng, Láng Hạ, Quận Đống Đa, Hà Nội", 47m2, 4,,,"Chính chủ bán nhà số 35 ngõ 426/6 đường Láng, Láng Hạ, Quận Đống Đa, Hà NộiDiện tích sổ đỏ: 47m2, diện tích xây dựng 50m2 x 3 tầng 1 tum, mặt tiền 3,72m, nở hậu 3,96m, mỗi tầng 2 phòng ngủ, cầu thang giữa.Nhà xây chắc chắn lên được 2 tầng nữa, nhà còn mới, xây kiểu hiện đại chỉ việc về ở, cách mặt đường Láng khoảng 60m.Khu vực trung tâm, thuận tiện giao thông sinh hoạt, gần trường, chợ, an ninh tốt.Giá bán:  5,26 tỷ.Chính chủ: 0981835869   Nguồn:  http://nhadathanoi.net.vn",09/04/2022,Tin thường,batdongsan_so_com_vn_1673828073.5314987, 3,,
12 tỷ VNĐ,LONG BIÊN, 80m2,,,,"Bán nhà Việt Hưng 2T, 2 mặt ngõ to ô tô tránh, mặt tiền rộng, KD, VP, giữ tiền quá tuyệt,nhỉnh 10 tỷ. 🏘️ Ngõ Việt Hưng to như phố khu vực có nhiều nhà hàng, văn phòng. Vị trí đẹp cạnh Vinhomes riverside, thông các phố Việt Hưng, Kim Quan Thượng và đặc biệt thông ra thẳng khu Shophouse Vinhomes khu Vip nhất quận Long Biên. 🏫 Nhà thiết kế 2 tầng, trước chủ kinh doanh cafe và làm văn phòng, nay cho thuê. Chủ xác định bán đất. Khách mua về đầu tư xây toà nhà 7 tầng thang máy, kinh doanh, văn phòng đẹp tuyệt vời. Nhà 2 mặt ngõ thoáng trước, thoáng sau. 🏫Vị trí đẹp, khu vực đang phát triển rất mạnh, giá trị tiềm năng tăng giá rất cao + Liên hệ: Anh Quân: 0987353408 để đi xem nhà miễn phí.",09/04/2022,Tin thường,batdongsan_so_com_vn_1673828074.6505203,,,
885 triệu VNĐ,"khu Tập thể Bộ Nông nghiệp, Phố Lê Gia Định, Phường Đồng Nhân, Quận Hai Bà Trưng, Hà Nội", 35m2, 4, 1, 1,"Chính chủ bán căn hộ ở tầng 4 khu Tập thể Bộ Nông nghiệp, Phố Lê Gia Định, Phường Đồng Nhân, Quận Hai Bà Trưng, Hà Nội- Diện tích trong sổ: 20m2- Diện tích sử dụng 35m2- Căn hộ gồm: 1 phòng ngủ, 1 phòng khách, 1 gác xép, 1 bếp, 1 chỗ phơi đồ, 1 vệ sinh- Căn hộ đã có nội thất đầy đủ.-  Với rất nhiều tiện ích như: + Ô tô đỗ tận nơi, sân thượng rộng gần 1000m có thể đi bộ và chơi thể thao.+ Bán kính 150m có đầy đủ hệ thống các trường mầm non, tiểu học, THCS, THPT, chợ lớn chợ nhỏ+ Đi bộ 300m ra Phố Huế; -  Phù hợp: vợ chồng trẻ có con nhỏ, sinh viên, làm việc ở Trung tâm thành phố, tài chính vừa phải, muốn một sự đảm bảo vững chắc về tính pháp lý của tài sản- Khu an ninh vô cùng tốt, dân cư văn minh , thân thiện Giá bán: 885 triệu - Sổ đỏ chính chủ.  Liên hệ chủ nhà: 0963045936
 
 
Nguồn:  http://nhadathanoi.net.vn/

",09/04/2022,Tin thường,batdongsan_so_com_vn_1673828075.842314,,,
,"phố Trịnh Đình Cửu, mặt hồ Định Công, Hoàng Mai", 37m2,,,,"Bán hoặc cho thuê nhà phố Trịnh Đình Cửu, mặt hồ Định Công, Hoàng MaiDiện tích: 37m2 x 1,5 tầng. Mặt tiền: 5m, ô tô đỗ cửa.Vị trí thuận tiện giao thông, gần bệnh viện Bưu Điện, có thể kinh doanh.Giá : Thỏa thuận.Chính chủ: 0945754805 - sổ đỏ chính chủ Nguồn:  http://nhadathanoi.net.vn/",09/04/2022,Tin thường,batdongsan_so_com_vn_1673828077.1707592, 5,,
"3,9 tỷ VNĐ",Vũ Trọng Phụng, 30m2, 5,,,"- Diện tích 30m2, măt tiền 3.5, giá 3.9 tỷ.- Sổ đỏ vuông vắn, nở hậu.- Nhà xây 5 tầng, thiết kế cực đẹp. - Cầu thang gỗ lim, cửa tủ gỗ hương. - Ngõ thông có thể kinh doanh nhỏ, online.Nhà xây 5 tầng, thiết kế cực đẹp, cầu thang gỗ lim, cửa tủ gỗ hương.  Liên hệ em Đạt để được tư vấn và dẫn đi xem nhà miễn phí! LH: 0973838798.",09/04/2022,Tin thường,batdongsan_so_com_vn_1673828078.4747016, 3,,
"3,9 tỷ VNĐ","Cường Kiên, Trung Văn", 136m2,,,,"Chung cư 17T1 Vinaconex 3 Trung Văn, Nam Từ Liêm, Diện tích 136m2, Mặt tiền 10m. + Vị trí nằm tại tòa nhà 17T1 Vinaconex 3, đường Cương Kiên, Phường Trung Văn, Quận Nam Từ Liêm, HN. + Diện tích 136 m2 full nội thất. + Thiết kế 1 phòng Master rộng, tổng 3 phòng ngủ, 2 vệ sinh, 1 khách, 1 bếp, 1 ban công, phòng nào cũng có cửa sổ thoáng mát. + Tiện ích phong phú gần chợ, siêu thị, trường học các cấp, khu đô thị Vinhomes Green Bay, Đại Lộ Thăng Long, Tố Hữu, Trung tâm Hội nghị Quốc gia. + Dân trí cao, an ninh tốt. + Sổ đỏ chính chủ cất két. + Liên hệ em Thái để được xem chi tiết nhà.",09/04/2022,Tin thường,batdongsan_so_com_vn_1673828079.5523894,,,
"14,62 tỷ VNĐ",Khu đấu giá 31ha Trâu Quỳ - Gia Lâm - Hà Nội, 136m2,,,,"- Cần bán nhanh thửa đất tại khu đấu giá 31ha trung tâm TT Trâu Quỳ - Gia Lâm – Hà Nội.- Diện tích đất 136m2, mặt tiền 6.82m, vỉa hè 2.5m, đường nhựa 13m, đường thông các ngả đi Ngô Xuân Quảng, Thành Trung, Nguyễn Khiêm Ích, UBND huyện, bệnh viện,…..- Kinh doanh vô đối đặc biệt về mảng dịch vụ ăn uống và giải trí, dân cư sầm uất, nhiều nhà hàng, café, quán bia,.. nơi tiếp khách trong và ngoài huyện.- Khu vực trung tâm đang có rất nhiều dư địa tốt như: các dự án nhà phố thương mại và biệt thự đang được triển khai Euro Windows, Hải Phát, Sông Hồng, Vinhomes Ocean Park…đặc biệt là công viên trung tâm và 2 hồ 9 và 19ha sắp được thi công.- Sổ đỏ chính chủ, thiện trí bán sẵn sàng giao dịch, giá chỉ 107.5tr/m2.Liên hệ xem đất và biết thêm thông tin chi tiết 0982852808, 0948584888 ",09/04/2022,Tin thường,batdongsan_so_com_vn_1673828080.5647135, 7, Tây nam, 13
44 triệu VNĐ/m2,"ĐA TỐN, GIA LÂM", 53m2,,,,"  CÒN SÓT DUY NHẤT LÔ DT”52,8m ĐA TỐN GIÁP VIN PEARLAND 300m VÀO VIN HOMES .+ 🚙 OTO VÀO TẬN ĐẤT + XUNG QUANH CHỢ ,TRƯỜNG HỌC ... SIÊU THUẬN TIỆN ...👉 giá CHỈ 44 /m HÀNG HIẾM Ạ. LIÊN HỆ NGAY ĐỂ CHỐT ",09/04/2022,Tin thường,batdongsan_so_com_vn_1673828081.4513612, 5,,
"4,5 tỷ VNĐ",Ngõ 260 Cầu Giấy, 44m2, 2, 2,,"Bán nhà ngõ 206 Cầu Giấy gần trường Cao Đẳng Điện Tử - Điện Lạnh Hà Nội.Diện tích 44,1m, xây 1 tầng rưỡi , mặt tiền rộng 4,3m. Giá chào 4,5 tỷ + Nhà dân tự xây nên rất kiên cố chắc chắn + Nằm trên khu vực Cầu Giấy kinh doanh sầm uất, gần trường Đại học Cao Đẳng Điện Tử - Điện Lạnh, trước ngõ có chợ . Khu Vực an ninh tuyệt đối, an sinh rất tốt + Sổ đỏ chinh chủ giao dịch ngayMiễn mời chao quảng cáo và trung gian Liên hệ : 0936289888/ Mr.Mai",04/04/2022,Tin thường,batdongsan_so_com_vn_1673828086.1793413, 4,,
"7,9 tỷ VNĐ","Kim Ngư, Hai Bà Trưng", 40m2, 5, 4,,"Mô tả: + Nhà mặt ngõ cực nông, ô tô đỗ cửa. + Nhà xây 5 tầng kiên cố, chắc chắn. + Tầng 1, 2 làm văn phòng rất thuận lợi, Tầng 2,4,5 để ở rất thoáng mát, an ninh tốt nhất khu phố. + 1 phút lên bờ hồ, Phố cổ, nửa phút tới Time City. + Giao thông rất thuận tiện, nửa phút ra chợ 8-3, bệnh viện Thanh nhàn, bạch mai, Gần các trường học như cấp 1,2,3 và các trường đại học Bách Khoa, KT Quốc Dân, Xây Dựng. + Giá chào 7.9 tỷ,  Có thương lượng. + Diện tích 40m2. + Sổ đỏ trong két, sắn sàng giao dịch. +Miễn phí tư vấn, xem nhà 100%. + Liên hệ : Nguyễn Dương  0825920555 Để được tư vấn, xem nhà và hỗ trợ tốt nhất.",09/04/2022,Tin thường,batdongsan_so_com_vn_1673828087.3691978, 3,, 6
"2,5 tỷ VNĐ",Lãng Yên - Hà Nội, 40m2,,,,"- Nằm ở vị trí trung tâm trên mặt phố Lãng Yên với khu vực kinh doanh buôn bán sầm uất, dân trí cao, an ninh thắt chặt.- Đường trước nhà rộng rãi thoáng mát, ô tô đỗ trước cửa, rất phù hợp để kinh doanh lâu dài, hiện tại gia chủ đang cho thuê để kinh doanh rất ổn định.- Xung quanh nhà gần chợ, các nhà hàng, quán ăn, tạp hoá, siêu thị mini, hiệu cùng vô vàn các tiện ích khác nhau.- Nhà nằm ở vị trí trung tâm nên thông ra nhiều tuyến phố lớn Nguyễn Khoái, Trần Khát Chân, Đại Cồ Việt, Lãng Yên giao thông di chuyển thuận tiện, dễ dàng.- Nhà được gia chủ thiết kế chắc chắn kết hợp bởi nhiều phòng khác nhau với đầy đủ công năng sử dụng.- Sổ đỏ sạch, pháp lý chuẩn sẵn sàng giao dich. Chủ nhà trẻ tuổi làm ăn rất lộc nên cực kỳ thiện trí giá trào 2.5 tỷ Chi tiết LH: Nhật Nhà Đất  0977194820 (Chuyên Nhà đất Thổ cư với nguồn hàng Hơn 6000 Căn Nhà  Lớn nhỏ Từ 1 – 100 Tỷ trên khắp địa bàn Hà Nội sẵn sàng giúp Khách hàng tìm được những căn nhà ưng ý nhất).Lưu ý:-Tận Tâm, Uy tín , Chuyên nghiệp cái Tâm và cái Tầm đặt lên hàng đầu- Không kênh giá chủ nhà- Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý ",09/04/2022,Tin thường,batdongsan_so_com_vn_1673828088.3764951,,,
"6,6 tỷ VNĐ","Chủ cần Bán gấp nhà 6 tầng có thang máy, phố Nguyễn Văn Huyên Trung tâm Quận Cầu Giấy.", 35m2, 6, 5, 3,"NHỈNH 6 TỶ CÓ NHÀ MỚI 6 TẦNG QUẬN CẦU GIẤY – THANG MÁY – KINH DOANH Chủ cần Bán  gấp nhà 6 tầng có thang máy, trung tâm Quận Cầu Giấy. Ngõ thông, ô tô nhỏ qua nhà, kinh doanh sầm uất ngày đêm. Diện tích: 35m2. 6 tầng. Giá chào 6.6 tỷ có thương lượng. Thiết kế: nhà 6 tầng mới,  thông sàn. Thang máy thang bộ cuối nhà, mỗi tầng có 1 wc, nội thất liền tường cơ bản. Có giếng trời thông thoáng, ngập tràn ánh sáng tự nhiên. Sổ đỏ vuông vắn nở hậu, sẵn sàng giao dịch. Nhà phù hợp an sinh, kết hợp kinh doanh, giữ tiền. Khách hàng quan tâm liên hệ: 0792122918 Anh Chính",09/04/2022,Tin thường,batdongsan_so_com_vn_1673828089.3758204, 4,,
"7,9 tỷ VNĐ","Kim Ngưu, Hai Bà Trưng", 40m2, 5, 4,,"Mô tả: + Nhà mặt ngõ cực nông, ô tô đỗ cửa. + Nhà xây 5 tầng kiên cố, chắc chắn. + Tầng 1, 2 làm văn phòng rất thuận lợi, Tầng 2,4,5 để ở rất thoáng mát, an ninh tốt nhất khu phố. + 1 phút lên bờ hồ, Phố cổ, nửa phút tới Time City. + Giao thông rất thuận tiện, nửa phút ra chợ 8-3, bệnh viện Thanh nhàn, bạch mai, Gần các trường học như cấp 1,2,3 và các trường đại học Bách Khoa, KT Quốc Dân, Xây Dựng. + Giá chào 7.9 tỷ,  Có thương lượng. + Diện tích 40m2. + Sổ đỏ trong két, sắn sàng giao dịch. +Miễn phí tư vấn, xem nhà 100%. + Liên hệ : Nguyễn Dương  0825920555 Để được tư vấn, xem nhà và hỗ trợ tốt nhất.",09/04/2022,Tin thường,batdongsan_so_com_vn_1673828090.5048013, 3,, 6
