price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Hướng,Số toilet
6 tỷ VNĐ,"Đường Phùng Khoang, Thanh Xuân Bắc, Thanh Xuân", 45m2, 5, 6, 6, 12,"+Chính chủ cần bán nhà măt đường lớn chợ Phùng Khoang, nhà mặt đường hai ô tô tránh nhau.  +Kinh doanh sầm uất,sổ đỏ chính chủ, sẵn sàng giao dịch +Ngõ rộng, thông ra khu biệt thự liền kề. +Nhà chính chủ xây mới, sau là khu đô thị Mới Trung Văn, gần nhiều trường đai học, đường Lê Văn Lương,   đường NguyễnTrãi, đường Khuất Duy Tiến, CGV Hồ Gươm Plaza. + LH; anh Bắc, Chuyên Bất động sản nhà đất Hà Nội, dẫn Khách xem nhà và tư vấn miễn phí 24/7.",21/11/2022,Tin thường,batdongsan_so_com_vn_1673786733.0958602,,
680 triệu VNĐ,"Đường Ngọc Hồi, Ngọc Hồi, Thanh Trì", 60m2, 7, 10, 15, 2,"Chỉ từ 680 TRIỆU  Bạn đã sở hữu ngay căn hộ SUNRISE HOME - NGỌC HỒI, THANH TRÌ. Đầy đủ tiện ích. Hỗ trợ hồ sơ vay vốn NGÂN HÀNG CHÍNH SÁCH XÃ HỘI.Chỉ với lãi suất chỉ 4,8%/năm.Chủ đầu tư: Công ty Cổ phần cơ khí và xây lắp số 7 Tiến độ triển khai Dự án: Quý 4/2022 - Dự kiến hoàn thành bàn giao Quý I/2023 Thiết kế thông minh, sang trọng, không gian mở, phong cách hiện đại Vị trí trung tâm huyện Thanh Trì, xung quanh nhiều tiện ích: - Gần các trường học, trường chuyên của Huyện  - Bệnh viện Nông nghiệp. 10 phút ra tới bến xe nước Ngầm, BX Giáp Bát, quốc lộ 1A Pháp Vân, Cầu Giẽ. Diện tích đa dạng từ 40 - 60m2. Giá chỉ từ 16 -17triệu /m2. Sổ hồng lâu dài. Lh: 0926885959 Anh Lâm phòng tiếp nhận HS.",21/11/2022,Tin thường,batdongsan_so_com_vn_1673786736.0318782, Bắc, 2
"6,999999 tỷ VNĐ","Đường Ngọc Lâm, Ngọc Lâm, Long Biên", 55m2, 4, 6, 6, 3,"Bán Nhà Phố Ngọc Lâm. Oto Tránh. Ngõ Thông. Kinh Doanh. 55m. 6Tầng. Mt 4,5m. Giá Gần 7 Tỷ. MẶT NGÕ TO NHƯ PHỐ - Ô TÔ ĐỖ CỬA - NGÕ THÔNG THOÁNG - KINH DOANH BẤT CHẤP + Vị trí : ngõ thông thoáng, ô tô tránh,đỗ cửa. Cách mặt phố Ngọc Lâm vài chục mét. Ngõ rộng kinh doanh đa dạng.- Nhà thiết kế 5 tầng 1 tum, có sân cổng để được ô tô thoải mái.oto đỗ sânTiện ích: gần trường gia thuỵ, gần chợ, gần phố Ngọc Lâm, full tiện ích. - Tầng 1 chủ nhà đang cho thuê cửa hàng giá rẻ 10tr/1th.- Tầng 2 khách và bếp. - Tầng 3.4.5 mỗi tầng 1 phòng- Tầng 6. Phòng thờ sân phơi. Gọi ngay để mua được nhà đẹp : Ms Mai",21/11/2022,Tin thường,batdongsan_so_com_vn_1673786738.8321555, Đông nam, 5
"4,6 tỷ VNĐ","Đường Trường Chinh, Thượng Đình, Thanh Xuân", 56m2, 5, 3, 5,,"Cần tiền phát triển chuỗi gian hàng thương mại điện tử, cần bán gấp căn nhà phố Trường Chinh, nhà xây từ 2017 vẫn còn rất đẹp và kiên cố, đầy đủ công năng sử dụng Vị trí đẹp, gần Ngã tư sở, Royal City, giáp ranh giữa 2 quận Thanh Xuân-Đống Đa, gần nhiều trường đại học lớn như Ngân Hàng, Y…..Di chuyển lên trung tâm vô cùng thuận tiện. Nằm ở lô góc vô cùng thoáng, các phòng đều có cửa sổ, xây 5 tầng vuông vắn cực kỳ bề thế. Do nhìn thấy cơ hội tốt nên chủ muốn bán gấp căn nhà này để dồn tiền vào đầu tư, căn nhà với thông số cực kỳ hiếm Sổ đỏ vuông vắn, pháp lý rõ ràng, giao dịch ngay Liên hệ ngay em : Phước Đức Để được xem nhà sớm nhất. Xin cảm ơn!",21/11/2022,Tin thường,batdongsan_so_com_vn_1673786740.1775548,,
"3,5 tỷ VNĐ","Phố Nguyễn An Ninh, phường Tương Mai, quận Hoàng Mai, Hà Nội", 160m2, 5,, 4, 3,"Nhà 4 tầng hướng Đông Bắc, Mặt tiền 5,5 m, xây kiên cố. Diện tích xây dựng 160 m2. Mỗi tầng 2 phòng, vệ sinh khép kín. Nhà trong ngõ cách đường Nguyễn An Ninh 70m, khu dân cư dân trí cao, gần chợ, Trường học, khu thể thao của quận Hoàng Mai, Bệnh viện Bạch Mai, Bến xe Giáp Bát, Các trường Đại học lớn (ĐH Kinh tế, Bách khoa, Xây dựng). An ninh tôt, không trộm cắp vặt. không ngập khi trời mưa to. Giá 3,5 tỷ (có thương lượng) Liên hệ chính chủ: 0981457269 (không trung gian)",21/11/2022,Tin thường,batdongsan_so_com_vn_1673786741.0467277, Đông bắc, 3
"16,9 tỷ VNĐ",PHẠM NGỌC THẠCH ĐỐNG ĐA HÀ NỘI, 114m2, 7,,,,"- Diện tích 114m2 X4 tầng Mặt tiền 7.4mGiá bán 16.9 tỷ( có thương lượng ) - Nhà nằm vị trí trung tâm Đống Đa, khu vực đông dân cư cực kỳ sầm uất, ô tô con vào nhà, tiện ích xung quanh không thiếu gì.- Chủ xác định bán đất lên tặng luôn nhà 4 tầng cũ , chủ mới mua về có thể ở luôn hoặc xây căn hộ, văn phòng cho thuê đều đẹp.- Giao thông kết nối Xã Đàn, Đào Duy Anh, Hoàng Tích Trí, Đại Cồ Việt, Lê Duẩn, Giải Phóng, Nam Đồng, Lương Đình Của! - Sổ đỏ chính chủ, sẵn sàng giao dịch.ACE có nhu cầu liên hệ em Quân để được tư vấn.0385 94 1802Miễn( TG Quảng Cáo )",21/11/2022,Tin thường,batdongsan_so_com_vn_1673786741.946321,,
"2,3 tỷ VNĐ",Hương Viên, 25m2, 3,, 4, 3,"Bán Nhà Hương Viên - Hai Bà Trưng - GẦN HỒ - 25m2 - 4 Tầng - 2.3 Tỷ HAI BÀ TRƯNG - SỔ RIÊNG - GẦN HỒ - GẦN MẶT PHỐ* Mô tả:+ Vị trí đẹp, cách mặt hồ Hai Bà Trưng vài chục mét.+ Sổ đỏ riêng biệt, chính chủ, sẵn sàng giao dịch.+ Diện tích trên sổ là 19m, thực tế là 25m, nhà xây khung cột chắc chắn.+ Thiết kế hợp lý, phù hợp cho gia đình nhỏ hoặc mua cho con ở học thì tuyệt vời.+ Tầm tài chính nhiều khách, khu vực hiếm nhà bán.+ Anh/Chị có nhu cầu mua nhà vui lòng liên hệ : TRẦN QUYẾT BĐS HÀ NỘI, điện thoại/ Zalo: 0374148382.",21/11/2022,Tin thường,batdongsan_so_com_vn_1673786743.1191838,, 2
"14,6 tỷ VNĐ",Lê Lai- Hà Đông, 70m2, 6,,,,"Bán nhà mặt phố mới Hà Đông 70m, Mt 6m lô góc vỉa hè kinh doanh hơn 14 tỷ Người nhà gửi bán gấp căn nhà cực đẹp mặt phố lô góc 3 mặt tiền cực hiếm kinh doanh đỉnh cao, con phố sầm uất bậc nhất Hà Đông diện tích rộng 70m, mặt tiền khủng 6m phù hợp tất cả các loại hình kinh doanh. Bán kính xung quanh đầy đủ tiện ích, giao thông thuận lợi giáp Lê Lợi xuống Hà Cầu sang Bà Triệu qua Tô Hiệu vài bước ra Nhuệ Giang thông sang Văn Quán. Sổ vuông sẵn sàng giao dịch Giá: 14.6 tỷ ( gia lộc). Liên hệ : Huyền Ba La Sat Thổ cư ( 0363703491- 0965472910) - Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",21/11/2022,Tin thường,batdongsan_so_com_vn_1673786744.1394644,,
"4,15 tỷ VNĐ",Mậu Lương - Hà Đông, 37m2,,, 4,,"Bán nhà Mậu Lương, Hà Đông ô tô kinh doanh cách phố 20m, 37mx4T hơn 4 tỷ Bán nhà siêu đẹp ở ngay phố Mậu Lương, Hà Đông thông số đẹp diện tích 37m nhà 4 tầng rộng, ngõ ô tô thông cách mặt phố chỉ 20m kinh doanh giá hiếm nhất khu vực. Nhà bán gần chợ, sân bóng, ngân hàng, siêu thị, trường học các cấp. Giao thông thuận lợi giáp Đa Sỹ gần Xa La hàng xóm Thanh Trì sang Văn Phú xuống Phú Lương. Gia chủ cần bán gấp mở rộng kinh doanh nhà rất có lộc. Sổ vuông sẵn sàng giao dịch Giá: 4.15 tỷ ( gia lộc). Liên hệ : Huyền Ba La Sat Thổ cư ( 0363703491- 0965472910) - Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn. ",21/11/2022,Tin thường,batdongsan_so_com_vn_1673786745.0749605,,
"1,08 tỷ VNĐ","Đường Tỉnh Lộ 16, Đông Xuân, Sóc Sơn", 65m2, 4,,,,"- Diện tích 65.3m² (full đất ở, sổ sách an toàn).- Mặt tiền rộng phù hợp kinh doanh.- Đường ô tô vào đất thoải mái.* Đi 1 bước Vô Vàn tiện ích.- Cách 100m ra Tỉnh Lộ DT286.- Gần đất có sân chơi rộng và nhà văn hóa Thôn.- Lô đất có thể kinh doanh dịch vụ: Tạp hóa, văn phòng phẩm... Vv.- Phù hợp để ở và đầu tư lâu dài. Giá chỉ 1xtr/m².",21/11/2022,Tin thường,batdongsan_so_com_vn_1673786746.3365922,,
168 tỷ VNĐ,"Đường Đội Cung, Lê Đại Hành, Hai Bà Trưng", 550m2,, 12, 5, 3,"Đất mặt phố Đội Cung, Bà Triệu 550m2 mặt tiền 12m , phố rộng 12m.  Vỉa hè rộng kinh doanh tốt ,  Khu vực nhiều văn phòng công sở,  Thích hợp xây dựng tòa nhà văn phòng Giá chào 168 Tỷ Liên hệ: 093112788 để được xem nhà miễn phí.",21/11/2022,Tin thường,batdongsan_so_com_vn_1673786747.4566429,, 4
18 tỷ VNĐ,"Đường Hồng Tiến, Bồ Đề, Long Biên", 98m2, 7, 1, 1, 1,"Bán đất Mặt phố Hồng Tiến, Quận Long Biên, Phố đẹp nhất Quận, kinh doanh đa dạng các loại hình dịch vụ. + Diện tích 98m, mặt tiền 7m, giá chào 18 tỷ. + Lợi thế mặt tiền rộng, xây tòa nhà Văn phòng 8 tầng thang máy tuyệt đỉnh, hoặc làm cửa hàng kinh doanh doanh thu khủng. + Sổ đỏ chính chủ, siêu đẹp, không lỗi phong thủy, giao dịch ngay. Có thể bán 1/2 diện tích nếu khách có nhu cầu. Liên hệ Mrs Thúy để xem miễn phí.",21/11/2022,Tin thường,batdongsan_so_com_vn_1673786748.4539304,, 1
4 tỷ VNĐ,"Đường Hào Nam, Cát Linh, Đống Đa", 40m2, 3, 2, 4, 4,"Bán nhà Hào Nam 40m2 giá 4 tỷ, cạnh HV Âm Nhạc, để lại nội thất NHÀ ĐẸP Ở NGAY HÀO NAM - DUY NHẤT KHÔNG CÓ CĂN THỨ 2 + Nhà cạnh ngay HV Âm Nhạc Quốc Gia, cách mặt phố ô tô tránh chỉ 40m, gia đình để lại toàn bộ nội thất. + Diện tích 40m2, tầng chia 2 phòng, giá 4 tỷ. + Sổ đỏ chính chủ. Liên hệ: Ms. Hậu 070.226.9986 xem nhà miễn phí, thương lượng trực tiếp với chủ nhà.",21/11/2022,Tin thường,batdongsan_so_com_vn_1673786749.3974073,, 3
40 tỷ VNĐ,"Đường Phạm Văn Đồng, Xuân Đỉnh, Bắc Từ Liêm", 180m2, 9, 25, 4, 6,"Chính chủ cần bán lô biệt thự đơn lập dự án The jade Orchid - Phạm Văn Đồng Diện tích: 180m2 Mặt tiền: 9m Thiết kế biệt thự đơn lập lâu đài Châu Âu, được xây dựng 3 tầng nổi và 1 tầng hầm, sân vườn thiết kế xung quanh. Nằm trong dự án 377ha bao gồm rất nhiều tiện ích phục vụ cho việc ở và kinh doanh. Bàn giao xây thô và hoàn thiện mặt ngoài cho khách hàng Giá bán: 40 tỷ ( Có thương lượng) Liên hệ đi xem nhà: Anh Cường  09 8886 5556 để biết thêm chi tiết",21/11/2022,Tin thường,batdongsan_so_com_vn_1673786750.4605808, Bắc, 4
,"Đường Quan Nhân, Nhân Chính, Thanh Xuân", 45m2,, 11, 5, 4,"
    BÁN NHÀ QUAN NHÂN  45M GIÁ 4.35 TỶ- TRUNG TÂM THANH XUÂN - NHÀ ĐẸP Ở LUÔN Cần bán gấp nhà Quan Nhân 46m , MT 4m giá 4.35 tỷMô tả:+ Thiết kế :  - Tầng 1: Để Xe, Phòng khách, bếp, wc.                         - Tầng 2 : Thông Sàn.                        - Tầng 3,4: Mỗi tầng 2 ngủ, wc.                        - Tầng 5: Phòng Thờ, Sân Phơi.+ Nhà nằm vị trí cực đẹp , ngõ thông khắp ngả, tiện ích xung quanh không thiếu gì. Nhà xây dựng chắc chắn, thiết kế ấm cúng . Chủ nhà là công chức nhà nước làm ăn phát đạt bán mua nhà to hơn + Sổ đỏ nở hậu, sẵn giao dịch. Liên hệ em NHUNG: 0768.300.999
",21/11/2022,Tin thường,batdongsan_so_com_vn_1673786751.416009,, 3
"5,5 tỷ VNĐ","Đường Đỗ Đức Dục, Mễ Trì, Nam Từ Liêm", 38m2, 4, 3, 5, 4,"NHÀ MỚI ĐẸP LONG LANH, NGÕ RỘNG 4 CHỖ ĐỖ CỬA          Đỗ Đức Dục 38m2 x 5tầng MT 4m giá 5.5 tỷMÔ TẢ:+ Nhà có vị trí rất đẹp, có thể đi từ nhiều ngõ. Gần các Trường học+ Chủ cao tuổi ở một mình muốn chuyển sang Cc ở . Để lại hết nội thất.+ Nhà thiết kế 5 tầng.   - T1: Bếp, WC, khách + để xe. - T2 : Lửng để phòng khách, hoặc ngủ. - T3,4: Mỗi tầng 1 ngủ rộng + WC.- T5: 01 ngủ + Thờ + WC + sân phơi.+ Nhà đẹp, cầu thang gỗ xịn. Các phòng đều mát lẹm vì thoáng, nhiều cửa sổ. Ban ngày không cần bật điện. + Sổ nở hậu, chính chủ.",21/11/2022,Tin thường,batdongsan_so_com_vn_1673786752.5838795,, 5
"6,4 tỷ VNĐ","Đường Minh Khai, Minh Khai, Hai Bà Trưng", 48m2, 5, 3, 5,,"Kênh giữ tiền tốt nhất hiện nay !- Bán CCMN trên phố Minh Khai ,HBT,HN . Gần Bách Kinh Xây sầm uất. Luôn có nhu cầu thuê nhà rất cao.- Ngõ 3 gác đỗ tận cửa, ngõ nông, 120m ra phố Minh Khai, địa chỉ đẹp, dễ tìm.- Nhà mới xây, đã full phòng cho thuê, dòng tiền 40tr/ tháng.- Giá 6,4 tỷ- Pháp lý đầy đủ, sổ đỏ sẵn sàng giao dịch. Liện Hệ : em Dũng 0945676597",21/11/2022,Tin thường,batdongsan_so_com_vn_1673786753.6680164,,
830 triệu VNĐ,tổ 15 đồng mai hà đông hn, 34m2, 4,,,,Trung Tâm phường Đồng Mai Hà Đông.Bán gấp các lô như hình.Giá bán chỉ vài trăm triệu.Mua Hết hoặc mua 1 lô cũng bán.Sát bến xe buýt.Gần khu sinh thái Đồng Mai.Vành đai 4 chỉ cách 1km.Trước mặt có đường Hà Nội Xuân Mai.Xung quanh toàn đại za.Không quy hoạch không tranh chấp.Sổ đỏ nét căng. Lh 0345 404 040,15/11/2022,Tin thường,batdongsan_so_com_vn_1673786754.9236627,,
