price,address,Diện tích,Mặt tiền,Số tầng,Details,Ngày đăng,Loại tin,id,Hướng,Số phòng ngủ,Số toilet,Lộ giới
"5,5 tỷ VNĐ",Khương Trung, 36m2, 4, 5,"+ Trung tâm Quận Thanh Xuân, gần Trường học Cấp 1,2,3 Khương Đình, gần chợ Khương Trung, TTTM, vài phút ra Ngã tư Sở. + Thông ra nhiều đường lớn, ngõ rộng gần phố, trước nhà ô tô tránh, ô tô vào nhà, an sinh đỉnh, rất đáng sống. + Thiết kế nhà sang trọng, hiện đại, nhà 2 mặt thoáng sáng đón ánh sáng trời, nội thất nhập khẩu, chủ tặng lại hết cho khách. + Sổ đỏ vuông đẹp, pháp lý chuẩn, sẵn sàng dao dịch. LH: Mr Hoan, 0925088355, chuyên thổ cư Thanh Xuân, Đống Đa, Cầu Giấy. Miễn phí xem nhà 24/7.",23/07/2022,Tin thường,batdongsan_so_com_vn_1673812778.5476036,,,,
"2,93 tỷ VNĐ",Số 2 Lê Văn Thiêm - Chung cư Golden West, 92m2,, 6,"Tôi cần bán nhà CC 92m2 - tòa Golden West: 3PN + 2WC + 1PK + 1 ban công + 1 logia. Nằm ngay tại vị trí trung tâm, mặt đường Lê Văn Thiêm, giao thông đi lại thuận lợi, gần trường (tiểu học, cấp 2, cấp 3), gần chợ... Căn hộ đã được sửa chữa, full nội thất đồ đạc chỉ cần xách va li đến ở: Tủ bếp, giường tủ gắn tường, điều hòa 4 phòng, thiết bị vệ sinh  hiện đại. Gia đình tôi sửa để ở nên đồ đạc được chọn lựa rất kỹ. Ai có nhu cầu liên hệ chính chủ Hợp đồng CĐT đã đóng 100% ",23/07/2022,Tin thường,batdongsan_so_com_vn_1673812779.9819093, Đông nam, 3, 2,
7 tỷ VNĐ,VÕNG THI, 50m2, 4, 5,"Bán nhà Võng Thị 50m 5 tg mt 4.5 OTO KINH DOANH giá 7 tỷThông các phố Lạc Long Quân - Trích Sài Thiết kế Tầng 1 Bếp ,để xe .Tầng lửng phòng khách.Tầng 2 ,3 mỗi tầng 2 ngủ 1 WCTầng 4 2 ngủ ,1wcTầng 5 phòng thờ,sân phơi.Tầng 6 tum và vừon trồng hoa.Nhà có sân để xe.Đáp ứng căn hộ đầy đủ công năng sử dụng. Gọi cho mình đt 0903446991.Cảm ơn các bạn quan tâm.""""""",23/07/2022,Tin thường,batdongsan_so_com_vn_1673812781.5995812,, 6, 6, 3
"3,4 tỷ VNĐ",Đường Nguyễn Lam phường Phúc Đồng, 35m2, 3,,"Bán gấp đất phố NGUYỄN LAM - LONG BIÊN .  - Ngõ trước nhà 5m , ô tô chạy vòng quanh , kinh doanh , khu vực phát triển từng ngày, cửa ngõ VINHOMES RIVERSIDE. - Đất cách mặt phố Nguyễn Lam 5m . Tiện ích xung quanh 300m không thiếu thứ gì : chợ , trường mầm non , cấp 1 , 2, siêu thị Big C... - Xung quanh rất nhiều dự án đang phát triển  - Sổ đỏ vuông đẹp , pháp lí chuẩn , sẵn sàng giao dịch. - Đất phù hợp để làm kinh doanh và nhà ở . - LH : Hoàng Giang nhà đẹp Long Biên 0989918887",23/07/2022,Tin thường,batdongsan_so_com_vn_1673812783.031858,,,,
"3,6 tỷ VNĐ",Đường Đội Cấn phường Cống Vị, 40m2, 3, 4,""",serif;="""" mso-ansi-language:="""" vi'bán="""" nhà="""" Đội="""" cấn,="""" 40m2,="""" 4t,="""" 3.6="""" tỷ,="""" ba="""" Đình.="""" span="""" p="""" class=""MsoNormalSPAN"" vi'+="""" đi="""" bằng="""" nhiều="""" ngõ,="""" hoàng="""" hoa="""" thám,="""" cấn...="""" tiện="""" ích.="""" vi'="""">+ Thiết kế gọn gàng phù họp gia đình 4 _ 5 người. "",serif;="""" mso-ansi-language:="""" vi'+="""" tiện="""" ích="""" trong="""" nhà="""" không="""" thiếu="""" thứ="""" gì,="""" an="""" ninh="""" đảm="""" bảo,="""" dân="""" sinh="""" than="""" thiện.="""" span="""" p="""" class=""MsoNormalSPAN"" ngõ="""" rộng="""" rãi="""" thoáng="""" đãng,="""" đi="""" lại="""" dễ="""" dàng.="""" vi'="""">+ Sổ đỏ đẹp, chủ hợp tác.",23/07/2022,Tin thường,batdongsan_so_com_vn_1673812785.1289058,, 3, 3, 2
"2,99 tỷ VNĐ",Đường Lê Quý Đôn phường Nguyễn Trãi, 36m2, 4, 3,"
    Chính chủ chuyển công tác vào Đà Nẵng, nên nay cần bán riêng ở  Hà Đông diện tích đương to , + Vị trí lõi của quận Hà Đông , giáp ranh quận Thanh Xuân và quận Đống Đa. Giao thương nhiều phố lớn: Văn Quán , Văn Khê  ga tàu điệnNguyễn Trãi , Hà Đông n B + Thiết kế khung cột bê tông, tầng  + Cam kết sổ đỏ chính chủ. 2.99 Liên hệ ngay Hạnh land: 0978637436, để được tư vấn và xem nhà miễn phí. Trân trọng.+ Ngoài ra tôi còn rất nhiều phân khúc ở - QuậnThanh Xuân  ",23/07/2022,Tin thường,batdongsan_so_com_vn_1673812786.8852136,, 3, 3, 3
"1,8 tỷ VNĐ",Phú Lương, 30m2,,,"Bán đất phân lô ô tô đỗ, ô tô qua nhà, kinh doanh nhỏ.Vị trí đất sát chợ Phú Lương cách 100m ra quốc lộ 21B, 200m ra KĐT Phú Lương. Gần trường cấp 1,2,3 Phú Cường, Phú Lương. Khu vực đông dân cư, an sinh, an ninh tốt.Sổ đỏ vuông đẹp, pháp lý sạch.",23/07/2022,Tin thường,batdongsan_so_com_vn_1673812788.708412,,,,
"46,5 tỷ VNĐ","Chính chủ bán Biệt thự lô góc 2 mặt tiền hướng chính Bắc và chính Tây BT1 KĐT Pháp Vân, Hoàng Mai, 46,5 tỷ; 0913508019", 340m2,,,"Chính chủ bán Biệt thự lô góc 2 mặt tiền hướng chính Bắc và chính Tây BT1 KĐT Pháp Vân, Hoàng Mai, 46,5 tỷ; 0913508019 Diện tích :340m2 hướng ra vườn hoa.View đẹp, thoáng mát, gần trường học, gần khu vực trung tâm Vị trí đẹp nhất khu. Sổ đỏ chính chủ Khu an ninh tốt, giao thông thuận tiện, dân trí cao Gần trường, chợ, gần các tiện ích xung quanh - Giá bán 46,5 tỷ - Liên hệ mr Linh 0913508019 ( Không qua trung gian)       http://www.sanbatdongsanviet.com.vn",23/07/2022,Tin thường,batdongsan_so_com_vn_1673812790.2677238,,,,
"5,98 tỷ VNĐ",Đường Chùa Láng phường Láng Thượng, 43m2, 3, 5,"DIỆN TÍCH: 43M2 X 5 TẦNG  Mô tả: + Xung quanh là các TTTM, cao ốc VP, các trường ĐH, CĐ, bệnh viện, tiện ích vô vàn, ... ",23/07/2022,Tin thường,batdongsan_so_com_vn_1673812791.9831762,, 9, 9, 2
"19,2 tỷ VNĐ",Cầu giấy, 115m2,,,"PHÁT HIỆN CCMN 115M 7T DT 170tr/THÁNG TẠI CẦU GIẤY NHỈNH 19 TỶ CHÚT+ Vị trí Trung tâm Cầu Giấy, rất nhiều Công ty, Văn phòng xung quanh.+ Liền kề các Trường Đại Học Quốc gia, Sư phạm, Ngoại ngữ, Học viện Báo trí Tuyên truyền, ĐH Giao Thông Vận Tải..+ Giao thông đường thuận tiện, Đường Cầu giấy, Nguyễn Văn Huyên, Xuân Thủy, Quan Hoa, Láng..+ Sổ đẹp, pháp lý sạch, sang tên nhanh gọn.+ Thiện trí xem nhà Gọi Em Đức 0898839292.",23/07/2022,Tin thường,batdongsan_so_com_vn_1673812793.4901028,,,,
