price,address,Diện tích,Hướng,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id
"4,489 tỷ VNĐ","Phú ĐÔ, Nam Từ Liêm, Hồ Tùng Mậu, Cầu Giấy.", 35m2, Đông nam, 5, 5, 5, 4, 4,"gia đình tôi cần sang nhượng gấp căn mặt phố Quận Cầu giấy phân khúc nhỏ ô tô đỗ cửa kinh doanh sầm uất ngày đêm rất hiếm, diện tích 35 mét, mặt tiền 5 mét, xây 5 tầng kiên cố, tầng 1 kinh doanh, tầng 2 phòng khách, phòng ăn, bếp tầng 3, tầng 4 mỗi có 2 phòng ngủ tắm vệ sinh riêng như trung cư mini thoáng mát nội thất sang trọng, tầng 5 gồm có phòng nhỏ, phòng thờ, sân phơi. Sổ đỏ chính chủ phân lô, vài phút đi bộ ra sân vận động, bến xe khách mĩ đình, tháp đôi khu dân trí Hàn Quốc sinh sống làm ăn rất phát triển, xung quanh công viên các trường đại học nổi tiếng, siêu thị, vườn bách thú chung quy vô vàn tiện ích, mặt phố lớn, vị trí trung tâm Quận Cầu giấy, dân trí cao an ninh an sinh tiện lợi, gần trụ sở ủy ban công an phường, Chủ ở đây làm ăn rất có lộc các con thành đạt lớn sang nhượng về ở cùng con cháu. Giá bán nhỉnh 4 tỉ có thương lượng, không có căn thứ 2 giá rẻ, đẹp, tốt như vậy tại Quận Cầu giấy, liên hệ tôi để xem cũng như tư vấn miễn phí.",22/01/2022,Tin thường,batdongsan_so_com_vn_1673832605.9675171
17 tỷ VNĐ,Khuất Duy Tiến - Thanh Xuân - Hà Nội, 76m2,,,, 9, 10, 10,76,22/01/2022,Tin thường,batdongsan_so_com_vn_1673832607.5652425
"4,3 tỷ VNĐ","Bán nhà ngõ 176 Trương Định, Bán Nhà ngõ 383 Trần Đại Nghĩa Bán nhà ngõ 104 Nguyễn An Ninh", 40m2, Tây, 3, 3, 5, 5, 3,"Chuyển đổi tôi cần bán nhà  mới xây được 2 năm ngõ 104 Nguyễn An Ninh đi thông sang 176 Trương Định, Hai Bà Trưng,Hà Nội.DT 40m2 x 5 tầng, giá 4.3 tỷ.Nhà xây dựng 40m2 x 5 tầng,  nhà đẹp không lỗi phong thủy. Thiết kế có giếng trời lấy ánh sáng và không khí vào phòng. để lại toàn bộ nội thất.-Thiết kế bao gồm - Tầng 1: Phòng khách, bếp ăn riêng biệt, WC.- Tầng :2,3: Mỗi tầng 2 phòng rộng, 1 WC.- Tầng 4:1 phòng ngủ, phòng thờ-Tần 5: sân phơi và vườn trồng cây.Khu dân trí cao, an ninh tốt, hàng xóm thân thiện, tiện chợ gần trường học bệnh viện, cách phố 100m giao thông thuận tiện, ngõ trước nhà 2 xe tránh nhau thoải mái, SH quay đầu.Sổ đỏ chính chủ. Giá 4.3 tỷ (có thương lượng) Liên hệ chị Yến ĐT:0702138238",15/01/2022,Tin thường,batdongsan_so_com_vn_1673832608.926728
"5,75 tỷ VNĐ","Bán nhà ngõ 29 Vĩnh Tuy, Bán Nhà Ngõ 120 Vĩnh Tuy, Bán nhà ngõ 622 Minh Khai", 55m2,, 4, 3, 5, 5, 4,"Bán nhà ngõ 120 Dương Văn Bé thông Minh Khai. Diện tích 55m2, mặt tiền 4m, nhà xây mới 5 tầng, mặt ngõ thông kinh doanh tốt. Thiết kế hiện đại: Tầng 1 là thiết kế thông sàn, kinh doanh tốt và Bếp Phòng ăn. Tầng 2 là phòng khách rộng, sang trọng. Tầng 3,4 thiết kế mỗi tầng 2 phòng ngủ lớn, vệ sinh giữa. Tầng 5 là phòng thờ và sân phơi. Nhà mặt ngõ rộng, nội thất hiện đại sàn gỗ nhập khẩu, hệ thống tủ bếp đầy đủ. Nhà xây khung cột bê tông chắc chắn. Hệ thống tiết kiệm điện toàn bộ nhà. Vị trí đẹp, ngõ thông tiện kinh doanh. Nhà cực thoáng mát. Gần nhiều trường Tiểu học Vĩnh Tuy, ĐH Kinh doanh công nghệ. Sát CC Times City. SĐCC, Giá bán 5.75 tỷ (có thương lượng) liên hệ chị yến ĐT:0702138238",17/01/2022,Tin thường,batdongsan_so_com_vn_1673832610.3310344
,"Bán nhà số 6 ngách 134 ngõ 364 đường Giải Phóng,  Hoàng Mai, 0832957361", 50m2,,,,,,,"Bán nhà số 6 ngách 134 ngõ 364 đường Giải Phóng,  Hoàng Mai, 0832957361  Diện tích: 50m2 x 2 tầng - Nhà hướng Nam- Nhà nằm vị trí đẹp, 2 mặt đường- Khu giao thông thuận tiện, an ninh rất tốt. Thuận tiện ở và kinh doanh Giá bán: Thỏa thuậnLiên hệ chính chủ: 0389243393 - 0832957361      http://www.sanbatdongsanviet.com.vn",22/01/2022,Tin thường,batdongsan_so_com_vn_1673832611.4100835
"3,2 tỷ VNĐ","Kim Ngưu, Vĩnh Tuy", 35m2,,,,,,,"GIA ĐÌNH BÁN NHÀ PHỐ KIM NGƯU, 20M RA Ô TÔ, GẦN CHỢ, TIỆN ÍCH, NHÀ ĐẸP, 35M2 3.2 TỶ.+ Gia đình bán nhà phố Kim Ngưu, ngõ 559 Kim Ngưu, vị trí đẹp:- Ngõ 559 Kim Ngưu đường ô tô, thông sang phố Yên Lạc, 349 Minh Khai. - Chỉ vài bước ra đường ô tô, chợ dân sinh. - Nhà gần chợ dân sinh, trường học các cấp, 300m ra Bệnh viện Thanh Nhàn, Công viên Tuổi Trẻ, hơn 500m di chuyển sang KĐT Times City, phố Hai Bà Trưng cổ, ngập tràn tiện ích.+ Nhà mình xây kiên cố, sẵn 3 phòng ngủ đẹp đủ công năng, sổ đỏ chính chủ, chủ mới về ở ngay.+ Sổ đỏ vuông đẹp, chính chủ, sẵn sàng giao dịch.Liên hệ Mrs Nga 0985079048 để xem nhà, miễn Môi giới, trung gian và báo mạng. Phố Kim Ngưu, con phố cổ quận Hai Bà Trưng, tiếp giáp/ cắt các tuyến phố chính Minh Khai, Tam Trinh, Yên Lạc, Phố 8/3, Thanh Nhàn, Lạc Trung, Lò Đúc, Trần Khát Chân, di chuyển đi các quận nhanh chóng.",21/01/2022,Tin thường,batdongsan_so_com_vn_1673832612.512135
"6,25 tỷ VNĐ",Phùng Hưng- Hà Đông, 62m2,,,, 5,,,"Bán nhà đẹp gần Viện 103, Hà Đông, 62mx5 tầng, kinh doanh, ô tô tránh Căn nhà nằm vị trí đắc địa trung tâm Quận Hà Đông cạnh Viện 103, Viện Bỏng, khu vực đáng sống bậc nhất, ann sinh đỉnh nhất khu vực. Nhà bán rất đẹp chủ tự xây khung cột chắc chắn, 3 mặt thoáng, các tầng cửa sổ ban công rất đẹp, phong cách hiện đại, khu vực không có căn thứ 2, đường trước nhà ô tô tránh, kinh doanh- ở, cho thuê văn phòng rất đẹp. Giao thông thuận lợi di chuyển các phố: Văn Quán, Vạn Phúc, Quang Trung,..., gần bến xe bus, bệnh viện lớn, ngân hàng, trường học các cấp... Giá: 6.25 tỷ ( có thương lượng). Sổ đỏ vuông, pháp lý sạch. Liên hệ: Em Huyền ( Cháu gái chủ nhà) 0965472910- 0363703491- Miễn trung gian.",21/01/2022,Tin thường,batdongsan_so_com_vn_1673832613.7099316
"4,18 tỷ VNĐ",Cầu Am - Hà Đông, 53m2,,,, 4,,,"Cần bán gấp nhà gần Cầu Trắng, Hà Đông, ô tô, ngõ thông , 53m, 4 tầng + Chủ cần bán nhanh nhà trước tết, nhà tự xây vô cùng chắc chắn, gần phố, ngõ thoáng với 4 tầng rộng đẹp, ban công đón nắng gió, tầm tiền khu vực không có căn thứ 2. + Nhà nằm trên trục chính nối liền các tuyến phố quan trọng bậc nhất Hà Đông: Văn Quán,Trần Phú, Nhuệ Giang, An Hòa, Bà Triệu,....  + Khu vực trung tâm gần : trường học, siêu thị, ngân hàng,hồ, chợ. ... + Chủ thiện chí cần bán gấp chuyển sang ở biệt thự rộng hơn. + Sổ đỏ vuông đẹp như viên gạch, pháp lý sạch + Giá chỉ 4.18 tỷ ( có thương lượng). - Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.         - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý.",21/01/2022,Tin thường,batdongsan_so_com_vn_1673832614.9984841
4 tỷ VNĐ,"Nguyễn An Ninh, Tương Mai", 58m2,,,,,,,"CẦN BÁN GẤP NHÀ NGUYỄN AN NINH, 5M Ô TÔ ĐỖ NGÀY ĐÊM, THÔNG KHẮP NGẢ, LÔ GÓC, 58M2 Chỉ 4 tỷ nhỉnh, 0985079048.+ Chủ cần bán gấp nên đưa ra giá quá hợp lý trong khu vực và phân khúc. - Chỉ 4 tỷ xíu có thương lượng cho một căn Nguyễn An Ninh trung tâm quận Hoàng Mai, giáp quận Hai Bà Trưng. - Nhà lô góc vuông vắn, 5m ô tô đỗ ngày đêm- Ngõ ba gác thông các ngả, đường nào cũng gần ô tô tránh.+ Nhà dân xây kiên cố, đầy đủ công năng cho hộ gia đình vừa ở vừa kinh doanh. + Hộ khẩu Tương Mai, gia đình sở hữu vé VIP vào học trường chuẩn quốc gia, chất lượng hàng đầu quận Hoàng Mai: Mần non Tương Mai, C1 & C2 Tân Định. Đặc biệt gần các trường C1 Thực Nghiệm, C3 Thăng Long, C1 Lê Văn Tám... toàn trường chất lượng cao. + LH Mrs Nga 0985079048 xem nhà, tư vấn và hỗ trợ pháp lý MIỄN PHÍ.  Phố Nguyễn An Ninh cắt phố Trần Đại Nghĩa, Trương Định, Tương Mai, Giải Phóng, Vọng. Tuyến phố tập trung các cơ quan hành chính, trường học các cấp phường Tương Mai, chợ dân sinh, giao thương sầm uất... ",21/01/2022,Tin thường,batdongsan_so_com_vn_1673832616.0616398
"3,65 tỷ VNĐ","Chính chủ Bán/Cho thuê nhà Ngõ Văn Chương (Tôn Đức Thắng), Đống Đa, 0912267614", 37.5m2,,,,,,,"Chính chủ Bán/Cho thuê nhà Ngõ Văn Chương (Tôn Đức Thắng), Đống Đa, 0912267614 Diện tích: 37,5m2 xây 3 tầng. Mặt tiền: 3m, hướng Tây Bắc. Sổ đỏ chính chủ.Nhà xây chắc chắn, ngõ nông, cách 20m ra mặt ngõ, cách 50m ra Hồ Văn Chương. Tầng 1 có lôgia để xe, phòng khách, khu bếp, vệ sinh. Tầng 2 có 1 phòng ngủ master rộng, 1 vệ sinh. Tầng 3 có 1 phòng ngủ, 1 phòng thờ, sân phơi. Vị trí trung tâm Đống Đa, cách 150m ra phố Tôn Đức Thắng, đi đâu cũng thuận tiện, tiện ích nhiều chỉ vài bước chân, đi bộ chỉ 1phút ra Hồ Văn Chương tập thể thao, khu dân trí cao, an ninh tốt. Giá bán: 3,65 tỷ. Giá thuê: 7 triệu( có thương lượng)Chính chủ: 0912267614       http://www.sanbatdongsanviet.com.vn",21/01/2022,Tin thường,batdongsan_so_com_vn_1673832617.3212702
