price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Số tầng,Lộ giới,Số phòng ngủ,Số toilet,Hướng
"2,238 tỷ VNĐ",Đường Mỹ Nội phường Bắc Hồng, 54m2, 4,"Bán đất Mỹ Nội Bắc Hồng Đông Anh đường oto tranh nhau 
Diện tích 54.6m2
Mặt tiền 4.5m
Đường ô tô tránh
 Khổ đất siêu đẹp chỉ 40m ra bìa làng chuẩn bị trải nhựa
 Cách đường Võ Nguyên Giáp 390m, cách QL23B 990m
 Bán đất Mỹ Nội cách chợ Vân Trì 1km buôn bán sầm uất top đầu Đông Anh
 Bán kính 300m là nhà hàng, siêu thị điện máy, trường học…tiện ích vô cùng đầy đủ
 Cách trung tâm hành chính Đông Anh 7p lái xe
 Chỉ 5p ra cầu Nhật Tân, 10p lên sân bay Nội Bài
 Xung quanh các dự án trọng điểm mọc lên như nấm
Bán đất Mỹ Nội Bắc Hồng Đông Anh đường oto tranh nhau
",03/06/2022,Tin thường,batdongsan_so_com_vn_1673821727.9339664,,,,,
"10,2 tỷ VNĐ",Văn Phú- Hà Đông, 50m2,,"Bán nhà kinh doanh, lô góc, vỉa hè, ô tô tránh, mặt tiền khủng,50mx5T, Văn Phú, Hà Đông Nhà đẹp lô góc kinh doanh rất hiếm khu vực Văn Phú, có vỉa hè rộng, mặt tiền rất khủng, vị trí đắc địa dân cư đông đúc gần trường học và toà Victora. Khu vực được rất nhiều khách hàng quan tâm, xem là chốt. Xung quanh là trường học các cấp, siêu thị Metro, mật độ dân cư lớn phù hợp với nhiều loại hình kinh doanh, dòng tiền hàng tháng cao và đều đặn kết hợp vừa ở vừa kinh doanh quá tuyệt vời. Nhà thuộc trục chính di chuyển đâu cũng thuận tiện sang Lê Trọng Tấn, đối diện Phan Đình Giót, giáp Hoàng Đôn Hoà, vài bước ra trục chính Quang Trung, gần Quận uỷ và các trụ sở chính của Quận. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 10.2 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",03/06/2022,Tin thường,batdongsan_so_com_vn_1673821728.9183333, 5,,,,
"10,2 tỷ VNĐ",Mỗ Lao- Hà Đông, 50m2,,"Bán nhà lô góc, kinh danh sầm uất, 50mx5T, vỉa hè, ô tô tránh, Mỗ Lao, Hà Đông Gia đình chuyển vào Nam sinh sống nên cần bán gấp nhà phố Mỗ Lao,Hà Đông. Nhà đẹp lô góc hiếm vô cùng thoáng sáng, mặt tiền rất rộng, vỉa hè đá bóng kinh doanh đỉnh cao các loại hình: Café, siêu thị, ngân hàng, văn phòng, nhà hàng,…. Nhà nằm vị trí đắc địa khu vực lõi Hà Đông, xung quanh nhiều trường đại học lớn, siêu thị, chợ, bệnh viện,…khu vực dân cư đông đúc, kinh doanh sầm uất ngày đêm. Di chuyển thuận lợi các phố hàng xóm Văn Quán, đối diện Nguyễn Khuyến, dọc lên Nguyễn Văn Trỗi rất gần Ao Sen, … Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 10.2 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",03/06/2022,Tin thường,batdongsan_so_com_vn_1673821729.9186563, 5,,,,
"6,4 tỷ VNĐ",564 Nguyễn Văn Cừ, 60m2, 4,"Tôi cần bán nhà ngõ 564 Nguyễn Văn Cừ với thông tin như sau: Trước nhà 2 ô tô tránh nhau, ô tô vào trong nhà Diện tích 60m2 Mặt tiền 4m Xây 5 tầng thiết kế: + Tầng 1: gara, nhà bếp và WC + Tầng 2: phòng khách, 01 ngủ và WC + Tầng 3: 2 phòng ngủ                   + Tầng 4: phòng thờ, phòng ngủ + Tầng 5: Sân phơi Giá bán: 6.4 tỷ có thương lượng LH Tùng 0888.26.16.06 để xem nhà.",03/06/2022,Tin thường,batdongsan_so_com_vn_1673821731.0247717, 5, 5, 4, 4,
"5,7 tỷ VNĐ",quang trung, 43m2,,"+ Bán nhà. Nguyễn Viết Xuân, Hà Đông. Ô tô Kinh Doanh 43m2 x 4 tầng. Mặt Tiền 6m. Giá 5.7 tỷ.  NHÀ ĐẸP Ở LUÔN CÁCH 1 NHÀ RA MẶT PHỐ - MẶT TIỀN RỘNG - CÔNG NĂNG HOÀN HẢO - ĐỂ LẠI TOÀN BỘ NỘI THẤT  + Nhà nằm ở trung tâm Hà Đông tiện ích ngập tràn, nhà cách Bệnh Viện Đa Khoa Hà Đông vài chục mét, cách đường Quang Trung 40m. Gần siêu thị Metro Hà Đông, giao thông ngả đi các hướng, tiện ích ngập tràn. Mô tả: + Nhà thiết kế 4 tầng: - Tầng 1: Phòng khách (gara), phòng bếp, vệ sinh. - Tầng 2, 3: mỗi tầng 2 phòng ngủ, 1 vệ sinh rộng. - Tầng 4: phòng thờ, sân phơi. + cách 1 nhà ra mặt phố ngõ to , chủ để lại toàn bộ nội thất nhà đẹp chỉ việc xách valy về ở. + Sổ đỏ vuông đẹp, sẵn sàng giao dịch,  LH: E KHÁNH: 0984568179  ",03/06/2022,Tin thường,batdongsan_so_com_vn_1673821732.082904, 4,, 4, 3,
"1,785 tỷ VNĐ",Đường Quốc lộ 32 phường Cầu Diễn, 105m2, 8,"- Pháp lý rõ ràng, tiềm năng tăng giá cao.   + Kết nối vị trí cầu Rào 1 và cầu Rào 3.  ",03/06/2022,Tin thường,batdongsan_so_com_vn_1673821733.1340907,,,,,
"11,5 tỷ VNĐ",Nguyễn Cảnh Dị- KĐT Đại Kim - Hoàng Mai - Hà Nội, 54m2, 5,"CỰC HOT KINH DOANH VĂN PHÒNG-Đ.NGUYỄN CẢNH DỊ-KĐT ĐẠI KIM- 54M x 5 tầng, MT 5m Mô tả:  + Vị trí nằm trong KĐT Đại Kim, gần trường quốc tế Reigate Grammar (ISV). Gần dự án AEON MALL Hoàng Mai. + Vị trí vô cùng đẹp, kinh doanh bất chấp từ văn phòng đến coffee, minimart,...+ Đường 3 ô tô tránh, vỉa hè 3 m. Ô tô dừng đỗ ngày đêm.+ Thiết kế tổng 4 Pn, phòng khách, phòng thờ, sân phơi đầy đủ. Đằng sau nhà có khe thoáng 1,8m. 👉 Giá 11,5 tỷ (có Thương lượng)👉 SỔ ĐỎ CHÍNH CHỦ. GIAO DỊCH NGAY👉 LH xem nhà Ms HẠNH 0986116707",03/06/2022,Tin thường,batdongsan_so_com_vn_1673821734.2830176, 5, 6, 4, 4,
3 tỷ VNĐ,Vũ Tông Phan, 35m2, 4,"+Trung tâm Quận Thanh Xuân, 5 phút ra Ngã Tư Sở, tiện ích bạt ngàn.+Vị trí nhà cách đường lớn 50m, ngõ rộng thoáng thông tứ tung.+Nhà mới đẹp, khung cột chắc chắn, nội thất xịn xò, khách mua về ở ngay.+Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng dao dịch. LH: Mr Hoan, 0925088355, chuyên thổ cư Hà Nội, miễn phí xem nhà 24/7.",03/06/2022,Tin thường,batdongsan_so_com_vn_1673821735.401027, 4,, 4,,
"3,45 tỷ VNĐ/m2","Đường Võ Chí Công, quận Tây Hồ, Hà Nội", 86m2,,"Nhận nhà ở ngay căn hộ chung cư cao cấp Udic Westlake trung tâm quận Tây Hồ full tiện ích đẳng cấp. Giá cực tốt - Diện tích: 86m2, tầng đẹp, 2PN, 2wc, khách, bếp, 1 ban công, phòng nào cũng view đẹp 100% ánh sáng tự nhiên. - Chung cư nằm trên mặt đường Võ Chí Công – đối diện Lotte Mall Ciputra, gần cầu Nhật Tân, khu dạo bộ 10ha, tiện ích an sinh đầy đủ. Toà chung cư có vị trí đẹp nhất Khu vực Tây Hồ. - Chủ Đầu Tư bàn giao toàn bộ nội thất Cơ Bản liền tường, khách mua chỉ sẵn đến ở. - Sổ đỏ đẹp, sẵn sang giao dịch ngay. - Chỉ nhỉnh 3.450 tỷ Ưu đãi - Chiết khấu trực tiếp 4% giá trị căn hộ - Tặng 5 chỉ vàng cho KH mua căn hộ - Miễn phí quản lý dịch vụ 02 năm LH Em xem căn hộ thực tế: 0977 568 223(zalo/sms/fb)",03/06/2022,Tin thường,batdongsan_so_com_vn_1673821736.4262843,,, 2, 2, Tây nam
"2,3 tỷ VNĐ","Bắc Cầu, Long Biên", 35m2, 3,"- Nhà xây để ở nên rất chắc chắn, thiết kế hợp lý: - 1 phòng khách, 4 phòng ngủ, 3 wc, phòng thờ, sân phơi. - Ngõ rộng, thoáng, ô tô đỗ cửa. Gần trường học cấp 1,2. Nhà văn hóa, nhà trẻ. + Sổ đỏ chính chủ cất két công chứng trong ngày. - Lh em Trác: 0965492571(xem nhà và tư vấn miễn phí)    ",03/06/2022,Tin thường,batdongsan_so_com_vn_1673821737.4884892, 4,, 4,,
