price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Lộ giới,Số tầng,Mặt tiền,Số phòng ngủ,Số toilet
13 tỷ VNĐ,Hà Nội, 85m2,"HOT HOT ! BÁN CCMN Doãn Kế Thiện, Cầu Giấy 85m 7 tầng Thang Máy 13 tỷ- Cực Phẩm CCMN Mai Dịch- Gần các Trường Đại Học Thương Mại, ĐH Sư Phạm, ĐH Quốc Gia..- Giá thương lượng- Sang tên nhanh gọnLiên hệ Đức Ong Thợ 0812212525 - 0898839292.",19/09/2022,Tin thường,batdongsan_so_com_vn_1673800665.8020692,,,,,
"3,4 tỷ VNĐ",Đường Ngọc Trì phường Thạch Bàn, 40m2,"Bán nhà Ngọc Trì - Long Biên. LH: 0877339363 Bán nhà phố Ngọc trì - Cổ Linh, Long Biên  Diện tích 40m2 x 5 tầng Lô góc - Giá 3.45 tỷ ( có thương lượng ).  Hưởng trọn tiện ích Xung Quanh - Chợ - TTTM AEON - trường C1,C2,C3 Thạch Bàn - Hồ Ben - Công viên đi bộ.   Sổ đỏ cất két - pháp lý rõ ràng   - Lh : em Trường - 0877339363 - Chuyên nhà đất Long Biên.",19/09/2022,Tin thường,batdongsan_so_com_vn_1673800667.5583706, 1, 5,,,
"3,4 tỷ VNĐ","hoàng mai, hà nội", 45m2,"4Bán nhà Hoàng Mai, Phố Giáp Bát, 45m, 4t, mt6,5, 3,4tỷ.+ Ô tô lùi gần nhà, đi bộ vài bước chân ô tô tránh xe máy, gần trường mần non cấp 1,2, gần chợ.+ Nhà thết kế phù hợp cho 2,3 thế hệ.+ Cách bến xe Giáp Bát 2 phút đi xe, Gần Giải Phóng, Kim Đồng, Tam Trinh, Tân Mai, Hoàng Mai, trường Đại Học Kinh Tế Quốc Dân Xây Dựng, Bách khoa, Bệnh viện Bạch Mai.+ Sổ đỏ chính chủ sẵn sàng giao dịch.+ Lh: 0346363362 : Phú Gia chuyên nhà phố Hà Nội",19/09/2022,Tin thường,batdongsan_so_com_vn_1673800669.5510395,,,,,
"5,1 tỷ VNĐ",Đường Trung Kính phường Yên Hòa, 53m2,"Cần bán nhà đường Trung Kính, thiêt kế hiện đại, vị trí đắc địa, thoáng mát.Vị trí đắc địa gần Đại Học Ngoại Thương, Đại Học Lao Động Xã Hội, Đại Học Phương Đông,Trường Chuyên Hà Nội Ams, Trường THCS Cầu Giấy, Trường Nguyễn Siêu, Trường Lương Thế Vinh. Trung tâm kết nối giao thông với các trục đường, đường Trần Duy Hưng, đường Nguyễn Chánh, đường Mạc Thái Tổ, đường Mạc Thái Tông, đường Vũ Phạm Hàm, Nguyễn Khang và Yên Hòa. Khu dân cư thoáng, sống văn minh lịch sự, nhiều chuyên gia, giáo sư, bác sỹ, an ninh tốt. Nhà mới bốn tầng, thiết kế hiện đại.Sổ đỏ chính chủ. pháp lý chuẩn.Giá 5,1 tỷ. Gọi ngay cho tôi 0969594988 khi bạn đọc tin này 24/24 giờ bất cứ lúc nào, xem nhà miễn phí.",19/09/2022,Tin thường,batdongsan_so_com_vn_1673800671.0380626, 3, 5,,,
"18,69 tỷ VNĐ",Đường Nguyễn Ngọc Vũ phường Trung Hòa, 74m2,"Bán nhà mặt đường Nguyễn Khang, thiêt kế hiện đại, vị trí đắc địa, thoáng mát, kinh doanh tuyệt vời.Vị trí đắc địa gần Đại Học Ngoại Thương, Đại Học Lao Động Xã Hội, Đại Học Phương Đông,Trường Chuyên Hà Nội Ams, Trường THCS Cầu Giấy, Trường Nguyễn Siêu, Trường Lương Thế Vinh. Trung tâm kết nối giao thông với các trục đường, đường Trần Duy Hưng, đường Láng, đường Trung Kính, đường Nguyễn Chánh, đường Nguyễn Ngọc Vũ, đường Mạc Thái Tổ, đường Mạc Thái Tông, đường Vũ Phạm Hàm, Nguyễn Khang và Yên Hòa. Nhà mới bốn tầng, thiết kế hiện đại.Sổ đỏ chính chủ. pháp lý chuẩn.Giá bán 17,79 tỷ. Gọi ngay cho tôi 0969594988 khi bạn đọc tin này 24/24 giờ bất cứ lúc nào, xem nhà miễn phí.",19/09/2022,Tin thường,batdongsan_so_com_vn_1673800672.752519, 5, 5,,,
13 tỷ VNĐ,Cầu giấy, 85m2,"HOT HOT ! BÁN CCMN Doãn Kế Thiện, Cầu Giấy 85m 7 tầng Thang Máy 13 tỷ- Cực Phẩm CCMN Mai Dịch- Gần các Trường Đại Học Thương Mại, ĐH Sư Phạm, ĐH Quốc Gia..- Giá thương lượng- Sang tên nhanh gọnLiên hệ Đức Ong Thợ 0812212525 - 0898839292.",19/09/2022,Tin thường,batdongsan_so_com_vn_1673800674.0849533,,,,,
"4,2 tỷ VNĐ",thanh xuân hà nội., 67m2,"+ Bán Nhà Phố Nguyễn Quý Đức, Quận Thanh Xuân-Ô Tô-Kinh Doanh 67m 4 tầng 4.2 Tỷ. . Chủ nhà xây tâm huyết, thiết kế đẹp, ánh sáng ngập tràn, nội thất đầy đủ. Cần bán để sang nước ngoài ở với con. + Tầng 1: 1Phòng khách, 1Bếp, 1wc. + Tầng 2,3: 2phòng ngủ,1wc. + Tầng 4: 1phòng thờ, khu phơi. +  Giao với các đường: Nguyễn Xiển, Lương Thế Vinh, Khuất Duy Tiến, Nguyễn Trãi, …. Khu vực có nhiều cán bộ ở, an ninh cực tốt. Khách mua về ở ngay. Phù hợp cho gia đình 4 đến 5 người. + Sổ đỏ chính chủ, đảm bảo pháp lý, sẵn sàng giao dịch. + Liên hệ; Mr Quân- 0911303899 . Tư vấn miễn phí 24/24.",19/09/2022,Tin thường,batdongsan_so_com_vn_1673800675.315685, 12, 5, 5, 6, 4
"7,9 tỷ VNĐ",văn quán, 50m2,"Bán Nhà, Chiến Thắng. Hà Đông. Ô Tô Kinh Doanh 50m2 x 5 tầng. Mặt Tiền 4m Giá 7.9Tỷ.  PHÂN LÔ - KINH DOANH TUYỆT ĐỈNH – VỈA HÈ RỘNG – Ô TÔ ĐỖ NGÀY ĐÊM  + Nhà mặt ngõ Chiến Thắng, cách đường Chiến Thắng vài bước chân giao với các đường, 19/5, Trần Phú, Nguyễn Trãi, Ngã Tư Sở, Vành Đai 3. Ngả đi các hướng nội thành và các tỉnh lân cận rất thuận tiện. + Nhà gần trường đại học lớn như; Đại Học Kiến Trúc, Học Viện Bưu Chính Viễn Thông, Hộc Viên Mật Mã; gần Bệnh Viện 103, chợ Phùng Khoang, Siêu Thị BigC Hà Đông, Coopmax Hà Đông, gần trung tâm Thương Mại Roal Anl CiTy, Ga Tàu Điện Trên Cao cách Hồ Văn Quán vài trăm mét, cũng như rất nhiều dịch vụ xung quanh đa dạng và phong phú các loại hình vui chơi giải trí khác. Giao thông thuận tiện, an sinh đỉnh, an ninh an toàn. + Nhà nằm trên khu phố sầm uất, buôn bán, kinh doanh, sơpa văn phòng và các loại hình dịch vụ rất đa dạng và phát triển.  + Nhà thiết kế 5 tầng:                                                                                                          - - - Tầng 1: Phòng Khách, Bếp, Wc  - Tầng 2,3,4: Mỗi tầng 2 phòng ngủ và wc - Tầng 5 : Phòng thờ, sân chơi + Nhà xây dựng bê tông cốt thép rất chắc chắn. chủ nhà bán để ra nước ngoài sinh sống.  Sổ đỏ chính chủ, cất két sẵn sàng giao dịch.   LH: E KHÁNH: 0984568179 ",19/09/2022,Tin thường,batdongsan_so_com_vn_1673800676.9582686,, 5, 4, 6, 4
17 tỷ VNĐ,Đường Ngọc Thụy phường Ngọc Thụy, 170m2,"Cần bán GẤP đất mặt ngõ 604 Ngọc Thụy nối Khai Sơn, chợ Học Viện Hậu Cần,.... + Hiện trạng mặt ngõ to hơn phố đường 22m container vào thoải mái.+ Ngõ 604 Ngọc Thụy là Ngõ rộng cổng phụ của Học Viện Hậu Cần, nhà máy may Quân Đội X26, đơn vị J112, các Kiot bán hàng sỉ, Công ty bán vật liệu xây dựng, bán sắt thép xi măng nêu container vào liên tục. + Vị trí kết nối ngay cạnh Cầu Đông Trù đường 5 kéo dài di chuyển đi đâu cũng tiện.+ Phù hợp làm kho hàng, tập kết hàng hóa phân phối các nơi, dân cư là cán bộ quốc phòng. + Giá chào hơn 100tr/m2 giá chốt rẻ không ngờ, Ngõ đang có quy hoạch trở thành trục chính nối với Khai Sơn Town, Khai Sơn Hill đường rộng 22m thông giá tăng 200%.+ Diện tích trên sổ đỏ gần 170m2 thực tế rộng hơn, mặt tiền 9m vừa văn phòng vừa kho hàng rất hợp lý. Gọi e Hoàn để biết thêm thông tin Call/zalo 0868246333E Hoàn rất nhiều Bđs thanh khoản tốt có thể tra sđt sẽ ra rất nhiều",19/09/2022,Tin thường,batdongsan_so_com_vn_1673800679.0716486,,, 9,,
"6,5 tỷ VNĐ",Vương Thừa Vũ, 52m2,"Phân Lô Ô TÔ, Phố Vương Thừa Vũ, Thanh Xuân 52m2, 5 Tầng, Ở, KINH DOANH, Giá 6.5 Tỷ.+ Vị trí nhà đẹp, phân lô ô tô qua nhà, mặt ngõ thông rộng, cách mặt Phố 80m, vừa ở vừa kinh doanh.+ Nhà dân xây tâm huyết, khung cột chắc chắn, đầy đủ công năng sử dụng.+ Sổ đỏ vuông đẹp, pháp lý chuẩn, sẵn sàng dao dịch.LH: Em Hoan, 0925088355, nhiệt tình, vui vẻ dẫn khách, miễn phí xem nhà 24/7.",19/09/2022,Tin thường,batdongsan_so_com_vn_1673800680.1986308,, 5,,,
