price,address,Diện tích,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Hướng
4 tỷ VNĐ,Thụy Khuê, 33m2, 5, 3, 3,"Cần bán nhà Thụy Khuê view hồ, ngõ rộng, thoáng, mát, ngõ thông sang Hồ Tây. Thiết kế: T1 bếp khách xe T2.3.4 thông sàn t5 phòng thờ sân phơi view Hồ Tây Ngõ thông sang Hồ Tây Nhà đẹp ở ngay, khách chỉ cần xách vali đến. Sổ đỏ chính chủ, pháp lý rõ ràng, giao dịch nhanh chóng. LH::0962370591-Nguyễn Phúc Lộc",06/05/2022,Tin thường,batdongsan_so_com_vn_1673825914.436321,,,
"2,96 tỷ VNĐ",Phường Dương Nội, 45m2,,,,"Mô tả: DT 45m, 5T. Ba bước ra Công Viên Thiên Văn Học. Tiềm năng tăng giá từng ngày. - Khách mua ở, đầu tư, kinh doanh đều phù hợp. Làm văn phòng, cà phê, nhà nghỉ...- Tiện ích xung quanh ko thiếu gì chợ, trường, UBND, khu vui chơi,...- Nhà xây chắc chắn 2019 còn mới, lên tầng thoải mái. - Thiết kế:- Tầng 1: PK, bếp, wc.- Tầng 2+3: Phòng ngủ rộng, wc.- Tầng 4: 1 phòng, phòng thờ, sân phơi.- Tầng 5: Tum vườn. Sổ đỏ vuông đẹp, nét, sẵn sàng giao dịch. Giá 2.96 tỷ có thương lượng. Liên hệ: Tôi Quang 0936590234 để được tư vấn và được xem nhà miễn phí. ",06/05/2022,Tin thường,batdongsan_so_com_vn_1673825915.7448635,,,
"6,3 tỷ VNĐ",Đội Cấn Ba Đình Hà Nộ, 45m2, 6, 4, 6,"Chủ nhà gửi bán căn nhà phố, Diện tích 45m2, 6 tầng, mặt tiền 4m, Giá chỉ 6.3 tỷ + Thiết kế           - Tầng 1: Phòng Khách, bếp           - Tầng 2 + tầng 3: có 4 phòng ngủ, 2wc giữa           - Tầng 4; 1 phòng ngủ; 1 phòng sông hơi           - Tầng 5: Phòng thờ, sân phơi           - Tầng 6: Phòng trà, BBQ. + Mô tả: Thông số căn nhà vô cùng lý tưởng khi diện tích rộng tới 45m2 x 6 tầng, mặt tiền 4m. Thiết kế 6 phòng lệch tầng tạo sự gần hơn giữa các thế hệ và đây là căn nhà nơi gắn bó với chủ nhà nên xây dựng cực kì chắc chắn. + Không chỉ thế, căn nhà còn sở hữu hai thoáng trước sau tạo cho không khí trong nhà lưu thông ổn định rất tốt cho sức khỏe. + Hơn thế căn nhà còn sở hữu riêng một không gian relax, tiệc tùng, pantry tiêu chuẩn khách sạn 5 sao thu nhỏ trên tầng 6 mà không phải căn nhà nào cũng có được điều đó. + Bên cạnh đó căn nhà còn nằm trong khu vực dân trí cao, an ninh cực tốt, khu vực nhiều quan chức cấp cao sinh sống và làm việc . + Sổ đẹp, sẵn sàng công chứng. Nhà phù hợp an sinh, kết hợp kinh doanh, giữ tiền. + Để biết thêm thông tin chi tiết căn nhà liên hệ Mr Chính 0792122918 ",06/05/2022,Tin thường,batdongsan_so_com_vn_1673825916.9745302, 4,,
"4,93 tỷ VNĐ","Ngõ 193 Phú Diễn, Bắc Từ Liêm, Hà Nội.", 58m2, 4, 5, 4,"+ Nhà chủ tự xây vô cùng kiên cố và chắc chắn, lô góc ,3 mặt thoáng mát, vài bước chân ra ô tô tránh, cách bãi gửi xe đúng 10m. + Gần chợ, các trường mầm non, cấp 1,2 Phú Diễn. + Thiết kế:Tầng 1: Sân đế xe+ phòng khách + bếp.Tầng 2,3 : Mỗi tầng 2 ngủ + vệ sinh.Tầng 4: Phòng thờ + sân phơi. + Sổ đỏ nở hậu đẹp.",06/05/2022,Tin thường,batdongsan_so_com_vn_1673825917.9259863,,,
9 tỷ VNĐ,Xuân La, 50m2, 6, 3, 4,"Cần bán nhà  Xuân la  9 tỷ có thang máy, oto vào nhà, ngõ oto tải tránh. Mô tả: Bán kính 500m quanh nhà: Trường học, bệnh viện, chợ dân sinh… Hàng xóm 8 cơ sở ban ngành. Lên sân bay đi chậm cũng chỉ 15’. Ra bờ Hồ Tây chỉ 2 ngoặt. Khu vực sinh sống cực yên tĩnh, an ninh bảo đảm. Thiết kế: - Tầng 1: Gara + WC - Tầng 2: Phòng khách + PB - Tầng 3, 4, 5: PN + WC - Tầng 6: Phòng thờ + sân phơi Nhà sẵn sàng hết cả rồi: Tủ bếp + Thiết bị vệ sinh + điều hoà. Khách chỉ việc xách quần áo về ở luôn. LH:0962370591-Nguyễn Phúc Lộc để xem nhà(tất cả mọi dịch vụ đều miễn phí)",06/05/2022,Tin thường,batdongsan_so_com_vn_1673825919.014077,,,
"10,9 tỷ VNĐ","Nguyễn Sơn, Long Biên, Hà Nội", 40m2, 6,,,"+ Bán nhà phố Nguyễn Sơn Quận Long Biên, 6 tầng, thang máy, mặt tiền 5m8, oto qua nhà, kinh doanh tốt. + Vị trí: Lô góc, cách trung tâm thương mại vài bước chân, oto đi qua nhà rất thuận lợi để ở và kinh doanh. + Nhà thiết kế 6 tầng bởi kiến trúc sư, có thang máy, tặng kèm full nội thất ngoại nhập. + Sổ đỏ nở hậu, chính chủ, pháp lý chuẩn sẵn sàng giao dịch ngay. + Liên hệ xem nhà hoàn toàn miễn phí: Dũng Chuyên BDS thổ cư 0948677782/ 0867502627.",06/05/2022,Tin thường,batdongsan_so_com_vn_1673825920.0263667, 5,,
"4,4 tỷ VNĐ",quan nhân, 34m2, 4, 3, 4,"- Vị trí: Nhà tại Quan Nhân, sát Royalcity - trung tâm quận Thanh Xuân, gần ngay Ngã tư sở, giáp Đống Đa, Cầu Giấy, đi đâu cũng tiện. - Xung quanh là các tuyến đường Nguyễn Trãi, Giáp Nhất, Chính Kinh, Cự Lộc, Nhân Hòa, Hoàng Ngân. Giao thông thuận lợi, tiện ích gì cũng có, bán kính 2km gần hàng loạt các trường ĐH lớn. - Ngõ trước nhà hơn 2m xe ba gác chạy vù vù, ra mặt phố Quan Nhân khoảng 70m. -Nhà thoáng đẹp, phòng ngủ rất rộng và thoáng, chủ xây cực kỳ chắc chắn. - Sổ đỏ chính chủ, vuông vắn. - Liên hệ ngay em Thảo 0348156621 chuyên thổ cư Hà Nội.",06/05/2022,Tin thường,batdongsan_so_com_vn_1673825921.2401657,,,
13 tỷ VNĐ,Nguyễn Trãi, 55m2, 7,,,"+ Nhà vị trí cực víp ,trước nhà đường rộng ô tô tránh, dừng đỗ thoải mái.Nhà để ở cực sướng an ninh tốt, dân trí cao hoặc làm văn phòng công ty tuyệt đỉnh. + Khu vực trung tâm Ngã Tư Sở đi đâu cũng thuận tiện, tiện ích thì vô đối gần các trường Đại Học, bệnh viện, TTTM, vài bước ra Royal City. + Nhà xây cực chất 7 tầng thang máy ,đồ nhập khẩu, thiết bị toàn hàng xịn. + Giá cả thương lượng, sổ đỏ vuông đẹp sẵn sàng giao dịch. Liên hệ em Đại-0963883403 để xem nhà miễn phí.",06/05/2022,Tin thường,batdongsan_so_com_vn_1673825922.3591251, 4,,
"4,6 tỷ VNĐ",khương đình, 34m2, 5, 4,,"- Vị trí: Nhà đẹp Khương Đình, trước nhà ba gác tránh, cách chỗ để ô tô ngày đêm 5 mét. - Gần sông Tô Lịch, ô tô tránh cách nhà 5 mét, nằm giữa nhiều chung cư cao cấp đầy đủ tiện ích. - Nhà đẹp 5 tầng hiện đại, đầy đủ điều hoà, nóng lạnh, giường tủ, công năng đầy đủ. - Khu vực dân trí cao, an sinh đỉnh. - Sổ đẹp sẵn sàng giao dịch. - Liên hệ ngay em Thảo 0348156621 chuyên thổ cư Hà Nội.",06/05/2022,Tin thường,batdongsan_so_com_vn_1673825923.3315237,,,
3 tỷ VNĐ,Đường Khương Trung phường Khương Trung, 36m2, 4, 4, 4,"36m, 4 tầng. Nhỉnh 3 tỷ - KHƯƠNG TRUNG - 2 MẶT NGÕ - Ô TÔ  Nhà đẹp, sáng, thoáng 2 mặt ngõ thông các ngả. Cách phố 3 bước chân, ô tô, gần Khương Đình. khu vực dân trí cao, xung quanh tiện ích VIP, trường học các cấp vài bước chân, gửi ô tô cực tiện, 5 phút ra Ngã tư sở, rất gần Vũ Tông Phan, Khương Hạ, đường vành đai 2,5... Sổ đỏ đẹp vuông vắn. Liên hệ: Mr Hiếu để được tư vấn và xem nhà MIỄN PHÍ.Chuyên Nhà Đẹp, Pháp lý Chuẩn - Giá Tốt! (Nhận ký gửi nhà Hà Nội).",06/05/2022,Tin thường,batdongsan_so_com_vn_1673825924.3069167, 3, 1,
