price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Mặt tiền,Lộ giới,Số toilet,Hướng
"1,8 tỷ VNĐ","Văn Khê,Tố Hữu,Hà Đông", 82m2,"-Căn 2 ngủ,2wc  căn sở hữu view đẹp tại dự án -Diện tích:82m2. Thiết kế hiện đại,nhiều cây xanh,hầm để xe siêu rộng -Nằm gần trung tâm quận Hà Đông,dễ dàng di chuyển tới các khu trung tâm Hà Nội -Bàn giao nội thất cao cấp:Nội thất liền tường,sàn gỗ,điều hòa,… -Tiện ích-Dịch vụ đẳng cấp -Hỗ trợ Bank 65% (0% lãi suất đến khi nhận nhà ở) LH xem nhà: 0981534902",18/03/2022,Tin thường,batdongsan_so_com_vn_1673829834.5559175,,,,,,
"16,5 triệu VNĐ/m2",0989774826, 106m2,"Đất thôn Phúc Tiến, xã Bình Yên, huyện Thạch Thất, Hà Nội. -              Dt 106m, mt 5,22m, giá rẻ nhất khu vực ạ. -             Sẵn sổ đỏ, sang tên nhanh gọn. -             Giá bán  16,5tr/m2. -              Vị trí trung tâm cửa ngõ Công nghệ cao, cách ĐHQG và FPT chỉ vài phút chạy xe. -              Đường ô tô tránh, cách tỉnh lộ 420 gần 200m. -              Tiện ích ngập tràn, xung quanh là trung tâm hành chính, trạm trường và trung tâm dịch vụ vài chục mét, chỉ vài phút di chuyển -              Cơ sở hạ tầng đồng bộ, -              Giá đầu cơ, tiềm năng tăng giá lớn, giá trị thực -              Cam kết giá rẻ, lời ngay khi mua ạ -              Lợi nhuận- Thanh khoản là số 1 Liên hệ em để đi xem đất 0989774826.",18/03/2022,Tin thường,batdongsan_so_com_vn_1673829836.133696,,,,,,
,Trung Hòa Cầu Giấy hà Nội, 50m2,"🔅 NGÕ NÔNG VÀI BƯỚC RA PHỐ - AN SINH ĐỈNH CAO - GIÁ ĐẦU TƯ HỢP LÝ. 🔅 Vị trí giao thông thuận tiện, giáp ranh với đường Láng, ngõ nông, sạch đẹp. 🔅 Xung quanh các tiện ích ngập tràn, gần hồ, gần Công Viên, gần Chợ, Trường Học, Bến Xe đi đâu cũng thuận tiện. 🔅 Chủ Nhà thiện chí bán, GĐ cán bộ Nhà Nước rất có lộc. 🔅 Chi tiết liên hệ E My làm việc Chính Chủ. ",18/03/2022,Tin thường,batdongsan_so_com_vn_1673829837.3683925, 4, 4,,,,
17 tỷ VNĐ,"Xuân Thủy, Cầu Giấy, Hà Nội", 52m2,"BÁN ĐẤT MẶT PHỐ XUÂN THỦY/CẦU GIẤY – 52m2  - Gia đình cần tiền nên bán mảnh đất mặt phố, đường Xuân Thủy/Dich Vọng Hậu/Cầu Giấy/Hà Nội. - Mảnh đất vuông vắn, đẹp, vỉa hè rộng, hiện trạng có nhà cũ cho thuê kinh doanh, khách mua có thể tận dụng sửa sang kinh doanh tiếp hoặc xây nhà mới! - Khu vực đông đúc, sầm uất, kinh doanh tấp nập. xung quanh rất nhiều trung tâm kinh doanh, mua sắm, hành chính, tài chính, các trường ĐH… đặc biệt là gần ĐHSP Hà Nội, HV Báo chí tuyên truyền… - Sổ đỏ chính chủ, sẵn sàng giao dịch. - Giá: 17 tỷ (có thương lượng). - Liên hệ: 0335368282.",18/03/2022,Tin thường,batdongsan_so_com_vn_1673829838.6456666,,, 4, 10,,
,"Xuân Nộn, Đông Anh", 100m2,"MÔ TẢ: - Đất nhà mình có nhiều đường vào, đường ô tô 7 chỗ đi vào thoải mái các ngõ thông thoáng. - Miếng đất đẹp nở hậu phong thủy, khách mua đầu tư giữ tiền, xây ở, hoặc đầu tư chia làm 2 lô bán thì quá đẹp. - Khu vực Xuân Nộn gần ngay đường đôi 40m Lê Hữu Tựu nối ra đường QL3, tuyến đường Võ Nguyên Giáp, đi sân bay Nội Bài chỉ 10 phút, vào nội thành chỉ 15 phút, - Gần cụm công nghiệp Nguyên Khê rất nhiều nhà máy, xí nghiệp, trường học cấp 1,2 Xuân Nộn,  TRường Cao Đẳng Nghề Việt Hàn, BV Bắc Thăng Long, Chợ , Khu CN đc quy hoạch hơn 1000ha bên cạnh, tương lai rất sáng. - Sổ đỏ chính chủ, pháp lý rõ ràng, sẵn sàng chuyển giao. - Giá chào 1,75 tỷ có thương lượng nhiệt tình. - LH: E SƠN 0915126183 để xem đất và đặt cọc. ",18/03/2022,Tin thường,batdongsan_so_com_vn_1673829839.8993106,,, 7,,,
28 tỷ VNĐ,"p.Quỳnh Mai, Hai Bà Trưng, Hà Nội", 200m2,"Giá rẻ giật mình chỉ 28 tỷ, tặng full nội thất xịn xò,vừa ở vừa kinh doanh đều được + Nhà mới xây  2 năm,còn mới toe, diện tích sử dụng thực tế là 200m, + Mặt tiền 7.2m, diện tích xây dựng 147m + 8 tầng thang máy. + Phần diện tích phía ngoài (đang cho thuê làm cửa hàng) sau khi mở làm đường + vỉa hè sẽ bàn giao lại cho nhà nước. Phố khi đó sẽ càng thêm to đẹp, giá trị tăng gấp nhiều lần. + THIẾT KẾ - T1: gara để 3 oto + vô số xe máy + cho thuê cửa hàng. - T2+3+4: thiết kế văn phòng công ty( đang cho thuê ) - T5: bếp ăn + 2 PN + 2WC. - T6: 4 phòng ngủ rộng rãi + 2WC. - T7: phòng thờ + sân phơi + sân vườn trồng cây + bàn trà + nướng BBQ. - T8: tum + sân đã lợp tôn, có thể để đồ tùy thích. + Nhà xây dựng chắc chắn, thiết kế tỉ mỉ, nội thất xịn xò...tặng lại hết cho chủ mới. + Khu phố dân trí cao, kinh doanh tốt, an ninh, tiện ích đầy đủ. + Sổ đỏ chính chủ, vuông đẹp. ✅ Ib để xem chi tiết full căn hộ A/C quan tâm liên hệ E Long 0904190066 để được tư vấn nhiệt tình từ A-Z",18/03/2022,Tin thường,batdongsan_so_com_vn_1673829841.4122632, 8, 6, 7,, 4,
"21,9 tỷ VNĐ",ngõ 40 Tạ Quang Bửu HBT HN, 168m2,"Chính chủ bán nhà Phân lô khu Giảng viên Đại Học Bách Khoa, mặt ngõ 40 Tạ Quang Bửu, hiện tại đang có nhà 4,5 tầng. Kinh doanh sầm uất, 2 mặt thoáng vĩnh viễn, trước nhà rộng phù hợp nhiều loại hình kinh doanh-Diện tích: 168m2x5T, mặt tiền gần 6m, nở hậu 6,8m- Gần các trường trọng điểm, top Quốc Gia: Mẫu giáo Bách Khoa, Cấp 1 Lê Văn Tám, Cấp 2 Ngô Gia Tự, Cấp 3 Thăng Long, Đại học Bách Khoa, Đại học Kinh Tế, Đại học Xây Dựng.- Khu dân trí cao, là khu nhà ở của cán bộ trường Đại học Bách Khoa, hàng xóm toàn giảng viên, giáo sư, tiến sĩ..- Bể bơi đối diện nhà cách 50m, sân vận động, công viên đi bộ đến nơi.- Nhà hướng Đông Nam mát mẻ.Sổ đỏ chính chủGiá: 21,9 tỷ có thương lượng liên hệ chị Yến ĐT:0702138238",18/03/2022,Tin thường,batdongsan_so_com_vn_1673829842.7696311, 5, 5, 5, 4, 4, Đông nam
"4,3 tỷ VNĐ",ngõ 176 Trương Định HBT Hà Nội, 40m2,"Chuyển đổi tôi cần bán nhà  mới xây được 2 năm ngõ 104 Nguyễn An Ninh đi thông sang 176 Trương Định, Hai Bà Trưng,Hà Nội.DT 40m2 x 5 tầng, giá 4.3 tỷ.Nhà xây dựng 40m2 x 5 tầng,  nhà đẹp không lỗi phong thủy. Thiết kế có giếng trời lấy ánh sáng và không khí vào phòng. để lại toàn bộ nội thất.-Thiết kế bao gồm - Tầng 1: Phòng khách, bếp ăn riêng biệt, WC.- Tầng :2,3: Mỗi tầng 2 phòng rộng, 1 WC.- Tầng 4:1 phòng ngủ, phòng thờ-Tần 5: sân phơi và vườn trồng cây.Khu dân trí cao, an ninh tốt, hàng xóm thân thiện, tiện chợ gần trường học bệnh viện, cách ĐH Kinh Tế, Bách Khoa, Xây Dựng 1km, ngõ trước nhà 2 xe tránh nhau thoải mái.Sổ đỏ chính chủ. Giá 4.3 tỷ (có thương lượng) Liên hệ chị Yến ĐT:0702138238",18/03/2022,Tin thường,batdongsan_so_com_vn_1673829843.9215496, 5, 5, 3, 3, 3, Tây
"11,5 tỷ VNĐ",phân lô Yên Lạc, 85m2,"Bán nhà khu phân lô cán bộ phố Yên Lạc, Kim Ngưu, Hai Bà Trưng,Hà Nội , DT 85m2x5 tầng, thang máy, ô tô vào nhà. Giá 11.5 tỷ Gia đình tự tay thiết kế và xây dựng theo phong cách hiện đại nên vô cùng chắc chắn, tối ưu công năng sử dụng, nội thất thiết bị toàn hàng chính hãng, cầu thang , cửa cính, cửa thông phòng đều được làm từ gỗ Lim nguyên khối, cửa sổ Nhôm Xingfa bản dày chất lượng cao, hệ thống đèn chùm, đèn chiếu sáng hiện đại tiết kiệm điện tối ưu…- Tầng 1: Gara ô tô, khu bếp ăn rộng rãi, thang máy và thang bộ được thiết kế giữa nhà để chia mỗi tầng 2 phòng rất hợp lý- Tầng 2,3 mỗi tầng thiết kế 2 phòng ngủ rộng,vệ sinh khép kín  _Tầng 4 1 phòng thờ,1 phòng ngủ, 1 vệ sinh - Tầng 5 là  sân trồng rau, sân phơi Vị trí nằm trọn trong khu phân lô cán bộ nên dân trí cực cao, an ninh đảm bảo, rất nhiều tiện ích đồng bộ như Trường đại học, bệnh viện, TTTM , đường trước nhà rộng rãi thoáng đãng, 2 mặt thoáng trước sau…Sổ đỏ chính chủ, giá 11.5 tỷ ( có thỏa thuận)liên hệ chị Yến ĐT:0702138238",18/03/2022,Tin thường,batdongsan_so_com_vn_1673829845.1343052, 5, 5, 4, 3, 6, Đông bắc
"7,5 tỷ VNĐ",ngõ 176 Trương Định HBT Hà Nội, 55m2,"Bán nhà ngõ 104 Nguyễn An Ninh thông 176 Trương Định diện tích 55m2x5 tầng thang máy kinh doanh, ô tô, giá 7.5 tỷ.Nhà do gia đình tâm huyết xây dựng 5 tầng thoáng đẹp. Kiến trúc độc đáo, hiện đại và kiên cố, không gian trong nhà luôn thoáng và nhiều sánh sáng. Bao gồm:- Tầng 1: Thông sàn kinh doanh.- Tầng 2: Thiết kế phòng khách và phòng bếp rộng thông nhau như 1 sàn chung cư-Tầng 3,4: Mỗi tầng 2 phòng ngủ rộng, vệ sinh giữa- Tầng 5: Phòng thờ, phòng kho cùng sân phơi thoáng rộngNhà được gia đình tự hoàn thiện nội thất hoàn hảo, tỉ mỉ đến từng chi tiết nhỏ, tất cả các tầng đều sử dụng trần thạch cao, hệ thống sàn gỗ Malaysia, buồng tắm kính, thiết bị vệ sinh nhập ngoại...Ngõ trước nhà thoáng, ô tô 7 chỗ đỗ cửa, có thể kinh doanh mọi loại mặt hàng... ngay gần sân Bóng đá Minh Kiệt, nhà Thi đấu Hai Bà Trưng, gần trường học, chợ. Thuận tiện giao thông, cách Bách Khoa, Bạch Mai, Tân Mai, Giải Phóng chỉ 1km. Sổ đỏ chính chủ. Giá 7.5 tỷ (có thương lượng) liên hệ chị Yến ĐT:0702138238",18/03/2022,Tin thường,batdongsan_so_com_vn_1673829846.288218, 5, 4, 4, 3, 4, Đông bắc
