price,address,Diện tích,Mặt tiền,Số tầng,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Số toilet,Hướng,Lộ giới
"5,2 tỷ VNĐ",XUÂN THỦY, 36m2, 5, 6,"- Nhà ở vị trí rất đẹp, lô góc cực thoáng, kinh doanh tốt.- Diện tích 36m, 6 Tầng, Mặt tiền 5.5m.- Ô tô đỗ cửa, 15m ra mặt phố, nhà thiết kế hiện đại.- Ngõ thông tứ tung, giao thông đi lại thuận tiện.- Khu dân trí cao, an ninh tốt.- Xung quanh tiện ích ngập tràn, khách chỉ cần dọn vào ở luôn.- Giá chỉ 5.2 Tỷ(thương lượng).-Nhiều chung cư cao cấp, siêu thị, cửa hàng tiện lợi, phố ẩm thực, trường học các cấp (mẫu giáo, tiểu học, trung học, đại học Sư Phạm HN, ĐH Báo chí,…)+ Anh chị nhanh tay gọi điện Em Đức Anh - 0975517689 để chốt sớm.",21/04/2022,Tin thường,batdongsan_so_com_vn_1673827095.0663412,,,,
"3,1 tỷ VNĐ","vân canh ,hoài đức", 31m2,,,"Nhà mặt ngõ, đường vào nhà rộng rãi, ô tô đỗ cửa. Ngõ thông ra đường vành đai 3,5 sắp thông xe. Giao thông thuận tiện khắp ngả Phương Canh, Xuân Phương, Trịnh Văn Bô, Mỹ Đình... Xung quanh tiện ích phong phú khi gần KĐT An Lạc và Vân Canh, trường học các cấp, chợ dân sinh. Nhà 5 tầng rất đẹp, nổi bật với sự thoáng sáng khi có mặt tiền rất rộng. Đầy đủ công năng với 3 phòng ngủ rộng rãi. Chất lượng hoàn thiện cao và thiết bị vệ sinh, đèn điện xịn xò. Là khu vực dân cư đông đúc, tiềm năng cực lớn khi Hoài Đức sẽ lên quận. Giá chào chỉ 3 tỷ mốt (khách và chủ thương lượng trực tiếp). Sổ đỏ đẹp cất két sẵn sang tên. Cam kết nhà thật, việc thật 100% (hỗ trợ pháp lý và các vấn đề liên quan đến ngân hàng). Anh chị gọi em Sơn (thổ cư) để được tư vấn nhiệt tình và xem thêm miễn phí hàng trăm căn thổ cư ở nhiều mức giá: 0932382236",21/04/2022,Tin thường,batdongsan_so_com_vn_1673827096.3788297,,,,
"5,5 tỷ VNĐ",Lạc Long Quân, 52m2,,,"Bán gấp nhà Lạc Long Quân 10m ra phố, lô góc, 52m2 4 tầng, ngõ thẳng Thiết kế: Tầng 1: Sân để xe, khách, bếp,wc Tầng 2,3 : Mỗi tầng 2 phòng ngủ,wc Tầng 4: 1 phòng phòng ngủ, sân phơi,wc +Vị trí: Tiện ích xung quanh ngập tràn, con phố kinh doanh sầm uất,ngay gần Lạc Long Quân, Thụy Khuê, Võ Chí Công, Hoàng Quốc Việt, Bưởi... gần bệnh viện phổi, bệnh viện 354... Giá:5.5 tỷ(còn thương lượng) LH:0962370591-Nguyễn Phúc Lộc",21/04/2022,Tin thường,batdongsan_so_com_vn_1673827097.41007,,,,
"5,4 tỷ VNĐ",Đội Cấn - Liễu Giai - Ba Đình - Hà Nội, 42m2, 3, 4,"Gia đình cần bán gấp nhà Đội Cấn, Ba Đình diện tích 42m2 mặt tiền 3,5m giá 5,4 tỷ Vị trí đẹp cách mặt phố Đội Cấn đúng 50m Ngõ rộng 3m, mặt tiền trước nhà rất thoáng Nhà dân xây thiết kế 4 tầng khung bê tông chắc chắn Hàng xóm thân thiện, nhà cạnh khu dân trí cao, gần các quán ăn, siêu thị tiện lợi Mô tả chi tiết: Tầng 1: Phòng khách + để xe + bếp Tầng 2,3: Mỗi tầng 2 phòng ngủ + vệ sinh Tầng 4: Phòng thờ + sân phơi Sổ đỏ vuông, sẵn sàng giao dịch Lh: E Quân - 0964875503",21/04/2022,Tin thường,batdongsan_so_com_vn_1673827098.4323351, 4, 3,,
"4,2 tỷ VNĐ",Khương Trung, 37m2,, 5,"- Nhà vị trí đẹp, ngõ nông, ba gác tránh, ngõ trước nhà rộng, ngõ thông tứ tung, cách Ngã Tư Sở 2 - 3 km, hàng xóm thân thiện. - Cách 30m ra mặt ngõ ô tô, rất gần phố, gần chợ, trường học. - Nhà 37m2x 5 tầng, mặt tiền rộng, lô góc, thiết kế nhà có khe thoáng sau nên tất cả các phòng đều thoáng khí.  - Sổ đỏ đẹp, vuông vắn. - Liên hệ ngay em Thảo 0348156621 chuyên thổ cư Hà Nội.",21/04/2022,Tin thường,batdongsan_so_com_vn_1673827099.4326596, 5,,,
6 tỷ VNĐ,Phường Mỹ Đình, 50m2,,,"Chính chủ bán nhà mới xây Mỹ Đình - Nam từ Liêm,50m2, 5 tầng,  Giá nhỉnh 100tr/m2.+ Nhà mới xây đẹp long lanh.Công năng đầy đủ, tiện ích.8 phòng – 6 phòng không ở đến có thể cho thuê dòng tiền gần 300/ năm.+ Ngõ xe ba gác phóng vèo vèo đi thông ra Nguyên Hoàng, Bến xe Mỹ Đình và thông ra các tuyến phố nội đô sầm uất tiện ích. + Gần trường học các cấp, cư đông đúc tập trung nhiều sinh viên, kinh doanh buôn bán kinh doanh nhộn nhịp.+ Sổ đỏ chính chủ sẵn sàng giao dịch.+ Giá:6 tỷLiên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn 24/7.    ",21/04/2022,Tin thường,batdongsan_so_com_vn_1673827100.4539275,,,,
"12,6 tỷ VNĐ",Đại Kim, 57m2,,,"ĐẠI KIM - PHÂN LÔ Ô TÔ TRÁNH - KINH DOANH VĂN PHÒNG ĐỈNH - THÔNG TỨ TUNG Thiết kế : 5 tầng: thông sàn kinh doanh Vị trí : Nhà thuộc khu đô Thị Đại Kim rất ít nhà bán, ngõ trước nhà 2 ô tô tải tránh nhau thoải mái, thông ra Trần điền và lê trọng tấn, cách ngã tư sở chỉ 2km giao thông cực kỳ thuận lợi, nhà chủ tự xây dựng lên rất đẹp và chắc chắn rất phù hợp cho khách vừa ở vừa làm văn phòng, tiện ích xung quanh vô vàn gần các trường học, gần chợ, dân cư đông đúc dân trí cao, an ninh tuyệt đối hàng xóm thân thiện. + Diện tích 57m + Giá 12,6 tỷ + Sổ đỏ sẵn sàng giao dịch. + Liên hệ: Em Phượng 0362368485",21/04/2022,Tin thường,batdongsan_so_com_vn_1673827101.5190787,,,,
"3,8 tỷ VNĐ",Phường Xuân Đỉnh, 40m2,,," Bán  nhà  đường Xuân Đỉnh 40M2, 5Tầng. Nhà xây thiết kế mới, mặt tiền đẹp. Giá nhỉnh 3 tỷ.+  Nhà xây thiết kế mới chắc chắn, mặt tiền đẹp. công năng đầy đủ tiện ích.+ Nhà mặt tiền ngõ, xe ba gác tránh xe máy.+Tuyến phố có nhiều Trường học các cấp,siêu thị, chợ Xuân Đỉnh. Dân cư tập trung đông đông đúc buôn bán tấp lập. + Nhà 5 tầng 4p,ngủ wc khép kín xây dựng chắc chắn thiết kế đẹp.+ Sổ đỏ chính chủ sẵn sàng giao dịch.Giá: 3.8 TỷLiên hệ: Anh Đoàn:0962745289.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn 24/7.   ",21/04/2022,Tin thường,batdongsan_so_com_vn_1673827102.5213962,,,,
18 triệu VNĐ,Quang Trung, 75m2, 5, 5,"- Chính chủ cần bán nhà lô góc Mặt phố Quang Trung Hà Đông. 75m2. mt 5.3m. 4 tầng. 18 tỷ.  Mặt chính đường Quang Trung Hà Đông- Nhà hướng Đông Nam, 3 mặt thoáng.- Nằm ngay trên mặt đường Quang Trung, kinh doanh mọi mặt hàng, gần trường cấp 1 cấp 2 cấp 3. Khu vực phồn hoa tấp nập nhất Hà Đông- Nhà 4 tầng.+ Tầng 1. Phòng khách bếp vệ sinh, ( có thể co thuê được )+ Tầng 2 3: Phòng ngủ + vệ sinh+ Tầng 4: Phòng thờ sân phơi, phòng kho.- Chủ nhà nhiệt tình giá cả có thương lượng.- Liên hệ Mr. Khắc Anh để biêt thêm thông tin. ",21/04/2022,Tin thường,batdongsan_so_com_vn_1673827103.752105, 4, 4, Đông nam,
16 tỷ VNĐ,Hà Nội, 78m2,,,"Bán nhà chính chủ đường Hoàng Ngân - SĐT: 0366 555 258.Toà nhà 7 tầng thang máy, diện tích 78 m2, mặt tiền 5 m.Giá chào chỉ 16 tỷ thương lượng mạnh.Mô tả:Vị trí cực đẹp, ô tô tránh ô tô, tiện kinh doanh đa ngành, đa dịch vụ.Nhà thông nhiều hướng sang Lê Văn Lương, Đỗ Quang, Nguyễn Thị Định, Trần Duy Hưng, Trung Kính... + Thiết kế đẹp, tối ưu công năng, full đồ nội thất điều hoà, ti vi, tủ lạnh, giường tủ, ghế sofa, máy giặt… + Siêu thoáng, tất cả các phòng đều có ban công, cửa sổ đón ánh sáng tự nhiên, + Khu dân trí cao, an ninh tốt, nhiều tiện ích. + Sổ đỏ chính chủ.Liên hệ ngay em Thanh - 0366 555 258.",21/04/2022,Tin thường,batdongsan_so_com_vn_1673827104.8441818,,,,
