price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Hướng,Lộ giới
22 tỷ VNĐ,KIM VĂN KIM LŨ ĐẠI KIM HOÀNG MAI HÀ NỘI., 130m2,KHU VIP NHẤT ĐẠI KIM kinh doanh sầm uất và đẳng cấp.  thông sàn  mặt rộng ,01/07/2022,Tin thường,batdongsan_so_com_vn_1673817012.2076845,,,,,,
"4,95 tỷ VNĐ",thượng đình, 55m2," Bán Nhà, Chính Kinh, Thanh Xuân. Ô Tô Kinh Doanh 55m2 x 4 tầng. Mặt Tiền 4m Giá 4.95 Tỷ.  NHÀ GẦN MẶT PHỐ  – SINH SỐNG CỰC ĐỈNH – NHÀ ĐẸP LONG LANH  - Nhà gần phố, gần  Trường học các cấp. Nhà gần trường Đại Học khoa Học Xã Hội Và Nhân Văn, Đại Học Thuỷ Lợi. Gần trung tâm thương mại Roal Anl City. Các khu vui chơi giải trí ngay cạnh nhà rất tiện lợi. - Nhà cách mặt phố Nguyễn Trãi vài 200 mét ngả đi các hướng, Ngã Tư Sở, Hà Đông, vành đai 3 đi các tỉnh ven Hà Nội. Giao thông cực kỳ thuận tiện. - Nhà được thiết kế rất tỉ mải, cẩn thận. - Nhà thiết kế 4 tầng: + Tầng 1: Phòng khách, bếp, wc. + Tầng 2,3: Mỗi tầng 2 phòng ngủ và wc + Tầng 4: Phòng thờ sân phơi   + Sổ chính chủ, sẵn sàng giao dịch.   LH: E KHÁNH: 0984568179  ",01/07/2022,Tin thường,batdongsan_so_com_vn_1673817013.6288805, 4, 4, 4, 3,,
"5,8 tỷ VNĐ",Phố Minh Khai - Hai Bà Trưng, 29m2,"Vị trí: Trung tâm Hai Bà Trưng, tiện ích bạt ngàn + 30m ra mặt phố trước nhà rộng, ô tô dừng đỗ thoải mái. + Xung quanh nhiều tòa chung cư cao cấp: Time City, Imperia Sky, Hòa Bình Green… + Gần các khu tiện ích: Chợ, siêu thị, gần các trường đại học lớn, Thế giới di động trước nhà… Nhà 6 tầng mặt tiền siêu rộng gần 6m. Thiết kế theo phong cách hiện đại, nội thất xịn. Chủ mới chỉ cần mang vali về ở được ngay và luôn. + Tầng 1: Bếp, wc + Tầng 2: Phòng khách + Tầng 3.4.5: Mỗi tầng 1 ngủ khép kín + Tầng 6: Phòng thờ và sân phơi Sổ đỏ đẹp, vuông vắn sẵn sàng giao dịch ngay.",01/07/2022,Tin thường,batdongsan_so_com_vn_1673817014.6970234, 5, 6, 3,, Nam,
"4,8 tỷ VNĐ","Xuân La, Tây Hồ, Hà Nội", 37m2,"Nhà xây mới đang làm hoàn thiện, khách mua thoải mái lựa chọn. Thiết kế cầu thang cuối, 5 tầng xây mới hiện đại, mỗi tầng 1 phòng ngủ rộng và 1 vệ sinh. Sổ đỏ vuông vắn.Sẵn sàng giao dịch",01/07/2022,Tin thường,batdongsan_so_com_vn_1673817015.8629067,,,,,,
10 tỷ VNĐ,Đường Hồ Tùng Mậu phường Cầu Diễn, 55m2,"- CHỦ NHÀ CẤN BÁNMô tả: Nhà 55M x 7 Tầng x mặt tiền 5M GIÁ NHỈNH 10 TỶ- Địa điểm giao thông thuận tiện, gần rất nhiều trường học từ mầm non, cấp 1, cấp 2: Lê Qúy Đôn, Đoàn Thị Điểm, Lômônôxốp và câc trường đại học lớn: Thương mại, Quốc Gia...    Cách không xa sân vận động quốc gia Mỹ Đình- Nhà nằm vị trí mặt ngõ 267 Hồ Tùng Mậu, thiết kế hiện đại, 7 tầng thang máy, ô tô vàò nhà.+ Tầng 1: Gara ôtô+wc+tiểu cảnh+ Tầng 2 phòng khách rộng+ Tầng 3, 4 mỗi tầng 2 phòng ngủ khép kín+ Tầng 5 môt phòng khép kín rộng+ Tầng 6 bếp+ phòng ăn+ Tầng 7 phòng thờ, sân phơi - Sổ đỏ chính chủ - sẵn sàng giao dịch",01/07/2022,Tin thường,batdongsan_so_com_vn_1673817017.2322412, 5, 7, 5, 7,, 3
"19,3 tỷ VNĐ",Đường Hồng Tiến phường Bồ Đề, 184m2,"- Cạnh Công viên Bồ Đề, Bệnh viện Tâm Anh, các trường C1,2,3 trong bán kính 500m, khu đô thị Golden City khu đô thị Hoàng Như Tiếp mới, Gọi Mrs Thu Long Biên xem ngay miễn phí 0916488589 ",01/07/2022,Tin thường,batdongsan_so_com_vn_1673817018.4968574, 9,,,,,
"13,8 tỷ VNĐ","68 Bạch Thái Bưởi, VĂn Quán, Hà Đông", 90m2,"Tôi cần bán nhà 90m2 khu phân lô TT6 – Khu đô thị văn quán Nhà 5 tầng mặt tiền 4,5m, + Thiết kế mỗi tầng 2 phòng khép kín, vệ sinh giữa. Nhà có thang bộ rộng, có thể cải tạo để lắp thang máy được + Nhà mình bán nằm đối diện số 68 Bạch Thái Bưởi. + Đường trước nhà ô tô tải, vỉa hè rộng, phân lô ô bàn cờ. + Nhà ở hoặc làm văn phòng hoặc kinh doanh cho thuê đều đẹp. + Nhà tôi xây kiên cố chắc chắn. + Sổ đỏ vuông đẹp. Giá bán 13.8 tỷ (có thương lượng) + Hiện nhà tôi đang cho thuê cả nhà 20 triệu /tháng nếu tự cho thuê còn được giá cao hơn. Liên hệ: Mr. Hải - 0364600608. ( Miễn môi giới , Quảng cáo, ngân hàng làm phiền )",10/06/2022,Tin thường,batdongsan_so_com_vn_1673817020.0886006, 4, 5, 9, 5,,
"7,15 tỷ VNĐ","Tư đình, Long Biên, Hà Nội", 55m2,"+ Vị trí cực đẹp, gần sân golf Long Biên. + Nhà phân lô của quân đội, Ô tô tránh, đỗ ngày đêm, khu vực phát triển từng ngày. + Đường thông Cổ Linh, Đàm Quang Trung, đi bộ ra Aeon mall. + Khu dân trí cao, an ninh cực tốt, Lính gác bên cạnh suốt ngày. + Thiết kế 3 tầng, đang ở tầng 1. Hai tầng trên hiện còn xây thô chủ mới về hoàn thiện nốt, móng cọc cực chắc chắn, giấy phép xây dựng 6 tầng, +Sổ đỏ sẵn sàng sang tên",01/07/2022,Tin thường,batdongsan_so_com_vn_1673817021.3183107,,,,,,
43 triệu /tháng,92 mai động, 77m2,"🙁Tôi cần bán gấp 2 căn 2PN tòa Zen do trước có quen với bên chủ đầu tư nên được để lại với giá rẻ theo hình thức căn ngoại giao.Vì đợt này 2 vợ chồng tôi có tìm được căn biệt thự nhỏ ở khu đô thị pháp vân nên quyết dồn tiền để lấy căn biệt thự này theo như ý của cả gia đình mặc dù cũng rất là tiếc 2 căn chung cư này vì nó khá đẹp.💌Để chuyển đổi nhanh nên t để lại giá gốc ngoại giao cho ai có nhu cầu lấy 1 trong 2 căn, nếu ai thiện chí lấy 2 căn sẽ bớt hơn nữa. 2 căn này vẫn được kí trực tiếp với chủ đầu tư với các chính sách ưu đãi.+ Miễn phí 2% kinh phí bảo trì.+ Miễn phí 1 năm phí dịch vụ.+ Ngân hàng hỗ trợ lãi suất 0%.🏠Thông tin căn hộ như sau:+ ZB15A07: Diện tích 77,6m2 2PN + 2VS ban công Đông.+ ZA0909: Diện tích 77m2 2PN + 2VS ban công Đông.+ Ngoài ra căn hộ nằm trong dự án siêu mẫu của quận Hoàng Mai với tiện ích đầy đủ như bể bơi công nghệ điện phân đồng, nhà trẻ, khu vui chơi trẻ em, khu dạo bộ, khu nướng BBQ, vườn treo trên mái sân cầu lông tenis spa TTTM... Cung với đó phía trước thuận tiện giao thông đi lại các khu vực trong thành phố và các khu vực phía Nam.Mọi thông tin xin liên hệ trực tiếp với tôi qua số:☎️ Mr Đạo 0983.223.911.",01/07/2022,Tin thường,batdongsan_so_com_vn_1673817022.4333272,,, 2, 2,,
"4,2 tỷ VNĐ",Trần Phú - Hà Đông, 40m2,"BÁN GẤP NHÀ ĐẸP TRẦN PHÚ - HÀ ĐÔNG, 40M2 - 4.2TỶ  - Hàng xóm khu Biệt Thự Làng Việt Kiều Châu Âu khu đang phát triển mạnh quận Hà Đông. Nhà gần phố đẹp ở ngay đủ công năng.  - Thiết kế: Tầng 1: Khách, bếp.  Tầng 2,3: Mỗi tầng 2 phòng 1 vệ sinh Tầng 4: Phòng thờ, sân phơi. - Sổ đỏ đẹp, sẵn sàng giao dịch. - Liên hệ: K.S Phương - 0918120568 để xem nhà và gặp trực tiếp chủ nhà đàm phán giá tốt.",01/07/2022,Tin thường,batdongsan_so_com_vn_1673817023.666029, 4, 4, 4, 4,,
