price,address,Diện tích,Số tầng,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Lộ giới
"20,9 tỷ VNĐ",Phố Nam Đồng - Hồ Đắc Di - Xã Đàn Hà Nội, 70m2, 5, 5,"Bán nhà lô góc mặt hồ Nam Đồng - Xã Đàn. Diện tích 70m x 5 tầng. Vi trí phù hợp ở, kinh doanh, cho thuê, giữ tiền... Sổ đỏ vuông đẹp, pháp lý sạch. Liên hệ: 0392389012",15/12/2021,Tin thường,batdongsan_so_com_vn_1673833812.3433578,,,
"2,9 tỷ VNĐ",Vĩnh Hưng Hoàng Mai Hà Nội, 32m2, 5,,"+ Cần bán nhà phố Vĩnh Hưng, nằm ở vị rí gần chợ, trường Cấp 1, 2 phố Vĩnh Hưng, mặt ngõ rộng, cách phố chỉ hơn 20 mét. + Nhà thiết kế hợp lý, diện tích 32m2, mặt tiền rộng 5 mét. + Khu vực an ninh tốt, hàng xóm rất thân thiện, nhà đẹp khách về ở ngay đón tết. + Sổ đỏ đẹp – sẵn sàng sang tên ngay. + Giá bán: 2 tỷ 900 triệu. + Liên hệ: Minh Quang 0327085656 ( Thông tin chính xác - miễn phí xem nhà ) + Minh Quang chuyên tư vấn nhà đất thổ cư Hà Nội, hỗ trợ pháp lý, hỗ trợ vay vốn ngân hàng với lãi xuất thấp nhất.",02/01/2022,Tin thường,batdongsan_so_com_vn_1673833814.6017025, 5, 4,
"3,6 tỷ VNĐ",Bạch Mai Hai Bà Trưng Hà Nội, 35m2, 4,,"+ Cần bán nhà mặt ngõ Bạch Mai, rất gần phố, vị trí đẹp, khu vực đáng sống, tiện ích xung quanh không thiếu thứ gì. + Nhà thiết kế hợp lý, diện tích 35m2, tổng có 4 phòng ngủ. + Mặt ngõ rộng, nhà thoáng, đường sạch đẹp, khu vực an ninh cực tốt, khách về ở ngay. + Sổ đỏ đẹp – sẵn sàng sang tên ngay. + Giá bán: 3 tỷ 600 triệu. + Liên hệ: Minh Quang 0327085656 ( Thông tin chính xác - miễn phí xem nhà ) + Minh Quang chuyên tư vấn nhà đất thổ cư Hà Nội, hỗ trợ pháp lý, hỗ trợ vay vốn ngân hàng với lãi xuất thấp nhất.",02/01/2022,Tin thường,batdongsan_so_com_vn_1673833816.7685552,, 4,
"6,1 tỷ VNĐ","Phố Bồ Đề, phường Bồ Đề", 52m2,,,"NHÀ MỚI KOONG - AN SINH TỐTMô tả:+ Ngõ to rộng, ngõ bagac. Đi 5p sang phố cổ, Aeon mall, tiện ích xung quanh bạt ngàn.+ Nhà 5 tầng mới koong thiết kế hiện đại nhiều phòng ngủ phù hợp với gia đình đông thành viên, nhà có giếng trời, có thể lắp thang máy.+ Sổ đỏ đẹp, nét căng.Lh : E Mai 0983724773.",02/01/2022,Tin thường,batdongsan_so_com_vn_1673833822.4869597,,,
5 tỷ VNĐ,"Bà Triệu, Phường Hà Cầu", 50m2, 5, 4,"+ Khu phân lô, dân trí cao, an ninh tốt, an sinh đỉnh, xung quanh vô vàn tiện ích.+ Vị trí đắc địa, khu vực trung tâm phố cổ Hà Đông, hàng xóm trường THPT Lê Lợi, gần chợ, sân vận động Hà Đông, mặt đường to hơn phố, rộng thênh thang, ôtô chạy vòng quanh, dừng đỗ ngày đêm. Đi lại thuận tiện, thông ra Tô Hiệu, Cầu Đen, Hà Trì, Kiến Hưng, Quang Trung, Phùng Hưng.+ Nhà xây 5 tầng chắc chắn, 4 ngủ công năng đầy đủ.+ SĐCC, vuông vức, sẵn sàng giao dịch.+ Giá nhỉnh 5 tỷ (chủ cần bán, có thương lượng với khách thiện chí mua trước tết).+ Liên hệ ngay Mr Hiển nhà đẹp Hà Đông - 0866485199.* Mr Hiển được chủ nhà ủy thác bán hàng ngàn căn nhà đẹp, thanh khoản cao. Gọi ngay để được xem nhà miễn phí, tư vấn pháp lý, thủ tục ngân hàng, hỗ trợ đàm phán chốt giá tốt nhất.",02/01/2022,Tin thường,batdongsan_so_com_vn_1673833824.3081846, 4, 4, 4
9 tỷ VNĐ,"Nhân Hòa, Thanh Xuân Trung", 40m2, 7, 5,"Cần bán nhà phố Nhân Hòa, đường thoáng, sạch, ô tô tránh nhau, , thuận lợi cho việc dùng làm văn phòng kinh doanh hoặc cửa hàng. Gần hồ Quan Nhân và các trường học, thông nhiều tuyến phố Nhà 7 tầng, thiết kế sang trọng - hiện đại, có thang máy, đầy đủ tiện nghi, chủ mới chỉ việc xách vali đến ở. Diện tích 40m2, mặt tiền 5m Tầng 1: Gara, wc. Tầng 2: Bếp, khách, wc. Tầng 3,4,5: Mồi tầng 1 ngủ, wc. Tầng 6: Phòng thờ, sân phơi. Tầng 7: Khu kỹ thuật, trồng hoa, tum Sổ vuông như bao diêm. Giá: 9 tỷ VNĐ. Liên hệ: Mr. Ngọc 1983 – 0344.978.570 (miễn môi giới, trung gian). Hỗ trợ cho vay trả góp chỉ từ 7 triệu/tháng, thủ tục đơn giản, giải ngân nhanh.",22/10/2021,Tin thường,batdongsan_so_com_vn_1673833826.3855703, 5, 3,
"9,1 tỷ VNĐ","Bùi Xương Trạch, Khương Đình", 47m2, 5, 4," Cần bán căn nhà tại đường Bùi Xương Trạch, phường Khương Đình, quận Thanh Xuân giá hợp lí, chỉ 9,1 tỷ VNĐ, sinh dòng tiền. VỊ TRÍ ĐẮC ĐỊA, ĐOẠN TO ĐẸP NHẤT PHỐ BÙI XƯƠNG TRẠCH. NHÀ ĐẸP Ở LUÔN Thông tuyến: Khương Trung, Khương Hạ, Thượng Đình, Khương Đình, Vũ Tông Phan, Hoàng Văn Thái, Tô Vĩnh Diện, Vương Thừa Vũ, Định Công Thượng, Kim Giang…. Đi ngã tư Sở hay lên cầu Dậu, đường vành đai 3 cũng rất gần. Cách bãi gửi xe 100m. Trung tâm của các tiện ích: gần chợ Khương Đình, sát Vinmart, gần hồ điều hòa Đầm Hồng, hồ Khương Trung, ao xóm Hồng và hồ Đầm Chuối, gần trường học các cấp. Gần cơ quan công quyền nên an ninh cực kì đảm bảo, dân trí cao. Mặt phố, vừa tầm tiền, vừa ở vừa kinh doanh ngay. Nhà thiết kế đẹp, 5 tầng khung cột chắc chắn, cuối nhà có khe thoáng nên phòng nào cũng có ánh sáng tự nhiên. Kinh doanh đông đúc tấp nập các mặt hàng. Nhà đẹp thiết kế hiện đại, nội thất cao cấp khách mua chỉ việc xách vali về ở đón Tết. Diện tích 47m2 với 5 tầng đầy đủ: - Tầng 1: thông sàn kinh doanh - Tầng 2: bếp và phòng khách + WC - Tầng 3,4: mỗi tầng 2 phòng ngủ và WC - Tầng 5: phòng thờ, sân phơi, phòng bếp chờ. Sổ đỏ chính chủ, sẵn sàng giao dịch. Giá: 9,1 tỷ VNĐ Thanh Xuân giờ giá lên vù vù, ACE cô chú đi mua cứ mạnh dạn, nhanh chân là được! Liên hệ: Mr. Ngọc – 0344.978.570 (miễn phí xem nhà, miễn môi giới, trung gian).",24/12/2021,Tin thường,batdongsan_so_com_vn_1673833828.1143475,, 4,
"6,8 tỷ VNĐ","Khương Trung, Khương Trung", 50m2, 6, 9,"Cần bán nhà phố Khương Trung, phường Khương Trung, quận Thanh Xuân, sinh dòng tiền, giá chỉ 6,8 tỷ. KINH DOANH SẦM UẤT - BẤT CHẤP ĐẦU TƯ - DÒNG TIỀN 35TR/ THÁNG - NGÕ THÔNG - Ô TÔ TRÁNH - KD ĐỦ ĐƯỜNG - GIÁ HỢP LÝ - CHỦ CỰC MÓT BÁN - GIÁ CHỐT BẤT NGỜ. Vị trí vô cùng đẹp, ngõ 211 Khương Trung rộng thông tứ tung, ô tô 7 chỗ ra vào thoải mái, kinh doanh sầm uất, có thể kinh doanh đủ mọi mặt hàng… Khách vừa ở vừa kd dòng tiền, hoặc khách mua làm nhà nghỉ, tạp hoá, cafe, spa, hiệu thuốc, phòng khám, nhà hàng… Thiết kế: + Tầng 1: Kinh doanh + Bếp + WC + Tầng 2.3.4,5: 8PN + WC + Tầng 6: P. Thờ + sân phơi + trồng rau, cây cảnh… Gần chợ Khương Đình, gần trường học các cấp, gần hồ Đầm Hồng, cách bệnh viện Bưu điện khoảng 3km Thông các tuyến phố: Bùi Xương Trạch, Hoàng Văn Thái, Vương Thừa Vũ, Tô Vĩnh Diện, chỉ vài phút là ra tới Ngã tư Sở. Nhà 50m2, 6 tầng, mặt tiền gần 4m. Chủ có nhà mới nên nhượng lại. Sổ vuông chính chủ, sẵn sàng giao dịch. Giá: 6,8 tỷ VNĐ. Liên hệ: Mr. Ngọc – 0344.978.570 (miễn phí xem nhà, miễn môi giới, trung gian). Hỗ trợ cho vay trả góp chỉ từ 7 triệu/tháng, thủ tục đơn giản, giải ngân nhanh.",28/12/2021,Tin thường,batdongsan_so_com_vn_1673833830.3156714,, 8,
"5,15 tỷ VNĐ","Bùi Xương Trạch, Khương Đình", 57m2, 5, 3,"Cần bán gấp căn nhà tại đường Bùi Xương Trạch, phường Khương Đình, quận Thanh Xuân, ngõ ô tô vào, nhiều khách tìm. GẦN ÔTÔ - DIỆN TÍCH RỘNG - NHÀ ĐẸP Ở LUÔN Tuy là nhà trong ngõ nhưng ngõ to như phố với các hoạt động kinh doanh tấp nập, lại chỉ cách bãi gửi xe vài bước chân. Thông tuyến: Khương Trung, Khương Hạ, Thượng Đình, Khương Đình, Vũ Tông Phan, Hoàng Văn Thái, Tô Vĩnh Diện, Vương Thừa Vũ, Định Công Thượng, Kim Giang…. Đi ngã tư Sở hay lên cầu Dậu, nhập đường vành đai 3 cũng rất gần. Trung tâm của các tiện ích: gần chợ Khương Đình, sát Vinmart; gần hồ điều hòa Đầm Hồng, hồ Khương Trung, ao xóm Hồng và hồ Đầm Chuối, gần trường học các cấp; đến các cơ sở y tế lớn không xa (Trung tâm y tế quận Thanh Xuân, BV Bưu điện, BV YHCT Quân đội). An ninh đảm bảo, gần trụ sở ủy ban và công an phường. Nhà chủ tự xây, khung cột bên tông, chắc chắn, rất đẹp; khách chỉ việc xách vali về ở đón Tết. Thiết kế hiện đại - hợp lý. - Tầng 1: Để xe - Bếp - WC. - Tầng 2: phòng khách. - Tầng 3 và 4: 2 phòng ngủ - WC. - Tầng 4: Phòng thờ - Sân phơi. Sổ đỏ chính chủ. Giá: 5,15 tỷ VNĐ. Liên hệ: Mr. Ngọc – 0344.978.570 (miễn môi giới, trung gian, miễn phí xem nhà). Hỗ trợ cho vay trả góp chỉ từ 7 triệu/tháng, thủ tục đơn giản, giải ngân nhanh.",30/12/2021,Tin thường,batdongsan_so_com_vn_1673833832.0874677,, 4,
"6,5 tỷ VNĐ",Bà Triệu- Hà Đông, 58m2, 5,,"Nhỉnh 6 tỷ, gara ô tô, ngõ thông, nở hậu, 58m2x5 tầng, Bà Triệu, Hà Đông Tôi cần bán nhà đẹp mới, ở ngay, nhà tự xây chắc chắn đầy đủ công năng sử dụng, phòng nào cũng có cửa sổ đón nắng gió với 5 tầng rộng đẹp nhất khu vực.Nhà có khe rất thoáng, đường trước nhà ô tô tránh. Ngõ rộng thông, ô tô vào nhà, vừa ở- kinh doanh hoặc cho thuê quá Đỉnh, khu vực không có căn thứ 2. Giao thông di chuyển các phố: Cầu Đơ, Lê Hồng Phong, Đa Sỹ, Vạn Phúc, Nguyễn Trãi, Hoàng Hoa Thám, Vạn Phúc, Văn Quán, Mỗ Lao, bến xe bus rất gần, vài bước ra phố. Xung quanh đầy đủ tiện ích: Trường học, chợ, siêu thị, bệnh viện, ngân hàng, trung tâm mua sắm sầm uất bậc nhất Hà Đông, không thiếu thứ gì, không ở đây quá phí. Giá: 6.5 tỷ ( có thương lượng). Sổ đỏ vuông, pháp lý sạch. Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",28/12/2021,Tin thường,batdongsan_so_com_vn_1673833834.4174745,,,
