price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Lộ giới,Số tầng,Số phòng ngủ,Số toilet
"7,35 tỷ VNĐ","Đường Tỉnh lộ 422, Song Phương, Hoài Đức", 90m2, 7,"
    Cắt lỗ Cần Bán gấp Đất ĐG Sơn Đồng Center , Hoài Đức 90m Ô tô, Kinh doanh chỉ 7,x tỷ
- Đầu tư, giữ tiền, Kinh doanh, ở sướng. P.Lô cực đẹp.
- Vị trí đẹp. Trung tâm, tương lai mặt đường lớn, Quận Hoài Đức.
- Tiện ích xung quanh đầy đủ, gần trường học Cấp1,2,3, Trường Chuyên Nguyễn Văn Huyên.., y tế, chợ, siêu thị, KĐT
- Giao thông thuận tiện, thông các ngả. Đường TL 422, TL 422B, Đường DH06, Quốc lộ 32, Đường vành đai 3.5
- Giá thương lượng, chủ rất thiện chí hợp tác.
Có nhu cầu thật, hiểu thị trường khu vực, gọi Mr Đức Nhà Đẹp.
Rất nhiều Nhà, Đất đẹp phù hợp mọi nhu cầu Anh Chị Em nhé.
",17/12/2022,Tin thường,batdongsan_so_com_vn_1673783154.4516966,,,,
"15,6 tỷ VNĐ","Đường Nguyễn Khuyến, Văn Quán, Hà Đông", 75m2, 4,"+ Chính chủ bán nhà tại KĐT Văn Quán, Hà Đông. + Diện tích: 75m, Nhà 5 tầng, Mặt tiền 4.5m + Giá chào để bán: 15.6 tỷ + Nhà 2 mặt đường trước sau 2 làn ô tô tránh vỉa hè. + Xây full 75m2 xây kiên cố ( nhà xây thô dự án đập bỏ xây lại mới). Tầng trên đua. + Tầng 1: Phòng khách + wc + bếp + Tầng 2-3-4 mỗi tầng 2phòng ngủ 2 wc. + Tầng 5 - 1 phòng ngủ, 2wc, 1 phòng phơi, 1 phòng thờ. + Trước cửa là trường THCS Văn Yên với 2000 học sinh.  + Đầu dãy khu liên hợp thể thao .  + Trường THPT khu đô thị các trường mẫu giáo văn phòng kinh doanh.  + Dân trí cao an ninh tốt chỗ để xe thoải mái. + Nhà phù hợp làm siêu thị mi ni, KD nhỏ, văn phòng đại diện, nhà hàng khách sạn... + Nhà hiện đang cho thuê làm vp 20 tr/1 tháng. * Sổ đổ phân lô, chính chủ sẵn sàng giao dịch. * Liên hệ xem nhà: 0902.08.31.39",17/12/2022,Tin thường,batdongsan_so_com_vn_1673783155.5407827, 12, 5, 4, 4
"3,7 tỷ VNĐ","Đường Xuân Thủy, Dịch Vọng Hậu, Cầu Giấy", 35m2, 3,"BÁN NHÀ TRẦN QUỐC VƯỢNG XUÂN THỦY CẦU GIẤY 3 TẦNG RỘNG THOÁNG GẦN Ô TÔ TRÁNH GIÁ 3.7 TỶ + Ngõ thông các ngả , khu nhiều sinh viên của các Trường Đại học lớn ở như ĐH Sư Phạm. ĐH Quốc Gia , ĐH Ngoại Ngữ ... Nên kinh doanh cực SẦM UẤT VÀ NGƯỜI NGOẠI TỈNH tìm MUA NHÀ CHO CON EM MÌNH LÊN Ở RẤT TIỆN + NHÀ PHÂN LÔ CỰC NÉT.chủ mới chỉ cần xách balo vào ở  + Sắp TẾT rồi . lại mùa BÓNG nên giá cực kỳ dễ chịu dành cho người thiện chí + Sổ đỏ phân lô đepl + LH; C HUYỀN 0912361312",17/12/2022,Tin thường,batdongsan_so_com_vn_1673783156.6428351, 3, 3, 2, 2
"5,2 tỷ VNĐ","Đường Sài Đồng, Sài Đồng, Long Biên", 40m2, 5,"Chủ nhà cần bán gấp căn nhà cực đẹp phố Sài Đồng, diện tích 40 m2, 6 tầng, thang máy, mặt tiền 5,5 m, giá chỉ 5,2 tỷ. + Vị trí nhà rất đẹp, lô góc 3 mặt thoáng, chỉ 20m ra đường ô tô tránh hồ Sài Đồng vô cùng thoáng mát, giao thông thuận tiện kết nối Sài Đồng, đường Nguyễn Văn Linh. Tiện ích đầy đủ bán kính 500m là chợ, trường học các cấp, trung tâm thương mại Aone. + Nhà chủ tự xây rất tâm huyết, vô cùng chắc chắn. Thiết kế 6 tầng cức đẹp, thang máy xịn xò, nột thất chất lượng 5 sao, lựa chon tuyệt vời cho khách mua về đón tết Quý Mão 2023. THÔNG TIN NHÀ: - Tầng 1: Khu để xe, phòng khách. - Tầng 2: Bếp + phòng ăn + WC. - Tầng 3,4: Mỗi tầng một phòng ngủ rộng. - Tầng 5: Hai phòng ngủ vệ sinh khép kín. - Tầng 6: Sân phơi phòng thờ. Ban công, và 1 tum làm sân phơi, bàn cafe. + Sổ đỏ pháp lý rõ ràng, sẵn sàng giao dịch. Chủ nhà cần bán gấp nên rất thiện chí, giá chỉ 5,2 tỷ. Khách mua nhà thiện chí có thể thương lượng và gia lộc thông tin nhà hoàn toàn đầy đủ và chính xác.Anh/chị có nhu cầu mua nhà đất liên hệ em Phúc chuyên nhà đất thổ cư tại quận Long Biên để được tư vấn và xem nhà hoàn toàn miễn phí.Gọi ngay khi nhà còn chưa bán: Mr. Hoàng Phúc (Chuyên thổ cư).",17/12/2022,Tin thường,batdongsan_so_com_vn_1673783157.656123, 5, 6, 4, 6
"4,39 tỷ VNĐ","Đường Quan Nhân, Trung Hòa, Cầu Giấy", 34m2, 3,"Bán nhà 7 tầng mới sơn còn đẹp như mới, xây dựng từ móng độ chịu lực, khung cột với cả tâm huyết, có thiết kế hiện đại thông sàn, tầng 1 để xe, tầng 2 chủ ở, còn 4 tầng cho thuê dòng tiền 21tr/tháng,  Tòa 7 tầng lừng lững tọa lạc trên phố Quan Nhân giao cắt Giáp  Nhất ngay đọan đầu Ngã Tư Sở.Quân Cầy Giấy. + Diện tích 34m2, 7 tầng, mặt tiền 3.5m, giá 4.39 tỷ(còn thương lượng). Chị hoa anh Phương quê ở Thanh Hóa, chị chia sẻ lấy được Phương là vàng 10 xịn, ảnh ý, tốt tính, tính toán mọi việc rất chu đao,từ khi mua đất xong anh chị xây nhà thiếu tiền phải vay ngân hàng nên anh quyết định xây 7 tầng vừa có chỗ ở vừa có dòng tiên hàng tháng trả ngân hàng, được cái nhà ở có lộc phòng không khi nào trống, anh chị cũng phất lên từ đây, dù bán đi rất tiếc vì chị đã mua nhà mặt chung cư tiện kinh doanh. + Sổ đỏ vuông đẹp, sẵn nhà giao dịch ngay. Em Phụng thổ địa khu vực khẳng định căn nhà vị trí rất đẹp ngõ rộng hơn 2.5m, quá hợp lý nếu như nhu cầu vay ngân hàng gọi em sơm 096593755.",17/12/2022,Tin thường,batdongsan_so_com_vn_1673783158.6743987, 2, 7, 5, 6
5 tỷ VNĐ,Ngọc Thụy, 68m2,,"⚽️Theo Argentina vào Chung Kết⚽️ - Chủ cần bán nhà 68m x 4 tầng Ngọc Thụy Chỉ 5 tỷ Mô tả: Tầng 1: Khách + Bếp Tầng 2,3: 2 Phòng Ngủ + VS khép kín Tầng 4: Phòng thờ + sân phơi ❤️ SỔ ĐỂ NHÀ SẴN SÀNG SANG TÊN ✨🌹 10M RA Ô TÔ + NHÀ ĐẸP + CHẤT= ĐẠI GIA ĐÌNH Vị trí Gần chợ Ngọc Thụy và các trường xung quanh. sang trung tâm phố cổ chỉ 10 phút. Để biết thêm chi tiết vui lòng liên hệ: E.Thắng BĐS: 0904641279 để được tư vấn miễn phí",16/12/2022,Tin thường,batdongsan_so_com_vn_1673783159.6088996,,,,
"4,1 tỷ VNĐ",Ô Cách, 35m2,,"Cần tiền ăn tết nên chủ nhờ bán Nhà mới xây Phố Ô Cách. DT: 35m x 5 tầng . -Vị trí quá đẹp, Ngay đầu Ô Cách giao với Ngô Gia Tự -Lối vào thoáng, xe 7 chỗ tránh xe 3 gác vào tận nhà. -Chủ tâm huyết xây móng 5 tầng - Khung bê tông, thiết kế hợp lý. -Nhà trang bị Full nội thất nên chỉ cần xác vali quần áo vào ở luôn. - Sổ đỏ vuông vắn chính chủ sẵn sàng giao dịch. _Giá 4.x TỶ( X tí tí) Để biết thêm chi tiết xin vui lòng liên hệ: Em Thắng BĐS: 0904641279 để được tư vấn và xem nhà miễn phí 24/24",16/12/2022,Tin thường,batdongsan_so_com_vn_1673783160.806738,,,,
"3,75 tỷ VNĐ",Phúc Lợi, 39m2,,"+Diện tích 39m x 4 tầng +Ngõ to Ô tô tránh xe máy thoải mái +Nhà chủ tự xây mới hơn 2 năm, các tầng có ban công thoáng mát -Tầng 1: Để xe, Bếp, WC -Tầng 2: P.Khách + Ngủ -Tầng 3: 2 ngủ + WC -Tầng 4: P.Thờ + Sân phơi trước và sau. Vị trí ngay trung tâm Phúc Lợi, chợ Phúc Lợi. Đi bộ vài bước là đến trước cấp 1, THCS, THPT Phúc Lợi rất lý tưởng cho sinh sống. Giá: 3.75 tỷ Để biết thêm chi tiết và xem nhà 24/24 LH: E.Thắng 0904641279",16/12/2022,Tin thường,batdongsan_so_com_vn_1673783161.8040693,,,,
"5,1 tỷ VNĐ",Ngọc Thụy, 50m2,,"NHÀ ĐẸP Ở NGAY - NỘI THẤT ĐẸP - GẦN PHỐ NGỌC THỤY - 30M RA MẶT PHỐ NGỌC THUỴ Ô TÔ ĐỖ NGÀY ĐÊM.🌹🌹🌹💥💥💥 50m x 4 tầng ! 👉Mô tả : - Vị trí nhà rất đẹp cách phố chỉ vài bước chân, gần nhiều trường học, công viên, bệnh viện, an ninh tốt, dân trí cao. - Nhà chủ mua đất tự xây kiên cố, KCBT cực kỳ chắc chắn, hiện đại, khép kín phòng nào cũng có nhà tắm WC. - Đầy đủ công năng sử dụng thoáng trước sáng sau tầng nào cũng có ánh sáng, nhà chủ trang bị full nội thất, phù hợp mọi tiêu trí. Cầu thang gỗ thịt từ tầng 1 lên tới tầng 4 xem là mê. 👉Thiết kế: - T1: Khách + Bếp + Wc. - T2.3 : Mỗi tầng 2 phòng kép kín. - T4 : Phòng thờ + Sân phơi. - Sổ đỏ vuông vắn chính chủ sẵn sàng giao dịch. Giá 5.X tỷ ( X bé tí ti ) Để biết thêm chi tiết vui lòng liên hệ : Thắng BĐS: 0904641279 để được tư vấn và xem nhà 24/24",16/12/2022,Tin thường,batdongsan_so_com_vn_1673783162.9829166,,,,
4 tỷ VNĐ,Nguyễn Văn Linh, 36m2,,"NHÀ ĐẸP ĐÓN TẾT... CHỈ 4 TỶ - 5 TẦNG - Ô TÔ 7 CHỖ ĐỖ CỬA (4 CHỖ VÀO NHÀ) - LÔ GÓC - SIÊU THOÁNG. Mô tả: + Nhà ở trục ngõ 68 Nguyễn Văn Linh thông mọi nơi, tiện đi lại. + Diện tích : 36m x 5 tầng + Nhà đẹp mới xây năm 2020, ngõ nông rộng, ô tô 7 chỗ đỗ cửa, nếu sửa cửa thì ô tô 4 chỗ vào nhà thoải mái, cách 30m ra ô tô tránh, quy hoạch ổn định, cơ sở hạ tầng đồng bộ. + Thiết kế: - Tầng 1: Bếp + PK nếu cần + WC. -Tầng 2: Phòng khách+ kết hợp Phòng thờ. - Tầng 3,4: Mỗi tầng 1PN + WC. - Tầng 5: Sân phơi. Để biết thêm chi tiết vui lòng liên hệ: Thắng BĐS: 0904641279 để được tư vấn miễn phí",16/12/2022,Tin thường,batdongsan_so_com_vn_1673783164.3093667,,,,
