price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Hướng
115 tỷ VNĐ,Đường Dịch Vọng Hậu phường Dịch Vọng, 326m2, 22,"Bán đất đấu giá khu đô thị mới Cầu Giấy DT: 326m2 MT 22m. Ba mặt tiền GB: 115 tỷ, Vuong: 0985340332  ",28/09/2022,Tin thường,batdongsan_so_com_vn_1673798693.8544915,,,,,
"15,3 tỷ VNĐ",NGỌC LÂM, 50m2, 4,"MẶT PHỐ NGỌC LÂM - VỈA HÈ - KINH DOANH - DIỆN TÍCH 50M 3 TẦNG CHÀO GIÁ 15.3 TỶ  Mô Tả - Nhà 3 tầng xây chắc chắn.- Tổng 3 ngủ, cầu thang giữa.- - Tầng 1. Để xe. - Phố ngọc lâm là phố cổ của Long Biên, kinh doanh buôn bán sầm uất, nhà gần tòa chung cư Mipec, phố ẩm thực ngọc lâm,  chợ Ngọc Lâm, bến xe Gia Lâm, ga tầu hỏa Gia Lâm, vườn hoa… - Sổ hoa hậu, sẵn sàng giao dịch",28/09/2022,Tin thường,batdongsan_so_com_vn_1673798694.9781573, 10, 3, 3, 3,
"12,5 tỷ VNĐ",Nghĩa Tân Cầu Giấy Hà Nội, 52m2,,"ĐẬP HỘP nhà VIP THANG MÁY, GARA phố NGHĨA TÂN Cầu Giấy 52m 5T chỉ 12.5 tỷNHÀ ĐẸP KÍNH KOONG - PL VÍP CẦU GIẤY - GARA Ô TÔ - THANG MÁY ÊM RU - BA BƯỚC RA PHỐ - KD TỐT. Nhà nằm trong khu phân lô, dân trí cao, an sinh đỉnh, tiện ích hoàn hảo không thiếu thứ gì, hàng xóm thân thiện. - Nhà mới đét, thang máy nhập, gara ô tô,Thiết kế siêu hiện đại,công năng thoải mái, Phía sau có khe thoáng mát mẻ + giếng trời thoáng sáng quá tuyệt vời cho một căn nhà tràn đầy năng lượng vượng khí.Tầng 1: Gara/ khách, bếp, wcTầng 2, 3, 4: Mỗi tầng 2 phòng. wc ngoài.Tầng 5: Phòng thờ, sân phơi+ Sổ phân lô vuông tờ A4, sẵn sàng giao dịch. Liên hệ: Mrs Phượng 0974352054 - Tư vấn tận tâm, miễn phí 24/24h (zalo, Fb) , hỗ trợ tư vấn Pháp lý, vay vốn.",28/09/2022,Tin thường,batdongsan_so_com_vn_1673798695.8957672,, 5,,,
3 tỷ VNĐ,Đa Sỹ- Hà Đông, 35m2,,"Bán nhà Đa Sỹ, Hà Đông, 35mx5 tầng ngõ rộng ô tô gần chỉ 3 tỷ Cần bán nhà riêng tại Đa Sỹ, Hà Đông gần bể bơi và sân bóng, nhà mới đẹp thiết kế 4 tầng hiện đại, nội thất đầy đủ ngõ nông rộng nhà cực thoáng mát gần phố chỉ việc dọn đến ở. Bán kính xung quanh nhà đầy đủ tiện nghi gần chợ, siêu thị, ngân hàng, trường học các cấp bệnh viện lớn Quân y 103, Viện Bỏng. Giao thông thuận lợi giáp trục chính Xa La sang Mậu Lương ra Hà Cầu gần Khu đô thị Văn Phú, Phú Lương chợ đầu mối 365 sang Tô Hiệu ra Lê Lợi. Sổ vuông đẹp sẵn sàng giao dịch. Giá 3 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) - Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",28/09/2022,Tin thường,batdongsan_so_com_vn_1673798696.974818,, 5,,,
3 tỷ VNĐ,Hà Trì- Hà Đông, 35m2,," Bán nhà Hà Trì, Hà Đông 35mx5 tầng ngõ nông gần ô tô chỉ 3 tỷ Chính chủ bán nhà đẹp hiếm có hơn 3 tỷ sở hữu nhà trung tâm Hà Trì, Hà Đông 35m thiết kế 4 tầng hiện đại thoáng vô cùng, ngõ rộng nông gần ô tô, nội thất hiện đại chỉ việc đến ở. Bán kính xung quanh nhà đầy đủ tiện ích gần chợ lớn Hà Đông, chợ đầu mối 365 và các bệnh viện lớn Học viện quân y 103, đa khoa Hà Đông. Giao thông giáp Lê Lợi sang Tô Hiệu cắt Bà Triệu qua Nhuệ Giang vài bước ra Khu đô thị Văn Phú. Sổ vuông đẹp sẵn sàng giao dịch. Giá 3 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) - Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",28/09/2022,Tin thường,batdongsan_so_com_vn_1673798698.0795884,, 5,,,
"7,6 tỷ VNĐ",Tô Hiệu- Hà Đông, 47m2,,"Bán nhà Tô Hiệu, Hà Đông ô tô ngõ thông kinh doanh 47mx5T hơn 7 tỷ Hiếm quá trung tâm Tô Hiệu, Hà Đông 47m thiết kế 5 tầng hiện đại, nhà đẹp xây khung cột chắc chắn như biệt thự, ngõ thông tứ tung ô tô vào nhà kinh doanh hoặc ở quá đỉnh có hơn 7 tỷ sở hữu hoa hậu trung tâm phố cổ. Bán kính xung quanh đầy đủ tiện ích cạnh trường chợ, bệnh viện, công viên, tàu điện trên cao, bưu điện. Giao thông đi muôn nơi giáp Lê Lợi cắt Bà Triệu sang Hà Cầu qua Nhuệ Giang sang Khu đô thị Văn Phú gần Hoàng Hoa Thám sang Tản Đà nối Lê Hồng Phong. Sổ vuông đẹp sẵn sàng giao dịch. Giá 7.6 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) - Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",28/09/2022,Tin thường,batdongsan_so_com_vn_1673798699.4627292,, 5,,,
"7,3 tỷ VNĐ",Bà Triệu- Hà Đông, 50m2,,"Bán nhà Bà Triệu, Hà Đông 50mx5T ô tô kinh doanh gần phố hơn 7 tỷ Siêu phẩm phố cổ Bà Triệu, Hà Đông thông số vàng diện tích 50m, 5 tầng rộng thoáng sáng, ngõ ô tô thông tứ tung vài bước ra phố phù hợp kinh doanh hoặc ở quá đỉnh. Vị trí đắc địa trung tâm cực hiếm nhà bán xung quanh đầy đủ tiện ích . Giáp chợ lớn Hà Đông bao quanh phố cổ Tô Hiệu sang Lê Lợi qua Hoàng Hoa Thám sang Trưng Nhị cắt Lê Hồng Phong ra Hà Cầu gần Khu đô thị Văn Quán lên Mỗ Lao. Gia chủ thành đạt con cháu đuề hoà nhà ở rất lộc, hàng xóm thân thiện văn minh. Sổ vuông đẹp sẵn sàng giao dịch. Giá 7.3 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) - Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",28/09/2022,Tin thường,batdongsan_so_com_vn_1673798701.7247303,, 5,,,
22 tỷ VNĐ,Việt Hưng Long Biên Hà Nội, 77m2, 5,"PHÂN LÔ Ô TÔ TRÁNH VỈA HÈ - 7 TẦNG THANG MÁY - VIEW VINHOME RIVERSIDE – Giá 22 Tỷ.+ Trước nhà phân lô ô tô tránh vỉa hè, ô tô dừng đỗ ngày đêm, đối diện vườn hoa nội khu nên thoáng vĩnh viễn.+ Đặc biệt bên cạnh, view thẳng sang là hàng xóm khu đô thị Vinhomes Riverside The Harmony - Tiểu khu Tuylip, tiếp giáp với trục đường Đoàn Khuê, Đào Văn Tập, thông ra Nguyễn Văn Linh, Vũ Đức Thận ...+ Nhà chủ xây tâm huyết được 3 năm, KBT cực chắc chắn.+ Thiết kế hiện đại, nội thất xịn xò, 7 tầng thang máy, tiện vừa ở kết hợp cho thuê.-Tầng 1,2,3: Thông sàn các tầng + WC.-Tầng 4: 3 phòng + WC-Tầng 5: 2 phòng ngủ rộng + WC-Tầng 6: Bếp + Phòng ăn + Phòng khách + Ban thờ.-Tầng 7: Khu giặt giũ + Sân Phơi+ Trước chủ cho thuê văn phòng tầng 2,3, tầng 1 cho người quen thuê mở siêu thị, các tầng trên để ở, nay quyết bán nên lấy lại nhà.-Các phòng view rất thoáng và sáng, anh em dẫn khách đến tự cảm nhận là hay nhất.+ Sổ đỏ chính chủ, phân lô vuông đẹp, sẵn sàng giao dịch.- Liên hệ hotline xem nhà và tìm nhà theo nhu cầu.",28/09/2022,Tin thường,batdongsan_so_com_vn_1673798703.187878, 9, 7, 5, 5,
23 triệu VNĐ/m2,"Thôn 8 Tân Xã, Thạch Thất, Hòa Lạc Hà Nội", 65.5m2, 6,"""[ĐẤT ĐẸP GIÁ HỜI – MUA LÀ CÓ LỜI]""Chính chủ gửi bán lô đất mặt tiền 6,4m, đường 2 ô tô tránh vào đất, giá chỉ hơn 1 tỷ!-S: 65,5m2, full thổ cư-Sẵn sổ sang tên trong ngày-Mặt tiền rộng 6m4-Trục chính Tân Xã, cách khu công nghệ cao, FPT chỉ 5 phút di chuyển-Nằm trong khu dân cư dân trí cao-Giá mềm nhất trong toàn khu với vị trí tương đương-Chủ dễ tính, có thương lượng, có gia lộc cho khách thiện chíLiên hệ ngay em Hải: 0933449996 để nhận thông tin và đi xem đất.#Arealtor#HoangHaihttp://www.bdsphiatayhanoi.vn/quyhoachhoalac",28/09/2022,Tin thường,batdongsan_so_com_vn_1673798704.7887871, 5,,,, Tây nam
"4,8 tỷ VNĐ",Đường Trần Quốc Vượng phường Dịch Vọng Hậu, 50m2, 3,"Bán Nhà Cầu Giấy-Gần Phố-Ba Bước Ra Ngõ To-Giá Đầu Tư-50mx4T-MT3,5 DT: 50mx4 tầng MT:3,5m Giá: 4.8 tỉ ( có Thương Lượng ) - Nhà chủ tự xây chắc chắn ,sơn sửa lại đẹp long lanh, chủ bán để dưỡng già và chia cho con. *Mô tả :- Tầng 1 : sân để xe rộng , bếp,phòng ăn ,kho.- Tầng 2 :Bếp rộng, phòng Khách , 1 phòng ngủ khép kín và 1 nhà vs .- Tầng 3 :2 phòng ngủ,1 nhà vs-Tầng 4: 1 phòng ngủ khép kín , phòng thờ ,sân phơi. -Sổ đỏ thông số đẹp cất két ,chủ thiện chí sẵn sàng giao dịch.",28/09/2022,Tin thường,batdongsan_so_com_vn_1673798706.075389, 2, 4, 4, 2,
