price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Số toilet,Lộ giới,Hướng
7 tỷ VNĐ,Thượng Đình, 50m2, 5,"Bán nhà Phố Thượng Đình, Thanh Xuân 50m2x5T, Ô TÔ tránh, KINH DOANH bất chấp, Nhỉnh 7 Tỷ. + Trung tâm Phố Thượng Đình, tiện ích bạt ngàn.+ Vị trí nhà cách đường lớn 60m, ô tô tránh, vừa ở vừa cho thuê hoặc kinh doanh văn phòng đều được.+ Sổ đỏ vuông đẹp, pháp lý chuẩn, sẵn sàng dao dịch.   LH: Em Hoan, 0925088355, chuyên Thổ cư Thanh Xuân, Đống Đa, miễn phí xem nhà 24/7.",02/09/2022,Tin thường,batdongsan_so_com_vn_1673804710.5881896,,,,,
"4,7 tỷ VNĐ","khương đình, thanh xuân, hà nội.", 60m2, 4,"+ Nhà Phố Vũ Tông Phan, Quận Thanh Xuân 60m2 4Tầng 4.7Tỷ. Giao với các đường; Khương Đình, Bùi Xương Trạch, Định Công, Vương Thừa Vũ, Trường Chinh, Linh Đàm, Nguyễn Trãi…Ngõ thông thoáng 3 gác phi. Chỉ vài bước ra bờ sông Tô Lịch. Khu vực có hệ thống đường giao thông thoáng đãng, an ninh cực tốt. Gần nhiều trường Đại Học như; Khoa Học Tự Nhiên, Thủy Lợi, Công Đoàn… + Chủ nhà xây tâm huyết để ở, bán để sang nước ngoài định cư với con, khách mua về ở ngay. Phù hợp cho gia đình 4 đến 5 người ở. Di chuyển 5 phút ra Hồ Linh Đàm, 10 phút đến Royal City, trong đó có nhiều khu vui chơi và cơ chế hưởng thụ dẳng cấp. + Sổ đỏ chính chủ, đảm bảo pháp lý, sẵn sàng giao dịch. + Liên hệ; 0911303899 - Mr Quân. Tư vấn miễn phí 24/24.",02/09/2022,Tin thường,batdongsan_so_com_vn_1673804712.1664772, 5, 4, 3,,
28 tỷ VNĐ,Đường Hàng Bạc phường Hàng bạc, 38m2, 5,"
    







NGÃ TƯ PHỐ HÀNG BẠC-HOÀN KIẾM- SỔ ĐỎ NỞ HẬU - KINH DOANH SẦM UẤT NGÀY ĐÊM - CHỦ THIỆN CHÍ 
+DIỆN TÍCH  38M2X  5TẦNG



+Mô tả:
 
+ Nằm ngay cạnh ngã tư phố Hàng Ngang, Hàng Đào, Hàng Bạc, Hàng Bồ, tuyến phố chanh sả bậc nhất quận Hoàn Kiếm. Nơi giao thương, kinh doanh sầm uất ngày đêm.
+ Mặt phố Hàng Bạc tuy mặt tiền các căn đều nhỏ, nhưng khách mua gom được thì vẫn sở hữu được mặt tiền to mà giá lại khá hời.
+ Nhà hiện đang cho thuê cả nhà, thiết kế tầng 1 phòng, vệ sinh và cầu thang cuối nhà.
+ Sổ đỏ vuông đẹp, nở hậu rất có lộc. 
 
liên hệ; Thủy BĐS :0857552222",02/09/2022,Tin thường,batdongsan_so_com_vn_1673804713.6275702, 3, 3, 3, 1,
"1,5 tỷ VNĐ",Bắc Hồng, 52m2, 1,"- Đất nằm trong khu phân lô, miễn check, pháp lý quy hoạch cực nét đã check trên viện quy hoạch không vướng mắc gì rất sạch sẽ, ô tô đỗ cửa, dân cư yên tĩnh ở cực sướng. - Tiện ích gần trường Mầm Non, trường C1-C2, UBND xã, trạm y tế, chợ họp hàng ngày. - Sổ đỏ đẹp, chủ cất két giao dịch ngay và luôn. - Lh em Trác: 0965492571 (xem nhà và tư vấn miễn phí) ",02/09/2022,Tin thường,batdongsan_so_com_vn_1673804715.4985654,,,,,
7 tỷ VNĐ,Khương Trung, 50m2, 5,"Bán nhà Phố Khương Trung, Thanh Xuân 50m2x5T, Ô TÔ tránh, KINH DOANH bất chấp, Nhỉnh 7 Tỷ. + Trung tâm Phố Khương Trung, tiện ích vây quanh.+ Đường rộng thoáng, ô tô tránh, ô tô vào nhà, kinh doanh bất chấp.+ Sổ đỏ vuông đẹp, pháp lý chuẩn, sẵn sàng dao dịch.   LH: Em Hoan, 0925088355, chuyên Thổ cư Thanh Xuân, Đống Đa, miễn phí xem nhà 24/7.",02/09/2022,Tin thường,batdongsan_so_com_vn_1673804717.7096548,,,,,
"8,7 tỷ VNĐ",Đường Lạc Long Quân phường Nghĩa Đô, 62m2, 4,"Cần bán GẤP nhà Mặt ngõ Phố Lạc Long Quân giá 8.7 tỷ, 62mx4T, Ôto vào Hướng: Tây NamNgõ nông, gần đường, rộng rãi, thông thoáng, oto tải ra vào thoải mái.  Cam kết thông tin thật 100% (Ảnh có tính chất minh họa, hãy đến xem LUÔN để cảm nhận vẻ đẹp của BĐS) Cảm ơn bạn xem tin ! ",02/09/2022,Tin thường,batdongsan_so_com_vn_1673804719.7222655, 5, 5, 4, 5,
866 triệu VNĐ,cầu giấy hà nội, 80m2,,"🌈 Chuẩn bị mở bán khu dân cư mới tự xây tân phúc giá chỉ từ 886 triệu/ lô , sổ đỏ riêng công chứng sang tên chuyển nhượng ngay.💥 diện tích 70-90m2 phù hợp với thiết kế nhà hiện đại . 💥 đường rộng 6m trải nhựa thông thoáng đủ hướng cho các nhà đầu tư. 💥 cơ sở pháp lý rõ ràng , sổ riêng từng nền đất ở lâu dài sở hữu vĩnh viễn 📌 Vị trí đầy tiềm năng: gần ql38 ,cao tốc và nút giao cao tốc hà nội -hưng yên - hải dương - hải phòng .💥 nằm trên trục đường huyết mạch tân phúc - võng phan . chạy qua các khu công nghiệp Ân Thi -Phù Cừ - Tiên Lữ -Bình Giang và các khu công nghiệp lân cận thu hút các nhà đầu tư trong và ngoài nước tạo cho hàng nghìn lao động địa phương và các tỉnh lân cận đổ về . .💥 Trong vùng quy hoạch hàng nghìn héc ta ở Ân Thi- Bãi Sậy - Tân Phúc - Hoàng Hoa Thám - Quang Vinh loạt dự án khu dân cư mới và cụm công nghiệp lớn.🔸 Nằm trong khu dân cư đông đúc đầy đủ các tiện ích trường học, y tế, cửa hàng tiện ích, bán kính không quá 1km📌 Cơ hội cho các nhà đầu tư, ưu đãi giảm 3% khi khách hàng mua từ 2 lô trở lên.☎️ Liên hệ chính chủ:  để được tư vấn cụ thể!",02/09/2022,Tin thường,batdongsan_so_com_vn_1673804721.064676, 5,,, 6,
660 triệu VNĐ,Đường Ngõ Quỳnh phường Thanh Nhàn, 16m2, 3,", quận Hai Bà chỉ 660 triệu + Có thể mở rộng thêm nhiều như các hộ hàng xóm. + Liên hệ anh Dân 0834013003 hoặc chị Nhung Quyên (công chứng) 0982196056 / 0352198103. + E-mail: huanluyvntthao@gmail.com ",02/09/2022,Tin thường,batdongsan_so_com_vn_1673804722.6653905, 4, 1, 1, 1,
"10,3 tỷ VNĐ",Đường Trần Quý Kiên phường Dịch Vọng, 60m2, 4,"DT 60M tài chính nhỉnh 10 tỷ  -vị trí đẹp .mặt tiển lớn vượng khí vào nhà -thiết kế : móng 7 tầng khách mua về có thể lên thêm tầng vô tư.ô chờ thang máy -khu vực tiện ích vô cùng ngay công viên nghĩa đô vô cùng mát mẻ ,không khí trong lành  -đời sống dân trí cao ,an ninh tuyệt vời cách ô tô dừng đỗ 10 m  - nơi tiếp giáp với nhiều trường đại học danh giá như quốc gia ,sư phạm báo chí  -lh : 0935777266 ( để đi xem nhà ngay)",02/09/2022,Tin thường,batdongsan_so_com_vn_1673804723.9419763, 5, 4, 5, 3,
"4,5 tỷ VNĐ",Đường Tứ Liên phường Tứ Liên, 65m2, 1,"Bán gấp Mảnh đất ngõ 28 Tứ Liên giá 4,5 tỷ, dt 65m2, oto đỗ RẤT gần Vị trí giao thông thuận tiện, xe máy tránh nhau, từ nhà ra oto cách 20m.  Cam kết thông tin thật 100% (Ảnh có tính chất minh họa, hãy đến xem LUÔN để cảm nhận vẻ đẹp của BĐS) Cảm ơn bạn xem tin ! ",02/09/2022,Tin thường,batdongsan_so_com_vn_1673804725.0290687, 4, 1, 1, 3,
