price,address,Diện tích,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Hướng,Mặt tiền,Lộ giới
"4,15 tỷ VNĐ",TRẦN HỮU DỰC NAM TỪ LIÊM HÀ NỘI, 104.3m2, 10, 3, 2,"chính chủ bán căn góc 3PN toà CT3 Iris Garden Trần Hữu Dực104,3m ban công Đông Nam ,tầng trung ,bàn giao nội thất chủ đầu tưgiá 4,15 ty bao thuế phí ,vào tên chính chủ",19/11/2022,Tin thường,batdongsan_so_com_vn_1673787058.9273176,,,
"68,5 tỷ VNĐ","Chính chủ cần Bán nhà mặt phố Trung Kính Trung Hòa Vũ Phạm Hàm Trần Duy Hưng Cầu Giấy dt 140 m2 giá 68,5 tỷ", 140m2, 10, 8,,"Chính chủ cần Bán nhà mặt phố Trung Kính Trung Hòa Vũ Phạm Hàm Trần Duy Hưng Cầu Giấy dt 140 m2 giá 68,5 tỷ Gia đình em cần bán gấp nhà mặt phố Trung Kính,  Trung Hòa,  Vũ Phạm Hàm,  Trần Duy Hưng,  phường Trung Hòa,  Cầu Giấy, diện tích 140 m2, xây dựng 100m2, mặt tiền 6,8m, nhà xây dựng 9 tầng + 1 tầng Hầm để xe, nhà được thiết kế 6 tầng thông sàn làm văn phòng cty, SPA, Kinh Doanh, 3 tầng trên thiết kế chia phòng để ở, thiết bị wc cao cấp nóng lạnh, điều hòa tiện nghi đầy đủ, nhà nằm trên vị trí mặt phố Kinh Doanh, đường vỉa hè rộng, giao thông đi lại thuận tiện, sđcc, giá bán 68,5 tỷ có thương lượng, MTG, môi giới Làm Phiền, LH Anh Thụy, 0936 359 198  / 0961 218 968  quý khách sẽ được phục vụ tận tình được tư vấn từ A đến Z để quý khách mua được căn nhà như ý",19/11/2022,Tin thường,batdongsan_so_com_vn_1673787060.237811, Bắc, 6, 20
"16,8 tỷ VNĐ","Chính chủ cần bán gấp nhà 196 Cầu Giấy Nguyễn Văn Huyên Nguyễn Khánh Toàn Quan Hoa Cầu Giấy dt 58 m2 giá 16,8 tỷ", 58m2, 8, 6,,"Chính chủ cần bán gấp nhà 196 Cầu Giấy Nguyễn Văn Huyên Nguyễn Khánh Toàn Quan Hoa Cầu Giấy dt 58 m2 giá 16,8 tỷ Gia đình em cần bán gấp căn nhà xây mới 196 Phố Cầu Giấy, Nguyễn Văn Huyên, Nguyễn Khánh Toàn, Phường Quan Hoa , Quận Cầu Giấy, diện tích 58 m2, mặt tiền 4,5m, nhà xây dựng 8 tầng mới , trang trí nội thất thiết kế hiện đại, nhà sàn gỗ, tủ bếp gỗ, cầu thang máy nhập khẩu, thiết bi wc cao cấp, tầng 1 thiết kế gara ô tô  kinh doanh, tầng 2 thiết kế thông sàn, tầng 3 + 4 + 5 thiết kế mỗi tầng 2 phòng ngủ rộng wc, tủ tường , tầng 6 thiết kế phòng khách Bếp ăn, tầng 7 thiết kế phòng thờ, sân phơi, trên tum, nhà nằm trên mặt ngõ thông vị trí kinh doanh tốt, giao thông đi lại thuận tiện, sđcc, giá bán 16 ,8 tỷ có thương lượng, MTG, môi giới Làm Phiền, LH Anh Thụy, 0936 359 198  / 0961 218 968  quý khách sẽ được phục vụ tận tình được tư vấn từ A đến Z để quý khách mua được căn nhà như ý",19/11/2022,Tin thường,batdongsan_so_com_vn_1673787061.7617402, Tây bắc, 4, 6
"24,8 tỷ VNĐ","Chính chủ cần bán gấp nhà mặt ngõ Phố Đội Cấn Liễu Giai Ba Đình dt 65 m2 giá 24,8 tỷ", 68m2, 8, 6,,"Chính chủ cần bán gấp nhà mặt ngõ Phố Đội Cấn Liễu Giai Ba Đình dt 65 m2 giá 24,8 tỷ Gia đình em cần bán gấp nhà xây mới 7,5 tầng cầu thang máy vị trí đẹp kinh doanh , SPA, văn phòng công ty tốt, nhà được thi Chính chủ cần bán gấp nhà mặt ngõ Phố Đội Cấn Liễu Giai Ba Đình dt 65 m2 giá 24,8 tỷ Gia đình em cần bán gấp nhà xây mới 7,5 tầng cầu thang máy vị trí đẹp kinh doanh , SPA, văn phòng công ty tốt, nhà được thiết kế sang trọng phong cách đẹp, hiện đại, nhà sàn gỗ, tủ bếp gỗ, trần thạch cao, nóng lạnh, điều hòa tiện mghi đầy đủ, thiết bị wc cao cấp, 1 tầng gara kinh doanh, tầng 2 + 3 + 4 thiết kế thông sàn, wc, tầng 5 + 6 thiết kế mỗi tầng 2p ngủ wc kép kin, tầng 7 thiết kế bếp và khách, wc, tầng trên thiết kế phòng thờ sân phơi, nhà nằm trên mặt ngõ đẹp, giao thông đi lại thuận tiện, sđcc, giá bán 24,8 tỷ có thương lượng, MTG, môi giới Làm Phiền, LH Anh Thụy, 0936 359 198  / 0961 218 968  quý khách sẽ được phục vụ tận tình được tư vấn từ A đến Z để quý khách mua được căn nhà như ý ết kế sang trọng phong cách đẹp, hiện đại, nhà sàn gỗ, tủ bếp gỗ, trần thạch cao, nóng lạnh, điều hòa tiện mghi đầy đủ, thiết bị wc cao cấp, 1 tầng gara kinh doanh, tầng 2 + 3 + 4 thiết kế thông sàn, wc, tầng 5 + 6 thiết kế mỗi tầng 2p ngủ wc kép kin, tầng 7 thiết kế bếp và khách, wc, tầng trên thiết kế phòng thờ sân phơi, nhà nằm trên mặt ngõ đẹp, giao thông đi lại thuận tiện, sđcc, giá bán 24,8 tỷ có thương lượng, MTG, môi giới Làm Phiền, LH Anh Thụy, 0936 359 198  / 0961 218 968  quý khách sẽ được phục vụ tận tình được tư vấn từ A đến Z để quý khách mua được căn nhà như ý",19/11/2022,Tin thường,batdongsan_so_com_vn_1673787065.4083502, Đông bắc, 8, 8
"2,25 tỷ VNĐ","Đường Bạch Đằng, Bạch Đằng, Hai Bà Trưng", 26m2, 3, 2, 3," ✝️ Vị trí Nhà bán trung tâm quận Hai Bà Trưng, ngõ rộng, sạch sẽ, văn minh, cách ô tô đỗ vài bước chân. Xung quanh vô vàn tiện ích như chợ, trường học cc, Siêu Thị khu vui chơi...Giao thông đi lại thuận tiện✝️ Thiết kế: 3 tầng, chủ tự xây  chắc chắn, có 2 phòng ngủ, các phòng đều có cửa sổ thoáng sáng. Nhà ở rất có lộc con cái chủ điều thành đạt đã mua nhà mặt phố.✝️ Sổ đỏ chính chủ. Giá thương lượng 2.25  tỷ.Liên hệ: Lê Tiến 0979393221 xem nhà",19/11/2022,Tin thường,batdongsan_so_com_vn_1673787069.6574068,, 3, 3
5 tỷ VNĐ,"Đường Trần Duy Hưng, Trung Hòa, Cầu Giấy", 45m2, 5, 4, 3,"
    Hiếm Hiếm Duy nhất 1 căn có 1 0 2 Bán Nhà riêng Trần Duy Hưng, Cầu Giấy Về ở luôn 45 m 4 tầng Ô tô chỉ 5 tỷ
- Vị trí đẹp, duy nhất 1 căn có 102 trong tầm giá và Khu vực. Bán nhà chuyển về Vinhome.
- Thiết kế Công năng tối đa, Để xe, Bếp, Khách, Tầng chia 2 phòng, sân phơi, thông thoáng.
- Tiện ích bạt ngàn, phát triển cực đỉnh. Các TTTM, Chung cư, Siêu thị,.. Gần các Trường Đại Học Giao thông Vận tải, Báo chí Tuyên truyền, ĐH Lao động và Xã Hội..
- Giao thông tiện lợi Láng, Cầu giấy, Quan Hoa, Kim mã đến Nguyễn Chí Thanh, Hoàng Đạo Thúy, Lê Văn Lương, Nguyễn Chánh, Tú Mỡ..
- Sổ Hoa Hậu, CC, Sang tên nhanh gọn.
- Pháp lý rõ ràng, sang tên nhanh gọn.
Xem nhà, tư vấn, Ngân hàng hỗ trợ 24/24 gọi Mr Đức Nhà Đẹp. Rất nhiều Nhà Đẹp, Biệt thự LK, Mặt Phố, Thổ Cư HN Anh chị em nhé.
",19/11/2022,Tin thường,batdongsan_so_com_vn_1673787070.563987,, 5, 3
"4,45 tỷ VNĐ",Hồ Tùng Mậu, 62m2,,,,"+ diện tích 62m, mặt tiền 3,1m, giá 4,45 tỷ  + Vị Tri: Khu vực trung tâm, dân cư đông đúc, dân trí cao, nhu cầu thuê trọ cao, gần các trường đại học Thương Mại, Đại Học Quốc Gia, Đại học Sư Phạm,...  + Giao thông thuận tiện di chuyển được nhiều hướng: Cầu Diễn, Quốc lộ 32, Xuân Thủy, Cầu Giấy, Phạm Hùng, Phạm Văn Đồng, cách bến xe Mỹ Đình chỉ 3p đi xe.  + Sổ đỏ cất két, pháp lí rõ ràng sẵn sàng giao dịch  + Liên hệ E.Trường: 0373680538 để đươc tư vấn và xem đất miễn phí. ",19/11/2022,Tin thường,batdongsan_so_com_vn_1673787071.3947666,, 3, 2
4 tỷ VNĐ,"Đường Nguyễn An Ninh, Tương Mai, Hoàng Mai", 53m2, 5,,,"_ Nhà Mới đẹp ở ngay, thiết kế hiện đại, cao thoáng sáng 53m2, đầy đủ công năng, 5 Tầng, nhỉnh 4 tỷ. _ Vị trí trung tâm Giải Phóng và Giáp Bát, Trương Định. _ Đi 5 phút ĐH Xây Dựng, Bách Khoa, Bệnh viện Bạch Mai, trường các cấp, chợ, TT mua sắm, bãi xe. _ Xây kiên cố, khách thiện chí xách Vali ở ngay. _ Sổ đỏ chính chủ sẵn sàng giao dịch._ Gọi ngay Ms Phòng 0382787723 để hỗ trợ tư vấn, mua nhà đẹp như mong muốn.",19/11/2022,Tin thường,batdongsan_so_com_vn_1673787072.3831196,, 4, 3
"9,6 tỷ VNĐ",Mạc Thái Tổ Cầu Giấy, 40m2, 5, 2, 3,"- Diện tích 40m2  X5 Tầng. Mt 5m. Giá bán 9.6 tỷ ( có thương lượng ) - Vị trí đẹp ngõ thông kinh doanhCăn nhà hơi cũ, được xây dựng chắc chắn, khách mua về ở được ngay, kinh doanh tuyệt đỉnh.- Thiết kế - Tầng 1: Thông sàn kinh doanh! - Tầng 2,3: Mỗi tầng 1 phòng rộng! - Tầng 4: Phòng thờ, khu giặt đồ & sân phơi. - Tầng 5: Tầng tum. - Giao thông kết nối Nguyễn Thị Duệ, Trung Kính, Phạm Hùng, Hạ Yên Quyết, Dương Đình Nghệ, Trần Thái Tông. - Gần các trường Đại Học lớn, trung tâm thương mại, công viên Cầu Giấy! - Sổ đỏ vuông vắn, sẵn sàng giao dịch.Liên hệ em Quân để được tư vấn0385 94 1802 Miễn ( TG Quảng Cáo )",19/11/2022,Tin thường,batdongsan_so_com_vn_1673787073.3784573,, 5,
,"Đường Mỹ Đình, Mỹ Đình 1, Nam Từ Liêm",, 5,,," Siêu hiếm: 3.555 tỷ có ngay nhà 5T KINH DOANH Mỹ Đình quận Nam Từ Liêm! - Hơn 4 phút đi bộ ra sân VĐQG Mỹ Đình. Thông thương các phố Đình Thôn, Lê Đức Thọ, Phạm Hùng…- Nhà tự xây, 5 tầng, thiết kế hiện đại, còn mới, đẹp, đầy đủ công năng – Mua xách valy về ở ngay.- Sổ đỏ chính chủ, pháp lý rõ ràng, sẵn sàng giao dịch.- Liên hệ xem và mua nhà: 0812.159.368 (Môi giới vui lòng không liên hệ). ",19/11/2022,Tin thường,batdongsan_so_com_vn_1673787074.434638,,, 4
"9,5 tỷ VNĐ","Đường hoàng ngân, Trung Hòa, Cầu Giấy", 55m2, 7, 12, 12,"
    BÁN CCMN HOÀNG NGÂN-CẦU GIẤY-CÁCH PHỐ 25M-7 TẦNG-LÔ GÓC-NGÕ THÔNG-FULL NỘI THẤT-DÒNG TIỀN 70TR/THÁNG  - Diện tích 55m2 x 7 tầng thang máy , mặt tiền 5m , nhà xây mới cứng, sẵn hợp đồng cho bên thứ 3 thuê khoán lại 55 triệu/tháng, khách tự vận hành đạt 70tr/tháng .- Vị trí cực kỳ gần mặt phố, cách ô tô tránh 25m.- Ngõ thông, kinh doanh. Khu dân cư sầm uất tấp nập, lượng khách thuê cực lớn.- Thiết kế 12 phòng khép kín, phòng cực đẹp, có gác xép, full nội thất: giường tủ, kệ tủ bếp, điều hòa, nóng lạnh, tủ lạnh...- Ra vào bằng khóa cửa vân tay, camera an ninh 24/7.- Căn lô góc, 2 mặt thoáng, phòng nào cũng có ban công cửa sổ nên phòng cực thoáng sáng.- Sổ đỏ chính chủ , sẵn sàng giao dịch.- Giá mong muốn : 9.5 tỷ ( có thương lượng )- Liên hệ : 0343096686 ( Dịu Hiền )",19/11/2022,Tin thường,batdongsan_so_com_vn_1673787075.4110208,, 5, 3
"4,75 tỷ VNĐ","Đường Nguyễn Khang, Dịch Vọng, Cầu Giấy", 47m2, 4, 3,,"
    
 

HIẾM CỰC KÌ - OTO NHỎ ĐỖ CỔNG - KINH DOANH SPA, HÀNG ĂN...- THOÁNG TRƯỚC SAU - NGÕ THÔNG

+ vị trí không có gì để chê. Trước nhà hơn 3m, oto nhỏ đỗ cổng, Ngõ thông có thể vào nhà từ 4 lối đi khác nhau.
+ Khu vực kinh doanh spa or hàng ăn tấp nập khách. Hàng xóm dân trí ổn định .đầu ngõ là nhà công an quận.
+Nhà thiết kế 4 tầng khung cột bê tông chắc chắn.
+ Sổ đỏ pháp lý chính chủ
Liên hệ: Nguyễn Thu 038.888.4252 Nhà Thổ Cư Hà Nội
",19/11/2022,Tin thường,batdongsan_so_com_vn_1673787076.4423022,,, 3
"4,2 tỷ VNĐ","Đường Cầu Giấy, Dịch Vọng, Cầu Giấy", 40m2, 4, 3,,"
    
 

LÕI CẦU GIẤY CÓ NHÀ 4 TỶ 5 RA OTO - KINH DOANH NHỎ - THOÁNG TRƯỚC SAU - NGÕ THÔNG - BÃI OTO ĐẲNG CẤP

+Vị trí nhà bán đẹp tuyệt vời, cách chỉ đúng 5m ra đượng oto, Ngõ thông vào nhà từ 2 hướng.
+ Tổ hợp tiện ích đáng sống xung quanh nhà mình không thiếu thứ gì: Ngân hàng, Thương hiệu cafe nổi tiếng sát nhà, Siêu thị, Bãi oto.....
+ Thiết kế nhà 4 tầng khung cột chắc chắn.
 
Liên hệ: Nguyễn Thu 038.888.4252 Nhà Thổ Cư Hà Nội",19/11/2022,Tin thường,batdongsan_so_com_vn_1673787077.4814806,,, 3
550 triệu VNĐ,"Đường Hoàng Văn Thái, Khương Mai, Thanh Xuân", 45m2, 5, 3, 4,"
    NHÀ ĐẸP KO THỐT LÊN LỜI SO VỚI GIÁ CẢ. ĐẸP NHẤT TRONG PHÂN KHÚC VỀ DIỆN TÍCH - GIÁ TIỀN. ĐỘ CHẤT LƯỢNG CỦA NHÀ. (CHỦ TỰ THIẾT KẾ VÀ XÂY) VỊ TRÍ QUÁ ĐẸP.Nhà phân lô Hoàng Văn Thái - khu phân lô VIP.Diện tích sổ 42m thực tế xây tầm 45m. Mặt tiền 4m. Nhà 5 tầng xây thông sàn, cầu thang cuối. Phòng khép kín. Có giếng trời cuối nhà.- Nhà chủ làm kiến trúc, mua sửa toàn bộ rất tâm huyết và chất lượng cho con trai ở nhưng nay con trai ở Đà Nẵng không về nữa nên rất tiếc phải bán đi, hiện đang để không.- Gần nhà có bãi gửi ô tô.- Sổ đỏ chính chủ sẵn giao dịch.
",19/11/2022,Tin thường,batdongsan_so_com_vn_1673787078.5406506, Đông nam, 4, 3
31 tỷ VNĐ,Tức Mạc Hoàn Kiếm Hà Nội, 102m2, 1, 2,,"+ Vì gia đình có định hướng mới cần bán ngay nhà Phố Tức Mạc, Phường Cửa Nam, Quận Hoàn Kiếm. + Phố Tức Mạc cực kỳ víp, vị trí gần Trần Hưng Đạo và thông sang Phố Phan Chu Trinh. Khu phố đẹp hiếm nhà bán. + Diện tích 102m2. + Mặt tiền 6m, nhà cấp 4 xây dựng từ thời Pháp. + Sổ đỏ rất đẹp. + Giá 31 tỷ ( thương lượng khi khách thiện chí mua ) + Khách hàng hợp nhu cầu xin liên hệ: Nguyễn Minh Quang 0327085656",18/11/2022,Tin thường,batdongsan_so_com_vn_1673787079.543966,, 6,
