price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Hướng,Lộ giới
"7,6 tỷ VNĐ","Thụy Khuê, Tây Hồ", 65m2, 5, 4, 4, 4,"THỤY KHUÊ - NHÀ BỀ THẾ NHẤT KHU – Ô TÔ VÀO NHÀ – CÁCH MẶT PHỐ ĐỒNG CỔ 38M NHÀ 65M – 7.6 TỶ Nhà thuộc khu phân lô quân đội , nhà đẹp, thoáng, mặt tiền rộng, tầng nào cũng có ban công, cửa sổ Nhà chủ tự xây nên chắc chắn, rộng , có thể lắp thang máy Nhà thiết kế 4 tầng + Tầng 1: 2 ngủ+ wc+ để xe + Tầng 2: khách + bếp+ WC + Tầng 3 : 2 ngủ + WC + Tầng 4: Phòng thờ + sân phơi Sổ đỏ vuông vắn, đẹp các cạnh . Liên hệ Em Hằng ☎️ 0989918103",25/03/2022,Tin thường,batdongsan_so_com_vn_1673829230.9125152,,
"2,15 tỷ VNĐ","Phường Vĩnh Phúc, Quận Ba Đình, Thành phố Hà Nội", 64m2,,, 2, 1,"
    Chính chủ tôi cần bán nhà chung cư Quận Ba Đình. HN
- Thông tin chi tiết tòa nhà 9 tẳng tòa nhà Newtatco - BQP.
- Khu 7,2ha Vĩnh Phúc - Ba Đình - Hà Nội, căn nhà tầng 3 hướng đông Nam diện tích 64m2 với 2PN; 1 WC; bếp và phòng khách; ban công và khu phơi thuận tiện cùng toàn bộ nội thất bếp, điều hòa...sổ đỏ chính chủ sẵn sàng giao dịnh.
- Khu vực an ninh tốt và đầy đủ tiện ích như nhà trẻ, trường cấp 1,2,3; chợ, bệnh viện, công viên... Hiện đang cho thuê với giá 7,5tr mỗi tháng, phù hợp với ai có nhu cầu đầu tư!
Liên hệ 0986404172 (Lục Hoàng) hoặc 0984947876 (Lợi Bùi)
",25/03/2022,Tin thường,batdongsan_so_com_vn_1673829232.221015, Đông nam,
26 tỷ VNĐ,"Lạc Trung, Hai Bà Trưng", 68m2, 5, 6, 6, 6,"Bán tòa nhà mặt phố Lạc Trung, Hai Bà Trưng 68m, 5m mặt tiền, kinh doanh sầm uất, nhỉnh 26 tỷ. Vị trí: Mặt phố Lạc Trung, quận Hai Bà Trưng, vỉa hè rộng, thông số lý tưởng của căn nhà mặt phố. Tiện ích: Tòa nhà kinh doanh cực đa dạng các loại hình như spa, văn phòng, siêu thị mini,.. vv. Chỉ vài phút lên Phố Cổ, phố Lạc Trung nhộn nhịp mua bán, hiện tòa nhà có 2 mặt tiền. Pháp lý: Sổ đỏ vuông vắn chính chủ sẵn sàng thương lượng. Liên hệ: Minh Hoàng 0902253303, miễn trung gian môi giới.",25/03/2022,Tin thường,batdongsan_so_com_vn_1673829233.3888915,,
"3,5 tỷ VNĐ","Xuân La, Tây Hồ", 49m2, 4, 2, 2, 2,"NGÕ RỘNG – ĐẤT RỘNG  NHÀ 49 M XUÂN LA- 3.5 TỶ - Ngõ ô tô tránh , nhà cách đường ô tô 50m, trước nhà ngõ rộng 3m - Nhà gần chợ, gần trường, cách phố 300m - Nhà 2 tầng, chủ mới sửa lại đẹp - Thích hợp cho gia đình trẻ ở luôn hoặc có điều kiện khách mua đập đi xây mới - Sổ đỏ vuông vắn, sẵn sàng giao dịch Liên hệ Em Hằng ☎️ 09899181033.5",25/03/2022,Tin thường,batdongsan_so_com_vn_1673829234.4181376,,
"1,2 tỷ VNĐ",Xã Cổ Đông, 70m2, 5,,,,"Thông tin cơ bản Diện tích 60-75m2, full thổ cư, sẵn sổ Đường nội khu 8m, 3 ô tô tránh nhau thoải mái Cách QUỐC LỘ 21 1,5km, cách TRỤC HỒ TÂY - BA VÌ 200m, giao thông thuận tiện Nằm trong khu tổ hợp nghỉ dưỡng sinh thái Cách tổ hợp trường đại học, chợ Hòa Lạc, hồ Đồng Mô 4km Cách trường Sĩ quan lục quân 1km LIÊN HỆ NGAY em Hoàng để được tư vấn chi tiết và hoàn toàn miễn phí và được tặng vàng khi mua đất!!!!",25/03/2022,Tin thường,batdongsan_so_com_vn_1673829235.590008, Đông nam, 8
"6,9 tỷ VNĐ",Đào Tấn, 50m2, 3, 5, 6, 4,"MẶT NGÕ - KINH DOANH - PHỐ ĐÀO TẤN - VIP NHẤT BA ĐÌNH - THOÁNG TRƯỚC SAU  Vị trí:  - Ra phố chỉ khoảng 70m, cực gần.  - Ngõ thông kinh doanh được, 2 mặt ngõ phòng nào cũng có cửa sổ thoáng sáng vô cùng.  Mô tả:  - Diện tích: 50/58m2 x 5 tầng  - Mặt tiền: 3.9m  Thiết kế:  + Tầng 1: Phòng khách + bếp + wc.  + Tầng 2,3,4: 2PN + 1WC.  + Tầng 5: Tum.  Sổ đỏ chính chủ, giao dịch ngay.  Liên Hệ 0857.570.705",25/03/2022,Tin thường,batdongsan_so_com_vn_1673829236.8835406,,
"3,6 tỷ VNĐ",NGUYỄN LÂN, 40m2,, 5, 5,,"- Vị trí: Cách mặt phố Nguyễn Lân vài chục mét, khu dân trí cao, an sinh tốt, tiện ích xung quanh ngập tràn. - Nhà chủ xây tâm huyết gần được chục năm nhưng vẫn còn rất mới và chắc chắn.  - Nhà thoáng trước sau nên các phòng đều có cửa sổ rất thoáng và sáng. - Nhà xây vuông vắn, thiết kế đẹp, hiện đại,  - Ngõ ô tô vào thoải mái, ngõ thông. - Gần trường học các cấp, gần các bệnh viện tuyến Trung ương. - Khu quân đội, dân trí cao, an ninh đảm bảo, hàng xóm chân chất, tốt tính. - Giá 3.6 tỷ thương lượng trực tiếp với chủ nhà. - Sổ đỏ vuông vắn, giao dịch trực tiếp, - Liên hệ ngay em Thảo chuyên thổ cư Hà Nội. ",25/03/2022,Tin thường,batdongsan_so_com_vn_1673829238.2179732,,
,NGUYỄN VĂN CỪ LONG BIÊN HÀ NỘI, 126m2,,,,,"BÁN NHÀ MẶT PHỐ NGUYỄN VĂN CỪ - SIÊU KINH DOANH, LỢI NHUẬN CỰC KHỦNG - VỈA HÈ ĐÁ BÓNG + Nhà mặt phố Nguyễn Văn Cừ kinh doanh đỉnh, 2 đường phố to nhất quận Long Biên, phố thông thương với Hồng Tiến, Ngô Gia Tự, Nguyễn Văn Linh, nguyễn Sơn. Ngọc Lâm... Kinh doanh gì cũng thuận lợi, làm gì cũng thành công. + Vị trí đẹp ngày càng hiếm,  it người bán, khu phố tấp nập, sầm uất, giá đất tăng chóng mặt chỉ sau mua vài tháng + Sổ đỏ pháp lý chuẩn. + Liên hệ: A Quân 0987353408 để được tư vấn và xem nhà miễn phí.",25/03/2022,Tin thường,batdongsan_so_com_vn_1673829239.3658998,,
"2,4 tỷ VNĐ",Nam Từ Liêm, 30m2, 3, 4, 3,,"+ Kinh doanh buôn bán các mặt hàng rất tốt. ——————————– + Các công trình nổi bật ở khu như: Đường Trịnh Văn Bô nối với khu đô thị Vân Canh (Hoài Đức) với đường vành đai 3.5 đang hoàn thiện và hàng loạt dự án bất động sản của Hoài Đức. + Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng giao dịch. + Hãy gọi Anh Hiệp để xem nhà ngay: 0963 005 936. ",25/03/2022,Tin thường,batdongsan_so_com_vn_1673829240.4669552,,
"1,8 tỷ VNĐ",Yên Mỹ - Bình Yên - Thạch Thất - Hà Nội, 78m2, 6,,,,"Một số sản phẩm đất nền phù hợp để đâu tư sinh lời cao , sổ hồng từng lô  Vị trí: Yên Mỹ - Bình Yên - Thạch Thất Sát tuyến đường tỉnh lộ 420 đang được mở rộng 24m Gần khu CNC Hoà Lạc , tổ hợp y tế , đại học và 1 số dự án của Vingroup  Mục tiêu phát triển phát triển kinh thế phí Tây và giảm tải nội đô nên tiềm năng tăng trưởng rõ rệt Liên hệ Sđt: 0919293555 để được tư vấn trực tiếp",25/03/2022,Tin thường,batdongsan_so_com_vn_1673829241.6428096, Tây nam,
"3,4 tỷ VNĐ",Khương Trung, 36m2,, 5, 5,,"- Chủ bán gấp cần tiền đầu tư kinh doanh. - Diện tích: 36m2, 5 tầng. -Trung tâm quận Thanh Xuân tiện ích bạt ngàn xung quanh không thiếu thứ gì. - Nhà mặt ngách Thoáng ô tô vào nhà. Cách mặt phố gần 50m. - Gần trường học các cấp, gần chợ, an ninh cao. - Nhà đẹp, cực kỳ chắc chắn, ban công thoáng sáng. - Giá 3.4 tỷ thương lượng trực tiếp với chủ nhà. - Sổ đỏ cất két sẵn sàng giao dịch. - Liên hệ ngay em Thảo chuyên đất thổ cư Hà Nội. ",25/03/2022,Tin thường,batdongsan_so_com_vn_1673829243.443541,,
