price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Lộ giới,Số toilet
11 tỷ VNĐ,"Hoàng Quốc Việt, Cầu giấy , Hà Nội", 56m2, 6, 6, 6,"Mô Tả: + Bán nhà lô góc, vĩa hè kinh doanh, ngõ thông tứ tung, 2 mặt ngõ ô tô tránh, phố Doãn Kế Thiện, diện tích 56m, 6 tầng, mặt tiền 6m. + Vị trí cực đẹp, nhiều trường đại học, kinh doanh đa dạng, phù hợp vừa ở vừa kinh doanh và cho thuê căn hộ dịch vụ. +  Doãn kế thiên giao giữa Phạm văn đồng, mai dịch, trần vĩ, hoàng quốc việt kéo dài, hồ tùng mậu… Giá 11 tỷ (thương lượng chủ nhà). Liên hệ: anh Dũng 0976667868 (làm việc chính chủ).",20/04/2022,Tin thường,batdongsan_so_com_vn_1673806360.386114,,
"3,8 tỷ VNĐ","xuân đỉnh, bắc từ liêm, hà nội", 36m2,, 5, 3,"Mô tả: Bán nhà đường phạm văn đồng, nhà gần công viên hòa bình, trần cung, hoàng quốc việt, cổ nhuế, giao thông thuận tiện, nhà đẹp, ở ngay. + Diện tích 36m, 5 tầng, mặt tiền 4.2m. + Nhà thiết kế 5 tầng, tổng 3 phòng ngủ, thiết kế đầy đủ công năng. + sổ đỏ chính chủ, pháp lý chuẩn. Giá 3.8 tỷ (thương lượng). Liên hệ: 0855169868 Mr Dũng (làm việc chủ nhà).",26/04/2022,Tin thường,batdongsan_so_com_vn_1673806361.6666875,,
"3,5 tỷ VNĐ","đào tấn, ba đình, hà nội", 39m2, 3, 4, 4,"Mô tả: + Bán nhà Đào Tấn, Quận Ba Đình, nhà rất gần phố, ngõ đẹp, giao thông thuận tiện, gần chợ, vị trí Vip của Quận Ba Đình. + Diện tích 39m, 4 tầng, mt 3.8m. Thiết kế tầng 2 phòng tổng 4 phòng ngủ, đầy đủ công năng. + Giá 3.5 tỷ (thương lượng). Sổ đỏ chính chủ, pháp lý sạch. + Liên hệ: 0855169868 Mr Dũng (làm việc chính chủ).        ",28/04/2022,Tin thường,batdongsan_so_com_vn_1673806362.7428086, 5,
3 tỷ VNĐ,kim quan Long biên, 53m2, 4,,,"Thửa đất rất đẹp, ngõ vào, nông rộng, ô tô , gần chợ , trường học, an sinh đỉnh. Sổ đỏ : chính chủ. + Lh: 0987353408 để được tư vấn và xem đất miễn phí. Gặp Quân.",25/08/2022,Tin thường,batdongsan_so_com_vn_1673806364.0193937, 3,
"5,7 tỷ VNĐ",xã đàn, 50m2,,,,"Bán nhà Xã Đàn, Lô Góc, Kinh Doanh, 5 tầng x 50m2, 5.7 tỷ Mô tả Nhà cần tiền bán nhà Xã Đàn, Đống Đa 50m2x 5 Tầng. + Lô góc, 2 mặt thoáng. + Gần ngã 6 Xã Đàn, Ô Chợ Dừa, Tôn Đức Thắng, Khâm Thiên, Nguyễn Lương Bằng, + Khu dân cư đông đúc kinh doanh ngày đêm + Sổ đỏ chính chủ, pháp lý sạch. + Giá 5.7 tỷ Liên hệ: Nghĩa – 0868181683 (để làm việc trực tiếp chủ nhà)",25/08/2022,Tin thường,batdongsan_so_com_vn_1673806365.2431214,,
"3,4 tỷ VNĐ",Đường Việt Hưng phường Việt Hưng, 36m2, 3, 5, 3,"+Nhà đẹp chỉ việc sách va li về ở , chủ tự xây chắc chắn . + Nhà gần phố , hàng xóm Vinhomes , khu đô thị Việt Hưng , giao thông các ngả cực kỳ thuận tiện. +khu vực tiện ích không thiếu thứ gì , trường học các cấp , chợ , hồ điều hòa , TT thương mại BigC...... + Khu vực an sinh đỉnh , hàng xóm thân thiện , đòng đều . + Hỗ trợ tư vấn xem nhà miễn phí ( miễn trung gian )",25/08/2022,Tin thường,batdongsan_so_com_vn_1673806366.5605943, 2, 3
"3,3 tỷ VNĐ","Long Biên, Hà Nội", 40m2, 4, 4, 4,"Nhà nằm vị trí đẹp, gần ô tô tiên giao thông ngách thông thoáng, nhiều tiện ích xung quanh Nhà Thiết kế 4 Tầng : + Tầng 1 : Để xe + PK + Bếp + Vệ Sinh + Tầng 2: 1 PN + 1 Bếp + Vệ sinh + Tầng 3 : 2 PN + VS + Tầng 4 : 2PN + Sân phơi Sổ đỏ chính chủ sẵn sàng giao dịch.",25/08/2022,Tin thường,batdongsan_so_com_vn_1673806367.928935, 2, 3
"7,5 tỷ /tháng",xã đàn, 50m2,,,,"Siêu Phẩm Xã Đàn Mặt tiền 13m,Ngõ Thông,Lô góc,Kinh Doanh Sầm Uất,50m2,7,5 tỷ Mô tả: Chính chủ cần bán gấp nhà lô góc 2 mặt thoáng tại Xã Đàn, Đống Đa, diện tích 50m2. + Nhà lô góc mặt tiền dài 13m. + Khu trung tâm Đống Đa kết nối vào trung tâm chỉ mất 15p + Xung quanh nhiều trường điểm của Thành phố. + 10m ra phố lớn + Dân cư đông đúc kinh doanh ngày đêm. + Sổ đỏ chính chủ giao dịch ngay. + Giá: 7.5 tỷ Liên hệ: Em Nghĩa - 0868181683",25/08/2022,Tin thường,batdongsan_so_com_vn_1673806369.0968096,,
12 tỷ VNĐ,Đường Trường Lâm phường Đức Giang, 150m2, 4, 2, 3,"Chính chủ cần cần bán nhà phố Trường Lâm diện tích 150m chỉ 12 tỷ -  Trung tâm quận Long Biên tiện ích không thiếu gì, gần hồ điều hòa Quận Ủy, bệnh viện Đức Giang, trung tâm thương mại Big C, trường học các cấp Đường Ngô  Gia Tự, khu đô thị Việt Hưng, Kim Quan Thượng, phố Lệ Mật; giao thông cực kì thuận tiện.  Chủ nhà thiện chí bán nhanh, sổ đỏ chính chủ sẵn sàng giao dịch (miễn trung gian). ",25/08/2022,Tin thường,batdongsan_so_com_vn_1673806370.5050435, 10, 3
"5,5 tỷ VNĐ",xã đàn 2, 50m2,,,,"OTO, Ở Ngay,Bán nhà Xã Đàn,2 Thoáng, 50m2x3tầng, giá 5.5 tỷ Mô tả Chính chủ bán nhà Xã Đàn, Đống Đa gần khu vực Nguyễn Lương Bằng, Thái Hà, Tôn Đức Thắng, Khâm Thiên, Đe LA Thành, Ô Chợ Dừa, Phạm Ngọc Thạch, diện tích: 50m2, xây 3 tầng. + Vị trí ngôi nhà nằm ngay trung tâm phố Xã Đàn, trung tâm quận Đống Đa đi đâu cũng tiện. Vào trung tâm Hà Nội, Hồ Gươm mất 15p, đi ra các bến xe Giáp Bát cũng chỉ 15-20p. Gần các trường các cấp trọng điểm của Thành phố. + Nhà khung cột chắc chắn, thoáng trước sau, sơn sửa lại ở được ngay. Ngõ oto vào tận nhà + Khu vực Xã Đàn rất sầm uất, buôn bán, ra khỏi nhà thích mua gì cũng có, đi lại thuận tiện. + Sổ đỏ chính chủ. + Giá 5.5 tỷ (có thương lượng) Liên hệ: Nghĩa – 0868181683 ( để được gặp chủ thương lượng trực tiếp) Miễn phí xem nhà – Nguồn hàng phong phú – Nhiệt tình tận tâm – Hỗ trợ 24/24h/7",25/08/2022,Tin thường,batdongsan_so_com_vn_1673806371.6938705,,
