price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Lộ giới,Số tầng,Số phòng ngủ,Số toilet
"4,3 tỷ VNĐ",Đường Bồ Đề phường Bồ Đề, 40m2, 5,"Bán Lô đất  Bồ Đề.Vị trí cực đẹp Mặt tiền rộng.tô thông Hồng Tiến,Lâm Du.nhỉnh 4 tỷ.  Nhà thông các ngõ. Đi từ nhiều hướng khác nhau. Ngõ 135, 193 ,217 Bồ Đề, 90 Hồng Tiến. + Vị trí  xây nhà 5 Tầng thông sàn, thang máy thì tuyệt với  thông số chuẩn hoa hậu, mặt tiền rộng. + Gần hồ Bồ Đề, hồ sinh thái Lâm Du, bể bơi Phương Hiền Chi, gần cầu Trần Hưng Đạo.+ Khu vực quy hoạch đẹp, gần trường Quốc tế Wellspring, gần công viên. Trường học.  Tiện ích đầy đủ.+ Hàng xóm thân thiện.+ Thửa đất vuông vức, Pháp lý chuẩn sẵn sàng giao dịch.LH: Em Thu - 0916488589   BĐS Long Biên",23/10/2022,Tin thường,batdongsan_so_com_vn_1673793014.4462848,,,,
15 tỷ VNĐ,Khương Đình Thanh Xuân Hà Nội, 75m2, 7,"- Diện tích 75m2 X4 Tầng. Mt 7m Giá bán 15 tỷ ( có thương lượng )  - Vị trí đẹp, lô góc 2 mặt ngõ, ngõ rộng 7 chỗ vào nhà, cách phố 15m, giao thông thuận tiện. - Nhà 4 tầng mỗi tầng 2 phòng, gia chủ xác định bán đất nên k có gì mô tả nhiều. - Khu vực dân trí cao, hàng xóm thân thiện, an ninh đảm bảo tuyệt đối.  - Sổ chính chủ, vuông vắn, sẵn sàng giao dịch. Liên hệ em Quân để được tư vấn. 0385 94 1802Miễn ( TG Quảng Cáo )",23/10/2022,Tin thường,batdongsan_so_com_vn_1673793015.8455415,,,,
"12,6 tỷ VNĐ",Đường Nguyễn Văn Lộc phường Quang Trung, 98m2, 4,"💥💥💥 BÁN ĐẤT SIÊU HIẾM - MẶT PHỐ - KINH DOANH - LÀM VĂN PHÒNG - Ô TÔ ĐỖ TRÁNH - VIEW HỒ - TIỆN ÍCH NGẬP TRÀN.  🌷Đất bán thuộc mặt phố Nguyễn Văn Lộc,Hà Đông,có dt 98 m2,mặt tiền rất rộng, trước nhà là Hồ có nhiều Biệt Thự Đẹp quanh hồ rất thoáng đẹp.🌷Đường trước nhà khoảng 7m, ô tô dừng đỗ tránh, vỉa hè rộng.🌷Thông đi rất nhiều đường.Khách mua về xây 7 tầng thang máy làm Văn Phòng, Spa, Khách sạn...🌷 Tiện ích xung quanh như trường đại học Bưu chính viễn thông, Học Viện Cảnh sát….đường thông các ngả Quang trung, Mỗ Lao, Lê văn Lương kéo dài…🌷 Sổ đỏ đẹp, nở hậu,ss giao dịch.💥💥Giá bán 12,6 tỷ,có thương lượng.",23/10/2022,Tin thường,batdongsan_so_com_vn_1673793016.9805486,,,,
"8,9 tỷ VNĐ",Đường Lê Trọng Tấn phường Khương Mai, 65m2, 5,"Bán nhà 6 tấng THANG MÁY phố Lê Trọng Tấn, Ô TÔdiện tích 65 m, giá 8.9 tỷ Nhà 6 tầng thang máy mới xây được vài năm còn rất đẹp và mới. Đường trước nhà rộng ô tô 7 chỗ vào nhà thoải mái. Ngõ thông kinh doanh được. Nhà thiết kế 6 tầng, mỗi tầng 2 phòng ngủ. Tầng 1: Gara ô tô,vệ sinh. Bếp. Tầng 2,3: mỗi tầng 1 phòng ngủ rộng, vệ sinh. Tầng 4,5: mỗi tầng 2 phòng ngũ, vệ sinh.ư Tầng 6: tum. Sổ đỏ chính chủ sẵn sàng giao dịch. Diện tích 65 m2. Mặt tiền 5 m. Giá bán 8.9 tỷ. Liên hệ: 0979.82.42.80",23/10/2022,Tin thường,batdongsan_so_com_vn_1673793018.123493, 6, 6, 6, 6
"8,5 tỷ VNĐ",Đường Khuất Duy Tiến phường Nhân Chính, 42m2, 4,"+ Nhà kiên cố chủ tự xây tâm huyết ở vô cùng có lộc. Thiết kế tầng 2 phòng cầu thang và vệ sinh ở giữa. Tổng có 5 phòng, 3 vệ sinh. + Khách mua về chỉ việc thêm thùng sơn là lại lung linh. Ô tô vào nhà, khu dân cư toàn cán bộ dân trí cao. Có thể kinh doanh cho thuê văn phòng. + Vị trí đẹp cách mặt ngõ chỉ 10m, cách đường Khuất Duy Tiến chỉ 50m. Ngõ thông ô tô tránh sang Nguỵ Như Kon Tum. Giao thông thuận tiện. ,
",23/10/2022,Tin thường,batdongsan_so_com_vn_1673793019.5247428, 3, 4, 6,
"8,9 tỷ VNĐ",Đường Tân Xuân phường Đông Ngạc, 100m2, 6,"
               bước chân ra mặt phố lớn, 2p ra Hồ Tây lộng gió - Tòa nhà bề thế, doanh thu tháng không dưới 1.5 tỷ / năm,chưa kể phụ phí. ",23/10/2022,Tin thường,batdongsan_so_com_vn_1673793020.6297863, 30, 5, 6, 3
"8,9 tỷ VNĐ",Đường Tân Xuân phường Đông Ngạc, 100m2, 6,"
               bước chân ra mặt phố lớn, 2p ra Hồ Tây lộng gió - Tòa nhà bề thế, doanh thu tháng không dưới 1.5 tỷ / năm,chưa kể phụ phí. ",23/10/2022,Tin thường,batdongsan_so_com_vn_1673793021.723962, 30, 5, 6, 3
"3,4 tỷ VNĐ",Đường Hà Trì 5 phường Hà Cầu, 43m2, 3,"
    
NHỈNH 3 TỶ - 5 TẦNG + 1 TUM - 4 NGỦ - LÔ GÓC 3 THOÁNG VĨNH VIỄN - GIÁ MỀM NHẤT HÀ TRÌ 4 - TẶNG 95% NỘI THẤT HIỆN TRẠNG 

Diện tích 43m2, 5 tầng, mặt tiền 3.3n, giá 3.4 tỷ LH0936206176
 
+ Nhà xây mới được 2 năm, còn mới và chất lượng, khách mua dọn về ở ngay, khách thiện chí chủ tặng Nội thất.
+ Thiết kế hiện đại, công năng thượng thừa, chi tiết:
+ Tầng 1: Để xe, bếp, WC.
+ Tầng lửng: phòng khách cực rộng
+ Tầng 3,4,: mỗi tầng 2 phòng ngủ rộng, 1 WC
+ Tầng 5: Phòng thờ, sân phơi
+ Tầng 6: (tum) sân vườn trồng rau sạch ăn quanh năm.

+ Trước nhà thoáng rộng tầm 4m, lát gạch đỏ sạch sẽ văn minh, nhà lô góc, 4 mặt không tiếp giáp bất kỳ với tường nhà nào, hiếm có.

+ Nhà nằm sát ngã tư Hà Trì, dân cư đông đúc, tiện ích cực kì đầy đủ, an sinh đỉnh, khu vực đang phát triển cực mạnh của Hà Đông.

+ Sổ phân lô
",23/10/2022,Tin thường,batdongsan_so_com_vn_1673793022.991571, 3, 5, 4, 4
"12,25 tỷ VNĐ",Đường Lê Đức Thọ phường Mỹ Đình 1, 55m2, 6,"BÁN TÒA NHÀ VĂN PHÒNG LÊ ĐỨC THỌ 7 TẦNG MẶT 6M THANG MÁY Ô TÔ NHỈNH 12 Tỷ  - Thiết kế hiện đại, sang trọng, hiện đại, thông sàn, 2 Gara.  - Khu trung tâm phát triển, xung quanh là các Trường Đại học lớn, Đại Học Thương Mại, Đại Học Quốc Gia, Đại Học Sư Phạm, Bến xe Mỹ Đình.. - Thích hợp làm văn phòng, công ty, Spa.. - Sổ đẹp, pháp lý sạch sẽ, sang tên nhanh gọn  - Giá: Thương lượng Thiện trí xem nhà, tư vấn, pháp lý, Ngân hàng liên hệ Mr Đức Nhà Đẹp 0812212525 - 0898839292.",23/10/2022,Tin thường,batdongsan_so_com_vn_1673793024.4756014, 4, 7, 7,
"6,4 tỷ VNĐ",Đường Ngọc Lâm phường Ngọc Lâm, 66m2, 6,"+ Vị trí nhà cách ô tô 20m, trước nhà ba gác đánh võng.+ Hàng xóm tốt bụng, an ninh, dân trí cao.+ Nhà dân xây khung cột kiên cố, mua về ở luôn, phù hợp mua cho con ở riêng, làm văn phòng, công ty,...+ Sổ đỏ Hoa Hậu, giá 6,4 tỷ có thương lượng.+ Liên hệ: 0979057536 - 0878827488 Trung Kiên để được tư vấn và xem nhà miễn phí.+ CAM KẾT THÔNG TIN NHÀ và ẢNH THẬT 100%",23/10/2022,Tin thường,batdongsan_so_com_vn_1673793025.6963804, 3, 4, 4, 4
