price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Số tầng,Lộ giới,Số phòng ngủ,Số toilet
"11,8 tỷ VNĐ",Vĩnh Phúc Ba Đình Hà Nội, 40m2, 4,"TRUNG TÂM BA ĐÌNH, PHÂN LÔ VỈA HÈ SIÊU RỘNG KINH DOANH OTO DỪNG ĐỖ NGÀY ĐÊM - NGÕ TO HƠN MẶT PHỐ- Diện tích 40m2 X5 Tầng. MT 4m Giá bán 11.8 tỷ ( có thương lượng )- Vị trí đẹp đường to hơn phố trước nhà vỉa hè rộng 5m kinh doanh sầm uất nhiều loại hình.   Nhà Ngay gần trường học cấp 1.2 Hoàng Hoa Thám…tiện ích bạt ngàn!  - Chủ nhà xác định bán đất tặng nhà 5 tầng. Đầy đủ công năng sử dụng! - Khu phân lô quân đội an ninh cực cao! - Sổ đỏ vuông đẹp sẵn sàng giao dịch! Liên hệ em Quân để được tư vấn. 0385 94 1802 Miễn ( TG Quảng Cáo )",10/11/2022,Tin thường,batdongsan_so_com_vn_1673788646.438029,,,,
"4,99 tỷ VNĐ",Yên Hòa Cầu Giấy Hà Nội, 46m2, 4,"Nhà lô góc phố Yên Hòa Cầu Giấy 46m 5T MT 4.3m chỉ 4.99 tỷNhà lô góc, ngõ rộng xe 3 gác đi thoải mái, nhà cách Hạ Yên Quyết 100m, Thiết kế 3 thoáng, lệch tầng, đầy đủ công năng:+ Tầng 1: Khu để xe, phòng khách. + Tầng 2: Bếp. + Tầng 3, 4, 5: Mỗi tầng 1 phòng, wc giữa các tầng. + Tầng 6: Phòng thờ, sân phơi. Liên hệ: Mrs Phượng 0974352054 - Tư vấn tận tâm, miễn phí 24/24h (zalo, Fb) , hỗ trợ tư vấn Pháp lý, vay vốn.",10/11/2022,Tin thường,batdongsan_so_com_vn_1673788647.6248536, 5,,,
"2,8 tỷ VNĐ","Phúc Am, Duyên Thái", 52m2,,"+ Đất phân lô đấu giá Duyên Thái, Thường Tín, Hà NộiS: 52m MT: 5mGiá chào: 2.8 tỷ+ Vị trí: ngay KĐT Duyên Thái đi vào khoảng 500m, cách đường QL1A và đường QL1B khoảng 700m. + Đất đẹp, vuông vắn, diện tích vừa phải, đường ngõ rộng, khu vực dân trí cao, an ninh tốt.+ Thửa đất nhỏ xinh, nở hậu một chút.+ Đất gần trường CĐ Bách Khoa, bến xe Giáp Bát cơ sở 2, Vành đai 4 và nhiều khu công nghiệp Duyên Thái-Ngọc Hồi+ Sổ đỏ chính chủ đang để ở nhà sẵn sàng giao dịch.+ Tư vấn, báo giá, dẫn xem đất miễn phí, kết nối gặp chủ nhà. Liên hệ Em Liên.",10/11/2022,Tin thường,batdongsan_so_com_vn_1673788652.6675324,,,,
"5,5 tỷ VNĐ","Đường Lương Khánh Thiện, Hoàng Văn Thụ, Hoàng Mai", 35m2,,"
    Nhà nằm ở vị trí đẹp lô góc thông thoáng, gần chợ nhiều người qua lại kinh doanh tốt, ô tô vào nhà đỗ cửa thoải mái, ngõ nông thẳng tắp thông tứ tung.Thiết kế 5 tầng nội thất cơ bản đầy đủ công năng.Tầng 1: Khách + Bếp.Tầng 2,3,4: 1 Phòng ngủ + WC.Tầng 5: Phòng thờ + Sân phơi.Nhà nằm gần chợ, trường học các cấp, hồ Đền Lừ, bến xe... Khu dân trí cao an sinh tốt.Giá 5,4 tỷ có thương lượng.Sổ đỏ vuông vắn sẵn sàng giao dịch.Liên hệ em Cương 0797768876 để được tư vấn hỗ trợ xem nhà.Cảm ơn khách hàng đã đọc tin.
",10/11/2022,Tin thường,batdongsan_so_com_vn_1673788653.8443823, 5, 4, 3, 3
5 tỷ VNĐ,"Đường Cầu Giấy, Quan Hoa, Cầu Giấy", 55m2, 5,"+ Chủ cần bán nhà tính đất, diện tích 55 m2 x 2 tầng giá 5 tỷ. + Ngõ 68 đẹp nhất phố Cầu Giấy, thông Nguyễn Khánh Toàn, Quan Hoa, khu vực gần nhiều trường đại học lớn: Sư Phạm, Quốc Gia, Thương Mại...nhu cầu thuê rất cao. + Hiện nhà đang có 5 phòng cho thuê, khoảng 10tr/tháng. Xác định bán đất nên không có gì mô tả. + Thích hợp xây tòa chung cư mini cho hiệu xuất cao. Giá cho thuê quanh khu vực dao động từ 4-6 triệu/tháng. + Sổ vuông như phân lô, sẵn sàng giao dịch. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7 ",10/11/2022,Tin thường,batdongsan_so_com_vn_1673788654.9215014, 2, 4, 6,
"6,7 tỷ VNĐ","Đường Nguyễn Khang, Yên Hòa, Cầu Giấy", 50m2, 4,"
    
Trung tâm Cầu Giấy, thuận tiện đi lại, tiện ích bạt ngàn, Gần nhiều các trường học, chợ...

Thiết kế : + Nhà tự xây vô cùng chắc chắn, phía sau có giếng trời đón gió, phòng nào cũng có cửa sổ, thiết kế:- Tầng 1: Để xe + bếp.- Tầng 2 (lửng): Phòng khách + Phòng làm việc.- Tầng 3 + 4: Mỗi tầng 2 phòng + WC, tổng 4 ngủ.- Tầng 5: Phòng thờ + sân phơi. Giá 6.7 tỷ ( Có thương lượng)Mọi chi tiết vui lòng liên hệ 0936.288.283 ( Em Cương - Rất vui được đồng hành với Anh chị)Sổ đỏ chính chủ, pháp lý rõ ràng, sẵn sàng giao dịch
",10/11/2022,Tin thường,batdongsan_so_com_vn_1673788656.0225573, 5, 3, 5, 5
"9,7 tỷ VNĐ","Đường Tây Sơn, Trung Liệt, Đống Đa", 35m2, 4,"+ Nhà bán ở bị trí thuộc khu hiếm mặt phố Tây Sơn, kinh doanh tấp nập bất chấp mọi loại hình, dòng tiền cho nguồn thu khủng, cho thuê giá cao, + Nhà đối diện trường Đại học Thủy Lợi, xung quanh các trường đại học lớn. Giao thông thuận tiện, giao với các tuyến phố lớn Chùa Bộc, Thái Hà,..Xung quanh tiện ích đầy đủ + Diện tích 35m2, thiết kế 6 tầng đầy đủ công năng tiện ihcs. Hiện tại tầng 1 + tầng 2 chủ đang cho thuê kinh doanh. + Sổ đỏ chính chủ, sẵn sàng giao dịch + Giá: 9,7 tỷ (Khách thiện trí đến gặp trực tiếp còn thương lượng được sâu.) + Liên hệ: Nguyễn Dương: 0977.416.133 - cam kết giúp Anh/Chị mua được nhà ưng ý với giá tốt nhất.",10/11/2022,Tin thường,batdongsan_so_com_vn_1673788657.6133013, 6, 1, 1, 1
"8,76 tỷ VNĐ","Đường Quốc lộ 32, Đức Thượng, Hoài Đức", 191m2, 10,"
    Duy nhất tại Đức Thượng, Hoài Đức Bán nhà riêng 191m 4 tầng, 2 thoáng, Ô tô, nhỉnh 8 tỷ
- Vị trí đẹp, lô góc, Kinh doanh tốt, gần Trường học, Chợ, Y tế, Ô tô vào nhà.
- Nhà mới đẹp chắc chắn, Nội thất xịn xò, sẵn về ở.
- Giao thông thuận tiện, Đường thông các ngả, Đường Quốc Lộ 32, Đường Vành đai 3,5..
- Sổ CC, Sang tên nhanh gọn.
- Giá thương lượng, Chủ thiện chí
Xem nhà, tư vấn gọi Mr Đức Nhà Đẹp 0898839292
Rất nhiều Nhà, Đất đẹp phù hợp mọi nhu cầu Anh Chị Em nhé.
",10/11/2022,Tin thường,batdongsan_so_com_vn_1673788658.8270533, 4, 4, 5, 4
"8,5 tỷ VNĐ","Đường Khuất Duy Tiến, Nhân Chính, Thanh Xuân", 42m2, 4,"+ Chính chủ cần ban nhà diện tích 42 m2 x 4 tầng giá 8.5 tỷ. + Nhà kiên cố chủ tự xây tâm huyết ở vô cùng có lộc. Thiết kế tầng 2 phòng cầu thang và vệ sinh ở giữa. Tổng có 5 phòng, 3 vệ sinh.   + Khách mua về chỉ việc thêm thùng sơn là lại lung linh. Ô tô vào nhà, khu dân cư toàn cán bộ dân trí cao. Có thể kinh doanh cho thuê văn phòng.   + Vị trí đẹp cách mặt ngõ chỉ 10m, cách đường Khuất Duy Tiến chỉ 50m. Ngõ thông ô tô tránh sang Nguỵ Như Kon Tum. Giao thông thuận tiện.  + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7",10/11/2022,Tin thường,batdongsan_so_com_vn_1673788660.1475215, 4, 3, 6,
"2,8 tỷ VNĐ",Nguyễn Cảnh Dị, 35m2,,"Bán nhà Nguyễn Đức Cảnh, Trương Định, 35m² 2.x tỷ, ngõ Ô TÔ, Kinh Doanh, LH 0986.270.765Nhà chính chủ xây mới, khung cột chắc chắn, ngay hồ Đền Lừ.Thiết kế sang trọng, hiện đại và hợp lý, đầy đủ công năng sử dụng.Ngõ trước nhà rộng, thoáng, ô tô đỗ cách nhà 10m, bãi gửi ô tô gần nhà.Vị trí trung tâm ngay gần trường, chợ, hồ Đền LừDi chuyển thuận tiện, ngay gần ĐH Bách Khoa, Bạch Mai, Giải PhóngSổ đỏ chính chủ, giá 2.x tỷ (có thương lượng).Liên hệ: 0986.270.765 (Mr Vượng)",10/11/2022,Tin thường,batdongsan_so_com_vn_1673788661.7073486,,,,
