price,address,Diện tích,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Hướng
"4,55 tỷ VNĐ",Yên Phúc - Phúc La - Hà Đông, 51m2, 3, 3, 2,"BÁN NHÀ YÊN PHÚC - LÔ GÓC - NGÕ THÔNG - FULL NỘI THẤT - 51M2*3T - GIÁ 4.X TỶ+ Nhà nằm tại vị trí trung tâm quận Hà Đông, thông qua các tuyến đường Phùng Hưng, Văn Quán, Yên Xá...+ Xung quanh gần bệnh viện lớn như viện 103, viện Bỏng, viện K Tân Triều, gần các trường Đại học và trung học các cấp.+ Nhà chủ tự xây kiên cố, chắc chắn. Diện tích 51m2 thiết kế 3 tầng tổng 3 phòng ngủ, phòng thờ, sân phơi...+ Chủ để lại nội thất cho khách thiện chí.+ Hàng xóm xung quanh thân thiện, dân trí cao.+ Sổ đỏ chính chủ - công chứng trong ngày.+ Giá chỉ: 4.55 tỷ (có thương lượng)+ Liên hệ: Mrs Nhung - nhà đẹp Hà Đông: 0944.795.382 để được tư vấn",13/09/2022,Tin thường,batdongsan_so_com_vn_1673802186.3058717,,,
"7,65 tỷ VNĐ",Đường Thái Thịnh phường Trung Liệt, 40m2, 5, 6, 4,"
    Bán nhà ngõ Ô TÔ Phố Thái Thịnh, Kinh Doanh đỉnh, 2 thoáng, ngõ thông:
    + Diện tích rộng: 40m2     + Mặt tiền rộng: 3.5m -Vị trí đẹp, ngõ ô tô, thuận tiện kinh doanh buôn bán  - Khu vực dân trí cao, an ninh tốt.  - Kết nối Yên Lãng - Láng - Thái Hà - Ngã Tư Sở ....     + Sổ đỏ chính chủ, sẵn sàng giao dịch, công chứng sang tên luôn.     + Giá bán 7.65 tỷ (có thương lượng) - Liên hệ ngay em Thịnh (gọi hoặc inbox zalo 24/24h) Miễn phí xem nhà - Nguồn hàng phong phú - Nhiệt tình tận tâm - Hỗ trợ 24/24 - Cam kết thông tin thật 100% Miễn môi giới, trung gian. Xin cảm ơn đã đọc tin.!.",13/09/2022,Tin thường,batdongsan_so_com_vn_1673802188.2426913, 3, 4,
"5,5 tỷ VNĐ",Đường Minh Khai phường Vĩnh Tuy, 106m2, 15, 3, 2,"
    Mình cần bán căn hộ 3 phòng ngủ tòa T10 Times city Vị trí trung tâm, thuận tiện dịch vụ Nhà đã thiết kế cải tạo thành 3 phòng ngủ Diện tích 106m2, 3 phòng ngủ, 2 toilet, 2 ban côngView nhạc nước, trên tầng 6.bán để lại toàn bộ nội thất Giá 5.5 tỷ thu về. đã có sẵn sổ Liên hệ xem nhà trực tiếp : 0982 591 304
",13/09/2022,Tin thường,batdongsan_so_com_vn_1673802189.9421902, 10, 1,
"11,6 tỷ VNĐ",Đường Bưởi phường Trung Hòa, 55m2, 7, 5, 4,"+ Nhà nằm ở vị trí đẹp, thiết kế sang trọng hiện đại  + Thang máy hiện đại, thiết kế 7 tầng vừa ở vừa kinh doanh + Giao thông thuận tiện++ Sổ đỏ phân lô vuông đét Gọi ngay : 091-873-2286 ( em Lan Anh ) để xem thêm thông tin và ảnh nhà",13/09/2022,Tin thường,batdongsan_so_com_vn_1673802191.23573, 4, 4,
"5,2 tỷ VNĐ",Đường Sài Đồng phường Sài Đồng, 60m2, 4, 4, 3,"+ Vị trí nhà rất đẹp, đường trước nhà 5m ô tô vào nhà thoải mái.+ Cách mặt phố Sài Đồng khoảng 200m, tiện ích bạt ngàn xung quanh.+ Nhà chủ tự xây 5 tầng rất đẹp, nội thất xịn xò, chủ tặng lại cho khách thiện chí.Tầng 1: Gara ô tô, bếp và phòng ăn.Tầng 2: Phòng khách rộng và 01 phòng ngủ.Tầng 3,4: Mỗi tầng chia 2 phòng.Tầng 5: Sân phơi và sân trồng cây cảnh.+ Sổ đỏ chính chủ, siêu đẹp.  Chi tiết xin liên hệ: Vũ Tuấn - chuyên bđs thổ cư, biệt thự, nhà phố Long Biên...theo số..   0399.o.27.o.11.o.14.o",13/09/2022,Tin thường,batdongsan_so_com_vn_1673802202.3171763, 5, 7,
"87,3 triệu VNĐ/m2","16 Láng Hạ, phường Thành Công, quận Ba Đình, Hà Nội", 55m2, 4, 2, 2,"Thiết kế chuẩn phong cách “quiet luxury”đang là trào lưu thịnh hành trong giới thượng lưu. Dự án có thể tóm gọn trong 4 chữ vàng:RIÊNG TƯ – KỀ HỒ - CẬN PHỐ - KẾ THIÊN NHIÊN* Vị Trí (16 Láng Hạ, Thành Công, Ba Đình, Hà Nội):- Căn hộ cạnh hồ Thành Công, tại quận Ba đình (một trong bốn quận gốc ở Hà Nội)- Gần hệ thống trường học nổi tiếng- Gần Hệ thống chung tâm giải trí quốc gia- Hệ thống bệnh viện* Quy Mô: - Mật độ căn hộ tổng 128 căn, 7 căn/tầng, 3 thang máy, 2 thang bộ thoát hiểm- chiều cao sàn-trần 3,6m thoáng mát, 100% phòng đều có ánh sáng tự nhiên.- 282 chỗ để ô tô và 2147 chỗ để xe máy- An ninh 4 lớp (cổng dự án, tại hầm, tại sảnh tầng 1, căn hộ) tuyệt đối 24/7.* Tiện ích (Hầm và mái): - Tiện ích hầm B1, B2 (Gym, xông hơi, giải trí, đọc sách,…)- Tiện ích mái khu BBQ, vườn thượng uyển, quầy rượu, quầy bar xì gà, Lầu cá cảnh* Giá Và Chính Sách Thanh Toán- Căn hộ 1 ngủ diện tích 54m2 - 56m2. View Ba Đình. - Căn hộ 2 ngủ diện tích 85m2 - 95m2 - 100m2. View trọn Hồ Thành Công. - Căn hộ 3 ngủ diện tích 125.95 - 128 m2. VIew Trọn Hồ Thành Công. - Giá bán từ 87tr - 135tr/m2.1/ Chính sách bán hàng hấp dẫn: - Chiết khấu 3% cho KH thanh toán theo tiến độ. - Chiết khấu 5% cho KH thanh toán sớm 100%. - Ngân hàng cho vay 70%, hỗ trợ lãi suất 0% và ân hạn nợ gốc đến 12 tháng. 2/ Khuyến Mãi:Tặng gói phí dịch vụ quản lý và Valet parking trong 1 năm.Miễn phí phí dịch vụ quản lý trong 12 tháng",13/09/2022,Tin thường,batdongsan_so_com_vn_1673802203.3873134,, 21, Đông bắc
"2,99 tỷ VNĐ",Ngõ 211 Khương trung, 29m2, 5, 3, 4,"Mô tả: Nhà mới 5 tầng đẹp: Tầng 1: Khách + Bếp + WC Tầng 2,3,4 phòng: 3 ngủ + WC khép kín Tầng 5 : sân phơi + phòng thờ + Khu vực hiếm nhà nhỏ có sổ riêng, Không chung tường , Không chung móng. Rất đông khách tìm mua nhà trong khu vực. + Nhà cách ô tô tránh 5m, ngõ rộng thông vòng quanh, có thể kinh doanh nhỏ hoặc cho thuê đều đẹp, khu đông dân cư . + Nhà vài bước ra Đầm Hồng không khí trong lành, người già tập thể dục, trẻ con có chỗ chơi. Rất tiện. Liên hệ ngay cho tôi hôm nay: Ng. Hồng Hải 0961771396 ",13/09/2022,Tin thường,batdongsan_so_com_vn_1673802204.4913616, 3,,
"4,9 tỷ VNĐ",Đường Ngọc Thụy phường Ngọc Thụy, 43m2, 4, 4, 4,"+ Vị trí nhà mặt ngõ rộng, 2 ô tô tránh nhau, gần nhà có khu vui chơi giải trí dành cho cả khu rộng hơn 1000m2.+ Khu dân trí cực cao, ở sướng. Cả khu đã đóng tiền làm lại mặt ngõ trải nhựa tuyệt đẹp.+ Nhà cách mặt phố Ngọc Thuỵ rất gần, không gian sống tuyệt đỉnh, giao thông đi lại thuận lợi vô cùng.+ Nhà chủ tự xây trên bản vẽ thiết kế hiện đại, sang trọng, rất chắc chắn và đẹp.+ Sổ đỏ cất két, giá chào 4,9 tỷ có thương lượng.+ Liên hệ: 0979057536 Trung Kiên để được tư vấn và xem nhà miễn phí.+ CAM KẾT THÔNG TIN NHÀ và ẢNH THẬT 100%",13/09/2022,Tin thường,batdongsan_so_com_vn_1673802205.6742363, 4, 5,
12 tỷ VNĐ,Đường Ngọc Lâm phường Ngọc Lâm, 75m2, 4, 6, 4,""",="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(229,239,255);="""" text-indent:="""" user-select:="""" text;="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" initial'bán="""" nhà="""" mặt="""" phố="""" ngọc="""" lâm="""" kinh="""" doanh="""" sầm="""" uất="""" 2="""" vỉa="""" hè="""" ô="""" tô="""" 75m2="""" hơn12tỷ="""" span="""" p="""" pspan="""" initial'-="""" cổ="""" long="""" biên,="""" đa="""" dạng="""" hàng="""" bán="""" là="""" lãi="""" buôn="""" lời,="""" đường="""" tránh="""" dừng="""" đỗ="""" ngày="""" đêm,="""" đá="""" bóng.="""" initial'="""">- Vị trí nhà cực đẹp, 2 vỉa hè cực hiếm, giao thông 2 chiều thuận tiện vô cùng. Kinh doanh hết ý. Diện tích: 75m2, mặt tiền: 5m.  "",="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(229,239,255);="""" text-indent:="""" user-select:="""" text;="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" initial'-="""" tiện="""" ích="""" xung="""" quanh="""" không="""" thiếu="""" thứ="""" gì:="""" tòa="""" mipec="""" đắt="""" giá="""" nhất="""" long="""" biên,="""" bến="""" xe="""" gia="""" lâm,="""" ga="""" lửa="""" công="""" viên,="""" vườn="""" hoa...="""" span="""" p="""" pspan="""" sổ="""" đỏ="""" sẵn="""" sàng,="""" giao="""" dịch="""" ngay.="""" initial'="""">- LH: 0902159015
",13/09/2022,Tin thường,batdongsan_so_com_vn_1673802206.8062994, 5, 20,
"13,9 tỷ VNĐ",Đường Văn Cao phường Liễu Giai, 82m2, 5, 5, 4,- Giá 13.9 tỷ ,13/09/2022,Tin thường,batdongsan_so_com_vn_1673802208.0868728, 5, 5,
