price,address,Diện tích,Mặt tiền,Số tầng,Details,Ngày đăng,Loại tin,id,Lộ giới,Số phòng ngủ,Số toilet
"3,9 tỷ VNĐ","vân canh, hoài đức, hà nội", 40m2, 4, 4,"Chính chủ cần bán nhà 4 tầng tại Vân Canh, Hoài Đức. + Diện tích: 40m2, 4 tầng, mặt tiền: 4m, giá: 3,9 tỷ + Nhà mới xây, lô góc, ô tô đỗ, nở hậu. + Sát ngã tư Canh, gần uỷ ban, khu đô thị HUD và đô thị Vườn Cam + Di chuyển 5 phút ra đến Mỹ Đình + Sổ đẹp. Quý khách có nhu cầu mua nhà đất liên hệ Bích Phượng (chuyên nhà đất thổ cư) tại huyện Hoài Đức để được tư vấn và xem nhà đất hoàn toàn miễn phí. Vui lòng liên hệ: Mrs. Bích Phượng: 0915568218 / 0834081167",12/12/2022,Tin thường,batdongsan_so_com_vn_1673783721.7176008,,,
25 tỷ VNĐ,"Đường Cầu Giấy, Dịch Vọng, Cầu Giấy", 100m2, 6, 8,"CHÍNH CHỦ CẦN BÁN TÒA CHUNG CƯ MINI 8 TẦNG, XÂY MỚI TẠI CẦU GIẤY- NHÀ DO CHÍNH TAY TÔI TỰ THIẾT KẾ VÀ XÂY DỰNG TỈ MỈ - GỒM 40 PHÒNG KHÉP KÍN ĐẦY ĐỦ NỘI THẤT - CHO THUÊ ĐẠT 200 TRIỆU/THÁNG - CÓ THANG MÁY, THANG BỘ, THANG THOÁT HIỂM, HỆ THỐNG PCCC ĐẦY ĐỦ
 VỊ TRÍ ĐẮC ĐỊA: NHÀ NẰM Ở MẶT NGÕ, GẦN CHỢ, MẦM NON, TRƯỜNG HỌC
===============
 LH TRỰC TIẾP CHO TÔI: 0986 310 050 (Ms HỒNG)
 Có đầy đủ: Sổ đỏ chính chủ, Giấp phép xây dựng, Hồ sơ thiết kế
 DIỆN TÍCH: 120m2 x 8 tầng - Gồm 40 phòng khép kín riêng biệt (Đã bao gồm full nội thất)
 MÔ TẢ CHI TIẾT:
+ Tầng 1: Nhà Xe Rộng + 02 Phòng Khép Kín
+ Tầng 2,3,4,5,6,7: Mỗi Tầng 06 Phòng Khép Kín
+ Tầng 8: 02 Phòng Khép Kín + Sân Phơi + Khu Giặt
GIÁ BÁN: 25 TỶ CÓ THƯƠNG LƯỢNG (BAO GỒM: NHÀ ĐÃ FULL KHÁCH THUÊ, FULL NỘI THẤT, CHI PHÍ SANG TÊN SỔ ĐỎ CHO KHÁCH HÀNG)
---------------------
",12/12/2022,Tin thường,batdongsan_so_com_vn_1673783722.9317217, 4, 28, 29
"3,5 tỷ VNĐ",Ngõ 198 Xã Đàn, 34m2, 4, 5,"Ngày đăng: Hôm nay
Bán nhà 5 tầng ngõ 198 Xã Đàn - Đống Đa, Hà Nội. DT: 34m2 Mt: 4.93m Thiết kế: Tầng 1: phòng khách, bếp, vệ sinh. Tầng 2,3,4: mỗi tầng chia 2 phòng cầu thang và vệ sinh giữa nhà. Tầng 5: tum, sân phơi. Nhà gia đình tự xây dựng, ép cọc bê tông, khung cột chắc chắn. Cách oto, hồ Ba Mẫu chỉ 100m. Gần nhiều trường đại học lớn Bách - Kinh - Xây. Đường trước nhà rộng 2.5m xem máy tránh nhau, quay đầu thoải mái. Giá : 3.55 tỷ Liên hệ: Nguyễn Mãi - Chính Chủ.
",12/12/2022,Tin thường,batdongsan_so_com_vn_1673783724.0673141,, 6, 3
"1,7 tỷ VNĐ","Đường Trường Sa, Xã Đông Hội", 77m2,,,"Bán căn hộ thiết kế 2PN diện tích 77.1m² ngay sát cầu Đông Trù, gần Big C Long Biên, di chuyển đến cầu Chương Dương chỉ 7 - 10p lái xe.Căn hộ bàn giao thô, được cung cấp vật liệu xây dựng để về tự khách hàng hoàn thiện, décor theo sở thích của mình.Thiết kế 2PN - 2WC, hướng Đông Nam rất mát.Dự án gần nhiều trường học, chợ.Giá bán: 1.7x tỷ/căn.Hỗ trợ vay ls 0% trong 12 tháng, áp dụng tới 65%GTCH.Thanh toán theo tiến độ ck tới 5%.Thanh toán sớm 70% ngay khi ký HĐM, nhận ưu đãi ck tới 8%.* Liên hệ xem dự án và thực tế căn hộ: Mr Quân 0984966761",12/12/2022,Tin thường,batdongsan_so_com_vn_1673783725.1324654,,,
42 tỷ VNĐ,Đường 800A Cầu Giấy Hà Nội, 217m2, 9, 3,"- Diện tích 217m2 X3 Tầng. Mặt tiền  9.7mGiá  42 tỷ ( có thương lượng ) - Vị trí nhà mặt đường 800A oto tránh, vỉa hè kinh doanh mọi loại hình! - Nhà xây theo kiểu biệt thự thời xưa tổng 4 phòng ngủ và sân vườn tiểu cảnh xanh mát.  - Khách mua về cải tạo lại ở đẹp lung linh hoặc xây toà nhà 8-9 tầng thì hết ý!  - Giao thông thuận tiện kết nối Hoàng Quốc Việt, Hoàng Sâm, Phùng Chí Kiên! - Khu vực tiện ích đầy đủ, toàn tướng tá gần khu vực của quân đội nên dân trí cực cao, an ninh đảm bảo!- Sổ đỏ vuông đẹp, pháp lý chuẩn sẵn sàng giao dịch! - Liên hệ em Quân để được tư vấn và xem nhà! 0385 94 1802 Miễn ( TG Quảng Cáo )",12/12/2022,Tin thường,batdongsan_so_com_vn_1673783726.0829222,, 4, 4
"9,15 tỷ VNĐ","Đường Lụa, Vạn Phúc, Hà Đông", 75m2, 5, 5,"
    Cực Hiếm, có 1 0 2 Bán gấp CCMN Phố Lụa, Hà Đông, 75m 5 tầng, Ô tô 5m, chỉ 9,x tỷ
+ Cần bán Căn hộ cao cấp - Dòng tiền, Đang cho thuê kín phòng đẩy đủ tiện nghi.
+ Vị trí Siêu đẹp: Rất đông Sinh viên, nhu cầu thuê rất cao.
+ Địa điểm Hot : Phát triển cực mạnh, Sầm uất,Tiện ích ngập tràn, Các trường đại học lớn xung quanh.
+ Gần trường ĐH Sư phạm, ĐH Hà Nội... Học viện Cảnh Sát Nhân dân, Đại Học Kiến trúc. gần chợ, gần đường lớn Quang Trung, Nguyễn Trãi, Lê Văn Lương Kéo dài, Phùng Khoang.
+ Sổ CC sang tên nhanh gọn.
+ Giá: ( Có thương lượng ).
Liên hệ: Đức Nhà Đẹp . Rất nhiều nhà đẹp phù hợp mọi nhu cầu anh chị em nhé.
(Liên hệ để được tư vấn, xem nhà hoàn toàn miễn phí).
",12/12/2022,Tin thường,batdongsan_so_com_vn_1673783727.174046, 3, 17, 17
"3,85 tỷ VNĐ","Đường Khương Đình, Khương Đình, Thanh Xuân", 43m2, 3,,"BÁN ĐẤT TẶNG NHÀ KHƯƠNG ĐÌNH, 43 X 2 TẦNG, CHỈ 3.85 TỶ ( tt chuẩn )   Diện tích 43m2, mặt tiền gần 4m, có sẵn nhà 2 phòng ngủ sạch sẽ, phòng khách rộng, bếp riêng  - Vị trí siêu đẹp, từ nhà ra mặt phố tầm 50m - Đường trước nhà lát gạch sạch sẽ văn minh.  - Khu vực đông sinh viên và người đi làm, nhu cầu thuê nhà ở cao, phù hợp cho gia đình nhỏ ở luôn hoặc đập đi xây mới cho thuê được ngay   Sổ đỏ chính chủ đẹp sẵn sàng sang tên.   + Cam kết thông tin và hình ảnh thật 100%.  + Liên hệ : 0934.438.222 ( Mr.Ngọc ) để dc xem nhà ngay và gặp trực tiếp chủ nhà ",12/12/2022,Tin thường,batdongsan_so_com_vn_1673783728.1844254,,,
"12,8 tỷ VNĐ","Đường Hồ Ba Mẫu, Kim Liên, Đống Đa", 65m2, 53, 7,"Trung tâm Đống Đa, vài bước chân ra hồ Ba Mẫu , ngõ rộng thoáng ô tô đỗ cửa. Giá 12,8 tỷ -Nhà diện tích  65m2, 8 tầng, sở hữu mặt tiền hơn  5 M . - Nhà xây 8 tầng thang máy, chủ xây dựng chắc chắn, tâm huyết. Cho thuê dòng tiền gần 80 triệu 1 tháng. Thiết kế: - Tầng 1:   Thông sàn, Phòng khách ,chỗ để xe, phòng bếp. - Tầng 2,3,4,5,6: Mỗi Tầng 2 phòng ngủ, vệ sinh khép kín từng phòng. - Tầng 7: Phòng thờ, phòng ngủ. - Tầng 8: Sân phơi. + Sổ đỏ đẹp. Giá 12,8 tỷ  Liên hệ : Huệ Anh 0942.682.686",12/12/2022,Tin thường,batdongsan_so_com_vn_1673783729.1638057, 6, 10, 10
"3,85 tỷ VNĐ",Văn Quán - Hà Đông, 39m2,, 5,"Bán nhà Văn Quán, Hà Đông 39mx5 tầng ngõ thoáng gần phố hơn 3 tỷ Bán nhà trước Tết phố Văn Quán, Hà Đông cực hiếm hơn 3 ỷ có nhà 39m thiết kế 5 tầng hiện đại ngõ nông thoáng đẹp gần phố, nội thất Châu Âu chỉ việc đến ở. Nhà hưởng trọn tiện ích Khu đô thị Văn Quán ở cực sướng khu vực trung tâm hiếm nhà bán, hàng xóm thân thiện văn minh. Giáp phố Phúc La thông Yên Xá gần Mỗ Lao sang Yết Kiêu ra Vạn Phúc. Sổ vuông sẵn sàng giao dịch. Giá: 3.85 tỷ ( gia lộc). Liên hệ : Huyền ( 0363703491- 0965472910) – Gặp trực tiếp chính chủ.",12/12/2022,Tin thường,batdongsan_so_com_vn_1673783730.499233,,,
"3,8 tỷ VNĐ",Văn Quán - Hà Đông, 40m2,, 5,"Bán nhà Văn Quán, Hà Đông 40mx5 tầng gần phố nội thất xịn ở ngay hơn 3 tỷ Nhà đẹp cực hiếm phố Văn Quán, Hà Đông thông số vàng 40m nhà 5 tầng rộng đẹp hiện đại đầy đủ công năng sử dụng, nội thất Châu Âu ở ngay. Bán kính xung quanh nhà nhiều trường đại học, gần chợ xanh vài bước ra hồ. Khu phố sầm uất tất nập ngày đêm. Giáp phố Phúc La thông Yên Xá gần Mỗ Lao sang Yết Kiêu ra Vạn Phúc. Chủ nhà cần bán trước Tết để lo việc gia đình giá tốt nhất khu. Sổ vuông sẵn sàng giao dịch. Giá: 3.8 tỷ ( gia lộc). Liên hệ : Huyền ( 0363703491- 0965472910) – Gặp trực tiếp chính chủ.",12/12/2022,Tin thường,batdongsan_so_com_vn_1673783732.28239,,,
