price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số phòng ngủ,Số toilet
"4,8 tỷ VNĐ",Văn Quán- Hà Đông, 50m2, 4,"Bán nhà riêng tháng 7 âm, nhỉnh 4 tỷ, 50m, kinh doanh, nội thất Châu Âu Người thân gửi bán nhà đẹp Văn Quán, Hà Đông giá hơn 4 tỷ cần bán gấp 1 căn duy nhất trong tháng 7 âm cơ hội cho khách mua nhà và các nhà đầu tư thông thái. Diện tích rộng 50m với 4 tầng hiện đại, nội thất Châu Âu , nhà mới về ở ngay, ngõ nông rộng gần phố. Xung quanh nhà đầy đủ tiện ích, hàng xóm toàn cán bộ văn minh, an ninh tuyệt đối. Một số căn nhà đẹp thông số ngon tương tự: + Nhà Trần Phú 30m, 5 tầng, kinh doanh, gần 4 tỷ. + Nhà Phùng Hưng, 36m, 4 tầng, ô tô, hơn 4 tỷ. + Nhà Ngô Quyền, 33m, 6 tầng, hơn 4 tỷ Chủ nhà cần bán trước tháng 7 âm để đầu tư nhà xưởng, máy móc. Sổ đỏ vuông, sẵn sàng giao dịch. Giá 4.8 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Cháu gái chủ nhà ( miễn trung gian, môi giới).",29/07/2022,Tin thường,batdongsan_so_com_vn_1673811829.6187708,,,,
"4,1 tỷ VNĐ",Yên Phúc- Hà Đông, 43m2, 4,"HIẾM! Nhỉnh 3 tỷ, 43m, kinh doanh cho khách mua nhà trong tháng 7 âm Bác tôi chính chủ cần bán nhà riêng tại Phúc La, Hà Đông, 43m với 4 tầng kinh doanh, đầy đủ công năng sử dụng, chỉ bán trong tháng 7 âm lịch để chuyển vào Huế sống cùng gia đình. Vị trí đắc địa kinh doanh, ngõ thông nông rất gần phố. Nhà bán xung quanh đầy đủ tiện ích, hàng xóm toàn cán bộ, dân cư đông đúc văn minh. Nhà bán cực hiếm khu vực không có căn thứ 2 để so sánh. Sổ đỏ vuông, sẵn sàng giao dịch. Giá 4.1 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Em gái chủ nhà ( miễn trung gian, môi giới).",29/07/2022,Tin thường,batdongsan_so_com_vn_1673811831.2005408,,,,
"4,1 tỷ VNĐ",Phúc La- Hà Đông, 43m2, 4,"HIẾM! Nhỉnh 3 tỷ, 43m, kinh doanh cho khách mua nhà trong tháng 7 âm Bác tôi chính chủ cần bán nhà riêng tại Phúc La, Hà Đông, 43m với 4 tầng kinh doanh, đầy đủ công năng sử dụng, chỉ bán trong tháng 7 âm lịch để chuyển vào Huế sống cùng gia đình. Vị trí đắc địa kinh doanh, ngõ thông nông rất gần phố. Nhà bán xung quanh đầy đủ tiện ích, hàng xóm toàn cán bộ, dân cư đông đúc văn minh. Nhà bán cực hiếm khu vực không có căn thứ 2 để so sánh. Sổ đỏ vuông, sẵn sàng giao dịch. Giá 4.1 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Em gái chủ nhà ( miễn trung gian, môi giới).",29/07/2022,Tin thường,batdongsan_so_com_vn_1673811832.3884168,,,,
"4,8 tỷ VNĐ",Văn Quán- Hà Đông, 50m2, 4,"Bán nhà riêng tháng 7 âm, nhỉnh 4 tỷ, 50m, kinh doanh, nội thất Châu Âu Người thân gửi bán nhà đẹp Văn Quán, Hà Đông giá hơn 4 tỷ cần bán gấp 1 căn duy nhất trong tháng 7 âm cơ hội cho khách mua nhà và các nhà đầu tư thông thái. Diện tích rộng 50m với 4 tầng hiện đại, nội thất Châu Âu , nhà mới về ở ngay, ngõ nông rộng gần phố. Xung quanh nhà đầy đủ tiện ích, hàng xóm toàn cán bộ văn minh, an ninh tuyệt đối. Một số căn nhà đẹp thông số ngon tương tự: + Nhà Trần Phú 30m, 5 tầng, kinh doanh, gần 4 tỷ. + Nhà Phùng Hưng, 36m, 4 tầng, ô tô, hơn 4 tỷ. + Nhà Ngô Quyền, 33m, 6 tầng, hơn 4 tỷ Chủ nhà cần bán trước tháng 7 âm để đầu tư nhà xưởng, máy móc. Sổ đỏ vuông, sẵn sàng giao dịch. Giá 4.8 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Cháu gái chủ nhà ( miễn trung gian, môi giới).",29/07/2022,Tin thường,batdongsan_so_com_vn_1673811833.60487,,,,
"1,8 tỷ VNĐ",Đường Ngọc Trì phường Thạch Bàn, 32m2, 1,"+ Vị trí. Nằm trong ngõ 318 Ngọ Trì, ngay cạnh trường cấp 1,2. Ra trường cấp 3 không phải qua đường, Ra chợ Đồng dinh bằng đi bộ thể dục. + Hiện trạng. Là nhà cấp 4. có gác xép. gia đình nhỏ có thể ở luôn vài năm sau xây 5 tầng hiện đại thì tuyệt vời. + Nhà rất gần bãi gửi ô tô, ngõ thông thoáng, dân cư thân thiện, đầy đủ mọi tiện ích. + Mặt tiền 3,9m, vuông vắn trước sau, không lỗi phong thủy. Chỉ có duy hất mảnh này còn bán với giá dưới 2 tỷ. + Sổ đỏ chính chủ, không lo quy hoạch. Liên hệ Hoan 911130965.",29/07/2022,Tin thường,batdongsan_so_com_vn_1673811834.8246074, 4, 2, 1, 1
4 ngàn VNĐ,Đường Cầu Đơ phường Văn Quán, 45m2, 4,"+ Tiện ích gần nhà từ trường học đến bệnh viện chợ, vô vàn tiện ích. - Tầng 2+3: Tổng 4 phòng. + LH: Mr Hùng 0983.9966.29 để xem nhà. ",29/07/2022,Tin thường,batdongsan_so_com_vn_1673811836.5273845, 5, 4, 4, 3
"4,7 tỷ VNĐ",Đường Văn Phú phường Phú La, 51m2, 5,"
    Nhà KĐT Văn phú Hà đông lô góc dân tự xây dt:51m2 x 4 tầng Mt:4,1m giá bán 4,7 tỷ NHÀ 4T LÔ GÓC 2 THOÁNG NHÀ TỰ XÂY Nhà trung tâm quận Hà Đông tiện ích ngập tràn. cách đường oto chỉ 20m. Ngõ trước nhà 3.m. cách chợ 200m, vị trí đẹp.- Tầng 1: thông sàn thoáng.- Tầng 2: 2 phòng ngủ, 1 vệ sinh .- Tầng 3,4: mỗi tầng 2 phòng ngủ, 2 vệ sinh+ phòng thờ, sân phơi.Sổ đỏ mới đét,sẵn sàng giao dịch
",29/07/2022,Tin thường,batdongsan_so_com_vn_1673811837.7541592, 4, 3, 4, 4
,Phố Lạc Trung, 40m2,,"+ Nhà năm tại phố Lạc Trung, gần các tuyến phố chính như Kim Ngưu, Minh Khai,Thanh Nhàn.. + Nhiều tiện ích : Time City, Bệnh Viện Thanh Nhàn… + Nhà trong khu phân lô, dân trí cao, an ninh tuyệt đối. + Ngõ thông,60m ra phố Lạc Trung. + Diện tích sổ đỏ 40  x 5 tầng. + Nhà mới xây, thiết kế hiện đại, Chủ xây cực kỳ tâm huyết. + Chủ TẶNG TOÀN BỘ NỘI THẤT. + Sổ đỏ chính chủ, đảm bảo pháp lý, sẵn sàng giao dịch. + Giá 3 Tỷ700  Liên hệ: em Dũng chính chủ  - 094 567 6597",29/07/2022,Tin thường,batdongsan_so_com_vn_1673811839.1724224,,,,
"4,5 tỷ VNĐ",Đường Tứ Liên phường Tứ Liên, 65m2, 1,"Bán gấp Mảnh đất ngõ 28 Tứ Liên giá 4,5 tỷ, dt 65m2, oto đỗ RẤT gần Vị trí giao thông thuận tiện, xe máy tránh nhau, từ nhà ra oto cách 20m.  Cam kết thông tin thật 100% (Ảnh có tính chất minh họa, hãy đến xem LUÔN để cảm nhận vẻ đẹp của BĐS) Cảm ơn bạn xem tin ! ",29/07/2022,Tin thường,batdongsan_so_com_vn_1673811840.4928906, 4, 3, 1, 1
"3,675 tỷ VNĐ",Đường Phú Cát phường Phú Cát, 150m2,,Diện tích 150m2 - 300m2  Gần khu bệnh viện TW    Gần tổ hợp trường đại học quốc gia Hà Nội     Đầu tư cực tốt,29/07/2022,Tin thường,batdongsan_so_com_vn_1673811841.7774546, 10,,,
