price,address,Diện tích,Hướng,Mặt tiền,Lộ giới,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet
"2,5 tỷ VNĐ","Đường 21, Xã Hòa Thạch, Quốc Oai, Hà Nội", 186m2, Đông nam, 8, 30,"Cơ hội cho nhà đầu tư khu vực Hà Nội & Lân cận.Hôm nay bên em mở bán 18 nền ở Hòa Lạc giá chỉ hơn 9 triệu/m2.Cách trung tâm Hà Nội 33km. Cách ngã tư Xuân Mai 5km, cách QL 21 2km.Cách khu công nghệ cao 10p đi xe.Nơi có vị trí đẹp và giá tốt nhất để đầu tư ở Hoà Lạc.Tiềm năng tăng trưởng mạnh cho 1, 2 năm tới nhờ các dự án lớn, các công ty lớn về khu công nghệ cao làm việc, nơi có nhiều học sinh, công nhân đến học tập và làm việc.Môi trường sống thân thiện, không khí trong lành.Hạ tầng đẹp hiện hữu.Diện tích 186m2 - mặt tiền 8 - 10m tuỳ từng lô.Đường trước mặt đổ nhựa 2 oto tránh nhau.Nhanh tay liên hệ để được chiết khấu 3% cho 5 lô đầu tiên ngày 28/2",24/02/2022,Tin thường,batdongsan_so_com_vn_1673830362.2138634,,,
"5,5 tỷ VNĐ","Ngõ 173, Hoàng Hoa Thám, Ba Đình, Hà Nội", 40m2,, 4, 10,"✅ Bán nhà tuyệt đẹp, 2 mặt thoáng, nhà cách mặt phố Hoàng Hoa Thám 50m, ngõ rộng 3m, thuận tiện đi lại sinh hoạt, khu dân trí cao,an ninh tốt gần hồ Hữu Tiệp,quảng trường Lăng Bác, công viên Bách Thảo. Nhà thiết kế kiến trúc sang trọng. ================================ Thiết kế hiện đại, sang trọng, công năng sử dụng hợp lý: ✔️ Diện tích 40m2, 5 tầng, 5 phòng ngủ rộng, vuông vắn. - Tầng 1: Để xe gia đình, khu bếp, vệ sinh. - Tầng 2: Phòng khách VIP sang trọng, đẳng cấp, vệ sinh. - Tầng 3, 4: Mỗi tầng thiết kế 2 phòng ngủ rộng, vệ sinh. - Tầng 5: Phòng thờ, sân phơi view đường Hoàng Hoa Thám, trường học. ✔️ Pháp lý: Sổ đỏ chính chủ, hồ sơ thiết kế, giấy phép xây dựng đầy đủ. ✔️ Nội thất: - Trong nhà toàn hàng nhập ngoại: Sàn gỗ, cầu thang, cửa thông phòng đều được làm bằng gỗ lim, tủ âm tường, bếp điện từ, hút mùi, bình nóng lạnh, điều hòa... - Toàn bộ thiết bị nhà vệ sinh đều là hãng ToTo cao cấp, dây điện Trần Phú. ✔️ Vị trí: - Nhà nằm vị trí trung tâm cách phố Hoàng Hoa Thám 50m, thông ra Đội Cấn, giao thông đi lại sinh hoạt vô cùng thuận tiện…Gần bên công viên Bách Thảo, quảng trường lăng Bác. - Tiện ích xung quanh từ trường học, chợ, bệnh viện, cơ quan chính quyền bán kính 500m. ✔️ Giá chào bán 5.5 tỷ (có thương lượng, bao toàn bộ chi phí sang tên). ✔️ Liên hệ Mr.Tuấn để được xem nhà trực tiếp: 0964 357 352 (miễn TG, MG)",12/03/2022,Tin thường,batdongsan_so_com_vn_1673830363.4874563, 5, 4, 4
"6,6 tỷ VNĐ","Võ Chí Công, Tây Hồ, Hà Nội", 195m2, Tây,,,"📍Chung cư cao cấp Udic Westlake - Tây Hồ, mặt đường Võ Chí Công, dự án có nội khu sân vườn rộng, bể bơi 4 mùa, đặc biệt là đối diện Lotte Mall lớn nhất Tây Hồ đang xây dựng

✅
 Sở hữu căn hộ diện tích 195 m²: 4PN, 2WC, bếp, phòng khách, tất cả phòng đều ánh sáng. - Giá : thỏa thuận ~ 6.6tỷ (bao gồm VAT + full đồ nội thất). - Nhận nhà ở ngay. - Chính sách ưu đãi thanh toán sớm chiết khấu 3%. - Miễn phí 2 năm phí dịch vụ. - Ký hợp đồng trực tiếp với chủ đầu tư. ☎️ Liên hệ em Vân Anh : 0977568223",12/03/2022,Tin thường,batdongsan_so_com_vn_1673830364.6473541, 1, 4, 2
"1,9 tỷ VNĐ",Hồng Mai - Hà Nội, 35m2,,,,"Vị trí cực kỳ đắc địa ngõ thông thoáng hè thoáng, đi được nhiều đường vào, cách oto đỗ chỉ vài bước chân.Căn nhà là tâm huyết của chủ nhà từ hồi thanh xuân vốn là dân xây dựng nên cực kỳ chăm chuốt.+Phố Hồng Mai nằm ở trung tâm quận Hai Bà Trưng thuận tiện đi lại tới các khu vực trung tâm trong thành phố như Bạch Mai, Giải Phóng , Trần Khát Chân ,Đại Cồ Việt……..+Khu dân trí cao của khu Hai Bà Trưng hang xóm toàn  giảng viên và giáo viên của các trường đại học lớn  giao thông thuận tiện sang các khu vực trung tâm như Bạch Mai , Giải Phóng , Đai Cồ Việt, Phố Huế,…..gần các trường đại học lớn Bách Khoa, Xây Dựng, Kinh tế quốc dân,+ Giá đẹp trong khu vực Hai Bà Trưng + Sổ đỏ Giêng, sẵn sàng giao dịch + giá: 1.9  tỷ (có thương lượng cho khách hữu duyên)Chi tiết LH: em Nhật 0977194820 (Chuyên Nhà đất Thổ cư).Lưu ý:- Không kênh giá chủ nhà- Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư ",12/03/2022,Tin thường,batdongsan_so_com_vn_1673830365.5898316,,,
"15,8 tỷ VNĐ","Hoa Lâm, Việt Hưng, Long Biên", 100m2,,,,"MẶT PHỐ KINH DOANH SẦM UẤT - NHÀ DÂN XÂY - ĐẸP KHÔNG TỲ VẾT.Hoa Lâm với diện tích 100m², mặt tiền 6m, 3 tầng.+ Vị nhà đẹp nhất phố Hoa Lâm View thoáng vĩnh viễn, đường rộng, thoáng, ô tô tránh, vị trí đắc địa nhất phố Hoa Lâm.+ Nhà dân xây, đẹp không tỳ vết, cải tạo lắp được thang máy. Nội thất cầu thang ốp gỗ, cửa toàn gỗ Lim, gần full nội thất. Lh: Mai ĐA 0983724773.",12/03/2022,Tin thường,batdongsan_so_com_vn_1673830366.533309,,,
"10,5 tỷ VNĐ","Thái Hà, Đống Đa, Hà Nội", 100m2,, 7, 6,"Bán nhà ngõ 7 phố Thái Hà, Đống Đa 100m2, 4 tầng, mặt tiền 7.5m, giá chào 10.5 tỷ có thương lượng.BIỆT THỰ PHỐ THÁI HÀ - TRUNG TÂM QUẬN ĐỐNG ĐA - 100M2 - NHỈNH 10 TỶ - 3 MẶT THOÁNG.+ Vị trí trung tâm quận Đống Đa cách mặt phố Thái Hà 100m, giao thông thuận tiện.+ Nhà 3 Mặt thoáng sáng phòng nào cũng có cửa sổ.+ Thiết kế nhà 4 tầng:- Tầng 1: Sân rộng, phòng khách rộng, bếp, vệ sinh.- Tầng 2: Phòng khách, 3 phòng ngủ + phòng tắm Master.- Tắng 3: Phòng ngủ + vệ sinh.- Tằng 4: Phòng thờ, sân phơi.+ Sổ đỏ chính chủ, sẵn sàng giao dịch.+ Liên hệ: Mr. Hoan 0877.855.777 Zalo, Viber, Fb ( Hoan Biệt thự, Liền Kề, Mặt Phố, Khách Sạn). Miễn phí xem nhà đến tư vấn pháp lý.+ Fanpage: https://www.facebook.com/Estatebds.vn",12/03/2022,Tin thường,batdongsan_so_com_vn_1673830367.8478274, 4, 5, 5
"4,65 tỷ VNĐ",Thị Trấn Đông Anh- Hà Nội, 126m2,, 7,,"+ Gia đình cần tiền bán nhanh thửa đất vị trị rất đẹp ở Việt Hùng, Đông Anh 126m, xây biệt thự vô cùng đẹp hoặc đầu tư giữ tiền sinh lời cao. - Đất ở vị trí đẹp, ngay gần hồ và sân vui chơi thể thao, xung quanh bán kính 1km có trường C1, C2, UBND xã Việt Hùng, dân trí cao , an ninh tốt. - Đường trục rộng rãi sạch đẹp ô tô tránh nhau thoải mái. - Pháp lý chuẩn, Sổ đỏ chính chủ , sẵn sàng giao dịch. - Giá chào 3xtr/m có thương lượng nhiệt tình. - Liên hệ: 0915126183 để được gặp chủ đàm phán mua đất.",12/03/2022,Tin thường,batdongsan_so_com_vn_1673830369.2620447,,,
18 tỷ VNĐ,Hà Nội, 65m2,,,," - Chủ nhà gửi bán ngôi nhà 5 tầng tại mặt ngõ 55 Huỳnh Thúc Kháng - SĐT: 0366 555 258. - Do gia đình sở hữu nhiều nhà, không có nhu cầu sử dụng nên đã cho một công ty thuê cả nhà với giá 3000USD/ tháng.  - Vị trí lô góc thoáng sáng, cạnh Cục Viễn thông, ngõ thông, vỉa hè rộng ô tô tránh.  - Nằm tại trục chính quận Đống Đa Huỳnh Thúc Kháng, Thái Hà, Nguyễn Chí Thanh... quanh nhà bán nhiều văn phòng, khách sạn, nhà hàng cao cấp... Khu an ninh dân trí, kinh doanh tốt gần mặt phố, đi bộ 5 phút tới Trung tâm chiếu phim Quốc Gia, VP Bank Tower, TNR Tower, Vincom Nguyễn Chí Thanh… - Chị Hạnh chủ nhà trẻ tuổi tài ba, kinh doanh phát đạt, thiện chí bán, chủ mới có thể tiếp quản hợp đồng cho thuê.  - Diện tích 65 m2, trang bị đầy đủ thang máy và nội thất hàng hiệu. - Sổ đỏ chính chủ, pháp lý chuẩn, GPXD đầy đủ. - Giá chỉ 18 tỷ thương lượng sâu.Liên hệ em Thanh chuyên bất động sản dòng tiền - SĐT: 0366 555 258.Tư vấn tận tâm - Nâng tầm giá trị.",12/03/2022,Tin thường,batdongsan_so_com_vn_1673830370.5796752,,,
"8,5 tỷ VNĐ","Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.", 45m2,,,,"+ Kết cấu: 4 tầng, 1 sân thượng. ——————————– + Có thể kết hợp ở và cho thuê. + 5 đến 10 phút là kết nối nhanh đến các địa điểm: + Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng giao dịch. + Hãy gọi Anh Hiệp để xem nhà: 0963 005 936",12/03/2022,Tin thường,batdongsan_so_com_vn_1673830371.6986437,,,
47 tỷ VNĐ,Ba Đình, 245m2,, 8, 40,"Chủ cần tiền đầu tư, muốn nhượng lại mảnh đất vị trí cực đẹp mặt phố trung tâm Q. Ba Đình. Cách hồ tây 5' đi bộ. Nhà có mặt tiền cực lớn, vỉa hè rộng rãi. Xây tòa cao tầng thì view hồ luôn.Diện tích: 245m2 , mặt tiền 8.5mGiá: 47 tỷ (CÒN THƯƠNG LƯỢNG, LÀM VIỆC TRỰC TIẾP CHỦ NHÀ)ĐẤT MẶT PHỐ TRUNG TÂM - MẶT TIỀN LỚN - VỈA HÈ RỘNG - OTO ĐỖ CỬALiên hệ xem thực tế và nhận thông tin chi tiết: 0981367887- Thửa đất vuông đẹp, sổ pháp lý chuẩn cất két sẵn sàng giao dịch",12/03/2022,Tin thường,batdongsan_so_com_vn_1673830372.8405867,,,
