price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Lộ giới,Số tầng,Số phòng ngủ,Số toilet
"1,782 tỷ VNĐ",Đường Nhạn phường Xuân Nộn, 55m2, 4,"Bán đất Đường Nhạn Xuân Nộn – 55.7m2 – đường rộng trên 4m ô tô tránh Diện tích: 55.7m2. Mặt tiền 4m Full thổ cư. Đường rộng hơn 4m ô tô tránh Cách 130m ra đương trải nhựa Vị trí lô đất Đường Nhạn Xuân Nộn Đường xá sắp tới trải nhựa, tiềm năng tăng giá rất tốt. Gần khu công nghiệp Đông Anh siêu rộng sắp triển khai, tương lai cực phát triển. Bán đất Đường Nhạn cách trung tâm Đông Anh 4km. Giá còn thấp so với mặt bằng chung. Pháp lý rõ ràng, không vướng quy hoạch. ",07/06/2022,Tin thường,batdongsan_so_com_vn_1673821181.3649285,,,,
"3,5 tỷ VNĐ",Đường KHƯƠNG TRUNG phường Khương Trung, 36m2, 3,"- Bán nhà THANH XUÂN KHƯƠNG TRUNG.  rộng thoáng mát  nhiều tiện ích xung quanh,phù hợp cho kinh doanh   - Nhà mới xây, đẹp. nhà có nhiều cửa sổ mát mẻ  nhiều ánh sáng cho phòng. - Khu vực nhiều những tiện ích nhu khu vui chơi chỗ để xe ô tô.vvv. - Nhà thiết kế hiện đại không gian các phòng đều thoáng -Liên hệ em trung 0981869883  để được tư vấn miễn phí.",07/06/2022,Tin thường,batdongsan_so_com_vn_1673821182.3592687, 3, 3, 4, 3
"1,93 tỷ VNĐ",Đường Tả Thanh Oai phường Tả Thanh Oai, 41m2, 4,"
    Tôi chính chủ bán nhà riêng tại Tả Thanh Oai Thanh Trì, DT 41m2, giá 1.93 tỷ.- Vị trí chỉ mất 1 phút đi xe ra tới trung tâm UBND Xã Tả Thanh Oai, tiện ích xung quanh đầy đủ như: Trung tâm thương mại chợ Cầu Bươu, trường mầm non, cấp 1, 2 Tả Thanh Oai, cấp 3 Ngô Thị Nhâm, trường Cao Đẳng Công Nghiêp ngay gần nhà. Khu vực đang rất phát triển từng ngày, khi Thanh Trì lên quận giá đất còn tăng lên gấp nhiều lần....- Giao thông thuận tiện ra đường Phan Trọng Tuệ, Kim Giang, Nguyễn Xiển, vành đai 3 trên cao và bến xe Nước Ngầm… chỉ mất khoảng 5 phút đi xe là ra tới chung cư Đại Thanh, khu đô thị Linh Đàm, Công Viên Chu Văn An …- Nhà mới xây dựng, chủ ở được hơn 1 năm, do thay đổi công việc nên bán để mua nhà cho gần chổ làm, bán đi rất tiếc.- Sổ đỏ chính chủ, giao dịch ngay.Giá 1.93 tỷ có thương lượng.Liên hệ em Huy 0364844886.
",07/06/2022,Tin thường,batdongsan_so_com_vn_1673821183.340643, 2, 1, 2, 1
"2,2 tỷ VNĐ",Đường Võ Nguyên Giáp phường Bắc Hồng, 54m2, 4,"- Dài 12m.- Giá nhỉnh 2 tỷ.
",07/06/2022,Tin thường,batdongsan_so_com_vn_1673821184.4436932,,,,
"9,4 tỷ VNĐ",Đường Cẩm Văn phường Láng Thượng, 38m2, 5,"MÔ TẢ:thông tin đăng thật ....- Chỉ 9.4 tỷ - Thang máy - 38m2x 6 tầng - gagage ô tô - kinh doanh - nhà phố ĐƯỜNG LÁNG. - LH : e Quyên 0587998899 để xem nhà và tư vấn kỹ. - Mặt ngoc to Đường Láng  phân lô ô tô đỗ cửa. Nhà ở nơi tiện ích cực đẳng cấp xây vô cùng kiên cố chắc chắn. - Nhà thiết kế vô cùng thoáng sáng, phòng nào cũng có cửa sổ,  thang máy mới xịn nhập khẩu, không lỗi phong thủy. - Khu phố phân lô ,toàn quan chức ở ,an ninh đảm bảo ,dân trí cao an ninh tốt. - Nhà 2 mặt tiền ,phía sau là 1 mặt ngõ rộng, vỉa hè đá bóng thoải mái. - Kinh doanh mặt hàng j cũng được,cho thuê văn phòng thì không có j mà bàn cãi.💥Thiết kế💥- Tầng 1 : Phòng khách + VS, quý khách có thể kinh doanh văn phòng.... - Tầng 2, 3,4,5: Mỗi tầng 1 Phòng Ngủ rộng+ Wc. - Tầng 6; Bếp ăn + ban công mái kính cực thoáng. - Nhà mới xây, nội thất xin bên trong toàn gỗ lim Nam Phi. - Qúy khách mua chỉ việc xách vali hoặc cho thuê kinh doanh luôn nhé.💥SỔ ĐỎ CC...Giao dịch chủ nhà.- Gía 9.4 tỷ.- LH : e Quyên 0587998899 để tư vấn kỹ hơn.CẢM ƠN- Cảm ơn- Cảm ơn",07/06/2022,Tin thường,batdongsan_so_com_vn_1673821185.5956109, 4, 6, 5, 6
"7,5 tỷ VNĐ",Yên Hòa - Cầu Giấy - Hà Nội, 55m2,,"NHÀ LÔ GÓC - KINH DOANH - ĐƯỜNG Ô TÔ TRÁNH- Ô TÔ VÀO NHÀ - ĐẦY ĐỦ NỘI THẤT - Ở SƯỚNG - CÓ Ô CHỜ THANG MÁY. - Ngôi nhà trong mơ đáp ứng mọi nhu cầu, ở sướng, kinh doanh đỉnh, ô tô đỗ cửa, gần chợ, gần trường học. - Vị trí đắc địa, nằm trong khu phân lô quân đội, an sinh tuyệt vời, giao thông thuận tiện, kết nối với Nguyễn Khang, Láng, Cầu Giấy... THIẾT KẾ : 5 tầng, 2 mặt thoáng vĩnh viễn, phòng nào cũng ngập tràn ánh sáng tự nhiên, không một lỗi phong thủy. + Tầng 1 : Thông sàn. + Tầng 2 : Phòng khách và 1 ngủ. + Tầng 3 : 2 phòng ngủ. + Tầng 4 : Phòng thờ + bếp và phòng ăn. + Tầng 5 : Phòng kho + sân phơi + sân thượng trồng cây. - Chỉ cách chợ vài chục mét, cách trường học 200m, đường thông tứ phía, an sinh TUYỆT VỜI. LIÊN HỆ : NGUYỄN TIẾN HOÀNG - 0976817296 - TƯ VẤN NHIỆT TÌNH 24/24. ",07/06/2022,Tin thường,batdongsan_so_com_vn_1673821186.6787133,,,,
"1,78 tỷ VNĐ",Đường Tứ Hiệp phường Tứ Hiệp, 64m2, 8,Quý khách có nhu cầu mua căn hộ xin vui lòng liên hệ hotline CĐT 0943831415 để đăng ký xem căn hộ và thương lượng giá cả. ,07/06/2022,Tin thường,batdongsan_so_com_vn_1673821187.954303, 15, 1, 2, 2
,"Khoang Mái, Đồng Trúc, Thạch Thất, Hà Nội", 75m2, 5,"Bán đất Khoang Mái, Đồng Trúc ven CNC Hòa Lạc. Mặt trục chính Khoang Mái, cạnh khu biệt thự Đồng Trúc.Vị trí: thôn Khoang Mái, xã Đồng Trúc, huyện Thạch Thất, Hà Nội.- Diện tích: 75m2- Lô góc, Ngay mặt trục chính của thôn Khoang Mái, Đường rộng 10m.- Sẵn sổ đổ, Full thổ cư.- Nằm trong khu vực có hệ thống giao thông và hạ tầng tuyệt vời (Hình ảnh phía dưới).- Xung quanh bán kính 1km đều là quy hoạch đang xây dựng và chuẩn bị thi công. (Đường Vành đại CNC Hoà Lạc, Nhà máy in tiền Quốc gia, Nhà máy Rạng Đông,….)- Nằm ngay cạnh khu vực dự án của VINGROUP (Dự án Metro 5 có ga nằm ngay hầm chui số 19, Khu dự án 500 ha, Nhà máy VinBiocare, VinSmart…)- Khu vực trong tương lai sẽ được quy hoạch xây dựng thành các dãy nhà Biệt thự liền kề.LH: Anh/chị quan tâm hãy liên hệ cho em Hoàng 0978862329 ngay để trao đổi thông tin và hợp tác nhé!",07/06/2022,Tin thường,batdongsan_so_com_vn_1673821197.827034, 12,,,
100 triệu VNĐ/m2,Phường Mai Dịch, 40m2,," Bán nhà Hồ Tùng Mậu. Nhà đẹp 40m2, 5 tầng, 20m ra đường Phạm Vă Đồng. Giá nhỉnh 4 tỷ.+ Nhà trung tâm Quận Cầu Giấy. 20m ra Phạm Văn Đồng thông Cầu Giấy, Phạm Hùng, Mỹ Đình và các tuyến phố nội đô.  Tiện ích miễn bàn + Nhà chủ xây cực kỳ chắc chắn tâm huyết, thoáng sáng trước sau, thiết kế T1 thông sàn + Bếp + wc, 4 phòng ngủ, nội thất xịn sò + phòng thờ và sân phơi đầy đủ công năng sử dụng,+Khu trung tâm nhiều Trường Đại Học tập trung sinh viên nội trú, kinh doanh buôn bán tấp nập+ Khu đân trí cao, an ninh tốt, tiện ích ngập tràn. + Sổ đỏ chính chủ sẵn sàng giao dịch. Giá:Thỏa thuận. Liên hệ: Anh Đoàn:0962745289. + Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn pháp lý, sang tên thủ tục nhanh gọn. + Tư vấn 24/7.  ",07/06/2022,Tin thường,batdongsan_so_com_vn_1673821199.102622,,,,
"60,6 tỷ VNĐ",Đường Nguyễn Đình Hoàn phường Nghĩa Đô, 208m2, 7,"Nhà Mặt Phố - Kinh Doanh vô đối, Hoặc làm toàn Văn Phòng , CTY .cho thuê VP thì hái ra tiền. Vị trí nhà nằm trong khu vực trung tâm, giao thông vô cùng thuận lợi, tiếp giáp các trục chính như : đường vành đai 2, Bưởi , Võ Chí Công, Hoàng Quốc Việt, Quan Hoa.v.v.. muốn đi đâu cũng tiện. Khu vực Dân cư đông đúc, Dân trí cao. Xung quanh tiện ích ngập tràn, An ninh, An sinh xã hội cực đảm bảo. Hiện trạng nhà 4T + Tum, ( Phía trong còn 3 căn 3T ) Tất cả đều đang cho thuê. DT 208m2 x 5T, MT 7m.  Nhà cũ , chủ xây dựng chắc chắn, thiết kế cơ bản. Thông sàn , Khách , Bếp , Wc , Cầu thang. Tum , phòng thờ ,sân phơi. Pháp lý chuẩn , sổ sẵn sàng giao dịch ngay. Giá 60.6 tỷ ( thương lượng )  Liên hệ ngay để được tư vấn, hướng dẫn xem nhà hoàn toàn miễn phí. ",07/06/2022,Tin thường,batdongsan_so_com_vn_1673821200.1587963, 5, 5, 3, 3
