price,address,Diện tích,Hướng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Lộ giới
"5,289 tỷ VNĐ","Đường Võ Chí Công, Phường Phú Thượng, quận Tây Hồ, Hà Nội", 148m2, Tây nam, 4, 2,"🏨🏨🏨 Chỉ Từ 1 tỷ 5 (30%)  Sở Hữu Ngay Căn Hộ 4PN Tại Khu Vực Tây Hồ 🏨🏨🏨☘️UDIC WESTLAKE - ĐẲNG CẤP KHÔNG PHÔ TRƯƠNG ☘️♦ Vị trí: Nằm trên mặt đường Võ Chí Công, phường Phú Thượng, quận Tây Hồ, Hà Nội. 🎀🎀CHÍNH SÁCH CỰC KHỦNG (Thời gian có hạn)⚡Thanh toán trả góp dài hạn 12-24 tháng không lãi suất.⚡Chiết khấu thanh toán nhanh đến 4% giá trị căn hộ.⚡Hỗ trợ từ ngân hàng thủ tục nhanh chóng, ưu đãi lãi suất trong vòng 20 năm.⚡Tặng ngay 5 chỉ vàng cho 10 người đầu tiên sở hữu căn hộ.⚡ Cam kết giá tốt nhất khu vực Tây Hồ. ⏩ Với chính sách hỗ trợ tài chính linh hoạt, bạn sẽ không phải đi thuê nhà nữa với mức chi phí cao, nhà kém chất lượng, mất tự do... mà chỉ cần bỏ ra từ 10 triệu mỗi tháng là đã có thể sở hữu ngôi nhà mơ ước chỉ có tại UDIC WESTLAKE. ☑️TIỆN ÍCH:  -Đối diện Lotte Mall.- Vườn dạo bộ nội khu, khu vui chơi trẻ em, sân vườn khối đế.- Chỉ mất 10p tới Phố đi bộ Trịnh Công Sơn, công viên nước Hồ Tây.- Hê thống các trường học trong nước và quốc tế hàng đầu Hà Nội.- Bể bơi 4 mùa, 3 tầng trung tâm thương mại, chuỗi shophouse. ----------------------------------------------------------------- Đăng ký nhận tư vấn và bảng giá gốc từ chủ đầu tư ngay!☎️ Hotline: 0977568223 (Zalo 24/7)",21/03/2022,Tin thường,batdongsan_so_com_vn_1673829623.097381,,,
35 triệu VNĐ/m2,"Nhà máy trà Kim Anh, đường 2, Xã Mai Đình, Huyện Sóc Sơn, Hà Nội.", 136m2, Nam, 4, 3,"🔥🔥🔥TÔI CHÍNH CHỦ CẦN BÁN GẤP NHÀ RIÊNG TẠI TRUNG TÂM HUYỆN SÓC SƠN🔥🔥🔥 💥 LỢI ÍCH & KHÁC BIỆT :   + SỔ ĐỎ cầm tay, đừng mua chỗ chưa sổ   + Tổng diện tích đất 136m2, diện tích trong sổ là 71,3 m2 thổ cư, & 64,7 m2 là đất kiot có giấy tờ xã  (Đảm bảo làm được nâng hạn mức sổ đỏ mới tăng DT đất thổ cư là 113,8 m2, & 22.2 m2), MT 4,84m, nhà mặt phố hai mặt đường rộng 8m, 01 phòng khách, 04 phòng ngủ, 03 WC, nội thất đẹp, 02 oto tải lớn tránh nhau, đang kinh doanh tốt trong khu phố đông vui sầm uất, người và phương tiện đi lại. Tại Nhà máy trà Kim Anh, đường 2, Xã Mai Đình, Huyện Sóc Sơn, Hà Nội. 💥 GIÁ QUÁ RẺ: 4 tỉ x, CÓ THỎA THUẬN(DO CÔNG VIỆC NÊN PHẢI CHUYỂN ĐẾN NƠI KHÁC, ĐÃ ĐẶT TIỀN MUA NHÀ NÊN MỚI PHẢI BÁN- BÁN NHÀ NÀY RẤT TIẾC). 🌎  khu vực dân cư đông đúc đã hình thành từ lâu, tốc độ đô thị hóa mạnh & giá đất đang tăng nhanh, trình độ dân trí cao, an ninh tốt, với chi phí sinh hoạt thấp, có đầy đủ các tiện ích cao cấp. Gần  trung tâm thương mại, điện máy xanh, thế giới di động, siêu thị HC, bên cạnh trường mầm non huyện, nhà sát chợ rất tiện. Cách bến xe Bus 100m, giao thông thuận tiện. 🌎  Vị Trí: Vi trí trung tâm đắc địa, tiềm năng tăng giá cực khủng. Cách đường Võ Nguyên Giáp 200m, đến cầu Nhật Tân 10 phút, đi Hồ Tây 15 phút, Đến sân bay Nội Bài 5 phút, Đi KCN Nội Bài 10 phút, sát Khu CN 2, khu CN3 Nội Bài đang hình thành đi vào khai thác trong năm nay 2022. Đi trung tâm Huyện Sóc Sơn 10 phút. 5 phút đến trường cấp I II III, đi bệnh viện huyện Sóc Sơn 10 phút, đi 10 phút là tới sân bay Nội Bài. 10 phút đi hồ Đập Đông Quan với nhiều Resort và khu nghỉ dưỡng cao cấp được ví như Đà Lạt giữa lòng Hà Nội. Nơi đây rất thích hợp cho cuộc sống gia đình, cho công việc, và hưởng thụ cuộc sống. ☎️☎️☎️ GỌI NGAY TRƯỚC KHI TÔI BÁN XONG A TÀI ANH: 0983397386",21/03/2022,Tin thường,batdongsan_so_com_vn_1673829624.301162, 4, 4,
"5,48 tỷ VNĐ","Bán nhà mới tuyệt đẹp, 2 mặt thoáng, mặt phố Hoàng Hoa Thám. DT40m2x5T. Giá chỉ 5.48 tỷ.", 40m2,, 4, 4,"✅ Bán nhà tuyệt đẹp, 2 mặt thoáng, nhà cách mặt phố Hoàng Hoa Thám 50m, ngõ rộng 3m, thuận tiện đi lại sinh hoạt, khu dân trí cao,an ninh tốt gần hồ Hữu Tiệp,quảng trường Lăng Bác, công viên Bách Thảo. Nhà thiết kế kiến trúc sang trọng. ================================ Thiết kế hiện đại, sang trọng, công năng sử dụng hợp lý: ✔️ Diện tích 40m2, 5 tầng, 5 phòng ngủ rộng, vuông vắn. - Tầng 1: Để xe gia đình, khu bếp, vệ sinh. - Tầng 2: Phòng khách VIP sang trọng, đẳng cấp, vệ sinh. - Tầng 3, 4: Mỗi tầng thiết kế 2 phòng ngủ rộng, vệ sinh. - Tầng 5: Phòng thờ, sân phơi view đường Hoàng Hoa Thám, trường học. ✔️ Pháp lý: Sổ đỏ chính chủ, hồ sơ thiết kế, giấy phép xây dựng đầy đủ. ✔️ Nội thất: - Trong nhà toàn hàng nhập ngoại: Sàn gỗ, cầu thang, cửa thông phòng đều được làm bằng gỗ lim, tủ âm tường, bếp điện từ, hút mùi, bình nóng lạnh, điều hòa... - Toàn bộ thiết bị nhà vệ sinh đều là hãng ToTo cao cấp, dây điện Trần Phú. ✔️ Vị trí: - Nhà nằm vị trí trung tâm cách phố Hoàng Hoa Thám 50m, thông ra Đội Cấn, giao thông đi lại sinh hoạt vô cùng thuận tiện…Gần bên công viên Bách Thảo, quảng trường lăng Bác. - Tiện ích xung quanh từ trường học, chợ, bệnh viện, cơ quan chính quyền bán kính 500m. ✔️ Giá chào bán 5.48 tỷ (có thương lượng, bao toàn bộ chi phí sang tên). ✔️ Liên hệ Mr.Tuấn để được xem nhà trực tiếp: 0964 357 352 (miễn TG, MG)",21/03/2022,Tin thường,batdongsan_so_com_vn_1673829625.3882527, 4, 5, 2
37 triệu VNĐ/m2,279 Hoàng Mai, 76m2,,,,"🔥𝗖𝘂𝗼̂́𝗶 𝘁𝗵𝗮́𝗻𝗴 𝟯 𝗟𝗼̂ 𝗰𝘂𝗼̂́𝗶 𝗰𝗮̆𝗻 𝟮𝗣𝗡 𝟮,𝟴 𝘁𝘆̉ 𝗴𝗶𝗮́ 𝗰𝗮̣𝗻𝗵 𝘁𝗿𝗮𝗻𝗵 ,𝗖𝗼̣𝗰 𝗰𝗮̆𝗻 𝗵𝗼̣̂  𝗻𝗴𝗮𝘆 𝗧𝗮̀𝗶 𝗰𝗵𝗶́𝗻𝗵 𝟵𝟬𝟬𝘁𝗿 - 𝟭 𝘁𝘆̉ 𝗻𝗵𝗮̣̂𝗻 𝗻𝗴𝗮𝘆 𝗻𝗵𝗮̀ 𝗦𝗮𝗻𝗴, . 𝗕𝗮̀𝗻 𝗴𝗶𝗮𝗼 𝗻𝗵𝗮̀ 𝗻𝗮̆𝗺 𝟮𝟬𝟮𝟮. 𝗩𝗮𝘆 𝗻𝗴𝗮̂𝗻 𝗵𝗮̀𝗻𝗴 𝘂̛𝘂 đ𝗮̃𝗶 𝟬% 💥Nhìn thẳng hồ Đền Lừ, hồ Vĩnh Hoàng️ vị trí đắc địa số 1 Hoàng Mai 💥Lệnh “𝐿𝑜𝑐𝑘” liên tục được thực hiện trong phiên giao dịch tại sự kiện mở bán “Giỏ hàng” cuối cùng những căn hộ cuối cùng đẹp nhất tòa tháp Fantasy cho thấy sức nóng và sự quan tâm của khách hàng và nhà đầu tư đến dự án Feliz Homes. ✅Không chỉ gia nhập cộng đồng cư dân văn minh, hiện đại tại dự án đáng sống bậc nhất khu vực quận Hoàng Mai, các khách hàng chốt đơn tại sự kiện còn nhận ngay nhiều quà tặng ý nghĩa:    👍 Nhận ngay 01 Hổ vàng 24K may mắn    👍 Hỗ trợ vay tối đa lên tới 𝟳𝟱% giá trị căn hộ   👍 Chiết khấu đến 𝟮%   👍 Nhận ưu đãi lãi suất 0% trong vòng 12 tháng   👍Đặc biệt là tấm vé tham dự chương trình bốc thăm trúng thưởng với nhiều quà tặng cực khủng như: Ô tô Mercedes C180 AMG, xe máy Honda SH mode, xe máy điện Vinfast Feliz, máy lọc không khí sẽ được trao cho các cư dân Feliz Homes tại sự kiện Tri ân khách hàng.️🍀 Gần các trường đại học uy tín : KTQD , Bách Khoa, ĐH Xây Dựng🛒 Các trung tâm mua sắm lớn : VinCom, HC🔥 Trung tâm văn hóa, bảo tàng PKKQ, Phố đi bộ Hồ Gươm💚 Bệnh viện lớn: Bạch Mai, Vimec, Thanh NhànTất cả trong bán kính 4km🚙 ⭐Gần chợ đầu mối phía nam sầm uất, thuận lợi kinh doanh buôn bán💰𝐵𝑎́𝑜 𝑔𝑖𝑎́ 𝑐𝑎́𝑐 𝑐𝑎̆𝑛 ℎ𝑜̣̂ đ𝑒̣𝑝 𝑛ℎ𝑎̂́𝑡 𝑑𝑢̛̣ 𝑎́𝑛:Căn hộ 2PN – 77m2 giá từ 2,8 tỷCăn hộ 3PN diện tích 97m2 giá từ 3.25 tỷCăn hộ 3PN diện tích 108m2 ( căn góc ) view thành phố, view Hồ Đền Lừ giá từ 3.6 tỷ - 4,3 tỷ 🌳Bể bơi điện phân đồng, 🌳Vườn dạo bộ chân mây,🌳Khu Yoga, Vườn thiền. Các tổ hợp thư giãn Gym, hoạt động ngoài trời .🚙Bãi đỗ xe thông minh ngoài trời -----------------------------------☎️ 𝐇𝐨𝐭𝐥𝐢𝐧𝐞 𝐏𝐊𝐃 𝐂Đ𝐓: 0983223911 - 0968414670",21/03/2022,Tin thường,batdongsan_so_com_vn_1673829626.4000628,,,
"3,3 tỷ VNĐ",hoàng văn thái, 32m2,, 4,,"- Chủ bán nhà đầu tư kinh doanh. - Diện tích nhà: 32m2, 5 tầng, thoáng trước sau. - Nhà gần trường học, gần Royal City vô cùng thoáng sáng và trong lành. Đường rộng ô tô tránh nhau. - Thuộc khu vực dân trí cao, hàng xóm Royal city nên mọi tiện ích bạt ngàn, hiện đại và đầy đủ. - Ngõ thông, thoáng, sạch sẽ. - Nhà xây khung cột chắc chắn, 2 mặt thoáng. - Nhà thiết kế hợp lý: +Tầng 1: Phòng khách, bếp, chỗ để xe. +Tầng 5: Phòng thờ và sân phơi. - Sổ đỏ chính chủ vuông đẹp. - Giá 3 tỷ thương lượng với chủ nhà. - Liên hệ em Thảo 0348156621 chuyên thổ cư Hà Nội.",21/03/2022,Tin thường,batdongsan_so_com_vn_1673829627.7424722,, 5,
"2,9 tỷ VNĐ",lê trọng tấn hà đông hà nội, 45m2, Đông nam, 3, 4,"HÀNG XÓM GLEMXIMCO GIÀU BỀN VỮNG _ XE 29 ĐỖ CỔNG_ ĐỂ Ở THÌ SƯỚNG_ ĐẦU TƯ THÌ TIỀM NĂNG_ CHỦ NHIỆT BÁN Lê Trọng Tấn  Dương Nội ( Cổng D khu biệt thự Glemximco ) DIỆN TÍCH  33/45M, nhà  5 tầng Giá cực sốc 2.9 tỷ , mua ở hay đầu tư đều rất là tuyệt vời. Hàng xóm quá giàu, với nhỉnh 2 tỷ thì VỊ TRÍ ĐỈNH RỒI. Mua hàng xóm là chính :)))) Toạ lạc ngay cổng khu D khu biệt thự Glemximco ô tô tải đỗ cổng. Đường thông sang Ỷ La, Hoa Thám, khu đấu giá Dương Nội. Đối diện cổng chào A,B khu biệt thự Glemximco và chuỗi Biệt thự An Vượng. Ba bước ra Công Viên Thiên Văn Học. Tiềm năng tăng giá từng ngày. Khách mua ở, đầu tư, kinh doanh online đều phù hợp. Tiện ích xung quanh bạt ngàn, kể thâu đêm suốt sáng không hết: chợ, trường, UBND, khu vui chơi,... Nhà mới keng rất lộc, chủ làm ăn phát đạt đổi nhà to hơn cho vợ con thoải mái. - Tầng 1: PK + Bếp + WC - Tầng 2+3: PN + WC - Tầng 4: PN + PT + sân phơi. - Tầng 5: Tum vườn. * Sổ đỏ nét căng, chủ gửi ngân hàng cho mới, khách hỗ trợ chủ rút sổ. Liên hệ ngay để biết thêm thông tin, cũng như được hỗ trợ xem nhà miễn phí Hotline 24/7 : 0844 6666 97",21/03/2022,Tin thường,batdongsan_so_com_vn_1673829629.209547, 3, 5, 8
"3,5 tỷ VNĐ",GIÁP NHỊ HOÀNG MAI HÀ NỘI, 30m2,, 3, 5,"+ Mô Tả:Vị trí tuyệt đẹp không phải nói  +Ngõ thông thoáng.Chủ phóng khoáng  +Thiết  kế phong cách mới tuyệt  đẹp  + Tầng 1.Phòng khách + bếp +wc                       +Tầng 2,3,4. Phòng ngủ +wc  +Tầng 5 phòng thờ + sân phơi  +Gần trung tâm Quận Uỷ Hoàng Mai.Bến xe Giap     Bát.Nước Ngầm.Gần trường học,gần chợ.Giao        Thông thuận tiện  +LH. 0989.364334 Trần Hiệp chuyên nhà đất thổ cư Hoàng Mai.",21/03/2022,Tin thường,batdongsan_so_com_vn_1673829630.3291593, 4, 5,
"3,5 tỷ VNĐ",khương trung, 35m2,,,,"- Bán nhà khu Nguyễn Xiển - Thanh Xuân. - Diện tích 35m2 x 5 tầng. - Nhà diện tích to, rộng thoáng, móng cột chắc chắn, lên tầng thoải mái, đẹp ở luôn. Giá đang tốt so với khu vực. - Ngõ rộng thông sang Vũ Tông Phan. - Thiết kế: +Tầng 1: Phòng Khách, Bếp, có chỗ để xe phía ngoài. + Tầng 2 - 3 - 4: Mỗi tầng 1 pn khép kín. + Tầng 5: Khu giặt đồ, phòng thờ, sân phơi. - Sổ đỏ chính chủ, giao dịch ngay. - Giá 3.4 tỷ thương lượng trực tiếp với chủ nhà. - Sổ đỏ chính chủ, sẵn sàng giao dịch. - Liên hệ ngay em Thảo 0348156621 chuyên thổ cư Hà Nội.  ",20/03/2022,Tin thường,batdongsan_so_com_vn_1673829631.433205,, 5,
"3,9 tỷ VNĐ",858 Kim Giang, 45m2,, 4, 4,"Bán nhà Kim Giang, 2 thoáng, gần ô tô diện tích 45m2 x 5 tầng , giá 3.9 tỷ có thương lượng.  Mô tả : + Khu vực phát triển nhanh, xung quanh nhiều tiện ích, gần công viên The mannor, hồ Chu Văn An, chợ Quang....nhà cách đường đôi Thanh Liệt 60m. + Nhà diện tích rộng, hai mặt thoáng, chủ chỉ sử dụng tầng 1,2 còn lại nguyên như mới. Chủ nhà chuyển công tác lên Cầu Giấy nên bán để thuận tiện công việc. Tầng 1: để xe, bếp. Tầng lửng : phòng khách. Tầng 3,4: 4 ngủ, vs. Tầng 5: phòng thờ, sân phơi. + Sổ đỏ vuông vắn, sẵn sàng giao dịch.  Giá 3.9 tỷ có thương lượng. LH: 0367819123 để làm việc trực tiếp với chủ nhà  ( miễn MG)",20/03/2022,Tin thường,batdongsan_so_com_vn_1673829632.451481, 4, 5,
"21,5 tỷ VNĐ",Dương Khuê, 85m2,,,,"Chủ chuyển hướng đầu tư, cần bán mảnh đất cực đẹp khu X4 Dương Khuê, Cầu Giấy. ngay gần đại học Thương Mại và đường Le Đức Thọ.Mảnh đất vị trí cực đẹp, đầu tư tiềm năng tăng giá vốn. oto đỗ cửa ngày đêmDiện tích: 85m2 , mặt tiền 6mGiá: 21.5 tỷ (CÒN THƯƠNG LƯỢNG, LÀM VIỆC TRỰC TIẾP CHỦ NHÀ)ĐẤT PHÂN LÔ TRUNG TÂM CẦU GIẤY - OTO ĐỖ CỬA - KINH DOANH SẦM UẤTLiên hệ xem thực tế và nhận thông tin chi tiết: 0981367887- Thửa đất vuông đẹp, sổ pháp lý chuẩn sẵn sàng giao dịch",20/03/2022,Tin thường,batdongsan_so_com_vn_1673829639.743556, 6,, 16
