price,address,Diện tích,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Hướng
"4,75 tỷ VNĐ",lê trọng tấn, 50m2, 5, 6, 4,"Bán Nhà, Lê Trọng Tấn, Hà Đông. Ô Tô Kinh Doanh 50m x 5 tầng. Mặt Tiền 4.5m. Giá 4.75 Tỷ.  NHÀ MỚI - GẦN PHỐ TIỆN ÍCH BẠT NGÀN - KHU DÂN TRÍ CAO + Nhà cách đường Lê Trọng Tấn vài bước chân, giao thông thuận tiện ngả đi các hướng Quang Trung, Tố Hữu. Gần  Viện Đa Khoa Hà Đông. Gần Siêu Thị Metro, và rất nhiều tiện ích xung quanh. Mô tả: + Thiết kế: Nhà vừa xây mới koong khách mua chỉ việc xách vani về ở, nội thất đẹp, thiết kế hiện đại. * Tầng 1: Khách, bếp, Wc. * Tầng 2,3,4: Mỗi tầng 2 phòng ngủ, Wc. * Tầng 5: Phòng thờ, sân phơi. + Vị trí: Nhà rất thoáng, ngõ rộng, khu dân trí cao, an sinh tốt, tiện ích xung quanh bạt nhàn ... + Sổ đỏ: Vuông vức, chính chủ, giao dịch phút mốt.   LH: E KHÁNH: 0984568179 ",07/06/2022,Tin thường,batdongsan_so_com_vn_1673821232.0530894,,,
"1,68 tỷ VNĐ",Đường Hoàng Quốc Việt phường Nghĩa Đô, 75m2, 5, 5, 4,"- Nhà nằm trong ngõ 100 Hoàng Quốc Việt, được mệnh danh là ngõ đẹp và đắt nhất nhì phố Hoàng Quốc Việt, phân lô cán bộ cấp cao các ban ngành Trung Ương, anh ninh cực tốt, xung quan tiện ích ngập tràn,vài bước ra phố .+ Nhà chủ là dân xây dựng, tỉ mỉ lựa chọn những vật liệu cao cấp nhất, hiện trạng nhà còn rất mới, gia chủ ở giữ gìn, chủ mới chỉ việc xách vali về ở luôn, thiết kế theo phong cách tân cổ điển.+ Pháp lý sạch, sổ đỏ vuông vắn hoàn toàn.Giá 16.xtỷ ( Thương lượng tốt)Liên hệ Tôi CƯƠNG THỔ CƯ 0936.288.283 ( Luôn hỗ trợ tận tâm nhất)TÔI CAM KẾT: Cung cấp sản phẩm chính chủ không tranh chấp khiếu kiện. Việc đảm bảo giao dịch được an toàn và nhanh chóng là trách nhiệm của tôi. Xin cảm ơn! ",07/06/2022,Tin thường,batdongsan_so_com_vn_1673821233.4543414, 4, 5,
"4,5 tỷ VNĐ",Đường Trung Kính, 41m2, 5, 3, 4,"Nhà cực hiếm ngõ phố Trung Kính Cầu Giấy. Diện tích 41m2 5tầng mặt tiền 3m giá nhỉnh 4tỷ. NGÕ THÔNG - NHÀ ĐẸP - 2 THOÁNG - ĐỦ CÔNG NĂNG - ĐI ĐÂU CŨNG TIỆN Mô tả : - Nhà nằm trong ngõ Trung kính, thông 110 Trần Duy Hưng và ra cả Tú Mỡ. Trước nhà xe ba gác dừng đỗ, thông các ngả. - Nhà xây 5 tầng khung BT còn mới, sau nhà làm thêm giếng trời rất thoáng, TK : - T1 : Khu để xe , phòng bếp, wc. - T2 : Phòng khách + phòng ngủ, wc. - T3,4 : 2 ngủ + wc giữa. - T5 : Phòng thờ + sân phơi. - Khu vực gần rất nhiều trường học các cấp, trung tâm thương mại và hành chính, đi đâu cũng thuận tiện. Hàng xóm lịch sự, văn minh. - Sổ đỏ vuông vắn, hiện trạng nở hậu đẹp. + Chi Tiết Xin Liên Hệ Bùi Anh Thái. 1979 - 0987. 862962.",07/06/2022,Tin thường,batdongsan_so_com_vn_1673821234.7379081, 3, 2,
15 tỷ VNĐ,Hà Nội, 71m2,,,,"Diện tích 71 m2, mặt tiền 7 m, 6 tầng, thang máy.Thiết kế cực kỳ hiện đại, nội thất sang trọng đẳng cấp.Vị trí đẹp, đường ô tô tránh, tương lai rạng ngời.Sổ đỏ chính chủ.Giá chỉ 15 tỷ thương lượng sâu.Chi tiết liên hệ ngay Nguyễn Thanh - 0366 555 258.",07/06/2022,Tin thường,batdongsan_so_com_vn_1673821235.8180172,,,
"4,95 tỷ VNĐ",Đường vũ ngọc phan phường Láng Hạ, 56m2, 5, 3, 4,"trước nhà ba gác tránh, ô tô đỗ trước cổng nhà. - Khu vực, tầm tiền hiếm nhà bán.  - Nhà xây 5 tầng kiên cố chắc chắn  - Thiết kế:  + Tầng 1: phòng khách, bếp, wc  + Tầng 2,3,4: mỗi tầng 1 phòng ngủ, wc  + Tầng 5: phòng thờ, sân phơi  - Sổ đỏ vuông vắn, sẵn sàng giao dịch",07/06/2022,Tin thường,batdongsan_so_com_vn_1673821236.9210665, 5, 1,
34 triệu VNĐ/m2,"Đường Võ Chí Công, phường Phú Thượng, quận Tây Hồ, Hà Nội", 148m2,, 4, 2,"🔥Chỉ 5,24 tỷ sở hữu ngay căn hộ 4 ngủ 148m, thanh toán trước 1,57 tỷ (30%) ký hợp đồng mua bán. Chính sách chiết khấu 3%, miễn 2 năm phí dịch vụ, sổ đỏ vĩnh viễn.📍Địa chỉ: Khu đô thị Ciputra, đường Võ Chí Công, quận Tây Hồ, Hà Nội☎Văn phòng bán hàng - Hotline Em Vân Anh: 0977 568 223 📚Chính sách ưu đãi- Vay thương mại tối đa 70%GTCH- Hỗ trợ vay 50% lãi suất 0% 12 tháng- Chiết khấu lên tới 3%- Miễn 2 năm phí dịch vụ 🌷Đặc điểm căn hộ- Diện tích thông thủy: 147,91m2- Gồm 4 ngủ, 2 vệ sinh, 2 ban công, 1 lô gia- Nội thất cơ bản liền tường- View nội khu yên tĩnh, không khí trong lành 🌱Loại hình căn hộ- 2 ngủ: 85,67m- 3 ngủ: 126m và 168,1m- 4 ngủ: 147,91m- Duplex: 255m và 295m ✂Lợi ích khi lựa chọn Udic Westlake- Mật độ dân cư thấp- Dân trí cao, có tinh thần đoàn kết- An ninh nghiêm ngặt, quản lý tốt- Ngay mặt đường Võ Chí Công thuận tiện đi lại- Đối diện Lotte Mall – Trung tâm mua sắm bậc nhất Hà Nội- Thủ tục nhanh gọn, sổ đỏ lâu dài 📞Mọi thắc mắc xin vui long liên hệ Em Vân Anh: 0977 568 223 (Zalo/Fb/SMS)☘Udic Westlake – Đẳng cấp không phô trương☘",07/06/2022,Tin thường,batdongsan_so_com_vn_1673821238.1447945,,, Đông nam
"8,7 tỷ VNĐ","NGUYỄN VĂN TUYẾT, ĐỐNG ĐA", 35m2,,,,"SIÊU PHẨM: BÁN NHÀ MẶT PHỐ NGUYỄN VĂN TUYẾT, DT 35M2, LÔ GÓC 2 THOÁNG, KINH DOANH. + Vị trí trung tâm ĐỐNG ĐA dân trí cao, gần chợ, trường học, bệnh viện, ngân hàng và giao thông thuận tiện. + Nhà 1 mặt phố, 1 mặt ngõ xe ba gác, quy hoạch đã ổn định. + Nhà xây 4 tầng khung cột bê tông kiên cố, cơ bản tầng chia 2 phòng, hiện đang cho thuê lại với giá người quen là 30 triệu/tháng. + Sổ đỏ chính chủ, pháp lý sạch. + Liên hệ em Thái để được tư vấn và hỗ trợ miễn phí. ",07/06/2022,Tin thường,batdongsan_so_com_vn_1673821239.6756978,,,
"3,2 tỷ VNĐ",Đường Đa Sĩ phường Kiến Hưng, 35m2, 4, 4, 4,"Nhà mới, thiết kế đẹp và sang trọng, cầu thang gỗ thịt, phòng ngủ bằng sàn gỗ xịn. - T1: Pk + bếp + wc. - T2: 1pn + 1phòng không cửa + wc. - T3: 2pn + wc. - T4: 1pn + chỗ để máy giặt + sân chơi. Từ nhà ra ô tô chỉ 10m, vị trí rất đẹp, trước nhà có sân chung thoải mái để xe và cho trẻ nhỏ vui đùa. Sổ đỏ đẹp nở hậu. Liên hệ Mr Chung - 0936206176 - chuyên giới thiệu các BĐS Đa Sĩ - Mậu Lương ",07/06/2022,Tin thường,batdongsan_so_com_vn_1673821240.9473372, 3, 3,
"4,3 tỷ VNĐ",Đường hoàng mai phường Hoàng Văn Thụ, 66m2, 5, 3, 4,"
    

- Vị trí nhà ngay gần Hồ Đền Lừ, ngõ cực nông.
- Nhà được hưởng trọn tiện ích quần thể khu vui chơi giải trí của 3 khối nhà chung cư 35 tầng cách nhà 50m chuẩn bị đưa vào hoạt động.
- Nhà cách Hồ Đền Lừ khoảng 350 - 400m, tiện ích thương mại đời thường ngập tràn.
- Nhà mới ở được vài năm nên nhà còn như mới, Chủ mới chỉ việc xách va ly về ở.
- Thiết kế mỗi tầng 1 phòng.
- Tầng 1:phòng khách, bếp, wc.
- Tầng 2,3,4 : phòng ngủ, wc.
- Tầng 5: Phòng thờ, sân phơi.
- Sổ đỏ vuông đẹp chờ giao dịch.
- Liên hệ mss Dung để xem nhà miễn phí, giao dịch trực tiếp chính chủ.
",07/06/2022,Tin thường,batdongsan_so_com_vn_1673821241.9466233, 4, 1,
15 tỷ VNĐ,Đại Từ, 130m2, 3, 2, 3,"MẶT PHỐ, KINH DOANH SẦM UẤT NGÀY ĐÊM, ĐANG KINH DOANHLỢI NHUẬN KHỦNGS = 130m2, 3 tầng, giá 15 tỷ ( nhỉnh 100 triệu/ m2) + Vị trí đắc địa, gần Giải Phóng, phù hợp làm nhà hàng, văn phòng, spa, buôn bán đủ loại mặt hàng, giữ tiền, cho thuê dòng tiền ổn định,… + Nhà có quy hoạch 1/2000 nhưng không vào nhiều, nếu có làm thì khi đó mặt tiền cực đẹp, giá trị tăng cao. + Giao thông: Giải Phóng, Linh Đàm, Nguyễn Hữu Thọ, Vành Đai 3, Nguyễn Cảnh Di,... + Sổ đỏ chính chủ, cần bán gấp. * Liên hệ em Bình, chỉ bán nhà đẹp giá tốt, tư vấn và xem nhà nhiệt tình, miễn phí. * Không tiếp môi giới.",07/06/2022,Tin thường,batdongsan_so_com_vn_1673821243.0586522, 4,,
