price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Hướng,Mặt tiền,Lộ giới,Số phòng ngủ,Số toilet
"3,89 tỷ VNĐ",Hà Cầu- Hà Đông, 39m2, 4,"Bán nhà sau tết 39m2, kinh doanh, ô tô tránh, nhỉnh 3 tỷ, Hà Cầu, Hà Đông-    Do nhu cầu mua máy móc kinh doanh cần bán gấp nhà đẹp, lô góc 3 mặt thoáng kinh doanh rất lý tưởng, khu vực không có căn thứ 2, đường trước nhà ô tô tránh, ngõ thông muôn nơi, dân cư qua lại đông đúc, vài bước chân ra phố.-    Nhà thiết kế 4 tầng vừa kinh doanh vừa ở rất đẹp, phòng nào cũng thoáng sáng, đầy đủ công năng sử dụng. Mặt tiền rộng hiếm, vị trì đắc địa tiền vào như nước, chủ nhà đang  vừa ở vừa kinh doanh rất phát nay chuyển đổi nhu cầu cần bán sớm.-    Xung quanh đầy đủ tiện ích: Ngân hàng, siêu thị, sân bóng, chợ, trường học, bệnh viện,...dân cư văn minh , môi trường trong lành tuyệt vời.-    Giao thông di chuyển thuận lợi các phố: Đa Sỹ, Lê Lợi, Tô Hiệu, Bà Triệu, Văn Quán, Xa La, Yên Xá, Phúc La,....-    Sổ đỏ chính chủ, pháp lý sạch.-    Giá: 3.89 tỷ ( có thương lượng).-    Liên hệ ngay với em Huyền : 0965472910 ( miễn trung gian). ",03/02/2022,Tin thường,batdongsan_so_com_vn_1673832463.2032118,,,,,
8 tỷ VNĐ,Cự Lộc Thanh Xuân, 80m2, 5,"NHÀ ĐẸP THANH XUÂN, LONG LANH, Ô TÔ ĐỖ GẦN, Ở LUÔN + Nhà đẹp Cự Lộc, mặt tiền rộng, thoáng mát. + Chủ tự xây cực kì tâm huyết, nội thất toàn đồ xịn xò. + Khu vực yên tĩnh, an sinh, an ninh cực tốt. + Ô tô đỗ cách nhà 5m. Gần bãi gửi ô tô. + Nhà có sân vườn, tiểu cảnh phong thuỷ. + Thiết kế hiện đại, đẹp long lanh. + Chủ xây dựng tầm 70m, còn gần chục mét làm sân. An ninh cực tốt Sổ đỏ chính chủ Giá 8 tỷ Có thương lượng Ai quan tâm vui lòng liên hệ Anh Luân xem nhà 0962.626.796",05/02/2022,Tin thường,batdongsan_so_com_vn_1673832464.6882422, Đông bắc, 6, 35, 4, 3
"3,7 tỷ VNĐ","Nguyễn Thái Học, Hà Đông", 40m2, 3,"+ Vị trí trung tâm Hà Đông gần đường Quang Trung thuận tiện đi lại. + Mọi tiện ích đầy đủ: Cạnh chợ Vồ, bệnh viện đa khoa hà đông. + Nhà dân xây chất lượng rất tốt, thiết kế thông thoáng, nội thất đầy đủ. + Sổ đỏ vuông đẹp sẵn sàng giao dịch. An ninh cực tốt bảo mật cao. Giá 3.7 tỷ có thương lượng. Ai quan tâm vui lòng liên hệ xem nhà Mr Luân 0962.626.796",05/02/2022,Tin thường,batdongsan_so_com_vn_1673832465.938895, Nam, 4, 30, 3, 2
"10,2 tỷ VNĐ",văn phú hà đông, 90m2, 4,"Do đi công tác nước ngoài nên cần bán nhà liền kề khu đô thị Văn Phú Hà Đông Vi trí: Nhà thuộc KĐT mới Văn Phú, khu vực phát triển từng ngày, hạ tầng đồng bộ, cây xanh, vỉa hè, rộng thoáng, hưởng trọn tiện ích của Khu Đô Thị Thiết kế: T1 : Gara, khách, bếp, wc. T2 : Ngủ + wc + phòng sinh hoạt chung. T3 : 2 ngủ rộng + wc. T4 : Thờ, phòng công năng, sân phơi, wc. Nhà đẹp lung linh, chủ để lại nội thất gắn tường, khách đến xem là mê. An ninh cực tốt dân trí cao Sổ đỏ phân lô vuông đẹp chính chủ Giá 10.2 tỷ Có thương lượng Ai quan tâm vui lòng liên hệ Anh Luân 0962.626.796",08/07/2021,Tin thường,batdongsan_so_com_vn_1673832467.4867995, Nam, 6, 40, 3, 4
106 tỷ VNĐ,vũ miện tây hồ HN, 226m2, 6,"Do nghỉ hưu nên tôi về quê nên cần bán biệt thự Tây Hồ Vị trí đi bộ ra Hồ Tây, gần đường Thanh Niên,nhìn ra Lotte Center Thiết kế Diện tích 226m gồm 6 tầng ,6 phòng ngủ. Thiết kế kiểu Biệt thự hiện đại, tinh tế, sang trọng. Có hồ bơi, sân vườn, tiểu cảnh, các phòng đều có cửa sổ View Hồ Tây thoáng mát. Tiện ích hướng hồ thoáng mát, gần chùa thiêng liêng,Vỉa hè rộng An ninh cực tốt. Khu phố toàn quan chức cấp cao TP Hà Nội Sổ đỏ chính chủ Giá 106 tỷ ( Có thương lượng ) Ai quan tâm vui lòng liên hệ Anh Luân 0962.626.796",07/07/2021,Tin thường,batdongsan_so_com_vn_1673832468.9509304, Tây, 11, 40, 6, 5
"7,3 tỷ VNĐ",lê trọng tấn hà đông hn, 50m2, 7,"Do đi công tác nước ngoài nên tôi cần bán nhà liền kề La Khê, Lê Trọng Tấn, Hà Đông. Vị trí gần khu đô thị Park City, The Pride, Dương Nội, 3 phút ra siêu thị Aeon Mall Hà Đông. Nhà mới xây hoàn thiện đẹp và hiện đại. Thiết kế thông sàn phù hợp ở kinh doanh văn phòng. Thang máy hiện đại. An ninh cực tốt, toàn công, viên chức tri thức. Sổ đỏ chính chủ. Giá 7,3 tỷ (có thương lượng). Ai quan tâm vui lòng liên hệ Anh Luân 0962.626.796",15/07/2021,Tin thường,batdongsan_so_com_vn_1673832470.7550645, Nam, 6, 40, 6, 6
"5,2 tỷ VNĐ",thái hà đống đa hn, 40m2, 4,"Do cần tiền trả nợ nên tôi cần bán gấp căn nhà Thái Hà Đống Đa. Gia đình tôi tâm huyết với căn nhà này nên cần tìm chủ mới cho có lộc may mắn. Thông tin như sau. Diện tích 40m2, xây 4 tầng. Vị trí đi bộ ra phố Thái Hà, Rạp Chiếu Phim Quốc Gia, siêu thị trường học, chợ. Thiết kế đẹp lung linh xây dựng khung cột bê tông kiên cố. An ninh cực tốt khu vực nhiều cán bộ. Sổ đỏ rõ ràng chính chủ. Giá 5,2 tỷ (Có thương lượng). Ai quan tâm vui lòng liên hệ Anh Luân 0962.626.796",15/07/2021,Tin thường,batdongsan_so_com_vn_1673832472.3837688, Nam, 5, 37, 4, 4
14 tỷ VNĐ,Hà Nội, 50m2,,"Vị trí: Khu phân lô đài truyền hình Hà Nội, lô góc, dân chí cao, 30 ra phố Hoàng Ngọc Phách, vỉ hè to, ô tô đỗ cửa ngày đêm.Thiết kế: Nhà 5 tầng, diện tích 50 m2, cửa, sàn gỗ lim thịt 100%, tủ bếp, gường gỗ Khơmu. Chủ để lại toàn bộ đồ nội thất tiền tỷ.T1: Gara ô tô.T2: Phòng khách, bếp, WC.T3, 4: Các phòng ngủ, WC.T5: Sân phơi, phòng thờ.Giá bán chỉ 14 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Sổ đỏ chính chủ, pháp lý sạch.Liên hệ miễn phí: Thanh Bình Land giáo sư thổ cư - 0856 968 656.",05/02/2022,Tin thường,batdongsan_so_com_vn_1673832473.5671654,,,,,
65 tỷ VNĐ,Quan Hoa, 150m2, 9,"Chủ ra nước ngoài định cư, cần nhượng lại tòa Building 9 tầng mặt phố VIP Cầu Giấy.Thiết kế thông sàn toàn bộ đã có hoàn công. Có hầm mặt tiền cực rộng. Hiện đang cho 1 đơn vị thuê cả nhà với giá 160 triệu/tháng. Chủ mới sẽ nối tiếp hợp đồng.Diện tích: 150m2 x 9 tầng, mặt tiền 7.5mGiá: 65 tỷ (CÒN THƯƠNG LƯỢNG, LÀM VIỆC TRỰC TIẾP CHỦ NHÀ)BUILDING MẶT PHỐ TRUNG TÂM- CÓ HẦM - OTO ĐỖ CỬA - THÔNG SÀN - KINH DOANHLiên hệ xem nhà và nhận thông tin chi tiết: 0981367887- Thửa đất vuông đẹp, sổ pháp lý chuẩn cất két sẵn sàng giao dịch",05/02/2022,Tin thường,batdongsan_so_com_vn_1673832475.044254,, 7, 21,,
"2,25 tỷ VNĐ",Ngõ Bạch Mai, 25m2, 5,"+ T1: Để xe, 1 phòng nhỏ, wc. + T2: 1 phòng, wc. + T3: 1 phòng, wc. + T4: 1 phòng, wc. + T5: Phòng thờ, sân phơi.  Sổ đỏ chính chủ. Liên hệ anh Tùng qua sđt, zalo, facebook, viber, line, whatsapp, whatever: 0904854658",05/02/2022,Tin thường,batdongsan_so_com_vn_1673832476.203113,, 3, 50, 3, 4
