price,address,Diện tích,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số tầng,Hướng
600 triệu VNĐ,Hoàng Mai –Hồ Đền Lừ, 30m2, 1, 1,"Chung cư mini Hoàng Mai –Hồ Đền Lừ hơn 500 triệu/căn - đủ nội thấtHOTLINE CHỦ ĐẦU TƯ : 0982 665 528{1}. VỊ TRÍ ĐẸP – Ô TÔ ĐỖ GẦN CỬA-> Tòa chung cư nằm ngay trên ngõ phố Hoàng Mai – Minh Khai– Quận Hoàng Mai  Gần các trường Đại Học như : ĐHKT Quốc Dân, ĐH Xây Dựng , ĐH Bách Khoa khoảng 3 -5km{2}. QUY MÔ VÀ THIẾT KẾ-Tòa chung cư mini Hoàng Mai  xây hiện đại 6 tầng trong đó tầng 1 để xe máy rộng-Có đầy đủ tiện ích như thang máy , thang bộ hiện đại , bảo vệ chuyên nghiệp 24/24 , hệ thống PCCC, mạng cáp quang , mạng wifi …-Thiết kế 4 căn /tầng . Diện tích căn hộ : 30 -32 -45 -48 -50m2 bố trí từ 1-2 phòng ngủ , khách và bếp , vệ sinh và ban công{3}. GIÁ BÁN CĂN HỘCăn studio  28 -30m2 giá bán 595 triệu đến 680 triệu/cănCăn 1 ngủ  33m2 -35m2 giá bán 800 triệu – 880 triệu/cănCăn 2 ngủ  45 m2 giá bán 860 triệu đến 1,2 tỷ -1.25 tỷ Căn 2 ngủ  50m2- 52m2  giá bán 1,3 tỷ  đến 1.4 tỷ/cănLưu ý : Giá bán trên đã bao gồm nội thất. Chiết khấu ngay 2% nếu khách thanh toán hết 100% giá trị căn hộ trong 10 ngày.{4}. NỘI THẤT BÀN GIAOSàn gạch men cao cấp, trần thạch cao, tủ bếp trên dưới, bếp từ, hút mùi, nóng lạnh, thiết bị vệ sinh đầy đủ, các đèn điện chiếu sáng và trang trí tuyệt đẹp, đầu chờ internet, truyền hình cáp.{5}. PHÁP LÝ MINH BẠCH :Sổ hồng đồng sở hữu theo quy định nhà nước hiện hành.PHỤ TRÁCH DỰ ÁN CHỦ ĐẦU TƯ   : 0982 66 55 28 ",12/09/2022,Tin thường,batdongsan_so_com_vn_1673802409.735521,,,,
"6,1 tỷ VNĐ","Đường Dương Văn Bé, Phường Vĩnh Tuy", 65m2, 4, 4,"+ Nhà đẹp, xây khung cột bê tông chắc chắn.+ Diện tích: 65m+ Sổ đỏ chính chủ.+ Giá Nhỉnh 6 tỷ.+ Nhà cách hồ điều hoà vài bước chân.+ Ngõ ô tô tránh.+ Gần chợ dân sinh, rất tiện lợi sinh hoạt.+ Gần trường học các cấp, con cháu đi học rất thuận tiện.+ Hàng xóm của time city.+ Bán kính 2km gồm các trường đại học lớn, bệnh viện lớn.+ Liên hệ: Nguyễn Dương - 0825920555.",12/09/2022,Tin thường,batdongsan_so_com_vn_1673802411.058978, 5, 3, 5,
,Đường Văn Khê phường La Khê, 117m2, 3,,"Tòa nhà CT6 nằm ở vị trí trung tâm của KĐTM Văn Khê, bạt ngàn tiện ích, ngay mặt đường Tố Hữu, phường La Khê, quận Hà Đông. Đi thẳng từ mặt đường Tố Hữu vào thì tòa CT6 nằm lừng lững ngay ngã tư. Hàng xóm đại siêu thị Aeon Mall Hà Đông, xung quanh hưởng trọn vẹn các tiện ích của hàng chục dự án cao cấp, khu vực đáng sống bậc nhất của Quận Hà Đông. Căn hộ lô góc số 03 tầng 6 tòa CT6 gồm 3 phòng ngủ - 2 phòng WC Trong đó có 1 phòng khép kín - Master). Lôgia, ban công View cực chất hướng View ra đường Tố Hữu. Là căn góc nên Phòng khách và Bếp rất thoáng sáng. Hiện tại chủ đang cho thuê nên ACE dẫn khách xem không tự tiện bấm chuông,  Sổ đỏ chính chủ, pháp lý chuẩn. Mời lh, MR Toàn, để đc tư vấn và xem nhà miễn phí",12/09/2022,Tin thường,batdongsan_so_com_vn_1673802412.320649, 10, 15, 6,
"3,05 tỷ VNĐ",Đường Khương Trung phường Khương Trung, 23m2, 3,,"Chủ nhiều nhà không ở hết, nay cần bán nhà riêng phố Khương Trung, phường Khương Trung, quận Thanh Xuân: 23m2*4 tầng, 4 ngủ, ngõ nông, trước nhà thoáng mát+ Vị trí trung tâm quận Thanh Xuân, giáp ranh quận Hoàng Mai. Tiếp giáp phố lớn: Khương Đình, Bùi Xương Trạch, Vũ Tông Phan, Kim Giang, Thượng Đình,… Gần Mầm Non, THCS và Tiểu học Khương Đình. Nhà cách ô tô tránh 5m, ngõ thông vòng quanh, có thể kinh doanh nhỏ hoặc cho thuê đều đẹp, khu đông dân cư làm gì cũng dễ.+ Nhà sát đầm hồng không khí trong lành, người già tập thể dục, trẻ con có chỗ chơi, rất tiện.+ Nhà mới, thiết kế cơ bản đầy đủ công năng Phòng khách, bếp, phòng thờ, sân phơi và 3 phòng ngủ khép kín. + Sổ đỏ nét, giao dịch ngay.Liên hệ ngay em Đức, để được tư vấn xem nhà miễn phí.",12/09/2022,Tin thường,batdongsan_so_com_vn_1673802413.5782845, 5, 5, 5,
7 tỷ VNĐ,Cự Lộc, 44m2,,,"1 NHÀ RA Ô TÔ TRÁNH, Phố Cự Lộc, Thanh Xuân 44m2, 6 Tầng THANG MÁY, Nhỉnh 7 Tỷ.+ Trung tâm Quận Thanh Xuân, gần Ngã Tư Sở, Royal City, bãi xe ô tô và nhiều trường Đại học lớn.+ Khu vực rất hiếm nhà bán, khu dân trí cao, an ninh tốt, rất đáng sống.+ Sổ đỏ vuông đẹp, pháp lý chuẩn, sẵn sàng dao dịch.    LH: Em Hoan, 0925088355, chuyên Thổ cư Thanh Xuân, Đống Đa, miễn phí xem nhà 24/7.",12/09/2022,Tin thường,batdongsan_so_com_vn_1673802414.7920375, 5,, 6,
"5,35 tỷ VNĐ",Đường Bùi Xương Trạch phường Khương Đình, 40m2, 6, 3,"Chủ nhiều nhà không ở hết, nay cần bán nhà riêng phố Bùi Xương Trạch, phường Khương Đình, quận Thanh Xuân: 40m2*6 tầng, 4 ngủ, ngõ thông, ô tô đỗ cửa, kinh doanh cực đỉnh.+ Vị trí trung tâm quận Thanh Xuân, giáp ranh quận Hoàng Mai. Tiếp giáp phố lớn: Khương Đình, Khương Trung, Vũ Tông Phan, Kim Giang, Thượng Đình,… Gần Mầm Non, THCS và Tiểu học Khương Đình. Nhà cách ô tô tránh 5m, ngõ thông vòng quanh, có thể kinh doanh nhỏ hoặc cho thuê đều đẹp, khu đông dân cư làm gì cũng dễ.+ Nhà mới, thiết kế cơ bản đầy đủ công năng Phòng khách, bếp, phòng thờ, sân phơi và 6 phòng ngủ khép kín. + Sổ đỏ nét, giao dịch ngay.Liên hệ ngay em Đức, để được tư vấn xem nhà miễn phí.",12/09/2022,Tin thường,batdongsan_so_com_vn_1673802416.07516, 3, 1, 6,
"1,8 tỷ VNĐ",Đường Nguyễn Văn Linh phường Phúc Đồng, 30m2,,,"- Ngõ yên tĩnh, sạch sẽ, khu vực thông thương.  ",12/09/2022,Tin thường,batdongsan_so_com_vn_1673802417.9132502, 4,,,
100 triệu VNĐ/m2,"Quốc Bảo, Hoàng Liệt, Hoàng Mai, Hà Nội", 32m2, 2, 2,"* Bán nhà 3 tầng trong ngõ 1.5m, cách trục đường chính 20m trong khu đô thị Pháp Vân – Tứ Hiệp, và cách đường Ngọc Hồi 50m, sổ đỏ chính chủ.  * Nhà 3 tầng, diện tích mặt bằng 32m, khung bê tông cốt thép, cửa sổ ngoài nhôm kính, cửa ra vào cửa gỗ và cửa sắt kéo đẩy. Điện nước và nội thất hoàn thiện đầy đủ, toilet bố trí tại tầng 1&2, bể innox 1.5m3 trên tầng ba, tủ bếp gỗ sồi, sàn lát gỗ công nghiệp, cầu thang và cửa các phòng gỗ lim. Mua về ở được luôn.  * Ngõ vào 2m, đông dân cư, an ninh tốt, cách đường trục chính khoảng 20m, và chỉ cách đường Ngọc Hồi 50m. Tọa lạc ngay trong khu đô thị Pháp Vân – Tứ Hiệp với đầy đủ các tiện ích trường học, bệnh viện, siêu thị, rất tiện cho công tác đi lại và sinh hoạt hằng ngày. Đặc biệt gần khu công viên của đô thị Pháp Vân, với đầy đủ tiện ích sinh thái.  *Giá 3.2 tỷ. (có thương lượng).  . Liên hệ : 0912072678",12/09/2022,Tin thường,batdongsan_so_com_vn_1673802419.1299958, 4, 1, 3, Đông nam
"3,05 tỷ VNĐ",Đường Khương Trung phường Khương Trung, 23m2, 3,,"Chủ nhiều nhà không ở hết, nay cần bán nhà riêng phố Khương Trung, phường Khương Trung, quận Thanh Xuân: 23m2*4 tầng, 4 ngủ, ngõ nông, trước nhà thoáng mát+ Vị trí trung tâm quận Thanh Xuân, giáp ranh quận Hoàng Mai. Tiếp giáp phố lớn: Khương Đình, Bùi Xương Trạch, Vũ Tông Phan, Kim Giang, Thượng Đình,… Gần Mầm Non, THCS và Tiểu học Khương Đình. Nhà cách ô tô tránh 5m, ngõ thông vòng quanh, có thể kinh doanh nhỏ hoặc cho thuê đều đẹp, khu đông dân cư làm gì cũng dễ.+ Nhà sát đầm hồng không khí trong lành, người già tập thể dục, trẻ con có chỗ chơi, rất tiện.+ Nhà mới, thiết kế cơ bản đầy đủ công năng Phòng khách, bếp, phòng thờ, sân phơi và 3 phòng ngủ khép kín. + Sổ đỏ nét, giao dịch ngay.Liên hệ ngay em Đức, để được tư vấn xem nhà miễn phí.",12/09/2022,Tin thường,batdongsan_so_com_vn_1673802420.276928, 5, 5, 5,
"3,222222 tỷ VNĐ",Đường Nguyễn Lương Bằng phường Quang Trung, 47m2,, 4,"Chủ nhiều nhà ở không hết, này cần bán nhà riêng phố Nguyễn Lương Bằng, phường QuangTrung, quận Đống Đa: 47m2*4 tầng, 3 ngủ, ngõ thông, trước nhà thoáng mát. + Nằm ngay lõi quận Đống Đa, giáp ranh BaĐình. Vài bước ra Ô Chợ Dừa,Xã Đàn, gần các phố: TâySơn,Thái Hà, Hồ Đắc Di, Hoàng Cầu, Nguyễn Hy Quang... Xung quanh đủ chợ dân sinh, siêu thị to nhỏ và trường học các cấp. + Nhà xây khung cột, tầng 1 phòng 1 WC, các phòng có cửa sổ thoáng. + Pháp lý chuẩn, giao dịch ngay. + Giá chào: 3.2 tỷ, có gia lộc nhẹ.: 0828137789, để xem nhà ngay.
",12/09/2022,Tin thường,batdongsan_so_com_vn_1673802421.4767172, 4, 6, 4,
