price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Mặt tiền,Lộ giới,Số toilet,Hướng
"3,1 tỷ VNĐ","Mâu Lương phường Kiến Hưng, Hà Đông", 36m2,"-Bán nhà ngõ phố Mậu Lương, Phường Kiến Hưng,Hà Đông, Hà Nội, Vị trí  cách Viện K, Viện 103, Viện Bỏng Quốc gia.HV Quân Y, trường THPT XALA, trường Tiểu Học và THCS HÀ NỘI 8 phút đi xe, ba bước chân là ra chợ Mậu Lương, KĐT Kiến Hưng, KĐT Xa La, giao thông thuận tiện dễ dàng di chuyển qua các phố Phúc La,Đa Sỹ,Hà Trì, Tô Hiệu, Phùng Hưng, Cầu Bươu, Yên Xá, Xa La. - Nhà 5 tầng mới đẹp, thiết kế hiện đại, chỉ cần ưng là xách vali về ở luôn, xung quanh hàng xóm thân thiện, an ninh tốt. -Phù hợp để ở/ kinh doanh/ cho thuê tài chính trên 3 tỷ dưới 4 tỷ. -Pháp lý chuẩn , sẵn sàng giao dịch, cam kết thông tin chuẩn 100%. -Giá 3,1  tỷ ( có thương lượng cho khách hàng thiện chí). -Liên hệ : Mr Diệu (24/24) 0944052268- Nhà đẹp pháp lý chuẩn khu vực Hà Nôi ( nhận ký gửi nhà , đất khu vực Hà Nội ).",23/12/2022,Tin thường,batdongsan_so_com_vn_1673782288.9052525,,,,,,
"16,8 tỷ VNĐ",PHƯỜNG DỊCH VỌNG HẬU, 55m2,"ĐẬP HỘP NHÀ MỚI ĐẶNG THÙY TRÂM  PHÂN LÔ Ô TÔ KINH DOANH VĂN PHÒNG LH 0962745289+ DT. 55M2*6 TẦNG THANG MÁY -  MẶT TIỀN 4M NHỈNH 16 TỶ TRUNG TÂM CẦU GIẤY. TIỆN ÍCH MIỄN BÀN.+ Vị trí chỉ 1 nhà ra phố, khu vực hiếm nhà bán. Nhà mới tinh lung linh đón Tết 6 tầng thang máy. Thiết kế mỗi tầng 2 phòng khép kín rộng, sáng và rất thoáng.+ Phân lô cán bộ TT Nhiệt đới Việt Nga, dân trí cao, an sinh đỉnh, tiện ích vây quanh, quy hoạch yên tâm. + Sổ đỏ phân lô A4 cất két sẵn sàng giao dịch.+ Giá thương lượng.+ Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, sang tên thủ tục nhanh gọn.+ Tư vấn 24/7.  ",23/12/2022,Tin thường,batdongsan_so_com_vn_1673782291.1219707,,,,,,
"5,9 tỷ VNĐ",Thụy Khuê Tây Hồ Hà Nội, 45m2,"Nhà đẹp lô góc phố Thụy Khuê Tây Hồ 45m2 4T chỉ 5.9 tỷVị trí đắc địa, ngõ thông sang Võng Thị, Trích Sài, nhà đi bộ ra Hồ Tây lộng gió bằng nhiều hướng khác nhau, thông ra phố Thụy Khuê, Văn Cao, Lạc Long Quân rất nhiều tiện ích xung quanh.🏡 Thiết kế chi tiết;- Tầng 1: phòng khách, cửa ngách cầu thang cuối lệch trái thuận tiện để xe, khu bếp & vệ sinh.- Tầng 2,3: 2 phòng ngủ Master, ban công sáng thoáng, tổng 4 phòng ngủ khép kín.- Tầng 4: phòng thờ riêng biệt, khu vực giặt, ban công tiểu cảnh trồng hoa cực rộng. Pháp lý chuẩn, sổ đỏ đẹp chính chủ, giao dịch trong ngày.Liên hệ: Mrs Phượng 0974352054 - Tư vấn tận tâm, miễn phí 24/24h (zalo, Fb) , hỗ trợ tư vấn Pháp lý, vay vốn.",23/12/2022,Tin thường,batdongsan_so_com_vn_1673782292.6187162, 4, 4,,,,
"3,95 tỷ VNĐ","Đường Lệ Mật, Việt Hưng, Long Biên", 40m2,"Bán nhà Phố Lệ Mật, Dt 40m, Nhà 5 Tầng Giá 3ty hơn.+ Vị trí nhà khu Việt Hưng, sân trước nhà rộng, ngõ cực nông, 20 m ra ô tô tránh. + Nhà xây khung cột kiên cố, ngõ ô tô đỗ cổng, nhà bao gồm: - Tầng 1: Phòng khách, bếp, wc. - Tầng 2,3,4: Mỗi tầng 2 phòng ngủ, wc. - Tầng 5: Phòng thờ. sân phơi.+ Sổ đỏ vuông vắn, pháp lý chuẩn. LH:Giang Bất động sản: Chuyên thổ cư , Đất nền, Chung cư, Tư vấn phong thủy, Hỗ trợ ngân hàng. Hỗ trợ thiết kế nhà.  Tuyển dụng đào tạo Bất Động Sản chuyên nghiệp. Nhận mua bán, ký gửi nhà.2295/2345/125 #Nguyenvanlinh #Lemat #Nguyenvancu Telegram, Zalo: ...
",23/12/2022,Tin thường,batdongsan_so_com_vn_1673782294.1661084, 5, 3, 5, 2, 4,
"11,5 tỷ VNĐ","Đường Xuân Thủy, Xuân Thủy, Cầu Giấy", 55m2,"+ Vị trí thuộc con phố chính, sầm uất của quận Cầu Giấy. Bán kính 200m tới Phạm Tuấn Tài, Trần Quốc Hoàn, Hoàng Quốc Việt, Nguyễn Phong Sắc, Phạm Văn Đồng, Cầu Giấy, di chuyển tiện mọi hướng.+ Tiện ích ngập tràn: Trường liên cấp Nguyễn Bỉnh Khiêm 50m, ĐH Sư phạm, ĐH Quốc gia, ĐH Ngoại ngữ, công viên hồ điều hòa Nghĩa Đô, chợ Nghĩa Tân 300m, siêu thị Winmart, 5 phút tới bệnh viện E, bến xe Mỹ Đình, phố ẩm thực Tô Hiệu, café, nhà hàng tấp nập, môi trường sống tiện nghi, lý tưởng cả về môi trường học tập cho thế hệ con cháu sau này.+ Vị trí cách mặt đường lớn chỉ 1 nhà, thuộc khu phân lô bàn cờ, vỉa hè, trước nhà ô tô 7 chỗ chạy vòng quanh, ngõ thông không điểm dừng.+ Nhà xây dựng 7 tầng chắc chắn, đằng sau có khe thoáng, trước sau ánh sáng ngập tràn, gia đình xây dựng rất tâm huyết, chỉ việc xách vali vào ở.+ Giá 11.5 tỷ (có thương lượng).+ Sổ đỏ phân lô vuông đẹp, giao dịch ngay.* Liên hệ: Ms. Hảo 0983.80.58.58 để được tư vấn và xem nhà miễn phí.",23/12/2022,Tin thường,batdongsan_so_com_vn_1673782295.6343505, 7, 10,, 10, 6,
"15,8 tỷ VNĐ","Đường Hoàng Cầu, Ô Chợ Dừa, Đống Đa", 45m2,"Bán Tòa nhà VP ngõ 31 Hoàng Cầu 45m2 MT 5m 15.8 tỷ, Thang máy – Gara ô tô (LP45A) + Tòa nhà 8 tầng, thang máy, ô tô dừng đỗ vào nhà.+ Ngõ nông rộng 6m, gần Quận ủy Đống Đa, vườn hoa 1/6.+ Ngõ thông Trần Quang Diệu, Võ Văn Dũng, Hoàng Cầu, Nguyễn Lương Bằng… + Dt: 45m2, MT 5m, 8 tầng thông sàn. + Sổ đỏ chính chủ, NỞ HẬU hút tài lộc.* GIÁ CHÀO: 15.8 TỶ * DƯƠNG TÙNG 1976 + Cam kết “làm việc Chính chủ.”+ Gọi tôi ngay nhé!",23/12/2022,Tin thường,batdongsan_so_com_vn_1673782297.0608215, 8, 6, 5, 6, 7,
"8,6 tỷ VNĐ","Đường Quốc lộ 32, Trạm Trôi, Hoài Đức", 126m2,"
    Cực Hiếm, Cần Bán gấp trước Tết, Bán Đất Khu Ngã Tư Trôi , Hoài Đức 126m, Ô tô đỗ cửa nhỉnh 8 tỷ
- Các nhà đầu tư tài ba bơi vào đây Cơ hội chỉ đến 1 lần , xây CCMN, Nhà hàng, Khánh sạn, Building, Văn Phòng Công ty, P. lô, bàn cờ..
- Vị trí cực đẹp. Khu vực phát triển cực mạnh Hàng xóm Trường THPT HoàiĐức A, Đại học Thành Đô, Đại Học Công nghiệp Hà Nội. Gần các trường học cấp 1,2,3 Kinh doanh, cho thuê, Cực đỉnh tương lai trung tâm phát triển, Khu đô thị Lideco, Hinode Royal Park. Tương lai lên Quận Hoài Đức năm 2023.
- Giao thông thuận tiện, 10 phút vào Trung tâm, Bễn xe Mỹ Đình, Quốc lộ 32 vành đai 4, vành đai 3.5
- Sổ CC, sang tên nhanh gọn. Giá thương lượng. Chủ thiện chí
Thông tin chi tiết liên hệ Mr Đức Nhà Đẹp.
Rất nhiều Nhà Đất đẹp phù hợp mọi nhu cầu Anh Chị Em nhé.
",23/12/2022,Tin thường,batdongsan_so_com_vn_1673782298.269878,,, 8,,,
"5,55 tỷ VNĐ","Đường Khương Trung, Khương Trung, Thanh Xuân", 37m2,"+ Vị trí cực đỉnh cách 1 nhà ra mặt ngõ ô tô, 3p ra mặt phố Khương Trung, xung quanh là các trường đại học lớn, bệnh viện lớn. + Ngõ nông thông ra nhiều trục đường lớn: Nguyễn trãi, Trường Chinh, vành đai 2 nơi giao cắt với Tôn Thất Tùng kéo dài. +Nhà mới đẹp long lanh thiết kế hợp lý thông sàn5 tầng, 3pn, 3wc + Sổ đỏ cất két, sẵn sàng giao dịchLh e Xuân qua zalo hoặc 0972540182 để được xem nhà và tư vấn các thủ tục pháp lý miễn phí.",23/12/2022,Tin thường,batdongsan_so_com_vn_1673782299.5716572, 5, 3, 4, 3, 3,
"2,18 tỷ VNĐ","Đường Nguyễn Lương Bằng, Quang Trung, Đống Đa", 25m2,"CỰC HIẾM (không có căn thứ 2) - TRUNG TÂM ĐỐNG ĐA - HAI MẶT NGÕ - GẦN Ô TÔ - 2 CÔNG VIÊN - Ngôi nhà nhỏ cực xinh toạ lạc tại Trung tâm Đống Đa. - Xung quanh tiện ích đỉnh cao, gần Công viên Hồ Đắc Di, bệnh viện Đống Đa, trường học các cấp ngõ rộng, thông các ngả giao thông cực thuận tiện.- Nhà tầm tiền, công năng hoàn hảo, chủ nhà mới sửa tỉ mỉ, tinh tế hợp lý, nội thất xịn sò tặng lại cho khách.- Tầng 1: phòng khách, bếp, WC, khu để đồ.- Tầng 2: 1 ngủ cực rộng.- Tầng 3: 1 ngủ khép kín.- Tầng 4: 1 ngủ khép kín.- Tầng 5: phòng thờ, sân phơi.- Sổ đỏ nở hậu cực đẹp. ----------------------Liên hệ xem nhà MIỄN PHÍ: 0965 399 689 (Mr Châu)",23/12/2022,Tin thường,batdongsan_so_com_vn_1673782300.7716742, 5, 3, 3, 3, 3,
"3,6 tỷ VNĐ","Đường Yên Hòa, Yên Nghĩa, Hà Đông", 52m2,"- Diện tích: 52 mét đất ở tại đô thị lâu dài.- MT:3.6m_Sâu:14.48m ( Đường chính rộng 7-8 mét)- Đỉa chỉ: Ye Yên Nghĩa – Hà Đông - Xung quanh dân cư đông đúc, không còn quỹ đất trống.- Thích hợp mua để ở hoặc đầu tư - Do cần tiền bán gấp giảm giá từ 75tr/m xuống 67tr/m (làm việc chính chủ)- Gần trung tâm hành chính, trường, chợ, an ninh tốt.- Giá bán 66tr/m2- LH: 0973922228",23/12/2022,Tin thường,batdongsan_so_com_vn_1673782301.9935982,,, 3, 7,,
