price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Mặt tiền,Lộ giới,Hướng,Số toilet
"3,2 tỷ VNĐ",279 Hoàng Mai - Hà Nội, 78m2,"   RA MẮT BẢNG HÀNG TÒA 𝐙𝐄𝐍 𝐓𝐎𝐖𝐄𝐑 ĐẸP NHẤT DỰ ÁN 𝐅𝐄𝐋𝐈𝐙 𝐇𝐎𝐌𝐄𝐒 CÁC TẦNG 3, 4, 12, 16, 23, 27
 Nhận ""ĐẶT CHỖ "" ngay thời điểm vàng, giá siêu tốt #đợt_đầu
 Vị trí tòa Zen Tower: vị trí vàng đẹp nhất dự án, bể bơi 420m2 trước tòa, TTTM lớn nhất khu vực, 3 hầm + 6 tầng nổi nhà để xe 250 chỗ
 Thời điểm đầu mua giá cực tốt, tiềm năng tăng giá lớn: Phù hợp cả ở và đầu tư
 Thiết kế căn hộ đẹp vuông vắn, chính sách thanh toán tiến độ giãn cách và phù hợp với khách hàng.
------------------------------
Thiết kế đa dạng phù hợp với nhiều đối tượng khách hàng:
 1 ngủ 1wc: 45m2
2 ngủ 2wc: 64m2 - 73m2 - 77m2
3 ngủ 2wc: 90m2 - 112m2
------------------------------
Ngân hàng hỗ trợ vay vốn lên tới 75% giá trị hợp đồng, xử lý thẩm định hồ sơ thủ tục nhanh chóng (BIDV, Vietinbank, Vietcombank, Agribank, VP bank)
------------------------------
𝐓𝐢𝐞̣̂𝐧 𝐢́𝐜𝐡 đ𝐚̣𝐭 𝐭𝐢𝐞̂𝐮 𝐜𝐡𝐮𝐚̂̉𝐧 𝟓*
- Bể bơi ion rộng 420m2, hồ nước cảnh quan
- TTTM, trường mầm non, nhà đỗ xe 6 tầng, hiệu thuốc, gym spa....
- Đường tản bộ, Sky garden, sân bóng rổ, sân cầu lông ....
- Camera an ninh giám sát 24/7, thẻ từ thang máy...
Dự án đạt đủ các tiêu trí gần #ĐƯỜNG_TRƯỜNG_TRẠM
------------------------------
ĐẾN VỚI FELIZ HOMES LÀ ĐẾN VỚI SỰ HOÀN HẢO
 XANH MÁT NGHỈ DƯỠNG – TRỌN VẸN TIỆN NGHI  𝐇𝐨𝐭𝐥𝐢𝐧𝐞 𝐏𝐊𝐃 𝐂Đ𝐓: 090.22.69.222 - 0944. 57.00.96 (GĐDA)
 Địa chỉ: VPBH Feliz Homes, Ngõ 92 Mai Động, Quận Hoàng Mai, Hà Nội
",19/04/2022,Tin thường,batdongsan_so_com_vn_1673827316.2024505,,,,,,
"3,2 tỷ VNĐ","279 Hoàng Mai, Hoàng Văn Thụ, Hà Nội", 78m2,"   RA MẮT BẢNG HÀNG TÒA 𝐙𝐄𝐍 𝐓𝐎𝐖𝐄𝐑 ĐẸP NHẤT DỰ ÁN 𝐅𝐄𝐋𝐈𝐙 𝐇𝐎𝐌𝐄𝐒 CÁC TẦNG 3, 4, 12, 16, 23, 27
 Nhận ""ĐẶT CHỖ "" ngay thời điểm vàng, giá siêu tốt #đợt_đầu
 Vị trí tòa Zen Tower: vị trí vàng đẹp nhất dự án, bể bơi 420m2 trước tòa, TTTM lớn nhất khu vực, 3 hầm + 6 tầng nổi nhà để xe 250 chỗ
 Thời điểm đầu mua giá cực tốt, tiềm năng tăng giá lớn: Phù hợp cả ở và đầu tư
 Thiết kế căn hộ đẹp vuông vắn, chính sách thanh toán tiến độ giãn cách và phù hợp với khách hàng.
------------------------------
Thiết kế đa dạng phù hợp với nhiều đối tượng khách hàng:
 1 ngủ 1wc: 45m2
2 ngủ 2wc: 64m2 - 73m2 - 77m2
3 ngủ 2wc: 90m2 - 112m2
------------------------------
Ngân hàng hỗ trợ vay vốn lên tới 75% giá trị hợp đồng, xử lý thẩm định hồ sơ thủ tục nhanh chóng (BIDV, Vietinbank, Vietcombank, Agribank, VP bank)
------------------------------
𝐓𝐢𝐞̣̂𝐧 𝐢́𝐜𝐡 đ𝐚̣𝐭 𝐭𝐢𝐞̂𝐮 𝐜𝐡𝐮𝐚̂̉𝐧 𝟓*
- Bể bơi ion rộng 420m2, hồ nước cảnh quan
- TTTM, trường mầm non, nhà đỗ xe 6 tầng, hiệu thuốc, gym spa....
- Đường tản bộ, Sky garden, sân bóng rổ, sân cầu lông ....
- Camera an ninh giám sát 24/7, thẻ từ thang máy...
Dự án đạt đủ các tiêu trí gần #ĐƯỜNG_TRƯỜNG_TRẠM
------------------------------
ĐẾN VỚI FELIZ HOMES LÀ ĐẾN VỚI SỰ HOÀN HẢO
 XANH MÁT NGHỈ DƯỠNG – TRỌN VẸN TIỆN NGHI  𝐇𝐨𝐭𝐥𝐢𝐧𝐞 𝐏𝐊𝐃 𝐂Đ𝐓: 090.22.69.222 - 0944. 57.00.96 (GĐDA)
 Địa chỉ: VPBH Feliz Homes, Ngõ 92 Mai Động, Quận Hoàng Mai, Hà Nội
",19/04/2022,Tin thường,batdongsan_so_com_vn_1673827317.509953,,,,,,
"3,2 tỷ VNĐ","279 Hoàng Mai, Hoàng Văn Thụ, Hoàng Mai, Hà Nội", 78m2,"   RA MẮT BẢNG HÀNG TÒA 𝐙𝐄𝐍 𝐓𝐎𝐖𝐄𝐑 ĐẸP NHẤT DỰ ÁN 𝐅𝐄𝐋𝐈𝐙 𝐇𝐎𝐌𝐄𝐒 CÁC TẦNG 3, 4, 12, 16, 23, 27
 Nhận ""ĐẶT CHỖ "" ngay thời điểm vàng, giá siêu tốt #đợt_đầu
 Vị trí tòa Zen Tower: vị trí vàng đẹp nhất dự án, bể bơi 420m2 trước tòa, TTTM lớn nhất khu vực, 3 hầm + 6 tầng nổi nhà để xe 250 chỗ
 Thời điểm đầu mua giá cực tốt, tiềm năng tăng giá lớn: Phù hợp cả ở và đầu tư
 Thiết kế căn hộ đẹp vuông vắn, chính sách thanh toán tiến độ giãn cách và phù hợp với khách hàng.
------------------------------
Thiết kế đa dạng phù hợp với nhiều đối tượng khách hàng:
 1 ngủ 1wc: 45m2
2 ngủ 2wc: 64m2 - 73m2 - 77m2
3 ngủ 2wc: 90m2 - 112m2
------------------------------
Ngân hàng hỗ trợ vay vốn lên tới 75% giá trị hợp đồng, xử lý thẩm định hồ sơ thủ tục nhanh chóng (BIDV, Vietinbank, Vietcombank, Agribank, VP bank)
------------------------------
𝐓𝐢𝐞̣̂𝐧 𝐢́𝐜𝐡 đ𝐚̣𝐭 𝐭𝐢𝐞̂𝐮 𝐜𝐡𝐮𝐚̂̉𝐧 𝟓*
- Bể bơi ion rộng 420m2, hồ nước cảnh quan
- TTTM, trường mầm non, nhà đỗ xe 6 tầng, hiệu thuốc, gym spa....
- Đường tản bộ, Sky garden, sân bóng rổ, sân cầu lông ....
- Camera an ninh giám sát 24/7, thẻ từ thang máy...
Dự án đạt đủ các tiêu trí gần #ĐƯỜNG_TRƯỜNG_TRẠM
------------------------------
ĐẾN VỚI FELIZ HOMES LÀ ĐẾN VỚI SỰ HOÀN HẢO
 XANH MÁT NGHỈ DƯỠNG – TRỌN VẸN TIỆN NGHI  𝐇𝐨𝐭𝐥𝐢𝐧𝐞 𝐏𝐊𝐃 𝐂Đ𝐓: 090.22.69.222 - 0944. 57.00.96 (GĐDA)
 Địa chỉ: VPBH Feliz Homes, Ngõ 92 Mai Động, Quận Hoàng Mai, Hà Nội
",19/04/2022,Tin thường,batdongsan_so_com_vn_1673827318.593059,,,,,,
"9,9 tỷ VNĐ",Định Công Thượng, 121m2,"MẶT NGÕ TO NHƯ MẶT PHỐ - Ô TÔ VÀO NHÀ - KINH DOANH SẦM UẤT - HÌNH THỬA VUÔNG BÁNH CHƯNG - NHÀ CHỦ XÂY TÂM HUYẾT. + Ngõ vào nhà nằm ngay ngã 3 phố Định Công Thượng và Lê Trọng Tấn. Ngõ ô tô tránh kinh doanh sầm uất đa dạng, mật độ dân cư đông, an sinh ổn định. + Nhà bán chủ xây vô cùng tâm huyết, móng ép cọc nhồi sâu, sau này người mua lên 6 - 7 tầng vô tư. Chủ nhà là người có gu thẩm mỹ nên thiết kế nhà hiện đại và đẹp mắt. + Hiện nhà đang cho nhà trẻ thuê với giá hữu nghị 30 triệu/tháng. - Tầng 1: Sân để xe, phòng khách, bếp, phòng ăn, vệ sinh, khu sân sau. - Tầng 2,3: Mỗi tầng 2 ngủ rộng và WC. - Tầng 4: Phòng thờ sân phơi(hiện bên thuê đã thiết kế thành 1 phòng ngủ và 1 phòng bếp nấu ăn cho trẻ em). + Giá chỉ 9.9 tỷ. Chủ bao ra sổ + Nhà có giấy tờ đóng thuế đầy đủ, nguồn gốc đất rõ ràng. + Liên hệ ngay: 0354526316 Em Thế Anh (Hỗ trợ hoàn toàn MIỄN PHÍ từ xem nhà, tư vấn pháp lý, kiểm tra Quy hoạch, vay vốn ngân hàng, sang tên sổ đỏ…)",19/04/2022,Tin thường,batdongsan_so_com_vn_1673827319.6671827, 4, 4,,,,
39 triệu VNĐ/m2,92 Mai Động, 76m2,"❌🆘MỞ BÁN CHÍNH THỨC ĐỢT 1 TÒA 𝐙𝐄𝐍 𝐓𝐎𝐖𝐄𝐑🆘❌Các tầng 2-𝟒-𝟏𝟐-𝟏7-𝟐𝟑-𝟐𝟕‼️Đã có nhà mẫu‼️ 👉🏻Nhận đặt chỗ căn tầng đẹp ngay hôm nay 💥 Sự Kiện mở bán chính thức 24/04/2022, Bốc thăm trúng thưởng danh cho khách đặt mua căn hộ💝Đến tham dự không cần cọc vẫn có quà ✅𝐓𝐡𝐢𝐞̂́𝐭 𝐤𝐞̂́ đ𝐚 𝐝𝐚̣𝐧𝐠 𝐩𝐡𝐮̀ 𝐡𝐨̛̣𝐩 𝐯𝐨̛́𝐢 𝐧𝐡𝐢𝐞̂̀𝐮 đ𝐨̂́𝐢 𝐭𝐮̛𝐨̛̣𝐧𝐠 𝐤𝐡𝐚́𝐜𝐡 𝐡𝐚̀𝐧𝐠🗝1 ngủ 1wc: 44,6m2🗝🗝2 ngủ 2wc: 63,6m2 - 73,1m2 - 77,6m2🗝🗝🗝3 ngủ 2wc: 89,8m2 - 112,4m2------------------------------💰𝐂𝐡𝐢́𝐧𝐡 𝐬𝐚́𝐜𝐡 𝐛𝐚́𝐧 𝐡𝐚̀𝐧𝐠 𝐜𝐮̛̣𝐜 𝐤𝐢̀ 𝐡𝐚̂́𝐩 𝐝𝐚̂̃𝐧-𝑇𝑎̣̆𝑛𝑔 𝑛𝑔𝑎𝑦 5 𝑐ℎ𝑖̉ 𝑣𝑎̀𝑛𝑔 𝑐ℎ𝑜 30 𝑘ℎ𝑎́𝑐ℎ ℎ𝑎̀𝑛𝑔 đ𝑎̂̀𝑢 𝑡𝑖𝑒̂𝑛-𝐶ℎ𝑖𝑒̂́𝑡 𝑘ℎ𝑎̂́𝑢 2% (𝐾𝑃𝐵𝑇), 1 𝑛𝑎̆𝑚 𝑝ℎ𝑖́ 𝑑𝑖̣𝑐ℎ 𝑣𝑢̣-𝐻𝑜̂̃ 𝑡𝑟𝑜̛̣ 𝑙𝑎̃𝑖 𝑠𝑢𝑎̂́𝑡 0% 18 𝑡ℎ𝑎́𝑛𝑔, 𝑎̂𝑛 ℎ𝑎̣𝑛 𝑔𝑜̂́𝑐------------------------------🌴🌴𝐓𝐢𝐞̣̂𝐧 𝐢́𝐜𝐡 đ𝐚̣𝐭 𝐭𝐢𝐞̂𝐮 𝐜𝐡𝐮𝐚̂̉𝐧 𝟓*- Bể bơi ion rộng 420m2, hồ nước cảnh quan- TTTM, trường mầm non, nhà đỗ xe 6 tầng, hiệu thuốc, gym spa....- Đường tản bộ, Sky garden, sân bóng rổ, sân cầu lông ....- Camera an ninh giám sát 24/7, thẻ từ thang máy.❤️𝐍𝐨̣̂𝐢 𝐭𝐡𝐚̂́𝐭 𝐛𝐚̀𝐧 𝐠𝐢𝐚𝐨 𝐜𝐚𝐨 𝐜𝐚̂́𝐩:- Sàn gỗ, trần thạch cao, điều hòa âm trần, full thiết bị vệ sinh, bồn tắm, hệ thống điện Legrand------------------------------ĐẾN VỚI FELIZ HOMES LÀ ĐẾN VỚI SỰ HOÀN HẢO 🌳☎️ 𝐇𝐨𝐭𝐥𝐢𝐧𝐞 𝐏𝐊𝐃 𝐂Đ𝐓: 0983223911🏡 Địa chỉ: VPBH Feliz Homes, Ngõ 92 Mai Động, Quận Hoàng Mai, Hà Nội",19/04/2022,Tin thường,batdongsan_so_com_vn_1673827320.8864565,,,,,,
11 tỷ VNĐ,"KIM NGƯU, HAI BÀ TRƯNG", 89m2,"Mô tả: + Nhà mặt ngõ rộng, ô tô tải tránh nhau. + Tầng 1, làm kinh doanh, văn phòng, Tầng 2,3 để ở rất thuận lợi. + 2 phút lên bờ hồ, Phố cổ + Giao thông rất thuận tiện, Hai bước chân ra chợ 8-3, bệnh viện Thanh nhàn, 2 phút ra bệnh viện Bạch Mai, Gần các trường học như cấp 1,2,3 và các trường đại học Bách Khoa, KT Quốc Dân, Xây Dựng… + Giá chào 11 tỷ,  Có thương lượng. + Diện tích 89m2. + Sổ đỏ sắn giao dịch. +Miễn phí tư vấn, xem nhà 100%. + Liên hệ : Nguyễn Dương  0825920555 Để được tư vấn, xem nhà và hỗ trợ tốt nhất.",19/04/2022,Tin thường,batdongsan_so_com_vn_1673827321.9346507, 3, 4, 5, 6,,
"5,7 tỷ VNĐ",Phường Yên Phụ, 51m2,"Mô tả : DT 51m, MT 4.2m, 5T Nhà siêu đẹp, thiết kế hiện đại, full nội thất Mua về có thể kinh doanh, đi cách nhà vài bước chân là ra mặt phố.  Tầng 1 : để xe, phòng khách, phòng bếp + ăn, WC Tầng 2,3,4 : tổng 6 phòng ngủ, WC ở giữa. Tầng 6 : Phòng thờ, sân phơi. Sổ đỏ vuông đẹp, nét, sẵn sàng giao dịch. Giá 5.7 tỷ có thương lượng. Liên hệ: Tôi Quang 0936590234 để được tư vấn và được xem nhà miễn phí.",19/04/2022,Tin thường,batdongsan_so_com_vn_1673827323.8106308,,,,,,
11 tỷ VNĐ,"kim ngưu, Hai bà Trưng", 89m2,"Mô tả: + Nhà mặt ngõ rộng, ô tô tải tránh nhau. + Tầng 1, làm kinh doanh, văn phòng, Tầng 2,3 để ở rất thuận lợi. + 2 phút lên bờ hồ, Phố cổ + Giao thông rất thuận tiện, Hai bước chân ra chợ 8-3, bệnh viện Thanh nhàn, 2 phút ra bệnh viện Bạch Mai, Gần các trường học như cấp 1,2,3 và các trường đại học Bách Khoa, KT Quốc Dân, Xây Dựng… + Giá chào 11 tỷ,  Có thương lượng. + Diện tích 89m2. + Sổ đỏ sắn giao dịch. +Miễn phí tư vấn, xem nhà 100%. + Liên hệ : Nguyễn Dương  0825920555 Để được tư vấn, xem nhà và hỗ trợ tốt nhất. Mô tả: + Nhà mặt ngõ rộng, ô tô tải tránh nhau. + Tầng 1, làm kinh doanh, văn phòng, Tầng 2,3 để ở rất thuận lợi. + 2 phút lên bờ hồ, Phố cổ + Giao thông rất thuận tiện, Hai bước chân ra chợ 8-3, bệnh viện Thanh nhàn, 2 phút ra bệnh viện Bạch Mai, Gần các trường học như cấp 1,2,3 và các trường đại học Bách Khoa, KT Quốc Dân, Xây Dựng… + Giá chào 11 tỷ,  Có thương lượng. + Diện tích 89m2. + Sổ đỏ sắn giao dịch. +Miễn phí tư vấn, xem nhà 100%. + Liên hệ : Nguyễn Dương  0825920555 Để được tư vấn, xem nhà và hỗ trợ tốt nhất.",19/04/2022,Tin thường,batdongsan_so_com_vn_1673827324.8358884, 3, 4, 5, 6,,
"7,7 tỷ VNĐ",Phường Mỹ Đình, 79m2,"Bán nhà Lê Đức Thọ - Nam Từ Liêm. 79m2, 4 tầng. Giá nhỉnh 90 tr/m2.+ Công năng đầy đủ, tiện ích, ba bước chân ra chợ.+ Đường lớn thông ra Bến xe Mỹ Đình, Nguyễn Hoàng…  + Gần Trường học các cấp, An ninh cao, dân cư đông đúc tập trung nhiều sinh viên, kinh doanh buôn bán nhộn nhịp.+ Sổ đỏ chính chủ sẵn sang giao dịch.+ Giá: 7.7 tỷ.Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn 24/7.",19/04/2022,Tin thường,batdongsan_so_com_vn_1673827325.9249756,,,,,,
,"Đường Võ Chí Công, phường Phú Thượng, quận Tây Hồ, Hà Nội", 85.67m2,"
    Cần bán cắt lỗ hộ 2 ngủ, 2 vệ sinh, 1 ban công 85.67m full nội thất cơ bản . Căn hộ vuông vắn, view nội khu. Tại khu vực Tây Hồ, Hà Nội.
Giá 3ty.
Ngân hàng hỗ trợ 70%.
Kí hợp đồng trực tiếp CDT
Lh e 0977568223 để xem căn hộ
",19/04/2022,Tin thường,batdongsan_so_com_vn_1673827327.0499663,, 2,,, Tây nam, 2
