price,address,Diện tích,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Lộ giới,Mặt tiền
"4,8 tỷ VNĐ",Đường Khương Trung, 49m2, 4, 4, 3,"BÁN NHÀ NGÕ 211 PHỐ KHƯƠNG TRUNG, 49M2, 4 TẦNG, GIÁ CỰC TỐT 4,8 TỶ Diện tích đất 49m2, 4 tầng, mặt tiền 3,1m. Tầng 1: Sân/xe máy + Phòng khách + bếp + WC Tầng 2,3: mỗi tầng đều có 2PN + WC Tầng 4: Phòng thờ + Sân phơi đồ + Cây cảnh Giá chỉ 4,8 tỷ (còn thương lượng), sổ đổ sẵn sàng giao dịch. Nhà xây mới thiết kế đẹp, có sân, ban công đón thiên nhiên. Nội thất toàn gỗ tự nhiên cao cấp. Ngõ xe máy tránh, chỉ cách điểm đỗ ô tô chỉ 10m nên rất tiện lợi. Giá quá rẻ so với khu vực. Quý khách vui lòng liên hệ: Mr Tiến Lucky – chuyên BĐS Thổ cư -  ĐT: 0979.160085",31/05/2022,Tin thường,batdongsan_so_com_vn_1673822302.3943508,,
"1,8 tỷ VNĐ",Đường Tứ Hiệp phường Tứ Hiệp, 65m2, 10, 2, 2,"- Tặng bộ bếp trị giá lên tới 40tr trừ vào giá HĐ - Tặng gói Smart Home 25tr/2Pn và 35tr/3PN - Chiết khấu 4% khi Thanh toán 70% - Hỗ trợ vay song song KHÔNG MẤT GỐC LÃI trong 12 tháng, thời gian vay lên tới 20 năm - Bàn giao ngay t6/2022, sổ vĩnh viễn   TẠI SAO TECCO LẠI LÀ DỰ ÁN HOT NHẤT HIỆN NAY  - Đối diện công viên hồ ngập tràn cây xanh trong lành  - Trần giật cấp cực cao cực thoáng, sảnh hõn 4m  - Thiết kế thông minh 2 phòng 2 vệ sinh 2 ban công cực rộng  - Nội thất liền týờng cao cấp cảm ứng điều khiển bằng di động  - 36 tiện ích nội khu đầy đủ gói gọn với 3 tầng trung tâm thýõng mại  - 5 trýờng học cạnh bên đưa con đi học trong 1p  - Xung quanh biệt thự liền kề sầm uất dân trí cao  - Diện tích linh hoạt từ 63m2 - 106m2  - Ngay sát trung tâm cạnh đường lớn thông thoáng giao thông tiện lợi đi các tỉnh   Vị trí dự án: Khu đô thị Tứ Hiệp, Huyện Thanh Trì, Hà Nội. Chủ đầu tý: Tổng công ty Tecco Hà Nội - Tecco Group Quý khách nhanh tay liên hệ ngay VP CDT:  Tý vấn: 035 823 7575",31/05/2022,Tin thường,batdongsan_so_com_vn_1673822303.517345, 20,
"6,5 tỷ VNĐ",vạn phúc, 48m2, 5, 4, 3," + Bán nhà. Vạn Phúc, Hà Đông. Ô tô Kinh Doanh 48m2 x 5 tầng. Mặt tiền 4.2m. Giá 6.5 tỷ.  PHÂN LÔ VẠN PHÚC - NHÀ MỚI - GARA Ô TÔ - THÔNG BÀN CỜ  + Vị trí trung tâm Hà Đông, đường Vạn Phúc giao với các đường Quang Trung, Tố Hữu, Đại mỗ, giao thông rất thuận tiện. + Nhà gần các trường đại học lớn như: Bưu Chính Viễn Thông, Đại Học Kiến Trúc, gần chợ Hà Đông, Bệnh Viện 103, viện Đa Khoa Hà Đông. Tiện ích ngập tràn, an ninh an toàn.  Nhà 5 tầng xây mới, thiết kế hiện đại: - Tầng 1,2: Thông sàn. - Tầng 3,4: Mỗi tầng chia 2 phòng + wc - Tầng 5: Phòng thờ, sân phơi.  + Sổ đỏ vuông đẹp, sẵn sàng giao dịch,  LH: E KHÁNH: 0988960891  ",31/05/2022,Tin thường,batdongsan_so_com_vn_1673822304.6371806,, 4
"5,15 tỷ VNĐ",Đường Láng phường Láng Thượng, 46m2, 5, 5, 4,"Bán Gấp Nhà Ngõ 1150 Láng  46m  5T  5.15 tỷ Nhà Ở Luôn Vuông Vức Thoáng Sáng Gần Phố Mô tả: + Nhà hướng Đông tứ trạch mát mẻ. + Đường vào nhà rộng thênh thang , chỉ 1 ngoặt là đến nơi + Ngôi nhà còn rất mới, nội thất cơ bản. Chủ mới chỉ việc xách vali vào ở ngay. + Nhà 5 tầng kiên cố còn rất chắc chắn mỗi tầng 2 phòng ngủ Tổng 5 ngủ siêu rộng, phòng nào cũng có ban công ánh sáng ngập tràn + Sổ đỏ vuông vức cực đẹp đã sẵn sàng + Khu vực TT Gần BV Sản Hà Nội, BV Nhi TW, chợ dân sinh Láng, Chợ Cầu Giấy đầy đủ tiện ích không thiếu 1 cái gì , trường học các cấp .... + Mặt tiền lý tưởng 4m để bố trí sắp xếp đồ đạc rất dễ dàng , trang trí nội thất thì khỏi phải chê -Giao thông dễ dàng đi lại sang Phố Cầu Giấy, Chùa Láng, Đào Tấn, Nguyễn Khang..... -Chủ nhà đã mua được nhà lớn hơn nên rất thiện chí bán bàn giao nhà bất cứ lúc nào, giá thương lượng mạnh",31/05/2022,Tin thường,batdongsan_so_com_vn_1673822305.8100421, 3, 4
5 tỷ VNĐ,Ngã Tư Sở, 47m2, 5, 7,,"+Cần bán nhà Ngã Tư Sở - Dống Đa, 47m2, 5 Tầng, MT 4.5m, Ô TÔ, KINH DOANH, Nhỉnh 5 Tỷ.+Vị trí đắc địa, 3 phút ra Royal City, nhà cách đường lớn 50m.+Nhà chủ xây tâm huyết để ở, đầy đủ công năng sử dụng, khách mua về ở ngay.+Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng dao dịch. LH: SĐT/ZALO: Mr Hoan, 0925088355, chuyên thổ cư Hà Nội, miễn phí xem nhà 24/7.",31/05/2022,Tin thường,batdongsan_so_com_vn_1673822306.8253486,, 4
"5,3 tỷ VNĐ",Đường Xã Đàn phường Phương Liên, 54m2, 4, 4, 1,"
    - Nhà đẹp kinh doanh mặt tiền siêu khủng. Cách mặt hồ 3 mẫu 100m, nhà vừa ở vừa kinh doanh.- Ngõ trước nhà rộng rãi, để xe thoái mái, gần trường học các cấp, chợ, bệnh viện đủ cả, giao thông thuận tiện.Thiết kế nhà 4 tầng:+ Tầng 1: Cửa hàng KD + Phòng khách, bếp.+ Tầng 2,3: Mỗi tầng 2 phòng ngủ và nhà vệ sinh riêng biệt.+ Tầng 4: Phòng thờ + Sân phơi.- Sổ đỏ chính chủ, giao dịch ngay.
",31/05/2022,Tin thường,batdongsan_so_com_vn_1673822307.7847803, 1, 80
"35,5 tỷ VNĐ",Đường Duy Tân phường Dịch Vọng Hậu, 60m2, 7, 10, 10,"Nhà Măt Phố , Kinh Doanh vô đối, Thang máy,Vị Trí  Siêu Siêu Hiếm. Khu vực tập trung rất rất nhiều các CTY , Tập Đoàn Tài Chính Quốc Tế, TTTM, Trường Học các cấp. Giao thông vô cùng thuận tiện, tỏa đi khắp các ngã , muốn đi đâu cũng tiện. Xung quanh tiện ích ngập tràn. Dân cư đông đúc, Dân trí cao, tập trung toàn CBVC , Học Sinh , Sinh viên. An ninh, An sinh xã hội vô cùng đảm bảo. Nhà xây dựng khung cột chắc chắn, thiết kế cơ bản Tầng 2 phòng, cầu thang giữa. Tổng 10 khép kín + Phòng Khách + Bếp , Phòng thờ , Sân phơi. Pháp lý chuẩn , sổ đỏ sẵn sàng giao dịch ngay. Giá 35.5 Tỷ ( thương lượng). Liên hệ ngay để được tư vấn , hướng dẫn xem nhà hoàn toàn miễn phí.",31/05/2022,Tin thường,batdongsan_so_com_vn_1673822309.0583732, 5, 5
"12,39 tỷ VNĐ",Đường Tây Sơn phường Thịnh Quang, 55m2, 5, 4, 4,"- Nhà nằm trên phố Tây Sơn - vị trí cực đẹp, không chê vào đâu được, thuộc lõi Đống Đa cực kỳ hiếm nhà bán, an sinh khu vực xung quanh rất tốt, tiện ích ngập tràn không thiếu thứ gì, ngõ trước nhà rộng ô tô tránh nhau thoải mái, mặt tiền to đẹp.- Thiết kế phong cách tân cổ điển tầng 1 thông sàn kinh doanh gara , tối ưu hóa công năng, chủ là dân xây dựng nên rất tâm huyết, lựa chọn vật liệu xây dựng tỷ mỷ, phòng ngủ thì siêu rộng, sáng thoáng, cực đáng sống- Vừa ở vừa kinh doanh hoặc cho thuê phòng vô cùng thuận lợi- Sổ đỏ vuông đẹp, giao dịch nhanh gọnLiên hệ Tôi CƯƠNG THỔ CƯ 0936.288.283 ( Luôn hỗ trợ tận tâm nhất)TÔI CAM KẾT: Cung cấp sản phẩm chính chủ không tranh chấp khiếu kiện. Việc đảm bảo giao dịch được an toàn và nhanh chóng là trách nhiệm của tôi. Xin cảm ơn! ",31/05/2022,Tin thường,batdongsan_so_com_vn_1673822310.1175408, 4, 4
"6,2 tỷ VNĐ","Ngô Quyền, Quang Trung, Hà Đông, Hà Nội.", 41m2, 5, 4,," # Bán nhà đường Ngô Quyền, Quang Trung, Hà Đông. Nhà xây mới, ô tô vào nhà, Full đồ nội thất cao cấp, thiết kế đẹp về ở ngay. DT 41m, 5T, giá 6.2 tỷ.  + Vị trí trung tâm gần Học viện Chính Trị, Cầu Am, KĐT Văn Khê, Chợ Vồ, Bệnh viện Đa Khoa Hà Đông trung tâm phố tiện ích.  + Giao thông di chuyển đường Ngô Quyền, Chu Văn An, Vạn Phúc, Tố Hữu Lê Văn Lương, Ngô Thì Nhậm, Quang Trung, Trần Phú, Nguyễn Trãi quận Thanh Xuân vô cùng thuận lợi.  + Sổ vuông đỏ chính chủ, sẵn sàng giao dịch.  + Giá chỉ 6.2 tỷ.   # LH xem trong HotLine: 0983858722 Tình nhà phố ( chuyên mua bán, nhận ký gửi nhà đẹp, nhà phố, nhà tiềm năng, dòng tiền, có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",31/05/2022,Tin thường,batdongsan_so_com_vn_1673822311.2551446, 3,
"13,3 tỷ VNĐ","Ngô Gia Tự, Long Biên, Hà Nội", 57m2,,,,"GIÁ CỰC TỐT KHÔNG CÓ CĂN THỨ 2, ĐẤT PHÂN LÔ, NGÕ OTO TRÁNH - Chủ nhà mua biệt thự trong Vinhome nên bán - Mặt tiền siêu rộng: kinh doanh, showroom, vỉa hè rộng rãi thoáng - Xung quanh nhiều tiện ích: gần Bigc Long Biên, Bv đa khoa Đức Giang, trường học, chợ... - Nhà xây dựng hiện đại bên trong thiết kế thông minh, cực xịn - Tầng 1: Kinh doanh, gara,... - Tầng 2: phòng khách, bếp, wc - Tầng 3,4: phòng ngủ, WC - Tầng 5: phòng thờ, sân phơi Sổ đỏ chính chủ, giao dịch ngay Liên hệ xem nhà: Phương Quỳnh - 0337594758",31/05/2022,Tin thường,batdongsan_so_com_vn_1673822312.78106,,
