price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id
"6,5 tỷ VNĐ","Đường Thanh Bình, Mộ Lao, Hà Đông", 48m2, 5, 9, 4, 3, 2,"Chủ cần bán nhà Thanh Bình diện tích 48m2 giá 6.5 tỷ có thương lượng  Ô TÔ ĐỖ CỬA – KINH DOANH - CÁCH PHỐ 20M – THOÁNG TRƯớC SAU – NGÕ THÔNG THOÁNG   + Diện tích 48m2 4 tầng giá 6.5 tỷ có thương lượng Mô tả:  - Nhà đẹp dân xây chắc chắn, ngõ thông thoáng, trung tâm Quận, khu vực đầy đủ các tiện ích. - Nhà nằm cách Phố Trần Phú chỉ 100m, BigC 200m,…. - Thiết kế: + Tầng 1: Để xe – P. Khách + bếp + WC. + Tầng 2,3: Tổng 4 ngủ, WC. + Tầng 4: Phòng thờ, sân phơi. - Sổ đỏ chính chủ. + Liên hệ em Tuấn Anh 0877.793.393 để xem nhà miễn phí ",15/11/2022,Tin thường,batdongsan_so_com_vn_1673787646.7517295
11 tỷ VNĐ,"Đường Quan Nhân, Nhân Chính, Thanh Xuân", 63m2, 5, 3, 8, 14, 15,"+Nhà 8 tầng thang máy, thiết kế CCMN với tầng 1 thông sàn để xe, mỗi tầng 2 phòng khép kín, tổng 14phòng khép kín full đồ như hình, đã full phòng, doanh thu 80 triệu/tháng.+ Vị trí siêu hiếm, ngay mặt hồ Quan Nhân vị trí cực kì hiếm! Sau Quy Hoạch đường vành đai 2.5 và đường Quan Nhân vị trí lại cực đẹp.Sổ đỏ đẹp, sẵn sàng giao dịch.+Giá nhẹ nhàng 11x tỷ  alo 0862662268 em Hùng",15/11/2022,Tin thường,batdongsan_so_com_vn_1673787648.3086
"3,95 tỷ VNĐ",Vũ Tông Phan, 33m2, 4,, 5, 3,,"NGÕ THÔNG VÒNG QUANH - NHÀ DÂN XÂY- Ở SƯỚNG - TẶNG FULL NỘI THẤT Mô tả: + Nhà rất gần phố, ngõ cực nông, phân lô vòng quanh. + Vị trí đẹp, trước nhà thoáng sáng, giao thông thuận tiện, khu vực an sinh đỉnh, dân trí cao. Ngõ thông tứ phía. + Nhà cách mặt phố Vũ Tông Phan 20m từ nhà nhìn ra MP thoải mái . + Thiết kế: - Tầng 1: Khách, bếp - Tầng 2: Mỗi tầng 1 phòng ngủ rộng - Tầng 3+4: Mỗi tầng 1 phòng ngủ+ 1 nhà vệ sinh - Tầng 5: phòng thờ+ sân phơi. + Phòng nào cũng có cửa sổ, ban công thoáng sáng. +Sổ đỏ chính chủ, sẵn sàng giao dịch. Liên hệ E Tuyên 0969945393 (miễn trung gian)",15/11/2022,Tin thường,batdongsan_so_com_vn_1673787649.420626
4 tỷ VNĐ,"Đường Ngọc Khánh, Ngọc Khánh, Ba Đình", 35m2, 4, 2, 5, 3, 3,"
    
BÁN KÍNH 200M CÓ KHÁCH SẠN+TRƯỜNG CẤP 1- CẤP 2_CÂY XĂNG -NGÂN HÀNG_ĐÀI TRUYỀN HÌNH
BÃI Ô TÔ_NHÀ HÀNG_TRUNG TÂM THƯƠNG MAI LOTTE_VINHOME GIẢNG VÕ_ TRUNG TÂM QUẬN BA ĐÌNH
......
Nhà 4 tầng đẹp
+ Thiết kế:
- TẦNG 1: KHÁCH + BẾP+WC.
- TẦNG 2: PHÒNG NGỦ RỘNG, WC.
- TẦNG 3: PHÒNG NGỦ RỘNG, WC
-TẦNG 4 : PHÒNG THỜ+SÂN PHƠI

+ Sổ đỏ chính chủ giao dịch ngay.
-Liên hê ngay : 0945550369
",15/11/2022,Tin thường,batdongsan_so_com_vn_1673787650.4169602
"3,6 tỷ VNĐ","Đường Hà Trì, Hà Cầu, Hà Đông", 34m2, 5, 9, 5, 4, 3,"Chính chủ bán nhà Hà Trì, Hà Đông diện tích 34m2 giá 3.6 tỷ có thỏa thuận  GẦN Ô TÔ - GẦN PHỐ - NHÀ ĐẸP - Ở LUÔN - GIÁ TỐT  + Diện tích 34m2 5 tầng giá 3.6 tỷ có thỏa thuận + Nhà chưa đánh số. ACE đi video của ĐC Ngõ 1 Hà Trì 4 ( cạnh ngã 4 Hà Trì 4)  Thiết kế:  T1 : Phòng bếp + nhà để xe rộng T. Lửng : Phòng khách T2+T3+T4 : Mỗi tầng 1 Phòng ngủ rộng và WC T5 : Phòng thờ + sân phơi + Sổ đỏ đẹp nở hậu. + Liên hệ em Tuấn Anh 0877.793.393 để xem nhà miễn phí ",15/11/2022,Tin thường,batdongsan_so_com_vn_1673787651.5529547
5 tỷ VNĐ,"mai dịch, cầu giấy", 33m2,,,,,,"- Vị trí hiếm có, phân lô quân đội, ô tô tránh chạy vòng quanh, di chuyển thuận tiện qua Phố Hồ Tùng Mậu, Doãn Kế Thiện, Nguyễn Khả Trạc…- Nhà thiết kế hiện đại, sàn gỗ Lim, Nội thất đầy đủ.Chủ để lại toàn bộ nội thất, khách mua mang quần áo đến ở luôn.Thiết Kế: 6 tầng đầy đủ công năng, trang thiết bị nội thất đồng bộ cao cấp, chủ mới chỉ việc sách đồ về ở luôn- Sổ đỏ chính chủ sẵn sàng giao dịchGiá bán: 5.75 tỷ (có TL)Liên hệ: 0945996567 (Thành)Bán nhà mai dịch, phân lô, ngõ thông, oto đỗ cửa, hiếm nhà bán, 5 tầng, hơn 5 tỷ",15/11/2022,Tin thường,batdongsan_so_com_vn_1673787653.3204968
2 tỷ VNĐ,"Đường Ngọc Thụy, Long Biên, Long Biên", 20m2, 2, 11, 3, 2, 2,"Hiếm có khó tìm, nhỉnh 2 tỷ có nhà mặt phố Ngọc Thuỵ, Dt20m, nhà 2.5 Tầng. + Nhà mặt ngõ to như phố ( 2 ô tô tránh) kinh doanh tốt đỉnh + Nhà 2,5 tầng chắc chắn, khu vực ít nhà bán. Hiện chủ đang cho thuê 6tr/ tháng. + Sổ đỏ chính chủ vuông như A4. LH:Giang Bất động sản: Chuyên thổ cư , Đất nền, Chung cư, Tư vấn phong thủy, Hỗ trợ ngân hàng. Hỗ trợ thiết kế nhà.  Tuyển dụng đào tạo Bất Động Sản chuyên nghiệp. Nhận mua bán, ký gửi nhà.2265/15140/1162 #Ngocthuy ",15/11/2022,Tin thường,batdongsan_so_com_vn_1673787666.6025023
"9,6 tỷ VNĐ","Đường Mạc Thái Tổ, Yên Hòa, Cầu Giấy", 40m2, 4, 1, 5, 4, 4,"PHÂN LÔ - KINH DOANH- NGÕ Ô TÔ THÔNG - KHU VỰC RẤT HIẾM NHÀ BÁN Mô tả: + Nhà cách mặt phố Mạc Thái Tổ chỉ 5m. Ngõ thông sang ngõ 219 Trung Kính, ô tô 16c chạy vòng quanh. Khu vực an sinh đẳng cấp. + Nhà dân xây, KCBT chắc chắn, thửa đất vuông vắn, cân đối, mặt tiền rộng. Phù hợp vừa ở vừa làm văn phòng, kinh doanh spa, thời trang, nội thất … + Thiết kế mỗi tầng 1 phòng, 1 vệ sinh. + Sổ đỏ chính chủ, Giá 9.6 tỷ ( Có thương lượng) Mọi chi tiết liên hệ ngay Em Hải Cương để xem và sở hữu ngay căn nhà tuyệt vời này!",15/11/2022,Tin thường,batdongsan_so_com_vn_1673787669.7294326
4 tỷ VNĐ,"Đường Tư Đình, Long Biên, Long Biên", 54m2, 4, 2, 3, 2, 2,"Mua nhà mặt phố cần bán nhanh nhà Tư Đình Dt 54m, 2.5 Tầng, Giá nhỉnh 4 tỷ. + Vị trí: Khu dân cư văn minh, cách trường mầm non, trường Tiểu học Long Biên chỉ 300m. + Cách cầu Trần Hưng Đạo, Vĩnh Tuy chỉ 200m. Ra Aeonmall tầm 5p.  + Nhà vị trí thuận tiện, ngõ rộng. + Chủ xây tâm huyết + Nhà thiết kế: -Tầng 1: Phòng khách + bếp -Tầng 2: 2 phòng ngủ + WC. -Tầng 3: (Tum là, phòng thờ, khu giặt, sân vườn) LH:Giang Bất động sản: Chuyên thổ cư , Đất nền, Chung cư, Tư vấn phong thủy, Hỗ trợ ngân hàng. Hỗ trợ thiết kế nhà.  Tuyển dụng đào tạo Bất Động Sản chuyên nghiệp. Nhận ...
",15/11/2022,Tin thường,batdongsan_so_com_vn_1673787671.023871
46 tỷ VNĐ,"Đường Xã Đàn, Nam Đồng, Đống Đa", 75m2, 5, 30, 7, 7, 9,"💥 TOÀ BUILDING 7T THANG MÁY MẶT PHỐ VIP XÃ ĐÀN, ĐỐNG ĐA 75M2 MT 5M, LÔ GÓC, CHỈ 46 TỶ 💥 ⭕️ LH NGAY 0982833366 ----------------------------TOÀ BUILDING 7 TẦNG MẶT PHỐ VIP XÃ ĐÀN - LÕI ĐỐNG ĐATHÔNG SỐ CỰC ĐẸP, 75M2 MT 5M, 2 MẶT PHỐ + 1 MẶT NGÕ- Sổ 64m , xây thực tế từ tầng 1 là 75m (5 x 15) vuông đét. - Nhà mới, hoàn thành cuối 2017. 7 tầng thông sàn + 1 lửng + Thang máy vù vù- Phù hợp mọi loại hình văn phòng, kinh doanh- HĐ thuê 5 năm , 100tr/tháng. - Sổ đỏ đẹp, vuông vắn, giao dịch ngay----------------------------🚀 GIÁ BÁN CHỈ: 46 TỶ (NHÀ THẬT+THÔNG TIN THẬT+ẢNH THẬT+GIÁ THẬT)---------------------------- ☎️ LH: PHƯƠNG_NHÀ_PHỐ 0982833366  ZALO 0902223785 (Chuyên mặt phố, biệt thự, nhà ngõ ô tô Hà Nội).Kết nối trực tiếp chủ nhà, giúp ACE mua giá tốt nhấtMiễn phí tư vấn, xem nhà 100%...----------------------------DÀNH CHO ACE CÓ NHU CẦU TÌM NHÀ HÀ NỘI - MIỄN PHÍ LỌC VÀ XEM NHÀ 100%Liên hệ: Mr Phương_Nhà_Phố (1981) 0982833366 - 0902223785 (FB/ZALO - 24/7)   Chỉ tiếp khách có nhu cầu mua thực, khách xem cho vui hoặc không có quyền quyết xin phép không tương tác vì CV mình rất bận.Với kinh nghiệm nhiều năm trong lĩnh vực bất động sản, Phương_Nhà_Phố sở hữu thông tin hàng ngàn căn nhà với đủ phân khúc lớn nhỏ từ vài tỷ cho đến hàng trăm tỷ, vị trí đẹp, tính thanh khoản cao, đáp ứng đầy đủ nhu cầu ở, đầu tư sinh lời của các khách hàng, tại các khu vực quận trung tâm Hà Nội như Đống Đa, Ba Đình, Hoàn Kiếm, Cầu Giấy, Thanh Xuân, Hai Bà Trưng... giúp hàng trăm chủ nhà và khách hàng tìm được căn nhà ưng ý, tôi sẵn sàng hỗ trợ và tư vấn với sự nhiệt tình, kinh nghiệm để đưa đến những thông tin nhanh và chính xác nhất, không làm mất công sức thời gian của ACE tin tưởng CÁC LĨNH VỰC BĐS THƯỜNG HOẠT ĐỘNG1. Biệt thự, nhà ở đẳng cấp, yên tĩnh, sân vườn2. Nhà mặt phố , tòa nhà văn phòng3. Nhà dòng tiền: Khách sạn, Nhà hàng, Apartment, Homestay, Chung cư Mini cho thuê4. Nhà mặt ngõ ô tô, Nhà phân lô các khu vực VIP Hà Nội5. Chung cư, tập thể, nhà để ở theo từng phân khúc tài chínhLiên hệ ngay để được tư vấn và tham khảo nguồn hàng phù hợp nhất. Xin cảm ơn!!!!!!!!!",15/11/2022,Tin thường,batdongsan_so_com_vn_1673787672.167773
