price,address,Diện tích,Mặt tiền,Số tầng,Details,Ngày đăng,Loại tin,id,Lộ giới,Số phòng ngủ,Số toilet
40 tỷ VNĐ,Hoàng Văn Thái, 95m2, 7, 9,"Bán tòa văn phòng 9 tầng mặt phố Hoàng Văn Thái - Thanh Xuân...Dt95m2, Mặt tiền 7,4m.- Nhà xây mới 8 tầng nổi 1 tum và 1 tầng hầm, Thiết kế hiện đại, Mỗi tầng là 1 sàn Văn Phòng rộng với hệ thống điều hòa âm trần DAIKIN, Tầng 8 là 1 phòng ăn kết hợp phòng khách sang trọng.- Toàn bộ đá ốp mặt tiền và thang máy là đá Marble nhập từ Brazil, Cửa gỗ Lim và Nhôm Xingfa, Thang máy nhập khẩu chính hãng Mitsubishi 850kg, Thiết bị vệ sinh American Standard, Hệ thống phòng cháy hiện đại.-Vị trí: Giao thông thuận tiện nằm gần ngã tư sở Đường Trường Chinh, Lê Trọng Tấn, các trường đại học và các bệnh viện cách khoảng 1km.- Tiện ở, làm văn phòng, khách sạn, cho thuê, kinh doanh, spa, trung tâm dạy tiếng- Sổ đỏ chính chủ. GIÁ = 40 tỷ (bao phí sang tên).- LH: A Tình 0941597734 - 0908395135",24/11/2020,Tin thường,batdongsan_so_com_vn_1673815689.715589,,,
75 tỷ VNĐ,Nam Trung Yên, 184m2, 13,,"Bán nhanh toà căn hộ cao cấp 3 sao mặt vườn hoa trung tâm Nam Trung Yên....Dt184m2, Mặt tiền 13m+ Xây 7 tầng nổi 1 tầng hầm, 22 căn hộ cao cấp đầy đủ tiện nghi nội thấy, Hệ thống điều hoà Daikin, Ốp đã Granit Nhập khẩu, Hệ thống phòng cháy và máy phát điện tự động đạt tiêu chuẩn+ Vị trí đắc địa, giao thông kết nối vùng rất thuận tiện gần siêu thị BigC và trung tâm hội nghị Quốc Gia. Toà nhà hoàn thành 10-01-2020, Đường và hè rộng 30m. Khu văn phòng đông đúc+ Đã có hợp đồng cho thuê dài hạn 190 Triệu/ tháng, Sổ đỏ chính chủ. Giá bán: 75 tỷ( bao phí sang tên).+ LH: A Tình 0941597734 - 0908395135",26/11/2020,Tin thường,batdongsan_so_com_vn_1673815691.0909097,,,
50 tỷ VNĐ,Nguyễn Xiển, 160m2, 6, 8,"   ​Bán nhà mặt phố Nguyễn Xiển, phường Hạ Đình, Thanh Xuân, Hà Nội... DT 160m2, MT 6,6m có thang máy, đường hè rộng 6m.   Nhà 2 mặt phố thoáng trước sau. Xây dựng: Thiết kế dạng văn phòng từ 01 - 07 thông sàn; tầng 08 là bếp và phòng ăn rộng thoáng.   Tòa nhà được thiết kế hiện đại, nội thất ngoại nhập theo phong cách Châu Âu, công năng sử dụng hoàn hảo. Vị trí cực đẹp, kinh doanh sầm uất, giao thông cực kỳ thuận tiện gần với các trung tâm thương mại lớn, các trường đại học nổi tiếng, bệnh viện lớn, rất phù hợp làm Trung tâm Ngoại ngữ, showroom, phòng khám, thẩm mỹ viện.    Vị trí thuận tiện ra: Hà Đông - Linh Đàm - Nguyễn Trãi - Khuất Duy Tiến - Lê Văn Lương...Giá bán: 50 tỷ. Sổ đỏ chính chủLHCC: 0941597734​",26/11/2020,Tin thường,batdongsan_so_com_vn_1673815692.2697554,,,
64 tỷ VNĐ,Dịch Vọng Hậu, 150m2, 8,,"  Chính chủ bán toà nhà 8 tầng mặt phố Dịch Vọng Hậu khu Duy Tân, quận Cầu Giấy. Diện tích 150m2 mặt tiền 8.2m...  Nhà thiết kế mới hiện đại theo kiến trúc Văn Phòng, xây dựng từ tầng 1--6 mỗi tầng là 1 sàn văn phòng rộng với hệ điều hòa âm trần, tầng 7 thiết kế 2 phòng ngủ, tầng 8 gồm nhà bếp và phòng khách sang trọng, 1 hầm, 1 tum hoàn thiện full nội thất cao cấp dạng văn phòng, toàn bộ mặt ngoài ốp kính hiện đại, sang trọng.  Toà nhà nằm trong khu vực trung tâm quận Cầu Giấy nơi tập trung nhiều sở ban ngành và trụ sở nhiều tập đoàn lớn, kết nối giao thông thuận tiên.  Giá bán: 64 tỷ sang tên sổ đỏ. Sổ đỏ chính chủ  Lhcc: 0941597734 (MTG)",27/11/2020,Tin thường,batdongsan_so_com_vn_1673815693.4256635,,,
36 tỷ VNĐ,Mễ Trì Thượng, 127m2, 6, 9,"Cần bán gấp tòa nhà Văn Phòng 9 tầng mặt phố Mễ Trì Thượng gần ngã ba Đồng Me. Diện tích 127m2, Mặt tiền 6m.Nhà thiết kế theo kiểu văn phòng, xây 8 tầng nổi 1 tum và 1 hầm. Mỗi tầng là 1 sàn văn phòng rộng. Điều hòa âm trần nhập khẩu, thiết bị vệ sinh và thiết bị điện nhập khẩu chính hãng cao cấp.Vị trí năm gần ngã 3 Đồng Me đường thông ra Trung tâm hội nghị quốc gia.Giá bán 36 tỷ ( có thương lượng). Sổ đỏ chính chủLH: A Tình 0941597734",15/05/2021,Tin thường,batdongsan_so_com_vn_1673815694.66136,,,
48 tỷ VNĐ,Vũ Tông Phan, 100m2, 9,,"Tôi cần bán tòa nhà Văn Phòng 8 tầng mặt phố Vũ Tông Phan Diện tích 100m2, Mặt tiền 9,2m rất hiếm khi có mặt tiền to, vỉa hè rộng 6m.Nhà thiết kế theo kiểu văn phòng 8 tầng 1 tum và 1 hầm. Mỗi tầng là 1 sàn văn phòng rộng điều hòa âm trần nhập khẩu chính hãng, hệ thống PCCC đầy đủ, thiết bị điện và vệ sinh cao cấp.Vị trí đắc địa khu tập trung nhiều Cty, giao thông thuận tiện, dân trí cao, hiệu suất đầu tư cho thuê rất cao thích hợp với các kiểu kinh doanh như làm văn phòng Cty, thẩm mỹ viện và trung tâm đào tạo.Giá bán 48 tỷ ( có thương lượng). Sổ đỏ chính chủ.LH A Tình 0941597734 Để được trực tiếp xem nhà.",24/05/2021,Tin thường,batdongsan_so_com_vn_1673815695.9708543,,,
80 tỷ VNĐ,Trần Thái Tông, 185m2, 10,,"Bán tòa nhà Văn phòng 8 tầng mặt ngõ 84 phố Trần Thái Tông cách mặt phố 50m....DT 185m2, Mặt tiền 10m, thiết kế 7 tầng nổi 1 tầng hầm để xe, nhà mới xây 2019,Đường + vỉa hè 20m, nhà thiết kế thông sàn, sàn thông từ tầng 1 đến tầng 8.Nội ngoại thất hiện đại, cao cấp, thang máy Mitsubitsi, điều hòa tổng Daikin.Vị trí năm gần ngã tư Trần Thái Tông - Thọ Tháp và Duy Tân Giao thông thuận tiện, khu vực tập trung nhiều văn phòng Cty, phù hợp làm Văn Phòng, Siêu thị, Công ty, Kinh doanh tốt, cho thuê dễ, giá caoSổ đỏ chính chủ. Giá bán 80 tỷ (có thương lượng)Lh: A Tình 0941597734 - 0908395135Liên hệ để được tư vấn, xem nhà hoàn toàn miễn phí).📞 Chi tiết vui lòng liên hệ theo thông tin bên dưới để trao đổi hoặc thương lượng thêm!Công ty chúng tôi chuyên tư vấn - thiết kế - thi công - cung cấp các tòa nhà văn phòng - khách sạn trong TP Hà Nội.Trân trọng cảm ơn Anh/Chị, các bạn đã xem tin đăng này!",27/08/2021,Tin thường,batdongsan_so_com_vn_1673815697.1088097,,,
73 tỷ VNĐ,Lê Đức Thọ, 210m2, 14, 9,"Bán gấp gấp toà khách sạn 9 tầng Đường Lê Đức Thọ, vị trí đắc địa.Diện tích 210m2, mặt tiền 14 m.Tòa nhà xây 9 tầng : 8 tầng nổi và 1 tầng hầm, Với 45 phòng khép kín sang trọng đạt tiêu chuẩn.Phòng cháy do sở phòng cháy thi công và cấp phép.Sổ đỏ và giấy phép xây dựng chính chủ, vị trí rất phù hợp cho khách nước ngoài Hàn Quốc và Nhật Bản.Hiện đang cho đối tác thuê 200tr/th, khách thuê thanh toán 1 năm 1 lần, cọc 1,6 TỶGIÁ BÁN= 73 tỷ (bao phí sang tên).📞 Lh: A Tình 0941597734( Liên hệ để được tư vấn, xem nhà hoàn toàn miễn phí).Trân trọng cảm ơn Anh/Chị, các bạn đã xem tin đăng này!",30/11/2021,Tin thường,batdongsan_so_com_vn_1673815698.419304,,,
60 tỷ VNĐ,Nam Đồng, 135m2, 6,,"Bán tòa nhà Văn Phòng mặt phố Nam Đồng gần ngã tư Xã Đàn - Trung Phụng Quận Đống Đa. Diện tích 135m2, Mặt tiền 5,8m....+ Nhà thiết kế theo kiểu văn phòng gồm 8 tầng nổi 1 tum và 1 hầm. Mỗi tầng là 1 sàn văn phòng rộng điều hòa âm trần nhập khẩu chính hãng, thang máy hiện đại đại, cao cấp. Thiết bị vệ sinh và thiết bị điện nhập khẩu chính hãng cao cấp.+ Nhà 2 mặt phố Nam Đồng và Đặng Văn Ngữ kinh doanh dòng tiền ổn định doanh thu khoảng 200tr/tháng mặt phố rất ít nhà bán, vỉa hè rộng ôtô tránh+ Vị trí cực đẹp cách Hồ Đắc Di 100, đây là khu phố kinh doanh sầm uất, gần phố Xã Đàn phù hợp mọi loại hình kinh doanh như Văn Phòng, Trung tâm tiếng Anh, thẩm mỹ viện, Spa...+ Sổ đỏ chính chủ, vuông đét. Giá bán: 60 tỷ ( bao phí sang tên).📞 LH: A Tình 0941597734(Liên hệ để được tư vấn, xem nhà hoàn toàn miễn phí).Trân trọng cảm ơn Anh/Chị, các bạn đã xem tin đăng này!",30/11/2021,Tin thường,batdongsan_so_com_vn_1673815700.314559,,,
65 tỷ VNĐ,Nguyễn Khang, 120m2, 8,,"Bán toà nhà mặt phố Nguyễn Khang- Vũ Phạm Hàm quận Cầu Giấy. Dt 120m2 Mt 8m. Nhà Thiết kế 8 nổi 1 tum và 1 hầm. Mỗi tầng là 1 sàn văn phòng rộng. Hai mặt tiền thoáng trước thoáng sau.Phù hợp vừa ở vừa làm văn phòng, phòng khám, Spa, ngân hàng.Toàn bộ trang thiết bị hiện đại nhập khẩu.Thiết bị vệ sinh nhập khẩu chính hãng American Standard. Thang máy nhập khẩu chính hãng Mitsubishi. Điều hòa Daikin cassette âm trần. Thiết bị điện Philips, dây cáp điện Trần Phú.Giá bán 65 tỷ. Sổ đỏ chính chủ.📞 LH: A Tình 0941597734( Liên hệ để được tư vấn, xem nhà hoàn toàn miễn phí).Trân trọng cảm ơn Anh/Chị, các bạn đã xem tin đăng này!",01/12/2021,Tin thường,batdongsan_so_com_vn_1673815701.5846305,,,
200 tỷ VNĐ,Hàng Chuối, 230m2, 11,,"Bán toà nhà văn phòng vip 9 tầng mặt phố Hàng Chuối vị trí gần ngã tư Hàn Thuyên (phối cảnh 3D của toà nhà kèm theo). DT 230m2, mặt tiền 11m, Toà nhà lô góc 3 mặt tiền. Nhà Xây 8 tầng nổi và 1 tầng hầm, hai thang máy nhập khẩu nguyên bộ Mitsubishi, hệ thống điều hoà trung tâm Daikin, a thiết bị vệ sinh Toto, vách kính mặt tiền Eurowindow 2 lớp cách âm cách nhiệt, hệ thống phòng cháy hiện đại đúng tiêu chuẩn.Sổ đỏ chính chủ. Giá bán: 200 tỷ (có thương lượng).📞 Lh: A Tình 0941597734( Liên hệ để được tư vấn, xem nhà hoàn toàn miễn phí).Trân trọng cảm ơn Anh/Chị, các bạn đã xem tin đăng này!",11/12/2021,Tin thường,batdongsan_so_com_vn_1673815702.7176003,,,
51 tỷ VNĐ,Nguyễn Khang, 165m2, 8,,"   Bán gấp toà nhà 9 tầng mặt phố Nguyễn Khang cũ vị trí nằm ngay ngã ba phố Vũ Phạm Hàm và Nguyễn Khang....Dt165m2, mt8,2m. Nhà xây 8 tầng nổi và 1 tầng hầm, kiến trúc văn phòng mỗi tầng là 1 sàn văn phòng rộng... Tầng 8 là 1 phòng ăn kết hợp phòng khách sang trọng, toàn bộ đá ốp mặt tiền và thang máy là đá nhập khẩu, Thang máy nhập khẩu chính hãng Mitsubishi 650kg, Thiết bị vệ sinh và Hệ thống phòng cháy hiện đại.

Giá bán: 51 tỷ(bao phí sang tên). Sổ đỏ chính chủ.📞 LH: A Tình 0941597734( Liên hệ để được tư vấn, xem nhà hoàn toàn miễn phí).Trân trọng cảm ơn Anh/Chị, các bạn đã xem tin đăng này!“Xin quý khách xem Phối cảnh 3D của toà nhà kèm theo nội dung tin đăng”.
",13/12/2021,Tin thường,batdongsan_so_com_vn_1673815703.855558,,,
