price,address,Lộ giới,Số tầng,Details,Ngày đăng,Loại tin,id,Diện tích,Mặt tiền,Số phòng ngủ,Số toilet,Hướng
,"Đường Lê Đức Thọ, Mỹ Đình 2, Nam Từ Liêm", 4, 5,"
    Bán nhà đẹp Lê Đức Thọ quận Nam Từ Liêm Ô TÔ LÔ GÓC NỞ HẬU KINH DOANH 5 tầng 4.65 tỷ 0812.159.368+ Nhà ở vị trí đắc địa, giao thông thuận tiện đến Mỹ Đình, Hàm Nghi, Hồ Tùng Mậu, Cầu Giấy, Phạm Hùng…+ Chủ xây tâm huyết, thiết kế hiện đại, nhà đẹp long lanh.+ Sổ đỏ đẹp, nở hậu, chính chủ sẵn sàng giao dịch. + LH : Trung Đạo 0812.159.368 . Chuyên Bất động sản nhà đất Hà Nội, dẫn Khách xem nhà và tư vấn miễn phí (MG vui lòng không liên hệ).
",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791762.4089398,,,,,
13 tỷ VNĐ,"Đường vương thừa vũ, khương trung, Thanh Xuân", 5, 4,"Vương Thừa Vũ, Phường Khương Trung, Quận Thanh Xuân, Hà NộiBán nhà sát mặt phố Vương Thừa Vũ, nhà 2 mặt thóang trước và sau, Ô tô vào nhà, nhà để ở hoặc kết hợp Kinh doanh Văn phòng đều rất đẹp.- Nhà nằm sát mặt phố Vương Thừa Vũ, cách mặt phố 10m, thông thương các tuyến phố Trường Chinh, Ngã Tư Sở, Hoàng Văn Thái, Nguyễn Ngọc Nại, Tô Vĩnh Diện. Là khu phân lô quân đội, dân trí cao, an sinh cực tốt, thông thoáng thuận tiện, rất nhiều tiện ích. Nhà nằm ngay đầu tuyến phố nên chỉ cách đường Trường Chinh khoảng 50m, đi lại rất thuận tiện.- Nhà ở vị trí đắc địa, vượng khí, được thiết kế hiện đại, xây dựng 4 tầng, nội thất nhập khẩu 5* đầy đủ công năng sử dụng, chủ nhà thiện chí tặng lại hết- Diện tích: 95m2 x 4 tầng, mặt tiền 5m, pháp lý sổ đỏ chính chủ.- Giá: 13.95 tỷ, có thương lượng cho ai thiện chí mua.- Miễn môi giới và trung gian..!Liên hệ: đt (hoặc Zalo Võ Cảnh) để được tư vấn, xem nhà hoàn toàn miễn phí). Nhấn để hiện số: 0942663692",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791763.5139909, 95m2, 5, 4, 3,
"4,45 tỷ VNĐ",P.Trương Định quận Hai Bà Trưng Hà Nội,, 5,"+ Nhà siêu phẩm diện tích 45m2 kết cấu 5 tầng, mặt tiền 5m, ngõ vào nhà 4m. Có tổng 4 phòng ngủ rộng. Không có căn thứ 2. + Nhà chủ xây rất tâm huyết, nhà vuông đẹp, sổ đỏ chính chủ. + Cách ô tô chưa đến 20m, ngõ vào cực rộng và thoáng Khu vực dân trí cao, an ninh tốt, hàng xóm thân thiện trí thức. Xung quanh kinh doanh sầm uất, bãi đỗ xe, tiện ích bao trùm… cho cuộc sống an lành bền vững gia đình 2-3 thế hệ. Nếu không ở cho thuê với dòng tiền khủng. Giá chỉ : 4.45 tỷ Liên hệ: Đức Kiệt 0386826403 ( Gọi hoặc inbox 24x24g) Miễn phí xem nhà -  Nguồn hàng phong phú – Nhiệt tình tận tâm – Hỗ trợ 24/24g Cảm ơn Quý anh/chị cô/bác đã quan tâm!",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791764.692836, 45m2, 5, 4,,
"6,6 tỷ VNĐ","Đường Minh Khai, Vĩnh Tuy, Hai Bà Trưng", 18, 18,"
    Chính chủ bán căn 3pn T10 - Diện tích: 116.7m - Giá 6,6 tỷ - View nhạc nước, căn hộ nguyên bản, toà VIP thiết kế đẹp- Có sổ đỏ, có slot ô tô trong HĐLiên hệ : 0926928668 để xem nhà
",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791765.9734092, 117m2, 9, 3, 3, Đông nam
"6,25 tỷ VNĐ","Đường Láng, Láng Thượng, Đống Đa", 3, 4,"
    Cực Hiếm ! Bán nhà Láng, Chùa Láng, Đống Đa 77m 4 tầng Ô tô 6,x tỷ
- Vị trí đẹp, Trung tâm phát triển cực đỉnh, Hàng xóm Các Trường Đại Học Ngoại Thương, Đại Học Giao thông Vận tải..
- Giao thông thuận tiện, đường thông các ngả. Đường Láng, Chùa Láng, Cầu giấy, Trần Duy Hưng, Nguyễn Chí Thanh..
- Sổ CC, sẵn sàng sang tên nhanh gọn.
- Giá thương lượng, Chủ rất thiện chí.
- Xem nhà, tư vấn, pháp lý liên hệ Mr Đức Nhà Đẹp 0898839292 - 0812212525.
",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791767.185168, 77m2, 4, 5, 4,
4 tỷ VNĐ,"Đường Trần Cung, Nghĩa Đô, Cầu Giấy", 5, 5,"HIẾM CÓ KHÓ TÌM   NHÀ ĐẸP TRẦN CUNG - DÂN XÂY 5 TẦNG - 10M RA OTO - 40M RA MẶT PHỐ - GIÁ CHỈ 4 TỶ- Nhà dân xây, full nội thất khách về ở ngay- Ngõ trước nhà ba gác quay đầu, vị trí đỉnh của chóp- Cách đường oto chỉ 10m, 40m ra mặt phố, ngõ thông đi lại thuận tiện- Gần bến xe MỸ ĐÌNH, XUÂN ĐỈNH, gần chợ, gần trường học các cấp,… khu vực đang phát triển từng ngày, giá trị không ngừng gia tăngKhu vực dân trí cao, an ninh tốtLH: Đạt 056.562.1234",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791769.1309643, 40m2, 4, 4, 3,
4 tỷ VNĐ,"Đường Cầu Giấy, Xuân Thủy, Cầu Giấy", 5, 5,"Mình chuyển công tác nên cần bán gấp nhà ở Đường Cầu Giấy :45m2x5 tầng chỉ 4Tỷ + . Gần phố, chợ trường, sinh hoạt cực tiện.+ Nhà xây cực cẩn thận, chăm chút từng tý 1.+ nhà trang bị hiện đại, khóa vân tay, mã số, từ.. các kiểu luôn.+ thiết kế tầng 1 phòng. + t2,3,4: mỗi tầng 1 phòng, vs+ tầng 5: phòng thờ sân phơi+ sổ riêng, vuông đét ss giao dịch liên hệ trực tiếp 056.562.1234",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791770.7556174, 45m2, 4, 4, 3,
"4,75 tỷ VNĐ","Đường Mai Dịch, Mai Dịch, Cầu Giấy", 1, 4,"Chủ nhà ăn ra làm lên bán nhà ra phốNhà nằm vị trí đắc địa, hàng xóm cán bộ văn minhXung quanh tiện ích không thiếu thứ gì, sau nhà là sân chơi công cộng, trường mâgm non, xung quanh gần các trường đại học lớn như Đh thương mại, Đh quốc gia...✅ Thiết kế : Chủ Xây Cực Kì Tâm Huyết:+ Tầng 1: Phòng khách + bếp + wc+ Tầng 2, 3: Mỗi tầng 1 phòng ngủ+wc+ Tầng 5: Phòng thờ sân phơi----------------------------------------------------------------------  📕 Sổ đỏ chính chủ, Sẵn sàng sang tên ngay.👉 Giá bán: 4.75 tỷ (Có thương lượng)",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791772.6256135, 41m2, 1, 2, 3,
"1,25 tỷ VNĐ","Đường Đa Phúc, Quang Tiến, Sóc Sơn",,,"(Hàng Hiếm)bán nhanh 55.2m Bắc Hạ - Quang Tiến, Đường 4.5m thôngTổng diện tích 55.2m full thổMT = 4.1m hướng Tây tứ trạch (Tây Nam).Đường 4.1m thông ô tô đỗ cửa.Cách trục liên thôn 20m.Cách Tỉnh Lộ 200m.Từ lô đất di chuyển tới cổng A khu công nghiệp Nội Bài 800m.Cách đầu cao tốc Nội Bài Lào Cai 2km.Sảnh A sân bay Nội Bài 3km.",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791774.0737412, 55m2, 4,,,
"11,8 tỷ VNĐ","Đường Lạc Trung, Thanh Lương, Hai Bà Trưng", 2, 6,"NHÀ ĐẸP LUNG LINH, Ô TÔ ĐỖ CỬA- Ô TÔ VÀO NHÀ, THANG MÁY SỊN, KINH DOANH VĂN PHÒNG. MẶT TIỀN 4M Mô tả: +Nhà thiết kế 6 tầng khung cột rất chắc chắn, thửa đất vuông vắn như tờ A4, sổ đỏ chính chủ, pháp lý sạch sẽ, sẵn sàng giao dịch. +Tầng một thông sàn, Ga Ra Ô TÔ. Cầu thang máy và cầu thang bộ ở giữa.+Tầng 2 là phòng khách, phòng ăn, bếp, cầu thang và wc ở giữa.+Tầng 3,4,5 mỗi tầng 2 phòng ngủ wc khép kín. Tổng 6 phòng ngủ.+Tầng 6 là phòng thờ sân phơi rất rộng.+Nhà gần trường học, bệnh viện Thanh Nhàn, gần siêu thị và nhiều ngân hàng. Khu vực dân cư đông đúc dân trí cao, an sinh xã hội cực tốt. Nhà kính doanh gì cũng được. Liên hệ: Mr Hoà 0904469633 để được tư vấn miễn phí.",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791776.2544196, 60m2,, 6, 6,
