price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Mặt tiền,Hướng
"2,3 tỷ VNĐ",Bạch Mai - Hà Nội, 45m2,"+ Nhà lão thành cách mạng xây kiên cố vững chắc như bàn thạch,+ Diện tích:45m2, 3 tầng + Vị trí nhà rất đẹp, cách đường oto 3 bước chân    +Nằm ở trung tâm quận Hai Bà Trưng thuận tiện đi lại tới các khu vực trung tâm trong thành phố như Bạch Mai, Giải Phóng , Trần Khát Chân ,Đại Cồ Việt……..+Khu dân trí cao của khu Hai Bà Trưng hang xóm toàn  giảng viên và giáo viên của các trường đại học lớn  giao thông thuận tiện sang các khu vực trung tâm như Bạch Mai , Giải Phóng , Đai Cồ Việt, Phố Huế,…..gần các trường đại học lớn Bách Khoa, Xây Dựng, Kinh tế quốc dân,+ Giá đẹp trong khu vực Hai Bà Trưng +sẵn sàng giao dịch + giá: 2.3 tỷ (có thương lượng). Chi tiết LH: Nhật Nhà Đất  0977194820 (Chuyên Nhà đất Thổ cư với nguồn hàng Hơn 6000 Căn Nhà  Lớn nhỏ Từ 1 – 100 Tỷ trên khắp địa bàn Hà Nội sẵn sàng giúp Khách hàng tìm được những căn nhà ưng ý nhất).Lưu ý:-Tận Tâm, Uy tín , Chuyên nghiệp cái Tâm và cái Tầm đặt lên hàng đầu- Không kênh giá chủ nhà- Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý ",17/02/2022,Tin thường,batdongsan_so_com_vn_1673831928.0225873,,,,
"3,7 tỷ VNĐ",Thanh Nhàn - Hà Nội, 50m2,"Thiết kế hiện đại tận dụng toàn bộ không gian sử dụng của ngôi nhà cực thoáng.Nhà xây 4 tầng trên thiết kệ hiện đại tiện nghi tâm huyết của chủ nhà dân xây dựng .Cứng cực đẹp ngõ thông thoáng,oto đỗ , thiết kế theo phong cách hiện đại, khu dân trí cao, an ninh đảm bảo, xây dựng khung cột bê tông chắc chắn, sổ đỏ vuông vắn.Nội thất cao cấp, khung cửa gỗ Lim Nam Phi, cầu thang và tủ bếp gỗ tự nhiên, cửa sổ nhôm Xingfa, trần thạch cao Vĩnh Tường, dây điện Trần Phú, hệ thống đèn Led tiết kiệm điện.Vị trí giao thông thuận tiện, sát phố Minh Khai ngõ thông tứ phía, kết nối Đại La, Giải Phóng, Trường Chinh dễ dàng, cách bến xe Giáp Bát 3 km, gần các trường đại học lớn như ĐH Xây Dựng, ĐH Bách Khoa, Đại Học Y, ĐH Kinh Doanh Công Nghệ. Gần các bệnh viện như: BV Bạch Mai, BV Thanh Nhàn, BV 108, BV Vinmec, BV Hồng Ngọc.Chủ nhà trẻ tuổi, làm ăn phát đạt mua nhà to hơn nên cực kỳ thiện trí giá 3.7 tỷ. Chi tiết LH: Nhật Nhà Đất  0977194820 (Chuyên Nhà đất Thổ cư với nguồn hàng Hơn 6000 Căn Nhà  Lớn nhỏ Từ 1 – 100 Tỷ trên khắp địa bàn Hà Nội sẵn sàng giúp Khách hàng tìm được những căn nhà ưng ý nhất).Phương châm làm việc:-Tận Tâm, Uy tín , Chuyên nghiệp cái Tâm và cái Tầm đặt lên hàng đầu- Không kênh giá chủ nhà- Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý. ",19/02/2022,Tin thường,batdongsan_so_com_vn_1673831929.4627335,,,,
"2,8 tỷ VNĐ",Đồng Mác - Hà Nội, 50m2,"Vị trí nhà thuộc hàng đỉnh của đỉnh cách 1 nhà là ra mặt phố Vân Đồn rất đẹp gần ngay khu trung tâm phố cổ. Từ nhà di chuyển thuận lợi lên các tuyến Trần Khát Chân, Nguyễn Khoái, Trần Khánh Dư... Chỉ vài phút là đến Hồ Gươm, công viên Thống Nhất... Phục vụ gia đình đi chơi cuối tuần. Gần nhà là rất nhiều cơ sở hạ tầng tiện ích sống nhiều trường đại học lớn như Bách Khoa, Dược Hà Nội,.. Và nhiều bệnh viện lớn Bưu Điện, Hữu Nghị Việt Xô, Thanh Nhàn... Siêu thị, trung tâm thương mại, mua sắm, giải trí.... Khu vực có rất nhiều dân cư sinh sống sầm uất, dân trí cao, an ninh rất đảm bảo. Căn nhà là tâm huyết bao đời của gia chủ vô cùng kiên cố chắc chắn, là đứa con tinh thần giúp chủ làm ăn ngày càng phát đạt nay đã tậu được nhà mặt phố nên đành dứt ruột bán đi giá chào 2.8 tỷ có gia lộc cho khách hữu duyên. Chi tiết LH: Nhật Nhà Đất  0977194820 (Chuyên Nhà đất Thổ cư với nguồn hàng Hơn 6000 Căn Nhà  Lớn nhỏ Từ 1 – 100 Tỷ trên khắp địa bàn Hà Nội luôn sẵn sàng giúp Khách hàng tìm được những căn nhà ưng ý nhất).Phương châm làm việc:-Tận Tâm, Uy tín , Chuyên nghiệp cái Tâm và cái Tầm đặt lên hàng đầu- Không kênh giá chủ nhà    - Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý.  ",21/02/2022,Tin thường,batdongsan_so_com_vn_1673831930.5757582,,,,
"4,2 tỷ VNĐ","Ngô Quyền, Hà Đông, Hà Nội.", 35m2," # Hiếm có khó tìm căn nhà nằm vị trí trung tâm quận Hà Đông, phường Quang Trung đường Ngô Quyền, vị trí tuyệt vời, an sinh đỉnh, Full nội thất về ở ngay. DT 35m2, 5T giá chỉ 4.2 tỷ. + Nhà đẹp không gian thoáng nên thiết kế rất hợp lý, tổng 4 phòng ngủ, các phòng đều thoáng sáng tràn ngập ánh sáng tự nhiên. + Gần trường học, ngân hàng, chợ Vồ, viện Đa Khoa Hà Đông, cách Bưu Điện Hà Đông, Cầu Trắng, Chợ Lớn Hà Đông khoảng 300m, trung tâm phố tiện ích, giao thông đi lại thuận lợi. + Khu phân lô dân trí cao, hàng xóm thân thiện, an ninh tốt. + Giá 4.2 tỷ ( Có Thương Lượng ). + Sổ đỏ vuông đẹp sẵn sàng giao dịch. # LH SĐT: Tình nhà phố 0906113879 ( chuyên nhà đẹp, nhà phố, nhà tiềm năng, dòng tiền, có uy tín trong giới nhà đất quận Hà Đông, Hà Nội ).",21/02/2022,Tin thường,batdongsan_so_com_vn_1673831931.734657, 5, 4,,
26 tỷ VNĐ,Láng Hạ - Đống Đa - Hà Nội, 50m2,"Bán nhà mặt phố Láng Hạ, quận Đống Đa 50m, 4.5m mặt tiền, KD siêu khủng 26 tỷ. Vị trí: Đẹp nhất phố Láng Hạ, kinh doanh tuyệt vời như Spa, trà sữa, siêu thị, văn phòng, karaoke..vv. Tiện ích: Láng Hạ cắt Đường Láng, kết nối Lê Văn Lương, vỉa hè rộng mênh mông, khai thác cho thuê 60tr/tháng, tự khai thác thì lợi nhuận cực lớn. Nhà gần các trường đại học, các tuyến đường quan trọng của Đống Đa, Cầu Giấy, và Thanh Xuân…vv. Giao thông: Láng Hạ đi Lê Văn Lương, kết nối Giảng Võ, giao cắt đường Láng đi Cầu Giấy, Than Xuân, Trường Chinh…vv. Thiết kế: T1: Kinh doanh. Tầng 2: Kinh doanh. T3: Sử dụng gia đình. T4 sân phơi. Pháp lý: Sổ đỏ chính chủ, vuông vắn như phân lô. Liên hệ: Minh Hoàng 0902253303. Miễn trung gian môi giới.",21/02/2022,Tin thường,batdongsan_so_com_vn_1673831932.798809,,,,
"8,4 tỷ VNĐ","mặt phố Đặng Văn Ngữ, Đống Đa, mặt view Hồ Đắc Di", 115m2,"Chính chủ bán nhà mặt phố Đặng Văn Ngữ, Đống Đa, mặt view Hồ Đắc Di- Nhà tầng 1 - Diện tích: 115m2. Mặt tiền: 5,5m. view hồ. Sổ đỏ chính chủ.- Vị trí phù hợp kinh doanh cửa hàng cafe, nhà hàng ăn.Cả dãy đang là chuỗi cửa hàng ăn uống rất đông khách, đông cao điểm buổi sáng và chiều tối.- Đây là đoạn phố đẹp nhất của phố, có vỉa hè sân bóng rộng 25m. Xe máy và ô tô để trên vỉa hè thoải mái đỗ trước cửa ngày đêm.- Trước mặt là đường 2 chiều ô tô. View Hồ Đắc Di thoáng mát. Tiện ích xung đầy đủ và rất gần. Giao thông thuận tiện đi các tuyến và lên trung tâm thành phố.Nhà thiết kế thông sàn làm cửa hàng- Trước gia đình cho thuê cửa hàng ăn 30tr/tháng- Hiện tại đang là cửa hàng ăn đông khách- Khu vực trung tâm, thuận tiện kinh doanh buôn bán, thiện chí bán nhanh.Giá bán: 8,4 tỷLH chủ nhà: 0988774074 Nguồn:  http://nhadathanoi.net.vn/nha-mat-pho/chinh-chu-ban-nha-mat-pho-dang-van-ngu-dong-da-mat-view-ho-dac-di-3517.html",21/02/2022,Tin thường,batdongsan_so_com_vn_1673831933.9457407, 1,, 5,
"9,8 tỷ VNĐ","Dự án Tài Tâm ngõ 124 Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội", 55m2,"Chính chủ bán nhà liền kề 04 Dự án Tài Tâm ngõ 124 Vĩnh Tuy, Quận Hai Bà Trưng, Hà NộiDiện tích: 55m2 x 6 tầng - Mặt tiền: 5m - Nhà hướng Đông- Nhà xây 6 tầng kiên cố, có thang máy gồm có 4 phòng ngủ, 5 vệ sinh- Vị trí thuận tiện giao thông. An ninh rất tốt. Dân trí caoGiá bán: 9,8 tỷ -  Sổ đỏ chính chủLiên hệ chính chủ: 0912757479
 
 
Nguồn:  http://nhadathanoi.net.vn/biet-thu-lien-ke/chinh-chu-ban-nha-lien-ke-04-du-an-tai-tam-ngo-124-vinh-tuy-quan-hai-ba-trung-ha-noi-3510.html

",21/02/2022,Tin thường,batdongsan_so_com_vn_1673831934.9560387, 6,, 5, Đông
"10,5 tỷ VNĐ",Hà Nội, 74m2,"Ô tô vào nhà - Nội thất Châu Âu - Thang máy xịn - Kinh doanh tốt - Khu phân lô quân đội - Trung tâm Hà Nội - SĐT: 0366 555 258. + Vị trí nhà cực đẹp đường vào nhà ô tô tránh ô tô rộng thông thoáng. +  Khu vực cực hiếm nhà bán, nhà đẹp khách mua về ở luôn. + Giao thông thuận tiện kết nối các tuyến phố như Tôn Thất Tùng, Cù Chính Lan, Vương Thừa Vũ, Trường Chinh, Hoàng Văn Thái, Phạm Ngọc Thạch…Thiết kế 5 tầng, diện tích 74m2. - Tầng 1: Phòng khách (gara ô tô) + Bếp + WC. - Tầng 2, 3, 4: Các phòng + WC. - Tầng 5: Phòng thờ + Sân phơi, kho chứa đồ. + Sổ phân lô chính chủ.Giá chào 10.5 tỷ thương lượng mạnh.Liên hệ tư vấn miễn phí 24/7: 0366 555 258.",21/02/2022,Tin thường,batdongsan_so_com_vn_1673831936.1697905,,,,
17 tỷ VNĐ,Hà Nội, 80m2,"Bán nhà chính chủ phân lô đường ô tô tránh, có vỉa hè, kinh doanh đỉnh phố Quan Nhân, Hà Nội - LH 0856 968 656.Diện tích 80 m2, mặt tiền 6 m, 9 tầng thang máy xịn.Nhà mình mới xây để ở kiên cố chắc chắn, toàn bộ nội thất lắp đặt cao cấp, hiện đại. Nhà thiết kế trước và sau đều là cửa kính, thoáng mát, view tầng 9 có 2 hồ nước cực đẹp.Nội thất có đủ giường, đệm (hãng Dunlopillo Đức), phòng khách để lại bộ bàn ghế gỗ Hương Đỏ đắt tiền.Nội thất xịn, đầy đủ tủ lạnh, bếp điện, lò vi sóng, lò nướng, chỉ việc đến ở thôi ạ.Vị trí địa lý đắc địa, trung tâm Hà Nội, gần nhiều trường học, khu Hapulico, trung tâm thương mại Royal City...Sổ đỏ chính chủ.Giá bán chỉ 17 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hệ trực tiếp chính chủ 0856 968 656.",21/02/2022,Tin thường,batdongsan_so_com_vn_1673831937.4484599,,,,
18 tỷ VNĐ,Hà Nội, 80m2,"Gia đình cần bán gấp tòa nhà 9 tầng mặt phố Hạ Đình, view hồ Hạ Đình - LH: 0856 968 656.Mặt phố to, vỉa hè rộng, kinh doanh sầm uất, phù hợp vừa ở vừa khai thác cho thuê hoặc tự kinh doanh mọi dịch vụ.Vị trí đắc địa xung quanh đầy đủ các tiện ích, trường học các cấp, siêu thị, khu vui chơi thể dục thể thao…Căn nhà nằm trên mặt hồ thoáng mát, giao thông thuận tiện.Mô tả:Diện tích 80m2, 9 tầng, trang bị thang máy xịn, thiết kế hiện đại, sang trọng.  - Tầng 1 đến tầng 8: Thiết kế đẹp đầy đủ tiện nghi.  - Tầng 9: Phòng thờ, sân phơi, vườn hoa tiểu cảnh.Nội thất hoàn thiện đầy đủ, khách chỉ về ở và khai thác đi vào hoạt động. Sổ đỏ chính chủ.Giá bán chỉ 18 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hệ trực tiếp miễn phí 24/7: 0856 968 656.",21/02/2022,Tin thường,batdongsan_so_com_vn_1673831938.5655262,,,,
