price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Hướng,Mặt tiền,Số phòng ngủ,Số toilet,Số tầng,Lộ giới
15 tỷ VNĐ,Hà Nội, 72m2,"Bán nhà phố Giảng Võ Ba Đình - LH: 0856 968 656.Khu phân lô cán bộ dân trí cao, an ninh tốt, trung tâm nhiều tiện ích. - Nhà xây 7 tầng thang máy, trên diện tích 72 m2, mặt tiền 5.3 m. - Thiết kế hiện đại, nội thất cao cấp, về ở luôn. - Giao thông thông thuận tiện, ô tô 7 chỗ vào nhà. - Thông các ngả Núi Trúc, Láng Hạ, Hoa hậu Phương Nga g63, Cát Linh, Hào Nam, Kim Mã… - Sổ đỏ chính chủ chờ giao dịch.Giá chào bán chỉ 15 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Xin gọi ngay 24/7 Mr. Bình - LH: 0856 968 656.",31/03/2022,Tin thường,batdongsan_so_com_vn_1673828846.717095,,,,,,
"5,9 tỷ VNĐ","214 đường đá bạc , phường Xuân Khanh , Sơn Tây", 300m2,"Gia đình dừng kế hoạch chuyển về , cần bán nhà mặt đường 87A , khu đá bạc Xuân Khanh , sơn tây   , Hà Nội . Nhà mặt tiền 6m , hậu 6.05m . Tổng >300m . Sẵn nhà 2 lầu còn mới , 3 ngủ , 2 vs , khách , bếp phòng ăn . Ban công hướng nam  , ôt vào nhà , sân trước sau .đường nhựa trước của . liên hệ chính chủ có thương lượng ",24/02/2022,Tin thường,batdongsan_so_com_vn_1673828848.365681, Nam, 6, 3, 2,,
"3,9 triệu VNĐ",214 đá bạc xuân Khanh sơn Tây, 300m2,"Gia đình cần bán nhà , đất ở xuân khanh , Sơn Tây . Dt sử dụng > 300m nhà 2 tầng còn mới . 270m tc , mt 6m , hậu 6.05 , sân trước sau rộng , oto đậu cửa , vào nhà . Mặt đường QL lớn . liên hệ chính chủ thương lượng giá ",25/02/2022,Tin thường,batdongsan_so_com_vn_1673828849.6103513, Nam, 6, 3, 2, 2,
"5,9 tỷ VNĐ","214 Đường Đá bạc , Xuân Khanh", 300m2,"Giá Đình thay đổi kế hoạch về ở , cần bán nhà mặt đường 414 , địa giới hành chính Xuân Khánh , Sơn Tây . Dtsd ; 300 , 270m thổ cư , mặt tiền 6m ? Hậu 6.05m . Sẵn nhà 2 tầng còn mới sử dụng luôn , sân rộng trước sau , mặt đường tỉnh lộ , xe 3t vào trong nhà . Giá trên chỉ mang tính chất tham khảo . liên hệ chính chủ để biết thêm chi tiết . 0936690202 ( Dần ) ",04/03/2022,Tin thường,batdongsan_so_com_vn_1673828850.8889725, Nam, 6, 3, 2, 2, 50
,số 25 Lê Văn Lương, 103m2," Mở Bán Căn Hộ Chung Cư Cao Cấp   BRG DIAMOND RESIDENCE   Gồm: 2PN+3PN+4PN.   _Chính sách thanh toán sớm: Chiết khấu 6% (trên tổng giá trị căn hộ) cho khách hàng thanh toán sớm 95%.


 _Thanh toán theo tiến độ thường: Chiết khấu 2% GTCH chưa VAT.


 _Chính sách chiết khấu căn thứ 2 trở lên: Chiết khấu 1% GTCH chưa VAT cho khách hàng/người thân sở hữu căn hộ thứ 2 trở lên tại dự án.


 _Chính sách vay ngân hàng: Hỗ trợ vay vốn ngân hàng 65%, lãi suất ưu đãi 0% trong vòng 15 tháng.


Quà tặng Gói dịch vụ quản lý:  Quà tặng voucher: 100tr - 150tr/1 Căn hộ.
 Miễn phí Phí dịch vụ quản lý 01 năm cho căn hộ đã mua.


Tên dự án: Chung cư BRG DIAMOND RESIDENCE
 Vị trí: Số 25 Lê Văn Lương, Phường Nhân Chính, Q. Thanh Xuân, TP. Hà Nội.


 Phát triển dự án: Tập đoàn BRG Group
 Nhà Thầu thi công: Hòa Bình Group
 Tư vấn và thiết kế dự án: P&T Group


 Tổng diện tích dự án: 8.004 m2• Mật độ xây dựng: 46,3%
Quy mô tòa nhà: Gồm 2 toà: có 35 tầng nổi và 5,5 tầng hầm


 Tổng số căn hộ: 662 căn
• Diện tích căn hộ: Từ 61m2 – 202m2
Căn 2PN: Diện Tích: 61m.


Căn 3PN: Diện Tích: 103m2 - 106m2 -
119m2 - 144m2


Căn 4PN: 146m2 - 150m2 - 158m2 – 202m2


Tiện ích tòa nhà:
- Khu bể bơi ngoài trời rộng 300m2.
- Bể bơi trẻ em rộng 50m2.
- Khu nướng BBQ.
- Khu thư viện đọc sách.
- Khu dạo bộ thư giãn.
- Khu tập yoga.
- Khu vực Massage chân.
- Đài vọng cảnh…
- Khu vực đi dạo bộ trên cao
- Skybar ngoài trời,...
Em Đức:0327375585 để được tư vấn và tham quan căn hộ thực tế.
 Activelove01@gmail.com

",31/03/2022,Tin thường,batdongsan_so_com_vn_1673828855.7057137,,, 3, 2, 10,
"4,8 tỷ VNĐ","Đường Trương Định, Hai Bà Trưng, Hà Nội", 40m2,"LÔ GÓC – 2 MẶT NGÕ* Đc: Trương Định, Hai Bà Trưng * S = 40m, 5 tầng, giá 4.8 tỷ +Vị trí đắc địa, giao thông thuận tiện Nguyễn Đức Cảnh, Nguyễn An Ninh, bến xe Giáp Bát, Tân Mai, Kim Đồng,… +Cạnh nhà 2 bãi gửi xe ô tô. +Lô góc, mặt ngõ, ô tô qua nhà, cách mặt đường ô tô tránh 15m. +Thiết kế: 5 tầng, 4 ngủ, phòng thờ, sân phơi. +Sổ đỏ chính chủ, vuông đẹp, chủ cần bán gấp. *Liên hệ: Tôi – Bình, để được tư vấn và xem nhà miễn phí. *Không tiếp môi giới. ",31/03/2022,Tin thường,batdongsan_so_com_vn_1673828858.636895,, 5, 4, 5, 5,
"12,5 tỷ VNĐ",XALA PHÚC LA HÀ ĐÔNG, 80m2,"Cần Bán nhà KĐT Xa La Phùng Hưng Hà Đông  80m 5 tầng giá 12.5 tỷ LH: 0977615683 + Vị trí nằm trong khu quần thể đô thị Xa La, ngay bên Khách sạn Mường Thanh, với bao tiện ích đáng sống xung quanh như trường, chợ, siêu thị, sân tenis, sân bóng nhân tạo, gần các bệnh viện lớn...+ Đường trước nhà rộng sạch đẹp, vỉa hè để xe thoải mái, hàng cây xanh quanh nhà mát mẻ, phong thủy tốt.+ Giao thông đi lại vô cùng thuận tiện với  trục chính Xa La - Nguyễn Xiển, trục đường Cienco 5... + Nhà Xa La Phùng Hưng Hà Đông được thiết kế  hiện đại 5 tầng với đầy đủ công năng.- Tầng 1: Sân để xe, phòng khách rộng, bếp ăn, wc.- Tầng 2, 3:  Mỗi tầng 2 phòng ngủ, vệ sinh khép kín. - Tầng 4:  Phòng ngủ, wc, phòng thờ.- Tầng 5:  Khu tập gym, sân phơi trước sau.+ Diện tích : 80m.+ Mặt tiền: 5m.+ Hướng: Tây nam.+ Giá: 12.5 tỷ(có thương lượng).+ Sổ đỏ chính chủ, vuông đẹp.+ Liên hệ trực tiếp cho Mr. Thụ: 0977615683 để được tư vấn và đi xem nhà hoàn toàn miễn phí.",31/03/2022,Tin thường,batdongsan_so_com_vn_1673828859.819717, Tây nam, 5, 5, 3, 5, 11
"2,35 tỷ VNĐ","Đường Trương Định, Hai Bà Trưng, Hà Nội", 36m2,"Địa chỉ: Trương Định, Hai Bà TrưngS = 36m, 4 tầng, giá 2.35 tỷ *Mô tả: +Gần phố, gần trường, gần chợ, gần trung tâm thương mại lớn. +1 phút ra ngã tư Bạch Mai, Minh Khai, Đại La, Giải Phóng. +Thiết kế : 4 tầng, 3 ngủ, công năng hoàn hảo. +Sổ đỏ chính chủ, cần bán rất gấp. *Liên hệ:  Tôi Bình để được tư vấn, xem nhà miễn phí. *Không tiếp môi giới.",31/03/2022,Tin thường,batdongsan_so_com_vn_1673828861.006495,, 5, 3, 4, 4,
"6,6 tỷ VNĐ","Khu đấu giá Man Bồi Gốc Găng, Hà Đông", 51m2,"+ NHÀ LÔ GÓC đẹp nhất khu đấu giá đất – Man Bồi – Gốc Găng Phú Lãm, Hà Đông, khu phân lô ô tô chạy quanh, kinh doanh sầm uất ngày đêm. xung quanh là trường Đại Học Đại Nam, Cao Đẳng Kinh Tế Thương Mại, Cao Đẳng Y Dược, TT Ngoại Ngữ Quốc Tế tiện ích đầy đủ, gần quốc lộ 21B, phố Quang Trung giao thông thuận tiện di chuyển nội và ngoại thành. + Nhà tự xây tâm huyết, thiết kế 5 tầng chắc chắn. + Tầng 1 thông sàn đang cho thuê văn phòng + Tầng 2+3+4 phòng khách, bếp và 4 phòng ngủ. + Tầng 5 phòng thờ sân phơi. Nhà có thể thiết kế thang máy. Sổ đỏ vuông văn, không hố ga bốt điện.  Giá bán: 6.6 tỷ trong tuần có thương lượng. Liên hệ: Tuấn Anh 1985 qua số điện thoại 0967.380.712 xin chân thành cảm ơn.",31/03/2022,Tin thường,batdongsan_so_com_vn_1673828861.9868705,, 5, 4, 4, 5,
"1,85 tỷ VNĐ",Minh Khai - Hà Nội, 25m2,"Với tầm tài chính này gần như không có nhà mà mua, trung cư còn khó kiếm. Vậy mà ngay trung tâm thủ đô lại xuất hiện siêu phẩm này. Chủ nhà có công có việc chuyển công tác nên để lại căn tâm huyết bao năm thanh xuân. Nhà 5 tầng an sinh ngõ thông hè thoáng điện đường trường trạm đủ cả. Nhà đẹp như tranh  chủ dân thiết kế vẽ vời trăm kiểu, khách mua chỉ có việc xách vali về ở trong sung sướng. Cách đúng ba bước chân ra oto đỗ thiên thời địa lợi nhân hòa đủ cả.Minh Khai là tuyến phố vừa mới quy hoạch mở rộng tiện ích mọc lên khắp nơi. Thuận tiện di chuyển đi khắp các khu vực như Hoàng Mai, Đống Đa, Thanh Xuân,…. Lên Bờ hồ, Tây Hồ, Time City…Cũng như di chuyển sang các trường đại học lớn hàng đầu như Bách Khoa, Xây Dựng, Kinh Tế Quốc dân.Giá chào 1.85  tỷ có thương lượng cho khách hữu duyên. Chi tiết LH: Nhật Nhà Đất  0977194820 (Chuyên Nhà đất Thổ cư với nguồn hàng Hơn 6000 Căn Nhà  Lớn nhỏ Từ 1 – 100 Tỷ trên khắp địa bàn Hà Nội sẵn sàng giúp Khách hàng tìm được những căn nhà ưng ý nhất).Phương châm làm việc:-Tận Tâm, Uy tín , Chuyên nghiệp cái Tâm và cái Tầm đặt lên hàng đầu- Không kênh giá chủ nhà- Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý. ",31/03/2022,Tin thường,batdongsan_so_com_vn_1673828862.9044175,,,,,,
