price,address,Diện tích,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Hướng,Số toilet,Mặt tiền,Lộ giới
"3,8 tỷ VNĐ",Tân Mai Hoàng Mai Hà Nội, 35m2, 5, 3,"+ Bán nhà mặt ngõ Phố Tân Mai quận Hoàng Mai vị trí rất đẹp, thoáng mát, ngõ thông, cách mặt phố đường đôi chưa tới 30m. + Mặt ngõ 3 gác tránh xe máy rất thoáng, vị trí hiếm có căn thứ 2 bán. + Nhà tự xây rất đẹp, ở sướng, khách về ở ngay. + Xung quanh tiện ích gần Trường Mầm Non, Cấp 2 Tân Mai, Cấp 3 Trương Định, gần chợ Tân Mai, vị trí kinh doanh tốt như: online, nail, salon tóc, tạp hóa… + Nhà mới xây được 5 năm, cực kỳ chắc chắn, và tâm huyết. + Giá : 3.8 tỷ + LH trực tiếp: Minh Quang 0327085656 ( Nhận thêm thông tin chi tiết )",23/03/2022,Tin thường,batdongsan_so_com_vn_1673829359.0030797,,,,
950 triệu VNĐ,"Ngách 236/32 phố Khương Đình, Quận Thanh Xuân", 50m2, 8, 2," Bán căn hộ chung cư mini tầng 8, ngách 236/32 phố Khương Đình, Quận Thanh XuânDiện tích: 50m2- Căn hộ thiết kế hợp lý gồm có: 2 Phòng Ngủ, 1 phòng khách, 1WC, nhà mới sửa lại đẹp, có sổ đỏ.- Khu vực thuận tiện giao thông sinh hoạt, nhiều dịch vụ tiện ích, an ninh tốt.Giá bán: 950 triệuChính chủ: 0986592929, 0983346471   Nguồn:  http://nhadathanoi.net.vn/chung-cu-can-ho-2/chinh-chu-ban-nha-tap-the-c4-quynh-mai-chung-cu-mini-ngach-236-32-khuong-dinh-3568.html",23/03/2022,Tin thường,batdongsan_so_com_vn_1673829360.4173355,,,,
"1,5 tỷ VNĐ","tập thể P310 - C4 Quỳnh Mai, phố 8/3, Quận Hai Bà Trưng", 55m2, 3, 2,"Chính chủ bán nhà tập thể P310 - C4 Quỳnh Mai, phố 8/3, Quận Hai Bà TrưngDiện tích: 55m2 - Nhà nở hậu -  nhà hướng Đông Nam, sổ đỏ chính chủ.- Nhà có 2 phòng ngủ, 1 phòng khách, 1 vệ sinh- Vị trí gần bệnh viện Thanh Nhàn, gần trường, chợ, giao thông thuận tiện, an ninh tốt.Giá: 1,5 tỷ có thương lượng.Chính chủ: 0986592929   Nguồn:  http://nhadathanoi.net.vn/chung-cu-can-ho-2/chinh-chu-ban-nha-tap-the-c4-quynh-mai-chung-cu-mini-ngach-236-32-khuong-dinh-3568.html",23/03/2022,Tin thường,batdongsan_so_com_vn_1673829361.6809142, Đông nam,,,
"1,85 tỷ VNĐ",GIẢI PHÓNG HOÀNG MAI HÀ NỘI, 30m2,,,+ Cách phố 150m.Cạnh Hồ Linh Đàm.Cạnh Quận Uỷ Hoàng Mai .Cạnh BX Nước Ngầm.Công Năng Đầy Đủ. +( Sổ Chung.Lô Góc ô tô Đỗ Cửa.LH 0989364334),23/03/2022,Tin thường,batdongsan_so_com_vn_1673829363.0023801,,,,
26 tỷ VNĐ,Phố Lạc Trung Hai Bà Trưng Hà Nội, 70m2, 5, 5,"+ Bán nhà mặt phố Lạc Trung, quận Hai Bà Trưng, khu vực kinh doanh khủng, sầm uất, tập chung nhiều Ngân Hàng lớn, ẩm thực, shopping, các tòa nhà văn phòng, dịch vụ làm đẹp…. khu vực không thiếu thứ gì. + Mặt phố Lạc Trung mặt tiền gần 5m hiếm có khó tìm. + Diện tích 70m2 xây 5 tầng, vị trí đẹp nhất phố. + Giá : 26 tỷ + LH trực tiếp: Minh Quang 0327085656 ( Nhận thêm thông tin chi tiết )",23/03/2022,Tin thường,batdongsan_so_com_vn_1673829364.5931242,,,,
"3,86 tỷ VNĐ",Ngô Quyền- Hà Đông, 50m2,,,"Tài chính nhỉnh 3 tỷ sở hữu nhà trung tâm Quận Hà Đông, 50m2 Nhà bán nằm vị trí đắc địa rất gần chợ Hà Đông, thông ra phố Quang Trung. Xung quanh nhiều tiện ích: trường học các cấp, chợ, bệnh viện, siêu thị, ngân hàng, khu hiếm nhà bán, 3 mặt thoáng, ngõ thông rộng gần ô tô. Nhà được xây trên mảnh đất vượng khí tài lộc, đầy đủ công năng sử dụng, các tầng thoáng sáng, diện tích rộng hiếm có. Giao thông di chuyển thuận lợi các phố:Ngô Thì Nhậm, Văn Phú, Vạn Phúc, Phan Đình Giót, Văn Khê,... Hàng xóm cán bộ nhà nước, khu văn minh, môi trường trong lành nơi đáng sống. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 3.86 tỷ ( có thương lượng). Liên hệ ngay với em Huyền thổ cư ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",23/03/2022,Tin thường,batdongsan_so_com_vn_1673829366.005221,,,,
"3,85 tỷ VNĐ",La Khê- Hà Đông, 51m2,,,"Cần tiền bán gấp nhà La Khê, Hà Đông, 51m, ngõ thông thoáng, nhỉnh 3 tỷ Cần bán nhà dân xây, vị trí đẹp đắc địa Phường La Khê, giáp với Ngô Thì Nhậm, các khu đô thị Liền Kề Văn Khê, Dọc Bún, gần bia Bà thông ra Lê Trọng Tấn, đường vào nhà thông thoáng, gần ô tô. Nhà xây trên mảnh đất vượng khí tài lộc, các phòng rộng thoáng đầy đủ công năng sử dụng, lô góc sáng mát, khu vực đáng sống , dân cư văn minh, khu toàn cán bộ nhà nước, an ninh tuyệt đối. Xung quanh tiện ích muôn vàn: Ngân hàng, trường chợ, siêu thị, bệnh viện...không thiếu. Giao thông di chuyển thuận lợi: Quang Trung, Lê Trọng Tấn, Ngô Thì Nhậm, Ngô Quyền, Văn Khê,... Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 3.85 tỷ ( có thương lượng). Liên hệ ngay với em Huyền thổ cư KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",23/03/2022,Tin thường,batdongsan_so_com_vn_1673829367.5244944,,,,
"3,85 tỷ VNĐ",La Khê- Hà Đông, 51m2,,,"Cần tiền bán gấp nhà La Khê, Hà Đông, 51m, ngõ thông thoáng, nhỉnh 3 tỷ Cần bán nhà dân xây, vị trí đẹp đắc địa Phường La Khê, giáp với Ngô Thì Nhậm, các khu đô thị Liền Kề Văn Khê, Dọc Bún, gần bia Bà thông ra Lê Trọng Tấn, đường vào nhà thông thoáng, gần ô tô. Nhà xây trên mảnh đất vượng khí tài lộc, các phòng rộng thoáng đầy đủ công năng sử dụng, lô góc sáng mát, khu vực đáng sống , dân cư văn minh, khu toàn cán bộ nhà nước, an ninh tuyệt đối. Xung quanh tiện ích muôn vàn: Ngân hàng, trường chợ, siêu thị, bệnh viện...không thiếu. Giao thông di chuyển thuận lợi: Quang Trung, Lê Trọng Tấn, Ngô Thì Nhậm, Ngô Quyền, Văn Khê,... Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 3.85 tỷ ( có thương lượng). Liên hệ ngay với em Huyền thổ cư KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",23/03/2022,Tin thường,batdongsan_so_com_vn_1673829369.110286,,,,
"3,86 tỷ VNĐ",Ngô Quyền- Hà Đông, 50m2,,,"Tài chính nhỉnh 3 tỷ sở hữu nhà trung tâm Quận Hà Đông, 50m2 Nhà bán nằm vị trí đắc địa rất gần chợ Hà Đông, thông ra phố Quang Trung. Xung quanh nhiều tiện ích: trường học các cấp, chợ, bệnh viện, siêu thị, ngân hàng, khu hiếm nhà bán, 3 mặt thoáng, ngõ thông rộng gần ô tô. Nhà được xây trên mảnh đất vượng khí tài lộc, đầy đủ công năng sử dụng, các tầng thoáng sáng, diện tích rộng hiếm có. Giao thông di chuyển thuận lợi các phố:Ngô Thì Nhậm, Văn Phú, Vạn Phúc, Phan Đình Giót, Văn Khê,... Hàng xóm cán bộ nhà nước, khu văn minh, môi trường trong lành nơi đáng sống. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 3.86 tỷ ( có thương lượng). Liên hệ ngay với em Huyền thổ cư ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",23/03/2022,Tin thường,batdongsan_so_com_vn_1673829370.4676006,,,,
"6,7 tỷ VNĐ",256 xuân đỉnh, 40m2,,,"Ngõ 2 ô tô, gần Ngoại Giao Đoàn, ngõ thông đường Nguyễn Hoàng Tôn đi lại thuận tiện.Tương lai trước cửa nhà xây khu đô thị nhà lên giá rất cao. Nhà gần trường Cấp 1,2,3 Xuân Đỉnh,gần chợ, công viên Ngoại Giao Đoàn. Nhà đẹp ,trước nhà thoáng. Thiết kế: Tầng 1: Gara ô tô, Bếp, vệ sinh. Tầng 2: 1 phòng ngủ, 1 p Khách Tầng 3,4: 4 phòng ngủ khép kín. Tầng 5: Phòng thờ, sân phơi.  Giá 6.7 tỷ ( có thương lượng).  Gọi ngay: A Vũ - 0347676600 (để gặp chính chủ và xem nhà miễn phí.Miễn các bạn trung gian).",23/03/2022,Tin thường,batdongsan_so_com_vn_1673829376.6827753,,,,
