price,address,Diện tích,Mặt tiền,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Hướng,Lộ giới,Số tầng,Số toilet
"3,1 tỷ VNĐ",Đường Ngọc Hồi Thanh Trì Hà Nội, 45m2, 5, 4,"+ Lô góc, nhà tự xây nên rất chắc chắn, khách về ở ngay đón tết, ngõ nông gần phố, trước nhà rộng thênh thang, ba gác đỗ. + Vị trí đẹp, cạnh ngay Vinmax, trường học các cấp, gần chợ, xung quanh bán kính 1 km đầy đủ tiện ích, giao thông đi lại rất thuận tiện. + Nhà thiết kế rất hợp hợp lý, 4 phòng ngủ rộng rãi, lô góc 2 thoáng rất đẹp. + Diện tích 45m2, mặt tiền 5 mét, khách mua về ở thì rất tuyệt vời. + Khu vực an ninh tốt, hàng xóm rất thân thiện, toàn các hộ gia đình gia giáo, + Sổ đỏ đẹp, nở hậu. + Giá bán: 3 tỷ 100 triệu. + LH trực tiếp: Minh Quang 0327085656  – Thông tin chuẩn 100% + Minh Quang chuyên tư vấn nhà đất thổ cư Hà Nội, hỗ trợ pháp lý, hỗ trợ vay vốn ngân hàng với lãi xuất thấp nhất.",29/12/2021,Tin thường,batdongsan_so_com_vn_1673834246.5002642,,,,
"3,35 tỷ VNĐ","vân canh ,hoài đức", 54m2,,,"Nhà 54m2 rộng rãi được thiết kế theo phong cách hiện đại. Bố trí công năng hợp lý tạo sự thoải mái cho mọi sinh hoạt sống với 4 phòng ngủ rộng. Đường vào sạch sẽ, ngõ siêu rộng, cách ô tô chỉ mấy chục mét. Nhà rất gần đường 422B Vân Canh, giao thông thuận tiện khắp ngả Phương Canh, Xuân Phương, Trịnh Văn Bô, Mỹ Đình. Xung quanh tiện ích phong phú khi gần KĐT Vân Canh, trụ sở chính quyền, trường học các cấp, chợ dân sinh. Là khu vực dân cư đông đúc, tiềm năng lớn khi Hoài Đức sắp lên quận, Giá chào chỉ 3 tỷ 350 triệu (khách và chủ thương lượng trực tiếp). Sổ đỏ đẹp cất két sẵn sang tên. Cam kết nhà thật, việc thật 100% (hỗ trợ pháp lý và các vấn đề liên quan đến ngân hàng). Anh chị gọi em Sơn (thổ cư) để được tư vấn từ A->Z và xem thêm miễn phí hàng trăm căn thổ cư ở nhiều mức giá: 0932382236",29/12/2021,Tin thường,batdongsan_so_com_vn_1673834248.1335957,,,,
"10,5 tỷ VNĐ","Bán nhà ngõ 17 Tạ Quang Bửu, Bán nhà ngõ 100 Trần Đại Nghĩa, Bán nhà ngõ 48 Tạ Quang Bửu", 55m2, 3, 4,"Bán nhà PL Giảng viên ĐH Bách Khoa, Hai Bà Trưng. Nhà năm trong khu phân lô Giảng Viên ĐH Bách Khoa, phố Tạ Quang Bửu. Diện tích 60m2, nhà xây 4 tầng kiên cố chắc chắn, đường trước nhà 2 ô tô tránh nhau, vỉa hè rộng. Thiết kế hiện đại gồm sân vườn phía trước, Khách, Bếp và 4 PN, 4 Vệ Sinh. Nội thất hiện đại, sàn gỗ, cầu thang gỗ, hệ thống cửa làm bằng gỗ Lim nguyên khối, Hệ thống tiết kiệm điện. Vị trí đắc địa, cách MP Tạ Quang Bửu 10m, gần SVĐ Bách Khoa, Bể Bơi, Siêu thị Vinmart, gần 3 trường ĐH Lớn Bách Khoa – Xây Dựng – Kinh tế. Khu dân trí cao, an ninh tốt. SĐCC, Giá bán 10.5 tỷ ( có thương lượng) liên hệ chính chủ ĐT:0702138238",27/12/2021,Tin thường,batdongsan_so_com_vn_1673834250.3539622, Tây, 6, 4, 4
"4,1 tỷ VNĐ",Lương Khánh Thiện Hoàng Mai Hà Nội, 38m2, 4, 4,"+ Cần bán nhà phố Lương Khánh Thiện, vị trí nhà cách mặt phố chỉ vài bước chân, ô tô đỗ, nhà rất đẹp, khách chỉ việc về ở ngay, đón tết. + Nhà thiết kế hợp lý, diện tích 38m2, tổng có 4 phòng ngủ, mặt tiền 4.2 mét. + Mặt ngõ rộng gần 3m. + Sổ đỏ đẹp – sẵn sàng sang tên ngay. + Giá bán: 4 tỷ 100 triệu. + Liên hệ: Minh Quang 0327085656 ( Thông tin chính xác - miễn phí xem nhà ) + Minh Quang chuyên tư vấn nhà đất thổ cư Hà Nội, hỗ trợ pháp lý, hỗ trợ vay vốn ngân hàng với lãi xuất thấp nhất.",29/12/2021,Tin thường,batdongsan_so_com_vn_1673834252.1510174,,, 4,
,đại kim hoàng mai ha noi, 70m2,,,"+Khu nhà liền kề p/lô,ô tô vòng quanh.Đường trước nhà ô tô tránh. +Khu vực nhiều khách tìm mua.An sinh đỉnh.gần Đại siêu thị VIP AEON HOÀNG MAI +Gía tri tăng gấp nhiều lần khi AEON HOÀNG MAI khánh thành +Nhà 4tầng,mt5m, ban công view đẹp,4ngủ,ở sướng,kinh doanh ,văn phòng đỉnh +Môi trường an sinh cực tốt,văn minh dân trí cao. + KĐT đầy đủ tiện ích:chợ ,trường MN,THCS học các cấp Vip. +Giao thông thuận tiện,sát vành đai 3,bến xe Nước Ngầm,cao tốc Pháp Vân, di chuyển nhiều hướng vào TTTP. +Gía 11.69tỷ (có thương lượng). +Pháp lý chuẩn,sô đẹp giao dịch ngay. +LH Mr Phúc 097.8895.889zalo-0912.338.038. ",29/12/2021,Tin thường,batdongsan_so_com_vn_1673834254.5815964,,,,
"3,7 tỷ VNĐ",Bạch Mai Hai Bà Trưng Hà Nội, 45m2, 4, 4,"+ Vị trí nhà cực kì đẹp, nhà tự xây nên rất chắc chắn, khách về ở ngay đón tết, ngõ nông gần phố, trước nhà rộng thênh thang. + Nhà thiết kế rất hợp hợp lý, 4 phòng ngủ rộng rãi, 2 thoáng cực thoáng mát. + Diện tích 45m2, mặt tiền 4.5 mét ( vị trí nhà rất đẹp – giá đang rất tốt so với vị trí ) khách mua về ở thì rất tuyệt vời. + Khu vực an ninh tốt, hàng xóm rất thân thiện, toàn các hộ gia đình gia giáo, gia chủ cũng đang công tác tại 1 Bệnh viện lớn ở Hà Nội, rất thiện trí bán. + Ô tô cách nhà vài mét, nhà đẹp về chỉ việc ở ngay đón tết, + Sổ đỏ chính chủ, đẹp, nở hậu. + Giá bán: 3 tỷ 700 triệu. + LH trực tiếp: Minh Quang 0327085656  – Thông tin chuẩn 100% + Minh Quang chuyên tư vấn nhà đất thổ cư Hà Nội, hỗ trợ pháp lý, hỗ trợ vay vốn ngân hàng với lãi xuất thấp nhất.",29/12/2021,Tin thường,batdongsan_so_com_vn_1673834256.5103478,,, 4,
60 tỷ VNĐ,Thái Hà, 185m2, 6,,"Chủ cần tiền đầu tư muốn nhượng lại mảnh đất vị trí cực đẹp mặt phố mới Nguyễn Văn Tuyết. Khu phố ẩm thực mới của Q. Đống Đa. Kinh doanh cực kỳ sầm uất.Diện tích: 185m2, mặt tiền 6.5mGiá: 60 tỷ (CÒN THƯƠNG LƯỢNG, LÀM VIỆC TRỰC TIẾP CHỦ NHÀ)HIẾM, THỬA ĐẤT VÀNG - NỞ HẬU - MẶT TIỀN LỚN - 2 THOÁNG TRƯỚC SAU - KINH DOANHLiên hệ xem vị trí và nhận thông tin chi tiết: 0981367887- Sổ pháp lý chuẩn 1 chủ cất két sẵn sàng giao dịch",29/12/2021,Tin thường,batdongsan_so_com_vn_1673834258.8565388,, 13,,
31 tỷ VNĐ,Tây Hồ, 140m2,,,"Biệt thự liền kề Vimefulland Tây Hồ - Nhận nhà ngay - Sổ Đỏ trao tay BIỆT THỰ L U ĐÀI CIPUTRA, THE LOTUS CENTER81 căn Biệt thự lâu đài và biệt thự lâu đài phố: Lấy cảm hứng từ cung điện Hoàng gia Pháp thiết kế kiến trúc mái nhọn cổ điển.Khẳng định vị thế đẳng cấp của chủ nhân.The Lotus Center thương hiệu Vimefulland xuất hiện như dự án vàng quận Tây Hồ với vị trí đắc địa: tiếp giáp mặt đường Võ Chí Công, ngay chân cầu Nhật Tân nối thẳng trục Nội Bài – Khu đô thị thông minh Đông Anh.Với chính sách bán hàng vô cùng hấp dẫn:Chiết khấu 3% khi thanh toán theo tiến độ 10 đợtChiết khấu 5% khi thanh toán sớm 95% bằng vốn tự cóHỗ trợ lãi suất 0% với mức vay 65% trong vòng 12 thángMiễn phí dịch quản lý 24 tháng đầu (Quản lý bởi Savill )Sổ hồng Lâu dài 👉 Liên hệ 𝟬𝟵𝟯𝟱.𝟭𝟭𝟲.𝟭𝟯𝟯 ngay hôm nay để được tư vấn MIỄN PHÍ về dự án!------------️️🔶🔹🔶------------🍀 𝐓𝐇𝐄 𝐋𝐎𝐓𝐔𝐒 𝐂𝐄𝐍𝐓𝐄𝐑 - GIÁ TRỊ Ở SỰ KHÁC BIỆT🍀📌 Vị trí: mặt đường Võ Chí Công, quận Tây Hồ, Hà Nội🏣 Chủ đầu tư: Tập đoàn Vimedimex📈 Đơn vị phát triển kinh doanh: Vimefulland🌈 Đơn vị quản lý vận hành: Savills Việt Nam.",28/12/2021,Tin thường,batdongsan_so_com_vn_1673834260.7629266,,,,
31 tỷ VNĐ,Tây Hồ, 140m2,,,"Biệt thự đáng sống nhất tại Hà Nội ở  khu đô thị Ciputra Hồ Tây, trả trước 30% chỉ từ 11 tỷ nhận nhà ngayThông tin mô tả* Vimefulland Tây Hồ tung Chính sách bán hàng xuyên dịch cho Quý khách hàng sở hữu những lô biệt thự siêu vip.+ Thanh toán theo tiến độ thông thường chiết khấu 3% giá trị biệt thự sau VAT.+ Thanh toán sớm 50% chiết khấu 3.5% giá trị biệt thự sau VAT.+ Thanh toán sớm 70% chiết khấu 4% giá trị biệt thự sau VAT.+ Thanh toán sớm 95% chiết khấu 5% giá trị biệt thự sau VAT.+ Hỗ trợ lãi suất 0% trong 12 tháng.+ Khách hàng chỉ cần có 30% giá trị biệt thự sở hữu ngay lô biệt thự lâu đài tại The Lotus Center (phân khu BT05).+ Miễn phí quản lý dịch vụ trong vòng 2 năm đầu tiên.+ Tặng gói khám chữa bệnh và thuốc bổ trị giá 87tr.Chi tiết liên hệ phòng kinh doanh chủ đầu tư Vimefulland.Hotline: 𝟬𝟵𝟯𝟱.𝟭𝟭𝟲.𝟭𝟯𝟯Vimefulalnd Tây Hồ - Khẳng định vị thế độc tônKhách hàng mua được xem từng lô cụ thể, sổ đỏ trao tay ngay, pháp lý đầy đủ, đơn vị vận hành uy tín và chuyên nghiệp. 👉 Liên hệ 𝟬𝟵𝟯𝟱.𝟭𝟭𝟲.𝟭𝟯𝟯 ngay hôm nay để được tư vấn MIỄN PHÍ về dự án!------------️️🔶🔹🔶------------🍀 𝐓𝐇𝐄 𝐋𝐎𝐓𝐔𝐒 𝐂𝐄𝐍𝐓𝐄𝐑 - GIÁ TRỊ Ở SỰ KHÁC BIỆT🍀📌 Vị trí: mặt đường Võ Chí Công, quận Tây Hồ, Hà Nội🏣 Chủ đầu tư: Tập đoàn Vimedimex📈 Đơn vị phát triển kinh doanh: Vimefulland🌈 Đơn vị quản lý vận hành: Savills Việt Nam. ",28/12/2021,Tin thường,batdongsan_so_com_vn_1673834263.504579,,,,
60 tỷ VNĐ,Công Viên Cầu Giấy, 255m2, 21,,"Cực hiếm, chủ ra nước ngoài định cư. Nhờ bán căn biệt thự 4 tầng có hầm mặt tiền cực rộng. Ngay gần công viên Cầu Giấy. Khu vực yên tĩnh và dân trí cao.Diện tích: 255m2 x 4 tầng, mặt tiền 21mGiá: 60 tỷ (CÒN THƯƠNG LƯỢNG, LÀM VIỆC TRỰC TIẾP CHỦ NHÀ)BIỆT THỰ VIP - CÓ HẦM - CẠNH CÔNG VIÊN CẦU GIẤY - MẶT TIỀN SIÊU LỚNLiên hệ xem nhà và nhận thông tin chi tiết: 0981367887- Thửa đất vuông đẹp, sổ pháp lý chuẩn cất két sẵn sàng giao dịch",28/12/2021,Tin thường,batdongsan_so_com_vn_1673834265.358165,, 11, 4,
4 tỷ VNĐ,"Ngô Quyền, Vạn Phúc", 45m2, 4, 4,"+ HOT SIÊU HIẾM Chính chủ cần bán gấp nhà mặt tiền 5 tầng diện tích 45m2, phố Ngô Quyền vị trí đắc địa quận Hà Đông. Hàng xóm Học viện Chính trị, GoldSilk Vạn Phúc, gần chợ, bệnh viện, bưu điện Hà Đông.+ Ôtô vào nhà, đỗ cửa, dân trí cao, an ninh tốt, hàng xóm hầu hết là cán bộ Học viện Chính trị. Có thể kinh doanh, văn phòng cực đỉnh.+ Nhà xây khung cột bê tông rất chắc chắn và đẹp.+ Nhà 5 tầng, 4 ngủ, 4WC.+ Sổ đỏ chính chủ, sẵn sàn giao dịch. + Giá nhỉnh 4 tỷ, có thể “Thương lượng” ưu tiên khách thiện chí mua. + Anh chị đừng bỏ lỡ cơ hội sở hữu căn nhà HOT HIẾM giá rất hợp lý để đón tết Nhâm Dần 2022 hạnh phúc cùng gia đình. + Vui lòng liên hệ số điện thoại hoặc zalo: 0866.485.199 để được tư vấn và xem nhà hoàn toàn “MIỄN PHÍ”.",28/12/2021,Tin thường,batdongsan_so_com_vn_1673834271.008221,,, 5, 4
