price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Số toilet,Lộ giới,Hướng
14 tỷ VNĐ,Nguyễn Đình Chiểu Hai Bà Trưng Hà Nội, 72m2, 4, 4, 5,"+ Phố Nguyễn Đình Chiểu cực hiếm nhà bán, ngay gần công viên Thống Nhất, 1 vị trí lý tưởng, xung quanh tiện ích bạt ngàn, đi đâu cũng tiện cả. + Nhà chủ tự xây tâm huyết, thiết kế đẹp chắc chắn, nhà mình có sân riêng, ba công mỗi tầng rộng rãi và thoáng mát, làm gì cũng tiện. + Vài phút lên tới Phố Cổ, bờ hồ quanh các tuyến phố lớn, Trần Nhân Tông, Tuệ Tĩnh, Tô Hiến Thành, Lê Đại Hành, Đại Cồ Việt. + Diện tích 72m2, xây 4 tầng. + Thiết kế mỗi tầng 2 phòng ngủ, vệ sinh giữa. + Chủ nhà 2 bác đã có chút tuổi, ngại việc leo cầu thang, rất thiện trí bán để lên ở chung cư với con trai. + Sổ đỏ tại nhà. + Tài chính 14 tỷ ( Thương lượng ) Quan tâm xin liên hệ: Minh Quang 0327085656 ( Anh chị em môi giới vui lòng không gọi điện. Xin cảm ơn )",02/06/2022,Tin thường,batdongsan_so_com_vn_1673821974.295654,,,
"5,05 tỷ VNĐ",mỗ lao, 43m2, 4, 4, 4,"+ Bán nhà. Thanh Bình, Hà Đông. Ô tô Kinh Doanh 43m2 x 4 tầng. Mặt tiền 4.2m. Giá 5.05 tỷ.  SIÊU HÓT MỖ LAO - KINH DOANH - Ô TÔ - ĐƯỜNG THÔNG.  Mô tả: + Ngõ thông tứ tung rất thuận lợi cho việc đi lại, nhà cách đường Thanh Bình vài chục mét. + Khu vực đầy đủ tiện ích, nhà gần phố, gần khu đô thị Mộ Lao hạ tầng văn minh, khu vực đông đúc, dân trí cao, khu vực rất ít nhà bán. + Bãi gửi xe ngày đêm cách nhà 50 m gửi xe cả ngày đêm rất lợi. + Nhà gần nhiều trường Đại Học lớn như Đại Học Kiến TRúc, Học Viện Bưu Chính Viễn Thông. Gần bệnh viện 103, bệnh viện Đa Khoa Hà Đông. + Nhà xây 4 Tầng bê tông cốt thép chịu lực, phong cách kiến trúc hiện đại. - Tầng 1: phòng khách, bếp, WC. - Tầng 2: 02 Phòng ngủ, WC. - Tầng 3: 02 Phòng ngủ, WC. - Tầng 4: Phòng thờ, sân phơi.  + Sổ đỏ vuông đẹp, sẵn sàng giao dịch,  LH: E KHÁNH: 0984568179  ",02/06/2022,Tin thường,batdongsan_so_com_vn_1673821975.6829429, 3,,
"5,2 tỷ VNĐ","Ngọc Lâm, Long Biên", 114m2,,, 3,"- Toà chung cư cao cấp Mipec Riverside, tọa tại ngã ba phố Long Biên và Ngọc Lâm, 5 phút sang phố cổ - Dân trí cao, toàn người cùng đẳng cấp thượng lưu mua căn hộ ở đây. - Gồm 3 phòng ngủ, vệ sinh, phòng khách, 2 ban công thoáng mát, 2 điều hòa, giường tủ cao cấp. - Sổ hồng chính chủ, sẵn sang giao dịch - Lh em Trác: 0965492571(xem nhà và tư vấn miễn phí)    ",02/06/2022,Tin thường,batdongsan_so_com_vn_1673821980.5527825,,,
"18,1 tỷ VNĐ",Đường Tôn Đức Thắng phường Hàng Bột, 66m2, 5, 3, 2,"- Pháp lý chuẩn, sổ đỏ vuông, sẵn sàng giao dịch.  , chuyên nhà đất thổ cư khắp Hà Nội từ 1 - 333 tỷ. Tôi phục vụ khách hàng với tiêu chí giúp người là giúp chính mình, quý chữ tín hơn vàng, vươn tới tầm cao mới. ",02/06/2022,Tin thường,batdongsan_so_com_vn_1673821981.838421, 2, 20,
"4,98 tỷ VNĐ",Vũ Tông Phan, 56m2, 5, 5, 4,"+ Nhà thiết kế vô cùng đẹp, sổ đỏ lung linh. Thiết kế hiện đại chủ tự xây chắc chắn, nội thất gỗ lim. + Ô tô gần, cách 1 nhà ra phố, tương lai ra mặt phố rạng ngời. + Nhà 5 tầng, tổng 6 phòng, có thể lên 8 phòng kinh doanh cho thuê dòng tiền cực tốt. + Thiết kế nhà: Tầng 1: Phòng khách rộng, 1 bếp, 1 WC Tầng 2,3: Mỗi tầng 1 phòng, 1 vệ WC Tầng 4: 2 phòng, 1 WC+ tắm. Tầng 5: phòng thờ, kho, sân phơi, giặt. Giá: 4.98 tỷ (có thương lượng)",02/06/2022,Tin thường,batdongsan_so_com_vn_1673821983.711466, 4, 2,
"1,8 tỷ VNĐ",Đường Tả Thanh Oai phường Tả Thanh Oai, 43m2, 3,,,"
    - Đất nằm vị trí đẹp, gần phố rộng rãi, cách đường Ô tô vài bước chân, khu vực phát triển từng ngày nhiều tiện ích xung quanh .- Khách mua về xây dựng thiết kế theo ý mình rất đẹp.- Giá trị tương lai hiếm có khó tìm- Sổ đỏ đẹp, sẵn sàng giao dịch.+ Diện tích đất 43m2.+ Giá bán: 1.4 tỷ.+ Liên hệ Em Trường 0971.999.203 (Vui lòng gọi trực tiếp. Miễn trung gian).
",02/06/2022,Tin thường,batdongsan_so_com_vn_1673821984.9560812,,,
"9,7 tỷ VNĐ","LÊ HỒNG PHONG, ĐIỆN BIÊN, BA ĐÌNH, HÀ NỘI", 45m2, 3, 5, 5,"Lê Hồng Phong - Ba Đình, 2 thoáng, ở sướng kết hợp kinh doanh homestay, 45m2x5 tầng, nhỉnh 9 tỷ Lê Hồng Phong - Ba Đình, ở sướng kết hợp kinh doanh homestay, 45m2x5 tầng, nhỉnh 9 tỷ. Chính chủ cần bán gấp căn nhà thuộc phố Lê Hồng Phong - Ba Đình, khu phố quan chức dân trí cao, 50 mét ra tới Lăng Bác. Vị trí siêu trung tâm, đi đâu cũng thuận tiện. Cách chợ Ngọc Hà chưa đầy 1 phút đi bộ. Hiện trạng nhà 5 tầng, khung cột bê tông chắc chắn, nhiều ngủ. Nhà 2 thoáng, muốn đi cửa nào cũng được. Trước đây cho 1 đơn vị cho thuê làm homestay, doanh thu 20 triệu/tháng. Giờ chủ đã lấy lại nhà để tập trung bán gấp để đầu tư mảng khác. Chủ tặng thêm 1 kho 2 tầng ở đằng trước nhà để được 2 xe máy và cực nhiều đồ. Diện tích: 45m2. Sổ đỏ vuông như bánh chưng. Giá: 9,7 tỷ Liên hệ: Quyên (miễn môi giới, trung gian). Hỗ trợ trả góp ngân hàng chỉ từ 7 triệu/tháng. Thủ tục nhanh gọn, giải ngân nhanh.",02/06/2022,Tin thường,batdongsan_so_com_vn_1673821986.5747526, 5,,
"3,2 tỷ VNĐ",0901775884, 89m2,,,,"Chính chủ bán căn Chung cư RainBow Linh Đàm, phường Hoàng Liệt, quận Hoàng Mai, Hà Nội.Diện tích 89m2, Sổ đỏ chính chủ.Ban công Đông Nam, tầng đẹp, thiết kế 3 ngủ 2 vệ sinh, full nội thất.Giá bán: 3,2 tỷ bao phí sang tên, có thương lượng.Liên hệ chính chủ: Anh Trường 0901775884.",02/06/2022,Tin thường,batdongsan_so_com_vn_1673821988.1544783,,,
600 triệu VNĐ,Đường Đường 131 phường Quang Tiến, 40m2, 4,,,"Sở hữu ngay 40m2 đường 2.8m oto đỗ cửa tại Bắc Thượng - Quang Tiến - Vị trí cách đấu giá Bắc Thượng 100m, cổng A khu Công Nghiệp Nội Bài 1km - Đất ở 100% sổ đỏ tách riêng, công chứng trong ngày ***Giá 600tr ra lộc nhiều cho khách thiện trí - Liên hệ đầu tư ms Hằng ",02/06/2022,Tin thường,batdongsan_so_com_vn_1673821989.6444027,,,
"9,8 tỷ VNĐ",Đường Phan Kế Bính phường Cống Vị, 80m2, 7, 7, 12,"Bán tòa CCMN Phan Kế Bính- THANG MÁY- NGÕ THÔNG- Doanh thu 1 tỷ/ năm TRUNG TÂM BA ĐÌNH- 7 TẦNG THANG MÁY- 12 PHÒNG CHO THUÊ- DOANH THU 80 TRIỆU/ THÁNG- FULL NỘI THẤT! HIỆN ĐANG FULL PHÒNG- NGÕ THÔNG!!!+ Khu vực không bao giờ trống phòng cho thuê, khu vực sinh viên, người nước ngoài quá đông + Xây dựng 7 Tầng thang máy + Chính sách thuê lại 50 Triệu/ tháng.SIÊU PHẨM DÒNG TIỀN ĐỈNH CAO- FULL ĐỒ- XÂY MỚI. 👉Nhà bàn giao Full Nội Thất.🟥THIẾT KẾ:Tầng 1: Gara.Tầng 2-7: MỖI TẦNG 2 PHÒNG KHÉP KÍN FULL ĐỒ. Khách mua chỉ việc khai thác.",02/06/2022,Tin thường,batdongsan_so_com_vn_1673821990.9747972, 12, 3,
