price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Số toilet
"6,15 tỷ VNĐ","Ngô Thì Nhậm, Hà Đông, Hà Nội.", 40m2, 4, 5, 4, 4," * Bán nhà * đường Ngô Thì Nhậm quận Hà Đông. nhà xây mới, đang hoàn thiện, gồm phòng khách, phòng thờ, bếp, sân phơi, tắm,ws, tổng 4 ngủ, đầy đủ công năng, T1 thông sàn, tầm 20 ngày tới là xong. DT 40m, 4T, MT 4m giá thời điểm này 6.150 tỷ. + Lưu ý: Khách đang có nhu cầu tìm mua, hãy nhanh tay liên hệ, vì thời điểm này nhà đang có giá rất tốt, chần trừ mất cơ hội khó tìm. + Vị Trí: thuận lợi, tiện ích gần Nhà thi đấu Hà Đông, gần Chợ Bông Đỏ, Trường C1,2,3, Bể bơi, Bệnh viện Đa Khoa Hà Đông..trung tâm phố đầy đủ tiện ích + Sổ vuông đỏ đẹp sẵn sàng giao dịch. * LH gấp: 0983858722 Tình nhà phố ( chuyên mua, bán, nhận ký gửi có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",22/06/2022,Tin thường,batdongsan_so_com_vn_1673818431.081751,
"4,5 tỷ VNĐ","Khương Hạ, Thanh Xuân, Hà Nội.", 30m2,, 3, 5, 4," * Bán nhà * Để đáp ứng nhu cầu nhà xây sẵn. Chủ đầu tư có tâm cùng với đội ngũ bậc thầy giầu kinh nghiệm, cùng kiến trúc sư nổi tiếng nhất Hà Nội, đã tạo lên những kiệt tác cực kỳ xuất sắc và tâm huyết, nhà ở phố, tại trung tâm quận Thanh Xuân. + Hiện đã mở bán 5 căn A, B, C, D, E: +  DT 30m, 5T, MT 3.7m, giá 4.5 tỷ + Vị Trí: thật tuyệt vời, không thể đẹp hơn, khu vực tiềm năng khi dự án vành đai 2.5 đi qua, 10m ra mặt đường ô tô tránh giao thông thuận tiện, tiện ích ngập tràn. + Nhà thiết kế thông sàn, mỗi tầng 1 phòng rộng + ws, tổng 3 phòng ngủ rộng, phòng khách, bếp, phòng thờ, sân phơi có đủ. + Sổ đỏ đẹp phân lô, sẵn sàng giao dịch. * Anh chị hãy nhanh tay liên hệ xem, thương lượng trực tiếp, để sở hữu sớm căn nhà tuyệt đẹp này. # HotLine: 0906113879 Tình nhà phố ( chuyên mua, bán, nhận ký gửi, có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",22/06/2022,Tin thường,batdongsan_so_com_vn_1673818432.415182,
"3,25 tỷ VNĐ","Đường Đông Thiên, Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội", 30m2, 3, 3, 5, 3,"BÁN NHÀ ĐÔNG THIÊN , HOÀNG MAI. 30m2 – 5 Tầng – Mặt Tiền 3,2m – Nhỉnh 3 Tỷ. MÔ TẢ: •Nhà xây mới tinh, đẹp lung linh, khách chỉ xách vali tới ở ngay. •Ba gác đỗ cửa, ngõ sạch sẽ văn minh, cách ô tô vài bước chân. •Sân chung lát gạch đỏ, rộng rãi để xe thoải mái. •Thiết kế 5 tầng: •Tầng 1: Phòng khách + Bếp + WC. •Tầng 2,3: mỗi tầng 1 Phòng ngủ + WC. •Tầng 4: 1 Phòng ngủ + Phòng thờ. •Tầng 5: Tum và Sân Phơi. •Sổ đỏ riêng chính chủ, sẵn sàng giao dịch. LH : 03333.95.379 Dương.",22/06/2022,Tin thường,batdongsan_so_com_vn_1673818433.5003994, 4
"4,35 tỷ VNĐ","Đường Đền Lừ, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội", 38m2, 3, 3, 5, 5,"Bán nhà Hoàng Mai 38m2 – 5 Tầng – Mặt Tiền 3,8m – Nhỉnh 4 Tỷ. + Nhà mới đẹp, full nội thất cơ bản, khách về ở ngay. + Vị trí cực đẹp, ngõ rộng ba gác đỗ cửa, chỉ 3 bước ra mặt phố. + Thiết kế hiện đại: mỗi tầng 2 PN rộng + WC. + Sổ đỏ vuông đẹp, sẵn sàng giao dịch. LH : 03333.95.379 Dương .",22/06/2022,Tin thường,batdongsan_so_com_vn_1673818434.863752, 4
"44,5 tỷ VNĐ",Đường Thái Hà phường Trung Liệt, 48m2, 5, 3, 5, 3,"Bán nhà 5 Tầng Phố Thái Hà quận Đống Đa, DT 48 m, giá 4.45 tỷ. Vị trí trung tâm quận đống đa giao thông tuận tiện các tuyến phố lớn như: Thái Hà, Tây Sơn, Nguyễn Lương Bằng, Hoàng Cầu, Trần Quang Diệu, Huỳnh Thúc Kháng, Yên Lãng, Thái Thịnh…. Nhà xây 5 tầng mới dược vài năm, nhà còn đẹp và ở được ngay không cần sửa chữa gì. Ngõ trước ngà xe ba gác vào thoải mái, cách đường ô tô đỗ khoảng 15 m. Khu vực dân trí cao, an ninh tốt. Nhà hiện đang cho thuê làm văn phòng công ty 12 tr/ tháng, khách mua tiếp tục hợp đồng hoặc lấy nhà ngay. Diện tích sổ đỏ 48 m2, mặt tiền 5 m, nhà xây 5 tầng thiết kế 3 phòng ngủ, 1 phòng thờ, phòng khách, bếp, vệ sinh từng tầng. Sổ đỏ chính chủ giao dịch ngay. Giá bán 4.4 tỷ. Không chín bốn ba, 313, sáu tám sáu. Liên hệ: call, zalo.  ",22/06/2022,Tin thường,batdongsan_so_com_vn_1673818436.1772373, 4
"3,4 tỷ VNĐ",Đường Ngọc Thụy phường Ngọc Thụy, 40m2, 3, 3, 5, 3,"·        Sổ đỏ vuông vức trước sau như một, giá bán tốt nhất khu vực, chỉ 3.4 tỷ có thương lượng. ",22/06/2022,Tin thường,batdongsan_so_com_vn_1673818437.5156567, 4
"4,9 tỷ VNĐ","Phố Yên Lãng, Thịnh Quang", 47m2, 4,, 5, 5,"Bán nhà phố Yên Lãng ngay gần Ngã Tư Sở trung tâm quận Đống Đa phân khúc 4 tỷ với các thông số sau:+ Diện tích: 47m2 x 5 tầng + Mặt tiền: 4mCăn nhà được thiết kế với 5 phòng ngủ thoáng sáng. Nội thất mới toanh sang chảnh được lửa chọn tỷ mỉ hướng tới mục đích sử dụng lâu dài.Ngõ trước nhà rộng rãi thông thoáng ô tô qua cửa. Thuận tiện đi lại ra các tuyến phố nội đô quan trọng cực kỳ thuận tiện.Khu vực dân trí cao cực kỳ thoáng mát. Xung quanh tràn ngập tiện ích chỉ vài bước chân là tiếp cận Chợ, Trung tâm thương mại cao cấp, bệnh viện Nội tiết Trung ương, bệnh viện Đại Học Y, trường học các cấp .... Phù hợp cho một gia đình từ 2-3 thế hệ sinh sống an lành..+ Sổ đỏ vuông đẹp chính chủ.+ Giá bán: 4.9 tỷ (có thương lượng)Liên hệ: Phạm Long 0948555185 ( Gọi hoặc inbox 24/24g)Trăm nghe không bằng một thấy, khuyến khích quý anh chị gọi ngay để đi xem nhà hưn là việc chỉ nghe và đọc thông tin. Miễn phí 100% dịch vụ kể từ lúc xem nhà đến lúc mua được nhà,",22/06/2022,Tin thường,batdongsan_so_com_vn_1673818438.6013665, 5
"62,5 tỷ VNĐ",Đường Nguyễn Hữu Thọ phường Định Công, 200m2, 7, 40, 8, 8,"Mô tả: + Nhà thông 2 mặt phố, Nguyễn Hữu Thọ và Đại Từ. + View hồ Linh Đàm. + sổ đỏ chính chủ vuông đẹp. Liên hệ để xem nhà và biết thiêm chi tiết: 058.555.3.666   ",22/06/2022,Tin thường,batdongsan_so_com_vn_1673818439.8885212, 8
"5,9 tỷ VNĐ","Bùi Xương Trạch, Khương Đình, Thanh Xuân, Hà Nội", 72m2,,,,,"+ Nhà  xây 4 tầng chắc chắn,  ô tô vào nhà, bán gấp để trả nợ, giá rẻ hơn thị trường + Thuận tiện ra Ngã Tư Sở, Kim Giang, Khương Trung, Định Công, Nguyễn Trãi,… + Diện tích: 72m + Giá: 5.9 tỷ có thương lượng + Pháp lý: Sổ đỏ cực vuông vắn, nở hậu. + Liên hệ: 0362368485; 0964399436",22/06/2022,Tin thường,batdongsan_so_com_vn_1673818440.9696293,
"5,5 tỷ VNĐ",Hoàng Đạo Thành, 46m2, 5,,,,"Siêu Phẩm, Phố Hoàng Đạo Thành - Thanh Xuân, 46m2, MT 5m, Ở, Ô TÔ, 5.5 Tỷ. Vị trí nhà đẹp, gần Phố, ngõ thông, Ô TÔ nhỏ đỗ cửa, tiện ích ngập tràn. Nhà chủ xây để ở, nội thất cao cấp, tặng lại hết cho khách. Sổ đỏ vuông đẹp, pháp lý chuẩn, sang tên nhanh.LH: Mr Hoan, 0925088355, chuyên thổ cư Hà Nội với nguồn nhà hơn 13 000 căn nhà tại Hà Nội, miễn phí xem nhà 24/7.",22/06/2022,Tin thường,batdongsan_so_com_vn_1673818442.1764023,
"5,9 tỷ VNĐ","Phố Thái Thịnh, phường Thịnh Quang", 55m2, 3,, 4, 4,"Bán nhà phố Thái Thịnh gần Ngã Tư Sở trung tâm quận Đống Đa phân khúc 5 tỷ với các thông số sau: + Diện tích: 55m2 x 4 tầng.+ Mặt tiền: 3,5m Căn nhà được thiết kế hiện đại với 4 phòng ngủ thoáng sáng cùng sân vườn tiểu cảnh. Nội thất được lựa chọn tỷ mỉ tinh tế hiện đại hướng tới mục đích sử dụng lâu dài.Ngõ trước nhà ô tô rộng rãi thông thoáng khắp các tuyến phố nội đô thuận tiện kinh doanh đi lại.Khu vực dân trí cao, an sinh tốt. Xung quanh tràn ngập tiện ích chỉ vài bước chân là tiếp cận Chợ, Trung tâm thương mại cao cấp, bệnh viện Nội tiết Trung ương, bệnh viện Đại Học Y, trường học các cấp .... Phù hợp cho một gia đình từ 2-3 thế hệ sinh sống an lành.+ Sổ đỏ chính chủ sẵn sàng giao dịch+ Giá chỉ: 5,9 tỷ (có thương lượng) Liên hệ: Phạm Long 0948555185 ( Gọi hoặc inbox 24/24g)Trăm nghe không bằng một thấy, khuyến khích quý anh chị gọi ngay để đi xem nhà hơn là việc chỉ nghe và đọc thông tin. Miễn phí 100% dịch vụ kể từ lúc xem nhà đến lúc mua được nhà,",22/06/2022,Tin thường,batdongsan_so_com_vn_1673818443.6155503, 4
"2,85 tỷ VNĐ","Phố Ngọc Trì, Phường Thạch Bàn, Quận Long Biên, Hà Nội", 32m2, 7,, 4,,"Bán Nhà Phố Ngọc Trì, Phường Thạch Bàn, Long Biên 4T, 32m2 (Nhà đẹp, ngõ nông…)  - Thiết kế: 4 tầng. Đầy đủ công năng sử dụng.  + Tầng 1: Phòng khách, bếp, wc + Tầng 2, 3: Mỗi tầng 1 phòng ngủ, Wc + Tầng 4: 1 phòng rộng, Sân phơi  Nhà thiết kế đẹp, xây dựng chắc chắn, sân phía trước lát gạch đỏ. Ngõ vào thuận tiện và kết nối các hướng tiện lợi như đường Cổ Linh, Thạch Bàn… Xung quanh bán kính không xa là chợ Đồng Dinh, trường cấp 1,2 Thạch Bàn, TTTM Aoen Long Biên. Chủ nhà thiện chí, pháp lý rõ ràng, sẵn sàng giao dịch.",22/06/2022,Tin thường,batdongsan_so_com_vn_1673818444.9998827,
"1,15 tỷ VNĐ",Cách TP Phan Thiết 5km, 200m2, 17, 15,,,"Đất nền Phan Thiết, Bình Thuận♻ Em còn ít lô đất nền full thổ cư 200m2♻ Mặt tiền đường nhựa 14m♻ Sổ hồng Riêng từng nền♻ Giá chỉ từ 5tr3 /m2, ngân hàng hỗ trợ 60%♻ Trường mẫu giáo, cấp 1 và trạm Y tế đang xây dựng♻ Cách ga Bình Thuận 5p, Cách Bãi biển Đồi Dương 10p di chuyển. Kết nối ra nhiều tuyến đường lớn như QL1A, Cao tốc Phan Thiết - Dầu Giây♻ Phù hợp để xây dựng nhà ở hoặc đầu tưLiên hệ : 0327 96 86 42 (PKD)",22/06/2022,Tin thường,batdongsan_so_com_vn_1673818446.647118,
"5,3 tỷ VNĐ",Đường Đội Cấn phường Cống Vị, 40m2, 3, 3, 5, 4,,22/06/2022,Tin thường,batdongsan_so_com_vn_1673818447.8917882, 4
"2,89 tỷ VNĐ",CHÙA LIÊN PHÁI, 25m2, 3, 3, 5, 3,"! ẢNH THẬT 100% ! BÁN NHÀ BẠCH MAI - CHÙA LIÊN PHÁI CHƯA ĐẾN 3 TỶ+ Nhà cách mặt đường 0T0 60m, ngõ nông rộng, một siêu phẩm nhà cực đẹp phố Minh Khai 25m x3T chỉ 2.89 tỷVị trí cực đẹp. Gần các trường Đại Học . Tiện ích xung quanh: Trường học C1, C2, Mầm non. trung tâm thương mại Times City, vui chơi giải trí sát nhà.Thuận tiện đi các ngả: Minh Khai, Bạch Mai, Đại La, Lạc Trung, Kim Ngưu, Thanh Nhàn, Trần Khát Chân, Vĩnh Tuy, Dương Văn Bé, Ngõ Quỳnh, Mạc Thị Bưởi, Yên Lạc, Thanh Nhàn, Ngõ Hòa Bình 7, Thanh Lương, Times City...+ Nhà 5 tầng như mới thiết kế 3 ngủ, mối tầng 1 phòng + wc, tầng 5 phòng thờ, sân phơi.+ Sổ đỏ nét giao dịch nhanh + Liên hệ ngay Bình thổ cư ĐT:  để được tư vấn xem nhà, mua nhà miễn phí.Miễn môi giới và trung gian..!(Liên hệ để được tư vấn, xem nhà hoàn toàn miễn phí).Tôi đang có rất nhiều căn nhà với nhiều phân khúc khác nhau. #nhadathanoi #nhamatphohanoi #bannhahaibatrung #bannhaquanhaibatrungduoi2ty #muanhahaibatrung #bannhamatphohaibatrung #bannhamatpholoduc",22/06/2022,Tin thường,batdongsan_so_com_vn_1673818449.3010175, 3
"53,3 triệu VNĐ",Đường Đa Tốn phường Trâu Quỳ, 49m2, 5, 1, 12, 1,"
    
The ZenPark R1.01 

 Gói quà tặng từ 50 - 120 TRIỆU/căn dành cho những nhà đầu tư thông thái đầu tiên;
 Tặng Voucher VinFast lên tới 200 TRIỆU tùy theo loại căn;
 Tặng gói SMART HOME tiêu chuẩn Gold;
 Chiết khấu 0,5% khi mua online;
 Ngân hàng hỗ trợ vay lên đến 70% - LÃI SUẤT 0% trong tối đa 18 tháng;
 Hỗ trợ phí dịch vụ 2000đ/m2 trong suốt 5 NĂM;
* Lưu ý: Các ưu đãi áp dụng có điều kiện.

 Sẵn sàng bàn giao - hưởng lợi tức thì với tiêu chuẩn bàn giao cao cấp cùng nhiều tiện ích mang đậm chất Nhật Bản, sẵn sàng để khai thác CHO THUÊ homestay đón đầu xu hướng nghỉ dưỡng hay DỌN VÀO Ở NGAY xây dựng tổ ấm mới. 

Đừng bỏ lỡ cơ hội trở thành chủ nhân đầu tiên của căn hộ cao cấp tại tòa R1.01 The Zenpark - “viên hồng ngọc đắt giá” tỏa sáng giữa lòng thành phố biển hồ!
---------------------------------------------
Vinhomes Ocean Park - Quận Ocean: The New Hanoi
(* )”Quận Ocean”, “Quận Biển” là một cách ví von trong quảng cáo, không phải một quận hành chính chính thức.
__________
Thông tin chi tiết xin liên hệ:
 Hotline: 0355.412.555
",22/06/2022,Tin thường,batdongsan_so_com_vn_1673818450.461912, 1
"4,8 tỷ VNĐ",Phố Phùng Khoang, 45m2, 4,, 5, 3,"+ Chính chủ cần bán gấp nhà phố Phùng Khoang – Trung Văn – Nam Từ Liêm. + Diện tích 45m – 5 Tầng – MT4m + Giá: 4.8 Tỷ + Liên hệ xem nhà: 0902083139 + Nhà chủ tự xây không ở đến nên bán, thiết kế hiện đại, ô chờ thang máy, móng thêm 2 tầng nữa. + Thiết kế tầng 2 phòng, có thể sửa chữa thành chung cư mini cực dễ, khu vực cho thuê tốt và luôn kín khách. + Vị trí nhà nằm trên ngõ 159 to hơn phố, trước nhà SH quay đầu, cách đường ô tô tránh 50m. + Sổ đỏ chính chủ, sẵn sàng giao dịch.",22/06/2022,Tin thường,batdongsan_so_com_vn_1673818451.798337, 4
"5,3 tỷ VNĐ",Đường Láng Hạ phường Láng Hạ, 28m2, 4, 3, 5, 3,"Bán nhà đường láng hạ, ngõ thông kinh doanh, cachs phố 40m, mặt tiền rộng thích hợp kinh doanh đa dang. thiết kế mỗi tầng 1 phòng cầu thang cuối. sổ vuông vắn chính chủ. liên hệ em Tuấn.",22/06/2022,Tin thường,batdongsan_so_com_vn_1673818453.0031145, 2
"5,68 tỷ VNĐ","Vũ Tông Phan, Thanh Xuân, Hà Nội", 40m2, 4, 3, 5, 6," * Bán nhà mặt ngõ kinh doanh, đường Vũ Tông Phan quận Thanh Xuân. ô tô đỗ cửa, nhà thiết kế đẹp, ở sướng, tổng 8 phòng khép kín rộng, full đầy đủ nội thất, phù hợp gia đình nhiều thế hệ, hay cho thuê phát sinh dòng tiền. DT 40/47m, 5T, mt 4,1 giá chỉ 5.68 tỷ. + Vị Trí: sạch đẹp, đông đúc, trước nhà ô tô đỗ, ngõ thông mọi ngả, tầm trên 100m ra đường, phố Vũ Tông Phan giao thông thuận lợi. + Sổ đỏ chính chủ pháp lý chuẩn, sẵn sàng giao dịch. * Nhanh tay LH: 0906113879 Tình nhà phố ( chuyên mua, bán, nhận ký gửi, có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",22/06/2022,Tin thường,batdongsan_so_com_vn_1673818454.3525045,
"10,246 tỷ VNĐ",Mai dịch, 65m2,,,,,"BÁN NHÀ CCMN HỒ TÙNG MẬU 65M 6T THANG MÁY NHỈNH 10 TỶ Vị trí đẹp: Nhà mới, Nội thất đầy đủ. Đông sinh viên, công nhân viên người đi làm. Gần trường Đại Học Sư Phạm, Đại Học Quốc Gia, Đại Học Thượng Mại, Học Viện Báo chí Tuyên Truyền... Giao thông thuận lợi, Tiện ích đầy đủ. Đường Hồ Tùng Mậu, đường Xuân Thủy , Cầu Giấy, Đường Phạm Văn Đồng. Đường Phạm Hùng, Bến xe Mỹ Đình.. Giá thương lượng Sổ đẹp, sang tên nhanh gọn Thiện trí xem nhà Liên hệ Anh Đức 0898839292",22/06/2022,Tin thường,batdongsan_so_com_vn_1673818456.0100698,
