price,address,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Diện tích,Hướng,Mặt tiền
,"Đường Hồng Hà, Phúc Xá, Ba Đình", 4, 6, 4, 4,"
    
-Bán nhà phố Hồng Hà - Ba Đình 42m2 6 tầng thang máy xịn sò giá 7,5 tỷ có lùi
+ Nhà nằm trên mặt ngõ rộng, ôtô ra vào nhà, kinh doanh tạp hóa, cafe đều được.Gần bệnh viện Melatec,5p vào phố cổ 
 
+ Thiết kế:

- Thang máy nhập khẩu xịn xò.

- Tầng 1 : Gara ôtô - Cửa hàng - Phòng khách tùy theo mục đích của gia đình. 

- Tầng 2,3,4: Mỗi tầng 1 phòng ngủ - WC.

- Tầng 5 : Phòng thờ - Bếp - Phòng ăn.

- Tầng 6 : Sân phơi - Tum .

- Sổ đỏ chính chủ.
-Giá chào 7,5 tỷ có thương lượng cho khách thiện chí
-Liên hệ ngay : 0945550369
",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791666.7502575,,,
,"Đường Hào Nam, Nam Đồng, Đống Đa", 5, 6,,,"Siêu Hiếm Đống Đa, Ô Tô Vào Nhà, Ở Vip, Kinh Doanh Đỉnh, Chỉ 6.8 Tỷ – Lh: 0972168342 - Nhà tọa lạc trên phố Hào Nam, Quận Đống Đa - Trung tâm nhất Thủ Đô Hà Nội. - Nhà ở vị trí cực đẹp, đầu ngõ, ô tô vào nhà, cách mặt phố Hào Nam 30m, ngõ thông khắp ngả. - Nhà thiết kế hiện đại, nội thất sang trọng, sàn gỗ, đằng sau có khe thoáng 1m nên nhà cực thoáng. - DT: 45m2 x 6 tầng. - Tầng 1: Khách + Phòng ăn, bếp + WC.- Tầng 2,3,4: Mỗi tầng 1 phòng ngủ rộng khép kín.- Tầng 5: Phòng ngủ + Phòng thờ.- Nhà ở vị trí cực đẹp, đầu ngõ, ô tô vào nhà, cách mặt phố Hào Nam 30m, ngõ thông khắp ngả.- Tầng 6: Giặt đồ, sân phơi. - Ở siêu VIP, Kinh doanh ĐỈNH: văn phòng, Spa, Fast food, Cà phê… - Giá chỉ: 6.8 Tỷ cho một căn chính chủ, sổ vuông vắn, nở hậu. - Gọi ngay: Hiền Trần   Để được Hỗ trợ MIỄN PHÍ xem, mua và vào sổ,…",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791668.055765, 45m2,,
"5,6 tỷ VNĐ","Đường Quốc lộ 21B, Phú Lãm, Hà Đông", 7, 3, 2,,"BÁN NHÀ 3 TẦNG - HÌNH SỔ ĐỎ VUÔNG VẮN - DÀNH CHO CHỦ THÍCH XÂY CHUNG CƯ MINI - TRUNG TÂM PHỐ XỐM - PHƯỜNG PHÚ LÃM - HÀ ĐÔNG
* Chính chủ bạn thân nhờ bán căn nhà 3 tầng, ô tô 7 chỗ lùi cửa, ô tô tránh chỉ cách 10m, 40m là ra đường QL 21B
 - Thửa đất 78.5m vuông vắn, mặt và hậu = 4m. Tương lai mở đường Ql 21B sẽ ra mặt đường
 - 100m là ra chợ Xốm, Trường Đh Đại Nam, CĐ Thương Mại, CĐ Y Dược, Cấp 3 Trần Hưng Đạo, cc Vesta, cc PCCC1
- Chính chủ F0
Lh e Giao để em vị trí và gặp trực tiếp chủ
 
",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791669.1827497, 78m2, Đông, 4
"7,8 tỷ VNĐ","Đường Thái Thịnh, Láng Hạ, Đống Đa", 5, 4, 4,,"+ Vị trí cực đẹp ngõ rộng ô tô 5 tạ vào tận cửa, ô tô tránh cách nhà 10m, lô góc 2 mặt thoáng vĩnh viễn. giao thông thuận tiện, tiếp giáp các phố Láng, Tây Sơn, Yên Lãng, Nguyễn Văn Tuyết, Hoàng Cầu… + Khu vực dân trí cao, xung quanh tiện ích nhiều không thiếu dịch vụ gì (Trường học các cấp, chợ dân sinh, TTTM, các cửa hàng tiện ích, bệnh viện nội tiết, bv châm cứu…) + Nhà dân xây 4 tầng 1 tum, kiên cố chắc chắn tổng 4 phòng ngủ, phòng thờ, sân phơi, Tum trồng rau và cây cảnh.+ Pháp lý chuẩn, Sổ nở hậu. ",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791670.213998, 45m2,, 5
"6,25 tỷ VNĐ","Đường Ngọc Lâm, Ngọc Lâm, Long Biên", 4, 5, 6, 3,"+ Vị trí ngõ trước nhà rộng rãi, vài bước chân ra ô tô tránh, đi bộ 3 bước ra phố Ngọc Lâm, Mipiec, cầu Long Biên.+ Tiện ích xung quanh bạt ngàn, đa dạng.+ Giao thông thuận tiện, dễ dàng kết nối nhiều tuyến phố lớn.+ Thiết kế hiện đại, đập hộp mới tinh, gara ô tô, 6 phòng ngủ và ô chờ thang máy.+ Sổ đỏ Hoa Hậu, giá 6.25 tỷ có thương lượng.+ Liên hệ: 0979057536 - 0878827488 Trung Kiên để được tư vấn và xem nhà miễn phí.+ CAM KẾT THÔNG TIN NHÀ và ẢNH THẬT 100%",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791671.2013865, 48m2,, 5
"10,5 tỷ VNĐ","Đường Lạc Long Quân, Nghĩa Tân, Cầu Giấy", 7, 4, 4, 4,"Chính chủ bán nhà 4 tầng Hồ Tây lộng gió.Nhà 4 phòng ngủ, 3 wc. + Diện tích 65m², ngõ đi chung 22,83m². Nhà 4 tầng, nở hậu, mặt tiền 5,5m². Để lại toàn bộ nội thất, có ô chờ thang máy. Ngay sát Hồ Tây, không khí thoáng mát, cực tốt cho sức khoẻ.Giá 10,5 tỷ. Liên hệ: Chính chủ anh Dũng, số 0969523169 miễn TG).",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791672.3543017, 65m2,, 5
"3,65 tỷ VNĐ","Đường Trương Định, Trương Định, Hai Bà Trưng", 2, 5, 3, 4,"-Vị trí ngay sát mặt phố Trương Định, cách mặt phố Trương Định chỉ 30m. Ngõ ba gác thông Nguyễn An Ninh.  -Nhà diện tích 33m2. Từ tầng 2 đua ra 35m2, mặt tiền 4m8, xây 5 tầng. Thiết kế mới đẹp hiện đại. T1: khách, bếp, WC. T2 + 3 + 4: mỗi tầng 1 phòng + WC. T5: phòng thờ + sân phơi. - Nhà đẹp , chỉ việc xách vali vào ở. - Trước nhà có khoảng sân rộng thoáng để chục xe máy. - Sổ đỏ vuông vắn như tờ A4, sẵn sàng giao dịch.  - Giá bán 3 tỷ 650 tr có thương lượng. *Liên hệ: Trần Hưng – Chuyên Nhà đất Thổ cư Hà Nội- 081.883.8883 Miễn phí xem nhà – thương lượng trực tiếp với chủ nhà.",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791673.3865395, 35m2,, 4
"4,85 tỷ VNĐ","Đường Nguyễn Văn Linh, Sài Đồng, Long Biên", 3, 5, 4, 4,"+ Vị trí đường trước nhà rộng rãi, ngõ to hơn phố, nhà cách 100m ra mặt phố Vũ Xuân Thiều, vài bước ra hồ Sài Đồng. + Tiện ích ngập tràn, xung quanh như trường học các cấp, chợ, siêu thị.... + Khu dân trí cao, hàng xóm thân thiện, an sinh tuyệt vời.+ Nhà mới xây hiện đại, đồ gỗ xịn sò.+ Sổ đỏ nở hậu, giá 4.85 tỷ có thương lượng.+ Liên hệ: 0979057536 - 0878827488 Trung Kiên để được tư vấn và xem nhà miễn phí.+ CAM KẾT THÔNG TIN NHÀ và ẢNH THẬT 100%",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791674.2372634, 52m2,, 4
"4,85 tỷ VNĐ","Đường Sài Đồng, Sài Đồng, Long Biên", 4, 5, 4, 4,"+ Vị trí rất đẹp, ngõ thông rộng, 120m ra mặt phố Vũ Xuân Thiều ô tô tránh, ô tô 4 chỗ đỗ cổng.+ Nhà thuộc khu vực hạ tầng phát triển đồng bộ, bao quanh là các tòa cao ốc, khu đô thị mới, gần trường, gần chợ, tiện ích vô cùng, ở sướng.+ Nhà dân xây tâm huyết, đẹp như mới tự tay xây dựng thiết kế , nội thất phong cách Châu Âu bạn công cửa sổ thoáng sáng tự nhiên thơ mộng.+ Sổ đỏ chính chủ, giá 4.85 tỷ có thương lượng.+ Liên hệ: 0979057536 - 0878827488 Trung Kiên để được tư vấn và xem nhà miễn phí.+ CAM KẾT THÔNG TIN NHÀ và ẢNH THẬT 100%",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791675.3622541, 46m2,, 7
"2,4 tỷ VNĐ","Đường Minh Khai, Vĩnh Tuy, Hai Bà Trưng", 2, 5, 3, 4,"
    
+ SIÊU PHẨM MINH KHAI  - NHÀ DÂN XÂY - ĐẸP LONG LANH - GIÁ RẺ NHẤT PHỐ MINH KHAI - CHỐT NHANH .

Mô tả:

NHÀ XÂY HAI KHỐI:
- MẶT NGOÀI CẤP SỔ 14M2 XÂY 5 TẦNG.
- MẶT SAU MUA BÁN VIẾT TAY 24.5M2 XÂY 1 TẦNG, XUNG QUANH ĐÃ XÂY 5 TẦNG HẾT. 

+ Tầng 1 phòng khách bếp ăn để xe
+ Tầng 2,3 ngủ Wc
+ Tầng 4 Thờ
+ Tầng 5 sân phơi + tập

- Pháp Lý:
- sổ đỏ chính chủ sẵn sàng giao dịch 14m2
- 24,5m2 sau nhà mua bán vi bằng.Chủ không có tiền gộp sổ nên bán khách tự gộp 
+ AC quan tâm zalo e 0911 206 189 hoạc 0845 790 555 thanks AC
",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791676.4832969, 38m2,, 4
