price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Hướng
"3,4 tỷ VNĐ",Phố Yên Bình Phúc La, 48m2,"✅ Thông số:  Diện tích 48m x 2 tầng x MT 3,5m. Giá chào 3,4 tỷ. ✅ Vị Trí: Nằm trên phố Yên Bình, phường Phúc La, Hà Đông xung quanh giáp với đường Phùng Hưng, đường 19/5, Chiến Thắng,  Gần Cầu Đen, phố Tô Hiệu, Trần Phú. ✅ Tiện ích: Điện – Đường – Trường – Trạm xung quanh vô cùng thuận lợi. Khu dân cư dân trí cao, yên tĩnh, an ninh đảm bảo, hàng xóm thân thiện. ✅ Sổ đỏ chính chủ cất két, giao dịch ngay.Chủ cực thiện chí bán. ☎️ LH NGỌC SƠN 0812316789 ( Thổ Cư HÀ ĐÔNG ). + Miễn phí xem nhà, hỗ trợ vay vốn ngân hàng, hỗ trợ pháp lý 24/7, thủ tục nhanh gọn… Xin cám ơn quý khách đã xem bài đăng! ",20/10/2022,Tin thường,batdongsan_so_com_vn_1673793644.086647,,,,,,
"4,85 tỷ VNĐ",Đường Bùi Ngọc Dương phường Bạch Mai, 43m2,"TRUNG TÂM HAI BÀ - 5 TẦNG MỚI KÍNH KOONG - 5M Ô TÔ - TIỆN ÍCH NGẬP TRÀN - TÍCH TẮC - XEM LÀ CHỐT  ------ Liên hệ / Zalo : 0888861983 - 088886198 ba Mô tả:  - S: 43m2 - xây 5 tầng - Mặt tiền 4m  + Sổ đỏ chính chủ, giao dịch ngay.  + Nhà có nhiều lối vào, đẹp nhất đi vào từ phố Hồng Mai.  + Vị trí trung tâm, tiện ích không thiếu thứ gì.  + Nhà thiết kế 5 tầng với 3 phòng ngủ khép kín đẹp long lanh, 1 phòng thờ, 1 khách, 1 bếp, khách chỉ việc xách vali là về ở ngay.  + Nằm gần phố, bước 5m ra đến đường ô tô.  ------ Giá chào: 4, 85 tỷ  ------ Liên hệ / Zalo : 0888861983 - 088886198 ba",20/10/2022,Tin thường,batdongsan_so_com_vn_1673793645.613561, 4, 1, 5, 3,,
"23,5 tỷ VNĐ",Đường Lê Thanh Nghị phường Đồng Tâm, 66m2,"
    - Vị trí nhà nằm ở trung tâm của phố Lê Thanh Nghị, tiện ích xung quanh không thiếu thứ gì, gần các trường Đại học nổi tiếng như Bách Khoa - Kinh Tế - Xây dựng, chợ, siêu thị Vinmart, các bệnh viện lớn như Bạch Mai - Thanh Nhàn - Việt Nhật - Lão Khoa - Da Liễu. - Nhà cách mặt phố Lê Thanh Nghị 3m. Ngõ rộng Ô Tô tránh, Kinh Doanh sầm uất. Đằng sau nhà có khe thoáng 50cm - Nhà mới xây 2021 hiện đang cho thuê kinh doanh. Móng lên được 2-3 tầng- Giấy phép xây dựng đầy đủ, thiết kế mỗi tầng 2 phòng 2WC. Khách muốn làm thang máy thì phá bỏ 1 nhà wc để lắp- Sổ đỏ chính chủ, vuông đẹp, sẵn sàng giao dịch- Diện tích 66m2 x 5 tầng - Giá 23.5 tỷ- Liên hệ Em Trường: 0971.999.203
",20/10/2022,Tin thường,batdongsan_so_com_vn_1673793646.6986578, 4, 4, 5, 8, 9,
"3,9 tỷ VNĐ",Đường Lê Trọng Tấn phường Khương Mai, 32m2,"BÁN NHÀ LÊ TRỌNG TẤN, NHÀ RỘNG, Ở NGAY, 32M2, 5 TẦNG, GIÁ CHỈ CÒN 3,95 TỶ. - Ngõ hai xe máy tránh nhau thoải mái, ngõ sạch đẹp. - Nhà xây kiên cố hiện đại, siêu rộng, siêu thoáng. - Kết cấu 5 tầng với đầy đủ mọi công năng sử dụng, hai mặt thoáng ánh sáng đầy đủ. - Chỗ để xe máy gia đình thoải mái không giới hạn. - Nhà lô góc tầng nào cũng cửa sổ đầy đủ, đi ra phố vài bước chân. - Sổ đỏ luôn luôn sẵn sàng giao dịch. - Gọi ngay cho Mr Phong: 0343.888.024 Để được hỗ trợ xem nhà miễn phí, tư vấn phục vụ 24/24",20/10/2022,Tin thường,batdongsan_so_com_vn_1673793647.7648053, 4, 8, 5, 3, 3,
"13,9 tỷ VNĐ",18 Hoàng Ngân, 44m2,"Chính chủ bán nhà Mặt phố 7 Tầng số 18 Hoàng Ngân DTSD: 300M2,13.9 tỷNhà mới hoàn thiện 7 tầng thang máy, đã trang bị full nội thất cao cấp, thích hợp kinh doanh spa, văn phòng, ở gia đình... Diên tích công nhận trên sổ: ~ 50m2, Mặt tiền 4m. Do cần giải quyết công việc gấp nên tôi bán giá rất tốt so với mặt bằng chung của thị trường. Khu vực sầm uất dạng đặc biệt của phường Trung Hòa quận Cầu Giấy. Đường có vỉa hè rộng mênh mông, đậu xe ngày đêm nên phù hợp kinh doanh mọi loại hình.Sổ đỏ vuông vức, pháp lý chuẩn nên có thể sang tên ngay cho khách mua. Giá bán: 13.9 tỷ (còn bớt nhiều cho người mua nhanh gọn, tôi chỉ bán trong tháng 8 Âm lịch) Liên hệ gặp chủ nhà: 0988 57 1615TB: Tôi chỉ tiếp người mua trực tiếp. Không tiếp Môi giới, quảng cáo.",20/10/2022,Tin thường,batdongsan_so_com_vn_1673793648.8101113,,,,,,
800 triệu VNĐ,LONG BIÊN HÀ NỘI, 80m2,"🧨 Chỉ hơn 700tr, quý khách hàng đã sở hữu lô đất nằm cạnh nút giao cao tốc HN- HP và khu quy hoạch công nghiệp Ân Thi. 💰 Hỗ trợ khách hàng mua bán trả góp 0% lãi suất với 6 đợt thanh toán linh hoạt.💎Ưu đãi cực hấp dẫn : 👉Nhận ngay ưu đãi lên tới 6% khi mua từ 2 sản phẩm.👉 Nằm dọc theo trục đường Cao tốc nơi liên kết phát triển kinh tế các tỉnh: HN- HY- HD- HP- QN.👉Hạ tầng đồng bộ- mốc giới rõ ràng.👉Đường nội khu trải nhựa 6m.👉Cạnh quy hoạch khu đô thị rộng hơn 300 héc ta.👉Nằm sát quy hoạch đường: Tân Phúc- Võng Phan chạy qua các khu công nghiệp.👉Cách trường học cấp 1, 2, trạm y tế, UB trong phạm 500m.👉Nằm trong vùng quy hoạch hàng nghìn héc ta khu công nghiệp  Bắc Sơn, Bãi Sậy, Tân Phúc, Hoàng Hoa Thám, Quang Vinh, Văn Nhuệ.👉Pháp lý minh bạch- sổ hồng từng lô.💎Đặt cọc giữ lô ngay khi chọn được vị trí ưng ý và thanh toán làm 6 lần:",20/10/2022,Tin thường,batdongsan_so_com_vn_1673793649.8034549, 5, 6,,,,
550 triệu VNĐ,Đường Kim Ngưu phường Thanh Nhàn, 32m2,"
    - Khu vực an ninh cao, Cư dân trong tòa nhà đều là các gia đình vợ chồng làm công sở, hàng xóm có nhiều giảng viên trường kinh tế kỹ thuật công nghiệp.+ 30m - 48 - 50m, 55m (1PN, 2 PN).+ Giá bán: Từ 550tr 1 tỷ - 1,13 tỷ, 1.32ty.- Nội thất được bàn giao theo căn hộ gồm có: Tủ bếp trên dưới, bề rửa, bếp từ, hút mùi, thiết bị vệ sinh, bình nóng lạnh, đầu chờ internet, đầu chờ điều hòa.Liên hệ trực tiếp chủ đầu tư Mr Chượng",20/10/2022,Tin thường,batdongsan_so_com_vn_1673793650.879573, 4, 2,, 2, 1,
"4,55 tỷ /tháng",phan huy chú yết kiêu, 31m2,"Phố cổ Hà Đông nhà lô góc Phan Huy Chú 31m 5tầng giá 4.55 tỷ lh: 0819508701Mô tả:- Nhà nằm trong khu dân trí cao, an ninh tốt, gần trường các cấp, chợ Vồ, siêu thị... tiện ích bạt ngàn.- Ô tô lùi cửa nhà, ô tô đỗ cách nhà 10m, cách 30m ra mặt phố Phan Huy Chú, cách Cầu Am 80m giao thông thuận tiện.- Nhà lô góc 2 thoáng, mặt tiền rộng, thiết kế đầy đủ công năng.+ Tầng 1: Khách, bếp, vs.+ Tầng 2,3,4: Tổng 3 ngủ, 3 vs.+ Tầng 5: Phòng thờ, khu để máy giặt, sân phơi.- Sổ đỏ chính chủ.- Ace quan tâm xin gọi cho Nguyên Anh: 0819508701 để biết thêm chi tiết.",20/10/2022,Tin thường,batdongsan_so_com_vn_1673793652.0944154, 3, 8, 5, 3, 4, Tây bắc
57 tỷ VNĐ,Đường Vạn Phúc phường Liễu Giai, 135m2,"
    
+ Xung quanh là các cơ quan Chính Phủ, các Đại Sứ Quán, khu ngoại giao đoàn, UBND Quận Ba Đình, gần Khách Sạn La Thành... Trung tâm Quận, khu Vip nhất Quận Ba Đình. 

",20/10/2022,Tin thường,batdongsan_so_com_vn_1673793653.1386223, 10, 35, 1, 2, 2,
"4,1 tỷ VNĐ",Đường Đỗ Đức Dục phường Mễ Trì, 69m2,"
    Chủ nhà bán chung cư cao cấp Vinhomes Westpoint, căn OT6 tòa W1, gồm2 ngủ 2 WC. Căn hộ view trung tâm Hội nghị Quốc Gia và toàn bộ phía Tây thủ đô rất đẹp. Vị trí đắc địa ngay cạnh Trung tâm Hội nghị Quốc gia, thuận tiện di chuyển đến trung tâm thành phố cũng như các khu vực lân cận. Diện tích sử dụng 69-63,3m2, nội thất cơ bản như trong ảnh. 
Giá 4,1 tỷ, có thương lượng cho khách thiện chí.
Liên hệ 0913966981 để xem nhà trực tiếp.
Thông tin về chuyển nhượng và cho thuê căn hộ chung cư cao cấp, nhà đất thổ cư Hà Nội, chi tiết tại fanpage https://www.facebook.com/100068303180263 (ĐẶC BIỆT giảm thêm 20 triệu trên một giao dịch mua bán chuyển nhượng khi KHÁCH MUA like, follow và tương tác với fanpage để trao đổi thông tin, thương lượng)
#vinhomes #westpoint
",20/10/2022,Tin thường,batdongsan_so_com_vn_1673793654.208802, 6, 1, 40, 2, 2,
