price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số toilet,Details,Ngày đăng,Loại tin,id,Hướng,Số phòng ngủ
"7,3 tỷ VNĐ","Đường Đại Lộ Thăng Long, Mễ Trì, Nam Từ Liêm", 58m2, 8, 10, 40, 1,"
    Cần bán gấp shophouse tòa G2 Vinhomes Greenbay Mễ Trì diện tích sử dụng 58m2, kinh doanh sầm uất, khu dân cư có thu nhập cao, hàng khan hiếm để đầu tư cho thuê sinh lời cực tốt, sổ hồng trao tay.
Giá chỉ nhỉnh 3 tỷ. Có thương lượng cho khách thiện chí.
Liên hệ zalo 0912822424 (Mr. Linh) để xem nhà.
--------------------------------------------------------------------------
Công ty TNHH Dịch vụ, Thương mại, Đầu tư Bất động sản Hà Nội Online.
Trụ sở: Lô 49, TT4 Khu đô thị Mỹ Đình – Sông Đà, phường Mỹ Đình 1, quận Nam Từ Liêm, thành phố Hà Nội.
Văn phòng Khu đô thị Goldmark City: 222 Hoàng Công Chất, phường Phú Diễn, quận Bắc Từ Liêm.
Hotline: Mr. Toàn 0974938949, Mr. Chiến: 0987964433, Mr. Linh 0912822424.
-----------------------------------------------------------------------
Thông tin về chuyển nhượng và cho thuê căn hộ chung cư cao cấp, nhà đất thổ cư Hà Nội, chi tiết tại fanpage https://www.facebook.com/100068303180263 (ĐẶC BIỆT giảm thêm 20 triệu trên một giao dịch mua bán chuyển nhượng khi KHÁCH MUA like, follow và tương tác với fanpage để trao đổi thông tin, thương lượng)
#chungcucaocap #canhocaocap #vinhomes #muabanchungcu #chothuecanho #muabancanho #1ngu #2ngu #3ngu #sunshinecity #sunshinecity #batdongsan #thocu #lienke #ecopark #2PN #1PN #3PN #goldmarkcity #shophouse #chande #greenbay
",18/11/2022,Tin thường,batdongsan_so_com_vn_1673787194.179559,,
"5,55 tỷ VNĐ","Đường Nguyễn Trãi, Văn Quán, Hà Đông", 33m2, 4, 10, 5, 5,"
    Bán Nhà Liền Kề Văn Quán Hà Đông 33m2 -5 tầng-MT 4m Ô tô Đỗ Cửa. Liên hệ ngay Mr Bình 09+84.913.088
+ Vị trí trung tâm Văn Quán cách 2 nhà ra phố Nguyễn Khuyến, đường to đẹp ôtô Tải đỗ cửa rất thuận tiện đi lại. Vài bước chân ra đến hồ Văn Quán.
+ Nhà làm ăn lộc lá nay gia đình muốn chuyển đến biệt thự rộng hơn.
+ Nhà tôi xây rất kiến cố vững chắc thiết kế phòng hợp lý (1 Phòng Khách, 3 Ngủ, Phòng thờ + Sân phơi)
+ Tiện ích: Nằm trong quần thể khu đô thị Văn Quán ko thiếu gì gần TTTM BigC Hà Đông, gần các trường đại học HV An Ninh, ĐH Hà Nội, ĐH Bưu Chính Viễn Thông 
+ Sổ vuông đẹp sẵn sàng giao dịch
+ Miễn tiếp trung gian môi giới
+ Bạn Quan tâm đến ngôi nhà tuyệt vời này vui lòng liên hệ ngay Mr Bình: 09+84913088
",18/11/2022,Tin thường,batdongsan_so_com_vn_1673787195.295571, Tây nam, 3
"1,386 tỷ VNĐ","Đường Võ Nguyên Giáp, Mai Đình, Sóc Sơn", 99m2, 4,,,,"Bán nhanh 2 mảnh 99m2 đất Thế Trạch, Mai Đình. Đường 3m oto mà giá chỉ 14tr/m2. -S = 99m2 -Mặt tiền = Mặt hậu = 4,5m, khổ đất vuông vắn. -Đường trước đất 3m oto vào tận nơi. -Cách KCN CN3 300m -Cách KCN Nội Bài 800m -Ngay cạnh đường Võ Nguyên Giáp kéo dài. -Mảnh đất nằm ở vị trí đắc địa thích hợp để đầu tư và định cư. -Chủ cần bán gấp nên giá không thể tốt hơn. -LH e Lịch :  để xem đất và làm việc chủ. ",18/11/2022,Tin thường,batdongsan_so_com_vn_1673787196.3607237, Tây nam,
"13,9 tỷ VNĐ",Hào Nam - Đống Đa - Hà Nội, 50m2, 6,, 5, 5,"Bán GẤP nhà phố Hào Nam quận Đống Đa, Oto đỗ cửa, 50m, 5 tầng, 6.9 mặt tiền, chỉ 13.9 tỷ Vị trí: Cách mặt phố Hào Nam chỉ 15m, trung tâm quận Đống Đa, Ga Cát Linh chỉ mấy chục mét. Thiết kế: Nhà còn rất đẹp, thiết kế hài hòa, công năng tối ưu, cửa sổ thông thoáng, mặt tiền rộng. Tổng 4 ngủ, 1 phòng thờ, 1 sân phơi. Tiện ích: Trung tâm quận Đống Đa, tiện ích ngập tràn, tàu điện trên cao Cát Linh, trường học các cấp, quận ủy, bán kính 1km các di tích văn hóa quốc gia như Văn Miếu Quốc Tử Giám, Lăng Chủ Tịch, di chuyển Hồ Tây, Hồ Hoàn Kiếm rất gần, kinh doanh buôn bán làm văn phòng vừa ở đều phù hợp. Giao thông: Phố Hào Nam kết nối Giảng Võ, Cát Linh, Nguyễn Thái Học, An Trạch, Đê La Thành, Hoàng Cầu….vv. Pháp lý: Sổ đỏ chính chủ sẵn sàng giao dịch ngay. Liên hệ: Minh Hoàng 0902253303. Các bạn môi giới không làm phiền, tôi cần bán cho KHÁCH MUA THỰC. Xin cảm ơn.",18/11/2022,Tin thường,batdongsan_so_com_vn_1673787198.1280954,, 4
45 triệu VNĐ/m2,Mở bán ‼ Hoàng Thành Pearl Đợt 2 giá và chính sách tốt, 110m2,,,, 2,"Mở bán ‼ Hoàng Thành Pearl Đợt 2 giá và chính sách tốt👉 Quỹ căn hộ tầng trung đẹp diện tích 79-113m2, thiết kế hợp lý🌴 Giá 45 tr/m2 – Ký HĐMB trực tiếp Chủ đầu tư📌 Tiến độ đóng tiền siêu giãn 12 đợt️🎯 Quà tặng tân gia 150tr☂️ Chiết khấu 3,5%GTCH ☘ Ngay sát Vinhomes Gardenia Hàm Nghi☎ LH Em gửi tt: 0977.568.223",18/11/2022,Tin thường,batdongsan_so_com_vn_1673787199.2184806, Đông nam, 3
"7,5 tỷ VNĐ","Đường 1, Ngọc Lâm, Long Biên", 77m2,, 1, 3,," Nhà mặt ngõ to, thiết kế khép kín, riêng tư Ngõ thoáng, yên tĩnh, an ninh tốt, dân trí cao Vị trí đắc địa, trung tâm Ngọc Lâm, SIÊU HIẾM Liên hệ Mr Cảnh BĐS Long Biên 0945692882 để được xem nhà miễn phí",18/11/2022,Tin thường,batdongsan_so_com_vn_1673787200.1689374,,
9 triệu VNĐ/m2,426, 80m2,,,,,"🌺 Đ𝒂̂́𝒕 𝒗𝒖̀𝒏𝒈 𝒗𝒆𝒏 𝒕𝒉𝒂̀𝒏𝒉 𝒑𝒉𝒐̂́ 𝑯𝒂̀ 𝑵𝒐̣̂𝒊, 𝒈𝒊𝒂́ 𝒓𝒆̉, 𝒕𝒖̛𝒐̛𝒏𝒈 𝒍𝒂𝒊 𝒅𝒂̀𝒊 𝒉𝒂̣𝒏: 𝑪𝒉𝒐̛̣ 𝑪𝒉𝒐̀𝒏𝒈 - 𝒙𝒂̃ 𝑻𝒓𝒂̂̀𝒎 𝑳𝒐̣̂𝒏𝒈 - 𝒉𝒖𝒚𝒆̣̂𝒏 𝑼̛́𝒏𝒈 𝑯𝒐̀𝒂. 𝑮𝒊𝒂́ đ𝒂̂̀𝒖 𝒕𝒖̛ 𝑭0 𝒄𝒉𝒊̉ 𝒕𝒖̛̀ 9𝒕𝒓/𝒎2⚡️ Diện tích: 60 - 80m2 toàn bộ là đất ở lâu năm.⚡️ Trục chính đường liên xã - Cách đường tỉnh lộ 426 chỉ 100m⚡️ Mặt tiền 4 - 5,5m. Đường trước mặt rộng 4 - 6m⚡️ Tiện ích đầy đủ: trạm y tế  Trầm Lộng, trường mẫu giáo, trường trung học,  khu du lịch sinh thái, nhà văn hóa, cửa hàng tạp hóa trong bán kính 200m⚡️ Gần trung tâm huyện Ứng Hoà⚡️ Làng nghề chẻ tăm hương, giày dép da, dệt may, sơn mài, tre đan, giang đan, guột tế, rèn, khảm trai…di tích cấp quốc gia và thành phố.⚡️ Đất chính chủ - Giá bán F0 công khai niêm yết ( không qua trung gian)💢 𝐐𝐔𝐘 𝐓𝐑𝐈̀𝐍𝐇 𝐌𝐔𝐀 𝐁𝐀́𝐍✍️  Mua phiếu bốc thăm tương đương 500.000/ phiếu, mỗi lô 5 phiếu.✍️ Đặt cọc 20tr trong 24h vào 80tr ký HĐĐC.✍️ Trong vòng 05 ngày ký HĐCC thanh toán 100% bao gồm tiền đặt cọc.✍️ Mua bán chính chủ bán giá niêm yết  công khai không qua trung gian môi giới📩 Thông tin chi tiết xin liên hệ: 0989809368",18/11/2022,Tin thường,batdongsan_so_com_vn_1673787201.1842203,,
150 triệu VNĐ,"Đường Nguyễn Khang, Trung Hòa, Cầu Giấy", 250m2, 10,,,,"Đất nền Thanh Hoá - Chỉ từ 170tr/lôĐất nền Phú Thọ - Chỉ từ 300tr/lô
Đã có sổ theo từng lô - Full thổ cư
Hạ tầng hoàn thiện sẵn sàng ra hợp đồng và sang tên
https://batdongsanhungvuong.vnhttps://datnenthanhhoagiare.blogspot.com/HÙNG VƯƠNG GROUP hungvuonggroupLiên hệ ngay: 0986924308",18/11/2022,Tin thường,batdongsan_so_com_vn_1673787202.336175,,
7 tỷ VNĐ,"Đường Láng, Láng Thượng, Đống Đa", 34m2, 3, 50, 3,,"+ Chính chủ cần bán nhà Mặt Phố Đường Láng, Quận Đống Đa 34m2 x 3 tầng giá 7 tỷ. + Vị trí đắc địa nhà 1 mặt phố+ 1 mặt ngõ ô tô+vỉa hè .View không gian cây xanh hoa lá tuyệt vời. + Nhà đang cho thuê 30 tr/tháng. + Thiết kế:         .3tầng ,3 ngủ, cầu thang giữa.         .Tầng 1 : Cửa hàng+ kho.        .sổ đỏ 33,4m. Từ tầng 2 đua ra2 mặt phố + ngõ. xây dựng 40m. + Thửa đất vuông đẹp nở hậu chủ mới nhiều lộc lá. + Tuyến đường kinh doanh sôi động bậc nhất Hà Thành, rộng thoáng đẹp xanh mát cỏ cây hoa lá Thích hợp để xây tòa nhà 7 tầng thang máy vừa ở vừa kinh doanh, trụ sở, văn phòng công ty.... + Sổ đỏ vuông đẹp sẵn sàng giao dịch. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất,thổ địa hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7 ",18/11/2022,Tin thường,batdongsan_so_com_vn_1673787203.5359294,,
"32,5 tỷ VNĐ","Chính chủ bán biệt thự mặt phố Yên Lạc, Kim Ngưu, Hai Bà Trưng, 32,5 tỷ; 0901271111", 128m2,,,,,"Chính chủ bán biệt thự mặt phố Yên Lạc, Kim Ngưu, Hai Bà Trưng, 32,5 tỷ; 0901271111  - Tổng diện tích đất 128m2, mặt tiền 6,5m, xây dựng 90m2/sàn. Gara 1 ô tô, sân trước để 10 xe máy, sân sau tiểu cảnh, bể cá cảnh - Tầng 1: phòng khách nhỏ, bếp, phòng ăn, nhà vệ sinh. Tổng 10 nhà VS. Cầu thang máy, thang bộ giữa. Có giếng trời. 7PN khép kín. 
- Tầng 2 là phòng khách và 1 PN. 
- Tầng 3,4,5 mỗi tầng 2pn.
- Tầng 6: 2 sân phơi, phòng thờ. Tầng Tum: kỹ thuật thang máy, Tum chống nóng.
-  Hướng nhà : Tây Bắc, đường trước nhà 3 ô tô tránh. Từ nhà lên Bờ Hồ khoảng 10 phút. Phù hợp làm văn phòng, công ty, trường mầm non, phòng khám, để ở.
 Giá 32,5 tỷ có thương lượng, miễn trung gian.  Liên hệ chủ nhà: 0901271111       http://www.sanbatdongsanviet.com.vn",18/11/2022,Tin thường,batdongsan_so_com_vn_1673787212.763012,,
