price,address,Diện tích,Mặt tiền,Lộ giới,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet,Hướng
"12,5 tỷ VNĐ","Đường Võ Văn Dũng, Ô Chợ Dừa, Đống Đa", 62m2, 6, 1,"
    
++ MÔ TẢ

- Vị trí siêu hiếm nằm ngay tuyến phố Võ Văn Dũng khu vực hiếm nhà bán Thông các Tuyến Phố Hoàng Cầu, Trần Quang Diệu,Đặng Tiến Đông,Nguyễn Lương Bằng ............
+Nhà đẹp ở luôn, tặng nội thất.........trước nhà ô tô tránh vỉa hè rộng Kinh doanh mọi loại hình 
sổ đỏ chính chủ sẵn sàng giao dịch....
Liên hệ ngay Thanh Liêm để được tư vấn và Hỗ trợ xem nhà miễn phí........24/7.........
",05/11/2022,Tin thường,batdongsan_so_com_vn_1673789898.541127,,,,
"6,3 tỷ VNĐ","Đường Đỗ Đức Dục, Mễ Trì, Nam Từ Liêm", 135m2, 14, 50,"
    
Bán chung cư cao cấp Vinhomes Westpoint, căn OT3 tòa W1, căn hộ dạng dual key, gồm 2 căn hộ độc lập 2 ngủ 2 WC và 1 ngủ + 1, 1 WC. Căn hộ view trung tâm Hội nghị Quốc Gia và toàn bộ phía Tây thủ đô rất đẹp. Chủ nhà có thể vừa ở vừa cho thuê rất tiện. Vị trí thuận tiện di chuyển đến trung tâm thành phố cũng như các khu vực lân cận. Diện tích sử dụng 134,8m2, nội thất cơ bản như trong ảnh. 
Giá 6,3 tỷ, có thương lượng cho khách thiện chí.
Liên hệ 0913966981 để xem nhà trực tiếp.
Thông tin về chuyển nhượng và cho thuê căn hộ chung cư cao cấp, nhà đất thổ cư Hà Nội, chi tiết tại fanpage https://www.facebook.com/100068303180263 (ĐẶC BIỆT giảm thêm 20 triệu trên một giao dịch mua bán chuyển nhượng khi KHÁCH MUA like, follow và tương tác với fanpage để trao đổi thông tin, thương lượng)
#vinhomes #westpoint
",05/11/2022,Tin thường,batdongsan_so_com_vn_1673789899.828682, 40, 4, 3,
"6,8 tỷ VNĐ","Đường Gia Thụy, Gia Thụy, Long Biên", 93m2, 6, 9,"Bán Gấp Nhà Phố Gia Thuỵ, Long Biên, Hà Nội. Nhà rộng, trẻ em đá bóng. Môi trường sống VIP, gần khu Hàng Không. Khu phân lô cán bộ cấp cao * 0975892929 Mô tả: -Vị trí: Nhà nằm trên phố Gia Thuỵ thông ra đường Nguyễn Văn Cừ, Hoàng Minh Đạo, kết nối ra phố Nguyễn Sơn, Hoàng Như Tiếp, Hồng Tiến, Lâm Hạ. -Ưu điểm: Nhà rộng, thoáng, sạch. Nằm trong khu phân lô cán bộ cao cấp, ô tô vào. Nhà văn hoá tổ dân phố ngay cạnh, gửi 50 ô tô ngày đêm ở sân nhà văn hoá. -Chủ cần bán gấp, để giá 6,8 tỷ (Thương lượng trực tiếp chủ nhà) -Sổ đỏ đẹp, sang tên ngay. -LH: Hoàng Đạo 0975892929 (Miễn TG – QC)      gia thuỵ long biên; nguyễn văn cừ; phố gia thuỵ; phường gia thuỵ; nguyễn sơn; hoàng minh đạo; hoàng như tiếp; bồ đề; ái mộ; hồng tiến; lâm hạ; lâm du; bán gấp; bán rẻ; giá rẻ; hạ giá; đường thông; ngõ thông; đất đẹp; nở hậu; 3 tỷ; 4 tỷ; 5 tỷ; 6 tỷ; 7 tỷ; 8 tỷ; 9 tỷ; 10 tỷ; ô tô tránh; ô tô vào nhà; gara; thang máy",05/11/2022,Tin thường,batdongsan_so_com_vn_1673789900.9786062, 3, 4, 5,
"7,1 tỷ VNĐ","Đường Hồ Tùng Mậu, Phú Diễn, Bắc Từ Liêm", 130m2, 13, 50,"
    Chủ nhà bán căn hộ cao cấp 3 ngủ full nội thất tòa Ruby R1 Goldmark City, diện tích thông thủy 130m2, giá bán 5,5 tỷ có thương lương. LH 0913966981. dveze
Thông tin về chuyển nhượng và cho thuê căn hộ chung cư cao cấp, nhà đất thổ cư Hà Nội, chi tiết tại fanpage https://www.facebook.com/100068303180263 (ĐẶC BIỆT giảm thêm 20 triệu trên một giao dịch mua bán chuyển nhượng khi KHÁCH MUA like, follow và tương tác với fanpage để trao đổi thông tin, thương lượng)
",05/11/2022,Tin thường,batdongsan_so_com_vn_1673789902.2482085, 30, 3, 2,
"2,8 tỷ VNĐ","Đường Đông Ngạc, Đông Ngạc, Bắc Từ Liêm", 30m2, 4, 5,"
    
 2.8  tỷ - có nhà Bắc Từ Liêm 30m2 5 tầng - nhà mớinhà có 3 phòng ngủNhà cách phố 100m, cách bãi ô tô 50m, cách ô tô tránh 40m, ngõ trước nhà 2m
Sổ đỏ vuông vắn, chính chủ
Thiết kế hiện đại, nội thất đẹp
Giá trên đã bao gồm phí sang tên cho khách mua
Hỗ trợ vay ngân hàng 75%LH 0934503161
",05/11/2022,Tin thường,batdongsan_so_com_vn_1673789903.8449373, 5, 3, 3,
"6,8 tỷ VNĐ","93 Láng Hạ, quận Đống Đa, Hà Nội", 86m2,,,"Bán căn hộ 2 phòng ngủ 86m Green Diamond - 93 Láng Hạ . Vị trí : 93 Láng Hạ, quận Đống Đa, Hà Nội. Diện tích : 86 m2 Thiết kế : 2 phòng ngủ, 2 Wc , cửa Đông Bắc, Ban công Tây Nam Nội thất cơ bản chủ đầu tư  Tiện ích của CC Green Diamond : - Trung tâm thương mại, bể bơi 4 mùa, sân cộng đồng, bể bơi, gym, khu thể thao, khu vui chơi trẻ em ,khu thể chất ngoài trời,… Giá bán :6,8 tỷ Liên hệ EM Vân Anh: 0977568223",05/11/2022,Tin thường,batdongsan_so_com_vn_1673789905.1125484,, 2, 2, Đông bắc
"3,15 tỷ VNĐ","Đường Cổ Điển A, Tứ Hiệp, Thanh Trì", 46m2, 4,,"Bán Đất Mặt Ngõ Cổ Điển A , Tứ Hiệp , Thanh Trì , Ô Tô Đỗ , Kinh Doanh Chất , An Sinh Tiện Ích Không Thiếu Thứ Gì. LH : Quốc Tiến - Diện tích 46m2 đất , Mặt Tiền 4m, Hậu 4.2m( Giá Bán 3 tỷ tí ti ) - Vị trí mặt ngõ đường Cổ Điển A, Tứ Hiệp Thanh Trì , Ngõ Ô tô tránh , ngõ thông tứ tung , vừa ở vừa kinh doanh cực chất, hàng xóm văn minh lịch sự ,tiện ích thừa thãi không thiếu thứ gì, trung tâm hành chính quận ngọc hồi tương lai, 3 bước chân ra trường mầm non A Tứ Hiệp, Tiểu Học Ngô Sỹ Kiện, THCS Chu Văn An , Khu Đấu Giá Tứ Hiệp, Công An Huyện, Tecco Diamond, IEC. 1.5km tới bến xe nước ngầm, vành đai 3...vv - Sổ đỏ chính chủ.",05/11/2022,Tin thường,batdongsan_so_com_vn_1673789906.5497017,,,,
670 triệu VNĐ,"Đường Quốc Lộ 2, Minh Trí, Sóc Sơn", 58m2, 4,,"Chỉ 670 triệu bán ngay 58m² tại Thái Lai - Minh Trí - Sóc Sơn - HN, đường ô tô vào đất, đã có sổ đỏ.* Thông tin:- Mặt tiền 4.32m nở hậu 4.37m.- Đường trước đất 3.80m.- Cách 30m ra đường nhựa liên xã Minh Trí.* Tiện ích:- Vị trí đất cách đường bờ kênh 200m.- Cách sân Golf 2km.- Cách cụm công nghiệp sạch 3km.- Cách QL 35 chỉ 3,5km.- Cách QL2 chỉ 3,5km.- Cách khu công nghiệp Nội Bài + CN2 + CN3 chỉ 6km.",05/11/2022,Tin thường,batdongsan_so_com_vn_1673789907.7524836,,,,
"4,8 tỷ VNĐ","Nguyễn Du, Thị Trấn Thường Tín", 68m2,,,"+ Bán đất Nguyễn Du, Thị Trấn Thường Tín, Hà NộiS: 68mMT: 4.5mGiá chào: 4.8 tỷ+ Lô đất hai mặt tiền, khu trực thuộc trung tâm hành chính của Huyện. + Bể bơi, Nhà thi đấu, Vườn hoa… tiện ích ngập tràn. + Khu an ninh cao, dân cư văn minh, giáo viên, quan chức ở + Tư vấn, báo giá, dẫn xem đất miễn phí. Liên hệ Em Liên.",05/11/2022,Tin thường,batdongsan_so_com_vn_1673789908.94629,,,,
"10,8 tỷ VNĐ","Đường Cổ Linh, Thạch Bàn, Long Biên", 80m2, 6, 6,"
    Nhà tái định cư Thạch Bàn, view hồ, phân lô, ô tô tránh, 80m, MT6m,10.8 tỷ+ Vị trí nhà tại khu tái định cư Thạch Bàn, Long Biên, Đàm Quang Trung, Cổ Linh, Bát Khối, Đồng Dinh, Ngọc Trì, Hồng Tiến, Lâm Hạ, Bồ Đề, Nguyễn Văn Cừ, Nguyễn Sơn…,  hàng xóm là khu 918 Phúc Đồng, Tái định cư Long Biên, Tái định cư Đắp nếp,  Aeon mall Long Biên, Cầu Trần Hưng Đạo, Cầu Vĩnh Tuy,  BV Tâm Anh.....+ Đất phân lô vuông bàn cờ, ngõ rộng  ô tô tránh, thông tứ phía+ Nhà 80m,MT6m 5 tầng, ô chờ thang máy, view Hồ, chủ mới xây nhưng nay muốn dồn tiền vào CV kinh doanh nên bán gấp.Giá chào 10.8 tỷ thương lượng mạnh nếu khách thiện chí xuống tiền ngay.Liên hệ Mrs Xuân Kiều ngay khi nhà còn.
",05/11/2022,Tin thường,batdongsan_so_com_vn_1673789910.2019305, 5, 5, 5,
