price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Lộ giới,Số phòng ngủ,Số tầng,Số toilet
"2,1 tỷ VNĐ",Đường Mỹ Nội phường Bắc Hồng, 83m2, 4,"
    Cần Tiền bán nhanh mảnh đất 83m2 tại Mỹ Nội Bắc Hồng Đông Anh HN- MT 4m6 MH 4m8 nở Hậu Quá Đẹp Dài 17m khổ Đất Quá Vuông Và Đẹp - Đường trước Đất gần 4m - cách 15m ra trục chính làng -300m là trường mần Non , Khu Vui Chơi , chợ vvv, - 700m là Chợ Vân Trì- 800 m Trường học các cấp - 1 km là KCN Bắc Thăng Long . KCN Quang Minh - Giá 2 tỷ xxtr ( nhỏ xíu )-Sổ đỏ Full thổ cư 100 % - Anh Chị quan tâm LH để đi xem đất
",27/10/2022,Tin thường,batdongsan_so_com_vn_1673792277.0588932,,,,
5 tỷ VNĐ,Đường Phùng Chí Kiên phường Nghĩa Đô, 100m2, 8,"Cần bán GẤP căn hộ Tràng An Số 1 Phùng Chí Kiên, căn đẹp nhất tòa với ban công full kính.  - Có vị trí giao thông kết nối thuận tiện ra các Phố như: Phố Nguyễn Khánh Toàn, Hoàng Quốc Việt.- Nội thất gỗ sang trọng, chất lượng 5*.* Giá: 5. X tỷ. ",27/10/2022,Tin thường,batdongsan_so_com_vn_1673792278.1599455, 15, 4,,
"2,85 tỷ VNĐ",đường Thượng Thụy, 46m2, 4,"Bán đất Thượng Thụy, Hoài Đức, ô tô tránh, kinh doanh, gần Quốc lộ 32. DT: 46m2, mặt tiền 4m, giá 2.85 tỷ. + Vị trí đẹp, tiềm năng tăng giá cao, kinh doanh tốt, đầu tư hợp lý. + Giao thông: Quốc lộ 32, Trạm Trôi, Đức Thượng, cảng cạn Mỹ Đình,… + Sổ đỏ đẹp, chủ thiện chí. * Liên hệ em Bình, 0345752279 để xem đất miễn phí, không tiếp môi giới",27/10/2022,Tin thường,batdongsan_so_com_vn_1673792279.2450428, 5, 1, 1,
"8,5 tỷ VNĐ","Chính chủ bán căn CL 14-59, Gia Lâm, 8,5 tỷ; 0912200876", 63m2,,"Chính chủ bán căn CL 14-59, Gia Lâm, 8,5 tỷ; 0912200876 - Diện tích : 63m2   - Kết cấu : 5 tầng gồm 1 phòng khách, 1 căng, 6 phòng ngủ, Phòng thờ, 1 sân chơi  - Khu dân cư đông đúc, an ninh đảm bảo - Tiện ích xung quanh đầy đủ - Pháp lý rõ ràng , minh bạch  - Giá: 8,5 tỷ. Đã vào đủ  tiền hưởng  30 tháng dịch vụ  -  Số dt : 0912200876 - Cần chuyển nhượng 8,5 tỷ không chênh k bao phí đã nhận nhà và thanh toán 30% . Ngân hàng hỗ trợ 70%     http://www.sanbatdongsanviet.com.vn",27/10/2022,Tin thường,batdongsan_so_com_vn_1673792280.3920076,,,,
"4,1 tỷ VNĐ",Đường Cao tốc Thăng Long Nội Bài phường Hải Bối, 80m2, 4,"
    - Diện tích 80m² tại khu bê tông, Cổ Điển - Hải bối khu vực hiếm người bán luôn.- Cách 200m là khu vực chợ đầu mối và chợ, cầu Thăng Long.- 700m là cầu Nhật Tân.- Giá công khai 4tỷ 100.
",27/10/2022,Tin thường,batdongsan_so_com_vn_1673792281.6676388,,,,
"6,5 tỷ VNĐ","Thạch Bàn, Long Biên", 53m2, 4,"- Nhà nằm vị trí phân lô ô tô vào nhà, thang máy vi vu, nhiều tiện ích xung quanh gần trường, trạm, đặc biệt gần ngay siêu thị Aeon, khu tiện ích đáng hưởng thụ. - Nhà xây uy tín bậc nhất xây khung cột nên chất lượng yên tâm, thang máy nhập khẩu. - Thiết kế 6 tầng thang máy: + Tầng 1: Gara để xe + kho đồ + Tầng 2: Phòng khách + wc. + Tầng 3 : 1Phòng VIP khép kín. + Tầng 4 : 2 PN + 1 WC + Tầng 5: Phòng Bếp +wc. + Tầng 6: P Thờ + Sân - Sổ đỏ vuông đẹp, chính chủ. - Lh Mr Trác: 0965492571 (tự tay thiết kế, xây dựng, cam kết ảnh thật 100%)   ",27/10/2022,Tin thường,batdongsan_so_com_vn_1673792283.1646335,,, 6,
"3,95 tỷ VNĐ",Đường Tây Tựu phường Tây Tựu, 50m2, 5,"Bán nhà Phố Tây Tựu, Bắc Từ Liêm 5 tầng x 50m2, MT 4m, đường rộng, ô tô đỗ cửa, 3.85 tỷ. - Nhà nằm tại vị trí trung tâm gần phố ra QL 32 rất gần, xung quanh gần nhiều trường cấp 1, cấp 2, trường ĐH Công nghiệp HN. - Nhà chủ xây kết cấu bê tông cốt thép chắc chắn, thiết kế nhiều phòng ở sướng. - Hàng xóm thân thiện, đoàn kết, văn mình lịch ự - Chủ nhà là bắc Chính bán để chia tiền cho con. Gọi ngay hoặc để lại số qua zalo Hùng Cường sẽ liên hệ và tư vấn 24/7: 0392347602",27/10/2022,Tin thường,batdongsan_so_com_vn_1673792284.0572457, 3, 4, 5, 4
"5,9 tỷ VNĐ",Đường Nguyễn Khang phường Yên Hòa, 45m2, 4,"+ Vị trí: Đẹp của đẹp. Gần phố - ô tô vào nhà - kinh doanh.  - Tầng lửng: làm kho - Tầng 5: sân phơi. Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7     ",27/10/2022,Tin thường,batdongsan_so_com_vn_1673792285.1992264, 4, 6, 5,
"3,6 tỷ VNĐ",Đường Bắc Cầu phường Ngọc Thụy, 580m2, 13,"+ Vị trí đất trong khu vực sầm uất, nhà cao tầng dân ở mọc xung quanh, thửa đất có vị trí đẹp bậc nhất trong khu.+ Thửa đất vuông vắn, bờ cõi rõ ràng, không lỗi lầm gì.+ Lô góc quá đẹp, đường trước đất trải nhựa sáng, 2 ô tô tránh nhau thoải mái, vỉa hè rộng 3m, kết nối giao thông thuận tiện.+ Tổng diện tích 580m2, mặt tiền 13m.+ Giá bán 3.6 tỷ có thương lượng.+ Liên hệ: 0979057536 - 0878827488 Trung Kiên để được tư vấn và xem nhà miễn phí.+ CAM KẾT THÔNG TIN NHÀ và ẢNH THẬT 100%",27/10/2022,Tin thường,batdongsan_so_com_vn_1673792286.4877431,,,,
"2,2 tỷ VNĐ",Đường Chùa Võ phường Dương Nội, 60m2, 5,". LÔ GÓC - MẶT PHỐ - 3 Ô TÔ TRÁNH - KINH DOANH CC nhờ bán nhà phường Dương Nội Hà Đông. diện tích 60m mặt tiền  4.8m. Giá  2.2 tỷ Hà Đông TL nhẹ Mô tả: - Nhà lô góc đường 3 ô tô tránh kinh doanh đỉnh.- Mặt tiền rộng gần 5m, đất vuông như viên gạch, cực phù hợp với khách tài chính  trên 2 tỷ tìm nhà diện tích rộng, mặt phố vừa ở vừa kinh doanh .- Chủ nhà cực thiện chí bán. Lh ngay em Yến Nhà Đep 0946211241",27/10/2022,Tin thường,batdongsan_so_com_vn_1673792287.9438934, 7, 1, 1, 2
