price,address,Diện tích,Hướng,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới
"1,29 tỷ VNĐ",kiến hưng - hà đông - hà nội, 65m2, Bắc, 9, 2, 2,"Do chuyển công tác xa nên gia đình muốn nhượng căn hộ Góc View ban công cực thoáng thuộc tầng trung của toà HH02-1B, căn hộ nằm trong tòa chung cư phát triển bậc nhất của khu đô thị, an ninh tốt. Xung quanh có chợ,trường học, khu vui chơi trẻ em, Có hồ bơi và khu phức hợp thể thao hiện đại. Với thiết kế cực kỳ thoáng đãng, mọi tiện ích đều nằm xung quanh. Phí dịch vụ thấp, cư dân có thể đến ở ngay… ⦁Vị trí: HH02-1B ⦁Diện tích: 64.81 m²   ⦁Hướng cửa: Bắc ⦁Hướng ban công: Nam ⦁Thiết kế: 2 phòng ngủ, 2 WC, phòng khách, bếp, ban công ⦁Nội thất:  Như hình, Điều hòa, tủ lạnh, máy giặt, tủ bếp,giường, tủ quần áo,... Giá : 1290 triệu (đã bao gồm tất cả các chi phí sang tên) Ngân hàng hỗ trợ tối đa 80% giá trị căn hộ Liên hệ mua nhà: 0335688885 - Mr.Duy. Đ/C: Bất động sản Q-D Land – Kiốt 46 – Tòa nhà HH02-2B  khu B1.4 – Đô thị Thanh Hà Cienco 5, Cự khê, Thanh Oai, TP.Hà Nội",20/08/2022,Tin thường,batdongsan_so_com_vn_1673807050.4997034,,
"7,15 tỷ VNĐ",La Khê- Hà Đông, 50m2,, 4,,,"Hơn 7 tỷ La Khê, Hà Đông, 50mx4T vỉa hè ô tô kinh doanh văn phòng Cực hiếm chủ nhà chỉ bán trong tháng 7 âm nhà đẹp có vỉa hè đường ô tô tránh, thích hợp ở hoặc làm văn phòng quá đỉnh hơn 7 tỷ. Diện tích rộng 50m thiết kế 4 tầng hiện đại, mặt tiền 4m, ô tô vào nhà, chỉ việc xách vali đến ở. Nhà gần bể bơi La Khê, vài bước ra mặt phố Lê Trọng Tấn thông sang Ngô Quyền, giáp các Khu đô thị An Hưng cạnh Dương Nội, hàng xóm Tố Hữu. Sổ đỏ vuông, sẵn sàng giao dịch. Giá 7.15 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",22/08/2022,Tin thường,batdongsan_so_com_vn_1673807051.7710195,,
"7,15 tỷ VNĐ",Kiến Hưng- Hà Đông, 50m2,, 4,,,"Bán nhà Kiến Hưng, Hà Đông 50mx4 tầng vỉa hè ô tô KD hơn 7 tỷ Hiếm quá nhà nhà bán gấp nhà riêng diện tích rộng 50m thiết kế 4 tầng hiện đại, nội thất đầy đủ ở ngay,có vỉa hè đường ô tô tránh hơn 7 tỷ hiếm nhất Hà Đông. Xung quanh nhà đầy đủ tiện ích, nhà phù hợp ở hoặc làm văn phòng hay kinh doanh. Chủ nhà cần lo việc gia đình chỉ bán trong tháng 7 âm, cơ hội duy nhất cho các nhà đầu tư và mua ở. Nhà bán giáp Khu đô thị Xa La ra Thanh Trì hàng xóm Kiến Hưng xuống Văn Phú dọc Phú Lương ra Quang Trung rất gần. Sổ đỏ vuông, sẵn sàng giao dịch. Giá 7.15 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",22/08/2022,Tin thường,batdongsan_so_com_vn_1673807052.880054,,
"2,85 tỷ VNĐ",Quang Trung- Hà Đông, 35m2,, 4,,,"Bán nhà Quang Trung, Hà Đông 35mx4 tầng, ở sướng ngõ nông gần ô tô Bán nhà riêng chỉ trong tháng 7 âm trung tâm Quang Trung, Hà Đông, diện tích 35m nhà 4 tầng thoáng sáng đầy đủ công năng ngõ nông cách phố vài bước chân, nội thất đầy đủ chỉ việc đến ở. Nhà bán gần trường chợ, ngân hàng siêu thị, bệnh viện. Giao thông thuận lợi hàng xóm Ngô Thì Nhậm đối diện Văn Phú thông ra Lê Trọng Tấn xuôi Văn Phú dọc xuống Yên Nghĩa. Sổ đỏ vuông, sẵn sàng giao dịch. Giá 2.85 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",22/08/2022,Tin thường,batdongsan_so_com_vn_1673807054.158632,,
"2,85 tỷ VNĐ",Văn Phú- Hà Đông, 35m2,, 4,,,"Nhỉnh 2 tỷ Văn Phú, Hà Đông, 35mx4T ở sướng ngõ nông gần ô tô Cần bán nhà riêng tại Văn Phú, Hà Đông diện tích rộng mỗi tầng 2 phòng thoáng trước thoáng sau ngõ nông gần phố, nội thất đầy đủ chỉ việc xách vali đến ở. Nhà nằm cạnh khu đô thị Văn Phú hưởng trọn lợi ích. Bán kính xung quanh nhà là chợ, công viên, ngân hàng, trường học các cấp, siêu thị, bệnh viện,… Giao thông thuộc trục chính ra Quang Trung giáp Văn La thông Hoàng Đôn Hoà song song Lê Trọng Tấn chạy dọc Lý Thường Kiệt. Sổ đỏ vuông, sẵn sàng giao dịch. Giá 2.85 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",22/08/2022,Tin thường,batdongsan_so_com_vn_1673807055.4472284,,
52 tỷ VNĐ,MP Lò Đúc 7 tầng thang máy sổ đỏ chính chủ giá 52 tỷ, 69m2,,,,,"MP Lò Đúc 7 tầng thang máy sổ đỏ chính chủ giá 52 tỷ  + DT 69m mặt tiền 6m nhà mới. + Mặt phố vỉa hè rộng, kinh doanh đỉnh + Lô góc 2 mặt thoáng, gia chủ xây đẹp viên mãn theo phong cách Châu Âu. + Phù hợp làm Khách sạn, trụ sở công ty, văn phòng đại diện… + Một sổ một chủ sẵn sàng giao dịch, giá thương lượng tốt với khách thiện chí.  Liên hệ: Kim Hạnh 0946 553 655",22/08/2022,Tin thường,batdongsan_so_com_vn_1673807056.6630201,,
"8,5 tỷ VNĐ",Đường Đình Thôn phường Mỹ Đình, 52m2,, 4, 4, 4,"
    Nhà Măt Phố KD oto tránh Đình Thôn Nam Từ Liêm 52M chỉ 8.5 tỷ Lh 0845681666Khu vực hiếm nhà bán nhất Mỹ ĐìnhPhù hơp kinh doanh nhiều mặt hàng Hiệu Thuốc SaPa Răng Hàm MặtNhà xây chắc chắn dân xây cả Phố mới có 1 nhà bánSổ đỏ săn sàng dao dịch ngayLH Trần Hảo 0845681666 để có giá tốt tư vấn xem nhà miễn phí 24/7.Luôn mang lại Giá Tri - Uy - Tín Niềm Tin tới khách hàng
",22/08/2022,Tin thường,batdongsan_so_com_vn_1673807058.0166469, 38, 6
13 tỷ VNĐ,Quận Cầu Giấy, 52m2,,,,,"PHÂN LÔ Ô TÔ TRÁNH PHÙNG CHÍ KIÊN 52M2  NHỈNH 12 TỶ . 0962745289+ Vị trí cực đẹp, LÔ GÓC, 6 TẦNG, MẶT TIỀN 16M. ô tô tránh, ô tô 7 chỗ vào nhà. 20M ra phố, thông bàn cờ, Cầu Giấy, Nguyễn Khánh Toàn, Hoàng Quốc Việ. Phân lô ô tô vào nhà, khu vực hiếm nhà bán.Trung tâm Quận Cầu Giấy. Tiện ích nhất khu vực.+Nhà dân xây cực kỳ chắc chắn tâm huyết, đầy đủ công năng sử dụng, hai mặt thoáng, dân trí cao, an ninh tốt, tiện ích vây quanh, quy hoạch ổn định, gần nhiều trường học các cấp..v..v..+ Sổ đỏ vuông vức chính chủ sẵn sàng giao dịch.+ Giá:Thỏa thuận. + Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, sang tên thủ tục nhanh gọn.+ Tư vấn 24/7. PHÂN LÔ Ô TÔ TRÁNH PHÙNG CHÍ KIÊN 52M2  NHỈNH 12 TỶ . 0962745289",22/08/2022,Tin thường,batdongsan_so_com_vn_1673807059.0927668,,
,Hoàng Đạo Thành Kim GIang Thanh Xuân Hà Nội, 75m2,,,,,"Bán nhà phố Hoàng Đạo Thành Thanh Xuân gara ô tô, kinh doanh vip 75m2 4T MT 6m nhỉnh 10 tỷ+ Nhà diện tích rộng, thông số đẹp, oto vào nhà. Sát nhà văn hóa khu, có sân chơi rộng, ngõ thông, đường trải nhựa sạch đẹp. Chủ kinh doanh tại nhà.+ Khu Vip, dân trí cao, 200m ra phố Nguyễn Xiển, thuận tiện giao thông muôn nơi. Nhà gần trường học các cấp, gần chợ... Thuận tiện vô cùng.+ Thiết kế:Tầng 1: Gara ô tô, kho để hàng.Tầng 2: Phòng khách, bếp, 2 phòng ngủ.Tầng 3: 3 phòng.Tầng 4: Phòng thờ, sân phơi.+ Sổ đỏ vuông đẹp, sẵn sàng giao dịch.Liên hệ: Mrs Phượng 0974352054 Tư vấn tận tâm, miễn phí 24/24h (zalo, Fb), hỗ trợ tư vấn pháp lý, vay vốn.",22/08/2022,Tin thường,batdongsan_so_com_vn_1673807060.3593793,,
"3,45 tỷ VNĐ",Đường 1 phường Đức Giang, 48m2,, 3,,,"
    NHÀ3 TẦNG TẶNG FULL NỘI THẤT. 
THOÁNG TRƯỚC SAU NHIỀU CÂY XANH. GẦN BỆNH VIỆN, TRƯỜNG HỌC CÁC CẤP SỔ ĐỎ CHÍNH CHỦ, THIỆN CHÍ THƯƠNG LƯỢNG LIÊN HỆ CHI TIẾT THEO SỐ: 0856316294 (miễn trung gian, quảng cáo) ",22/08/2022,Tin thường,batdongsan_so_com_vn_1673807061.5621607,, 1
