price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền
"3,45 tỷ VNĐ","Đường Đại Mỗ, Đại Mỗ, Nam Từ Liêm", 48m2, 2, 3, 3, 3,"Ngõ 2 ô tô tránh nhau, thông tứ tung. Trước nhà 3 gác tránh xe máy. 10m ra ô tô tránh xe máy - Chủ tự xây chắc chắn, nhiều tài sản nên bán bớt - Vài phút đi xe máy ra sân Vận động Mỹ Đình, Big C Thăng Long, Aeon Mall - Hàng xóm thân thiện, ở cực kỳ thoáng và yên tĩnh - Diện tích 48m, 3 tầng, thừa công năng - Sổ đỏ chính chủ, sẵn sàng giao dịch.  - Giá bán chỉ 3,1 tỷ, có thương lượng Liên hệ ngay Quân Thổ Cư 0868 916*** để xem nhà miễn phí và gặp chủ nhà đàm phán. Xin cảm ơn đã đọc tin!",27/11/2022,Tin thường,batdongsan_so_com_vn_1673785689.462306,
32 tỷ VNĐ,Hoàng Cầu Đống Đa Hà Nội, 75m2,, 7, 2, 5,"- Diện tích 75 X7 Tầng Mt 5m 32 tỷ ( có thương lượng ) - Vị trí cực đẹp toà nhà 7 tầng xây mới tinh, đường trước nhà rộng 2 ô tô tránh nhau thoải mái, vỉa hè đá bóng, thông tứ tung!  - Chủ tự tay xây tâm huyết, tầng 2 đua ra được 80m. Thiết kế hiện đại đầy đủ công năng. - Tầng 1,2,3: Thông sàn kinh doanh.- Tầng 4 ,5: 4 phòng ngủ! - Tầng 6: Bếp, Phòng ăn! - Tầng 7: Phòng thờ, sân phơi. - Giao thông kết nối : Trần Quang Diệu, Võ Văn Dũng, Nguyễn Lương Bằng, Nguyễn Hy Quang, Giếng Đông Các!  - Sổ đỏ vuông đẹp, sẵn sàng giao dịch- ACE Có nhu cầu liên hệ em Quân để được tư vấn! 0385 94 1802 Miễn ( TG Quảng Cáo )",27/11/2022,Tin thường,batdongsan_so_com_vn_1673785690.584308, 5
"14,5 tỷ VNĐ","Đường Nguyễn Hoàng Tôn, Xuân La, Tây Hồ", 118m2, 30, 2, 4, 2,"💥 Bán nhà Mặt phố Nguyễn Hoàng Tôn, 118m2 2T MT 4m, giá siêu rẻ chỉ 14.5 tỷ 💥⭕️ LH NGAY 0982833366 ---------------------------- NHÀ MẶT PHỐ NGUYỄN HOÀNG TÔN, XUÂN LA, TÂY HỒ, HÀ NỘIDIỆN TÍCH 118M2 MT 4M KINH DOANH HOẶC XÂY TÒA ĐỈNH CAO, GIÁ SIÊU RẺ+ Nhà mặt phố Nguyễn Hoàng Tôn, vị trí đẹp,gần ngay gần ngã tư Võ Chí Công, Lạc Long Quân, ba bước chân ra Hồ Tây.+ pháp lý sạch, sổ đang cất két, sẵn sàng giao dịch.---------------------------- 🚀 GIÁ BÁN CHỈ: 14.5 TỶ (ẢNH THẬT-THÔNG TIN THẬT-NHÀ THẬT-GIÁ THẬT)---------------------------- ☎️ LH: PHƯƠNG_NHÀ_PHỐ 0982833366  ZALO 0902223785 (Chuyên mặt phố, biệt thự, nhà ngõ ô tô Hà Nội).Kết nối trực tiếp chủ nhà, giúp ACE mua giá tốt nhấtMiễn phí tư vấn, xem nhà 100%... ----------------------------DÀNH CHO ACE TÌM NHÀ HÀ NỘI - MIỄN PHÍ LỌC VÀ XEM NHÀ 100%LH: Mr. Phương_Nhà_Phố (1981) CALL 0982833366-ZALO 0902223785 (FB/ZALO - 24/7)   - Tiếp khách có nhu cầu thực, khách xem cho vui xin phép không tương tác vì CV mình rất bận.- Phương_Nhà_Phố có thông tin hàng ngàn căn nhà với đủ phân khúc từ vài tỷ đến vài trăm tỷ, thông tin hình ảnh thật mô tả kỹ không làm mất thời gian công sức của ACE. CÁC LĨNH VỰC BĐS ĐANG HOẠT ĐỘNG1. Biệt thự, nhà ở đẳng cấp, yên tĩnh, sân vườn2. Nhà mặt phố , tòa nhà văn phòng3. Nhà dòng tiền: Khách sạn, Nhà hàng, Apartment, Homestay, Chung cư Mini cho thuê4. Nhà mặt ngõ ô tô, Nhà phân lô, Nhà liền kề5. Chung cư, tập thể, nhà ở theo từng phân khúc tài chínhLiên hệ ngay để được tư vấn và tham khảo BĐS phù hợp nhất. Xin cảm ơn!!!",27/11/2022,Tin thường,batdongsan_so_com_vn_1673785691.603579, 4
"4,8 tỷ VNĐ","Đường Trường Chinh, Phương Mai, Thanh Xuân", 35m2, 1, 5, 4, 4,"Chủ cần bán căn nhà vừa được sửa sang rất đẹp mắt, chắc chắn. Khách chỉ việc xách đồ về ở. + Vị trí cực kỳ đẹp bagac vào tận cửa, gần ô tô. Ngõ vừa được trải nhựa đi cực êm. Khu vực tiếp giáp Đống Đa, gần các trung tâm thương mại tiện ích gì cũng có. Nhà thuộc khu phân lô của cán bộ phòng không không quân dân trí cao.+ Chủ tặng toàn bộ nội thất cho khách về ở luôn không phải sắm sửa gì. Nếu để cho thuê khu này gần 4, 5 trường đại học lúc nào cũng kín phòng cũng gần 20tr/tháng với 4 phòng ngủ.+ Thiết kế:- Tầng 1: Phòng khách, bếp.- Tầng 2,3,4: Mỗi tầng 1 ngủ, vs khép kín.- Tầng 5: Phòng thờ sân phơi.+ Sổ đỏ siêu đẹp. LH ngay ms. Diệp để đi xem nhà miễn phí. Và xem các căn nhà đẹp khác trong tầm giá.",27/11/2022,Tin thường,batdongsan_so_com_vn_1673785692.7828174, 3
828 triệu VNĐ,"Đường Tả Thanh Oai, Tả Thanh Oai, Thanh Trì", 20m2, 5, 3, 2, 1,"
    Chính chủ Bán nhà 20m2 3 Tầng Ngõ 18 Tả Thanh Oai, Thanh Trì, Chỉ 830 Triệu+ Liên hệ chính chủ: Anh Phương 09828333366-0983630136 (Miễn Trung Gian)-------------------------+ Vị trí: Cách Cầu Tó, đườnng 70 chỉ hơn 1km, cách Linh Đàm 4km, Xa La Hà Đông 4km+ Nhà thuộc làng Tó, ngõ 18 Tả Thanh Oai, Thanh Trì, Hà Nội, ngõ 3 gác vào thoải mái+ Nhà mới sơn sửa lại mới đẹp chỉ việc vào ở+ Diện tích: 20m2 X 3 Tầng (T2,3 có ban công)- T1: Để xe, P.Khách, WC- T2: P Ngủ + Ban công (Khép kín điều hòa)- T3: Bếp + P Ngủ + Ban công + Sân phơi + Pháp lý: Đất thổ cư, sổ đỏ chung, chính chủ, giao dịch ngay-------------------------+ Giá bán: 830 Triệu (Rẻ hơn cả chung cư Mini, có nhà 3 tầng ở luôn)+ Liên hệ chính chủ: Anh Phương 09828333366-0983630136 (Miễn Trung Gian)
",27/11/2022,Tin thường,batdongsan_so_com_vn_1673785693.89185, 4
"2,5 tỷ VNĐ",Bạch Mai - Hà Nội, 45m2,,,,,"Thuộc khu phân lô tập thể cho cán bộ cũ nên dân trí thì khỏi bàn. Vị trí thì đắc địa nhất nhì khu vực Hai Bà Trưng ngõ thông hè thoáng  vài bước là ra oto đỗ. Điện đường trường trạm san sát nhau, tiện ích trăm bề.Khu  Bạch Mai tọa lạc trại vị trí trung tâm của Quận Hai Bà thuận tiện tỏa đi mọi ngả vài phút là ra Bờ Hồ, Tây Hồ, Time City….. cũng như sang các trường đại học lớn nhất nhì thành phố như Bách Khoa, Xây Dựng, Kinh Tế Quốc Dân…. Hoặc sang các bệnh viện lớn như Thanh Nhàn, Ung Bướu, Bạch Mai….     Ngôi  nhà kiên cố chắc chắn là tâm huyết bao năm thanh xuân của gia chủ, nắn nót đến từng viên gách đường vữa vẫn còn rất mới lung linh, giờ khách mua chỉ việc xách vali về ở luôn Gia chủ có tuổi con cái đều thành đạt, định chuyển lên chung cư cao cấp để đỡ khoản leo trèo. Giá 2.5 tỷ có thương lượng cho khách hữu duyên.Chi tiết LH: Nhật Nhà Đất  0977194820 (Chuyên Nhà đất Thổ cư với nguồn hàng Hơn 6000 Căn Nhà  Lớn nhỏ Từ 1 – 100 Tỷ trên khắp địa bàn Hà Nội sẵn sàng giúp Khách hàng tìm được những căn nhà ưng ý nhất).Lưu ý:-Tận Tâm, Uy tín , Chuyên nghiệp cái Tâm và cái Tầm đặt lên hàng đầu- Không kênh giá chủ nhà- Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý",27/11/2022,Tin thường,batdongsan_so_com_vn_1673785695.0118544,
"2,7 tỷ VNĐ","Đường Văn Chương, Văn Chương, Đống Đa", 42m2, 3, 5, 4,,"+ Vị trí đắc địa, nhà đẹp diện tích 42 m2 x5 tầng giá 2,7 tỷ, nhà gần ngõ Văn Chương đi lại rất thuận tiện, thông Khâm Thiên, Tôn Đức Thắng. An ninh tốt gần ủy ban phường Văn Chương, Trường THCS Huy Văn 300M + Nhà thiết kế rất đẹp cầu thang cuối có ô chờ thang máy rất phù hợp.  + Tầng 1 thông sàn wc.  + Tầng 2  phòng ngủ WC ngoài.  + Tầng 3 Phòng khép kín   + Tầng 4 Bếp   + Tầng 5 đã làm hàng rào mái tôn có thể sửa được thêm phòng, sân phơi. + Sổ đỏ vuông đẹp sẵn sàng giao dịch. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất,thổ địa hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7 ",27/11/2022,Tin thường,batdongsan_so_com_vn_1673785696.1727962, 4
4 tỷ VNĐ,Hai Bà Trưng, 39m2,, 5, 4, 4,"- Vị trí nhà đẹp, trước nhà thoáng rộng, cực gần Ô tô, 3 bước chân ra chợ rẻ như chợ quê. - Diện tích 39m2, từ tầng 2 đua ra 42m2, nhà 2 thoáng trước sau. - Xung quanh hàng xóm hiền lành, dân trí cao. - Sổ đỏ vuông đẹp, giao dịch ngay. -Lh: 0903854881 xem nhà",27/11/2022,Tin thường,batdongsan_so_com_vn_1673785697.2688663, 4
"6,95 tỷ VNĐ","Đường Khương Trung, Khương Trung, Thanh Xuân", 42m2, 2, 6, 3, 5," Giá: 6.95 tỷ.( thương lượng) Chủ cần bán gấp. + Thiết kế :-T1: Phòng khách, để xe.- T2, 3,4: 3 phòng rộng, thông sàn.- T5: bếp.- T6: Phòng thờ, sân phơi. Nhà lô góc từ tầng 2 đua ra 45m. Gần Đầm Hồng-Khương Trung-ta Ngã Tư Sở-Vũ Tông Phan-… an ninh cực tốt.-khách quan tâm liên hệ 0838233888 mr.Định",27/11/2022,Tin thường,batdongsan_so_com_vn_1673785698.2642007, 4
21 tỷ VNĐ,phường nghĩa đô, 65m2,,,,,"CHÍNH CHỦ CẦN BÁN NHÀ MẶT PHỐ NGUYỄN VĂN HUYÊN VỈA HÈ Ô TÔ 2 MẶT TIỀN 0962745289+ DT. 65M2*5 TẦNG. GIÁ 21 TỶ CẦU GIẤY + Vị trí siêu đắc địa 2 mặt tiền, vỉa hè 6M mặt trước 4 làn ô tô tránh, mặt sau hai ô tô 45  chỗ tránh, thông Nguyễn Khánh Toàn – Trần Đăng Ninh+ Hiện trạng 5 tầng, nhà tự xây ở cực kỳ chắc chắn tâm huyết, công năng thoảii mái, gara ô tô, phòng khách, bếp nhà ăn, 4 ngủ, phòng thờ , sân phơi, sân trồng rau, cầu thang và wc ở giữa, nội thất sang xịn.+ Kinh doanh vô địch phù hợp mọi loại hình, hiện đang cho thuê 1 gian ngoài tầng 1 đã được 11tr/tháng. + Thuộc phân lô víp Bộ Công an, dân trí cao, an ninh tuyệt đối, đi bộ ra công viên vài bước, tiện ích miễn bàn. + Sổ đỏ phân lô A4 cất két sẵn sàng giao dịch.+ Giá thương lượng.+ Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, sang tên thủ tục nhanh gọn.+ Tư vấn 24/7. ",27/11/2022,Tin thường,batdongsan_so_com_vn_1673785699.335344,
3 tỷ VNĐ,Phố Nam Dư- Hoàng Mai Hà Nội, 35m2,, 4,,,"Thông tin chi tiết: + Nhà thiết kế 4 tầng còn rất mới đầy đủ công năng sử dụng. Thiết kế hiện đại khoa học.Trước nhà có sân nhỏ để xe máy thoải mái. + Tiện ích xung quanh ngập tràn. Gần trường học các cấp. + Sổ đỏ chính chủ, phân lô đảm bảo pháp lý giao dịch ngay. Miễn phí 100% với khách mua, dẫn khách đi xem nhà và kể cả giao dịch không thành công, bên mua hoàn toàn không mất phí, được tư vấn hỗ trợ 24/24h. Liên hệ: Đức Kiệt 0386826403 chuyên tư vấn đất thổ cư tại các quận Hoàng Mai, Hoàn Kiếm, Hai Bà Trưng.",27/11/2022,Tin thường,batdongsan_so_com_vn_1673785700.2808058,
